"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AREL1",0.929306106364057,-0.0192694722987395,0.818106598727276,-0.0235537426647297,0.981208569909237,NA
"GAK",1.52146782698444,0.326105451482541,0.555522554430224,0.587024683123826,0.557187129376264,0.998255186606611
"FO538757.1",1.85072062005461,0.504994153918132,0.450582650712747,1.12075809647645,0.262390845286145,0.998255186606611
"EMC3",0.43143863904347,0.0869507391313611,0.828478069141516,0.10495237275437,0.916413600954602,NA
"WWC3",0.621474902955976,0.410896937777476,0.711765602406153,0.577292491219612,0.563741885236308,NA
"SOX4",0.771264788189685,-0.027244586656619,0.612931397228497,-0.0444496509394222,0.964545985005152,NA
"PRR5L",2.92858300955821,0.550839428235899,0.424540591866005,1.29749531326266,0.194460816664226,0.998255186606611
"CREB3",0.783275349301532,0.767816259838689,0.756133507772319,1.01545064720222,0.309891060832226,NA
"PRDX2",0.220158696439844,0.620267502505598,1.05209746948303,0.589553269062016,0.55549018918432,NA
"CD2AP",1.44627658473935,0.60491271432951,0.490823726721246,1.23244391295097,0.217783305769042,0.998255186606611
"OLFM4",19.0270558808144,-1.17913533331683,0.572323077325362,-2.06026172983847,0.0393735264130463,0.821051331526714
"RMDN3",0.436534819363242,0.739634263002429,0.766672725168624,0.96473271934873,0.334678702555141,NA
"YTHDF2",0.769148832314733,0.555186310421247,0.613936084852629,0.904306366931527,0.365832971629098,NA
"CYFIP2",1.18832370273498,-0.319477617620275,0.648195430536528,-0.492872369303553,0.622102771745601,0.998255186606611
"TSTA3",0.228505600869837,1.08715102625745,1.05976356092292,1.02584299587606,0.30496559577086,NA
"CDH17",7.41929792342027,-0.16703892494362,0.3176001000452,-0.525941033771234,0.598929177422514,0.998255186606611
"LINC00483",1.01096656261005,2.24580628143408,0.865132091283816,2.59591142677577,0.00943403811438266,NA
"BCAR3",1.43997271316454,0.314658546323544,0.569525343362382,0.55249261510621,0.580610892657819,0.998255186606611
"RASA1",2.29380762433171,-0.886537405133826,0.719509786765781,-1.23214085678923,0.217896471628914,0.998255186606611
"HAX1",0.830825944312472,0.129021369876653,0.705802604683692,0.182800926236981,0.85495422182625,NA
"CREB3L1",2.08012996505579,0.68006209864551,0.507737615071517,1.3393967247231,0.180441555105286,0.998255186606611
"UBE3A",0.14433769536858,0.739254481598971,1.40566450911685,0.525911038376738,0.598950019072811,NA
"CCPG1",0.507405631809019,0.292512635480333,0.675431773402648,0.433075029927495,0.6649602625074,NA
"METAP1",1.04156652086328,0.479691143243175,0.741664200869143,0.646776725479042,0.51777645776919,NA
"TNFSF13",0.625833411740596,1.90459676517204,0.707498057919289,2.69201695164132,0.00710213353023483,NA
"LPAR5",0.663956921741078,0.853730050517889,0.890873570748832,0.958306631321747,0.337908160917883,NA
"DRG1",0.381732968039917,0.683214434506032,0.961545413240265,0.71053787486095,0.477370652612138,NA
"TNRC6B",2.70470018535119,0.18433892991604,0.424885973857266,0.433855060553178,0.664393695228026,0.998255186606611
"CCDC125",1.40844984725172,0.75522202651926,0.535051744084395,1.41149343940861,0.158099168719287,0.998255186606611
"KIAA1468",7.33137997382621,-2.40988408751193,0.924402421394437,-2.60696427414879,0.00913488907328111,0.517519429947518
"NFE2L1",2.24655594309772,-0.133602702962676,0.48600155425004,-0.274901801844732,0.783391682791454,0.998255186606611
"ATP2B1",0.67395414374682,0.731723181243983,0.72832366940293,1.00466758391065,0.31505694217893,NA
"SRP9",0.562951175599965,-0.460063200374543,0.724749803533135,-0.634788996329145,0.525566040833595,NA
"WDR73",0.393496803178625,0.0391570334256611,0.79269172325546,0.0493975555400646,0.960602476182118,NA
"SDHC",1.04177205220848,-0.334831757247112,0.647931049430129,-0.516770661849905,0.605316262402915,0.998255186606611
"ACAD10",0.619875576698752,0.73913420698811,0.727499976898741,1.01599206935918,0.309633163128127,NA
"CWH43",0.210917509559364,0.136781820786818,1.1360817830991,0.120397864679858,0.904167982837465,NA
"TTC38",1.13733216881886,0.285441377844766,0.649616972989478,0.4393995072684,0.660372083486019,0.998255186606611
"SRA1",0.670089021845908,0.197446556683003,0.721311484740181,0.273732722769725,0.784290028721569,NA
"CDC73",0.279689755446141,0.866037577847575,1.07996125227623,0.801915416893183,0.422601887483892,NA
"ADAMTS14",3.72568734095543,0.340163783312572,0.39023131094334,0.871697820685543,0.383373249479655,0.998255186606611
"TRIM8",0.473069063339656,0.00700972003333809,0.784429440520267,0.00893607464386976,0.992870138898245,NA
"CCDC12",2.03786321524331,-0.095187473223964,0.513828818500047,-0.185251332344169,0.853031908407415,0.998255186606611
"NDUFA4",2.32612481279472,0.606953553733198,0.419379771932102,1.4472647331962,0.147822792471209,0.998255186606611
"RPP21",0.450084458974676,-0.0403306706793084,0.782966021836809,-0.0515101160899602,0.958919041079806,NA
"RTF1",2.04047835778689,0.231014578564289,0.568439397552415,0.406401420378304,0.684447676224565,0.998255186606611
"MX1",0.544775521924401,1.34051747131168,0.823056042905127,1.62870740439506,0.103374974545871,NA
"NDUFA5",0.562494728534213,0.136685976740277,0.797579673034727,0.171375953226338,0.863928161596108,NA
"ACO2",2.37379180587692,0.993224909910754,0.834125882980987,1.19073742965652,0.233756679120651,0.998255186606611
"RAP1GAP2",9.03823972364707,-0.230718191113683,0.334202393841866,-0.690354693338468,0.489971161017661,0.998255186606611
"TSPAN8",3.17642201137359,-0.306591515437923,0.498528323322893,-0.614993173094692,0.538559228949201,0.998255186606611
"SNX25",0.377496150918583,0.23056788400171,0.881081756830997,0.261687275004987,0.793562551834934,NA
"TRIM4",0.677101503185758,-1.01069401835526,0.746710684406565,-1.35352826665189,0.175886926003269,NA
"CYB561D2",1.36469297862649,0.654435079371822,0.545918524767694,1.19877793055347,0.230614306194268,0.998255186606611
"USP54",0.708680527749943,-0.19455614228472,0.814070553298296,-0.238991745244259,0.811111983640962,NA
"TMEM260",0.411773873720252,0.497650630228786,0.825146628647101,0.603105694129451,0.546438378677506,NA
"EIF3E",1.21757994151032,0.485651569465825,0.6337344525934,0.766332913538813,0.443478239031168,0.998255186606611
"SERPINH1",0.388607080724547,0.582976573398061,0.8717038791412,0.668778225436381,0.503636958719219,NA
"HERC6",0.312979928758149,0.327730675557583,0.958469000958772,0.341931429425207,0.732402496397351,NA
"MED23",0.38824750276096,0.35236668302029,0.92150564309054,0.382381470653315,0.702178432323109,NA
"OSBPL8",0.812274584779698,0.0270899836657262,0.694325438560745,0.0390162626359774,0.968877422777233,NA
"GPR108",1.11521847923638,0.450472966018278,0.631800955186059,0.712998235157176,0.4758468492188,0.998255186606611
"RNF187",1.06141766068688,1.02910757492347,0.719732763321936,1.42984678114918,0.15276099909585,0.998255186606611
"SPAG9",0.918037692656537,-0.876251871366548,0.617059081168836,-1.42004533780906,0.155594482360498,NA
"CD151",1.47587065900266,0.0796394665854619,0.506634277161662,0.157193206570288,0.87509258211506,0.998255186606611
