"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AREL1",2.01391552646879,0.0930344870141969,0.402299988156397,0.231256499510582,0.817115539087916,0.946905653133888
"GAK",7.40878902795541,0.170908066838277,0.242563430560807,0.704591233901734,0.481064655367778,0.804893423106969
"ZNF714",1.73045056296067,-0.247795240406447,0.48404383589564,-0.511927271933841,0.608701910569646,0.868908239394671
"FO538757.1",4.19736923036372,0.0103041961807747,0.332820218008467,0.0309602470740301,0.975301242702381,0.990610705089787
"ZMAT3",1.08168979687888,1.18148948816943,0.598106942763159,1.97538166454168,0.0482248519635254,NA
"PCBP3",0.831286014771953,0.135491764752603,0.54207192814904,0.249951635044547,0.802624751232748,NA
"EMC3",4.1395542143172,-0.0248049493483342,0.281413955449888,-0.0881439916818599,0.92976223211832,0.981789026879968
"WWC3",2.23034172223501,1.04108036271637,0.462125941090955,2.25280658397721,0.0242713468877127,0.215471160110466
"SLC25A12",1.94223031842961,-0.183155637694249,0.489676145550237,-0.374034225188652,0.708378853188725,0.90899624950418
"SOX4",11.2435498451553,-1.40700148157045,0.488386496603055,-2.88091806664756,0.00396518701654132,0.0835525216570562
"PRR5L",2.65075768465279,-0.583642744593467,0.356715841177775,-1.63615594605063,0.10180695377104,0.42926750582787
"ADAP1",1.39918198718406,0.578777843073304,0.468127588482289,1.23636772818657,0.216321906217815,0.591419587505217
"CREB3",3.47622629468205,0.740302600621342,0.343659466934414,2.1541749081588,0.031226457833862,0.244633564506333
"PRDX2",2.63421738362984,0.439433160100997,0.369957832024285,1.18779255921294,0.234915146616882,0.609756300163351
"CD2AP",4.9672632941575,-0.618995992903122,0.253115209143483,-2.44551086044076,0.0144647092086897,0.170543641815581
"OLFM4",27.7093160363308,0.694661431156258,0.569807612858452,1.21911574271792,0.222800265563768,0.596701160590417
"RMDN3",2.79144045084111,0.622212394813494,0.343788879082085,1.80986772019734,0.0703163030180399,0.360631712299518
"YTHDF2",3.7580277553551,0.132463830726463,0.295386065764491,0.448443058353591,0.653833472372653,0.890491013421412
"CYFIP2",0.833498025924885,-0.0529602887637278,0.55788714219304,-0.0949301117705318,0.924370338782703,NA
"TSTA3",11.61447446926,1.31391503921584,0.266706419376912,4.92644699848415,8.37383127297763e-07,0.000166360114623156
"MAPK10",0.449418618230513,0.317335356652713,0.673245282994735,0.471351771290753,0.637389550709963,NA
"PNPLA8",0.993714910259935,0.273782515293086,0.508242727797068,0.538684570027734,0.590104522309346,NA
"CDH17",14.3701698156935,-0.568471283722892,0.243876968583238,-2.33097568427773,0.0197546418849712,0.195727577141633
"LINC00483",1.12329708935026,-0.878221335578539,0.657741499401945,-1.33520742780723,0.181808466477178,NA
"ZNF511",5.14440648146063,0.231616195531993,0.269838789690306,0.858350260901402,0.390699083907822,0.745503008466167
"METTL3",0.834803495335373,0.256341963749637,0.512113680285328,0.500556758426789,0.616683101358843,NA
"BCAR3",4.15251320422913,-0.698084816374439,0.277389466899224,-2.51662337498941,0.0118485409013402,0.152200062154492
"RASA1",4.9190994588738,-1.26711142429734,0.390558883613227,-3.24435437897289,0.00117717190931715,0.04053656868173
"HAX1",5.10659166350981,0.388851355585359,0.257085789807273,1.51253539091704,0.130397716377739,0.483780117160259
"CREB3L1",31.4620513818289,0.794748891145727,0.173817879040224,4.57230807057433,4.8238100875462e-06,0.000786157127348594
"UBE3A",1.57277252889672,-0.086171092094365,0.460065590522717,-0.187301754074803,0.851424047772398,0.954465270534168
"CCPG1",1.22659069988257,-0.711831192517921,0.479770458865696,-1.48369116806583,0.137890870403774,0.492340305939374
"METAP1",1.84381776222407,-0.43930935928093,0.390348835178724,-1.12542761676179,0.260407873847624,0.639476098465484
"MAPKAPK5-AS1",1.68772705234703,0.0530192738979902,0.433555082559584,0.122289591405502,0.902669674983893,0.974448242918456
"TNFSF13",2.5612918627585,0.649548559084147,0.456987792487489,1.42136960715844,0.155209337312077,0.517008575018904
"SPRED1",2.28533136909782,-0.0659190447070982,0.40119785748992,-0.164305575108298,0.869490593039149,0.96082197900302
"LPAR5",0.945623122401018,-0.838660036733847,0.479030675403583,-1.75074390805406,0.0799900324736467,NA
"DRG1",4.08042354142651,0.0972464088561567,0.30129512125824,0.322761312729013,0.746876014122316,0.924676302466688
"TNRC6B",11.4433235107866,-0.624101068906313,0.211359270674692,-2.95279722963693,0.00314908741473334,0.0727900585564894
"CCDC125",4.90454325965497,0.0851833476092486,0.283687665095085,0.300271594750859,0.763969998206745,0.932401203541415
"C9orf152",2.22410132776731,-0.291923808903081,0.349626767382761,-0.834958407470821,0.403741127064198,0.757075272327079
"RP11-894J14.5",1.74893583198333,-0.156668178893878,0.453867662339722,-0.345184713284577,0.729955510334845,0.917090204973954
"KIAA1468",35.91263757939,0.483405024365034,0.660042079280622,0.732385160794439,0.463933513473478,0.79469160790856
"RCN2",0.787406364161496,-0.189267240558826,0.571215823433803,-0.331341032223277,0.740386900836886,NA
"ACVR1",1.39790995751926,0.167048674964803,0.533731064791281,0.312982859691946,0.754293684403529,0.926778856130439
"NFE2L1",4.13142139683799,-0.0722431714397808,0.276676441344078,-0.261110671688662,0.794007162264479,0.941014368369339
"PRIM2",4.42447749206859,-0.219235262157853,0.285781138067316,-0.767143918736201,0.442995952114676,0.783352538539493
"ATP2B1",2.67566089481844,0.0620052906005157,0.36124839270128,0.171641706519061,0.863719216940209,0.957792542271754
"SRP9",2.62560239050564,0.561007224010032,0.375250721866002,1.49501970634546,0.13490929921667,0.489435767846216
"WDR73",2.02838327486534,-0.230589332356652,0.367628719062947,-0.627234273057894,0.530505680275702,0.826376919338731
"SDHC",5.64675332309867,0.0532972216640122,0.253962326930303,0.209862708017473,0.833774828741564,0.948870234009463
"ACAD10",2.63467353107232,0.0478607373853201,0.335574264991439,0.142623384384202,0.886587628215215,0.967776971458367
"CWH43",1.07295107219873,-0.0248231655377868,0.546898406312971,-0.0453889886151567,0.963797257755407,NA
"RCAN2",0.695221879724529,0.758889239557066,1.36069686773418,0.557721016012011,0.577034904491319,NA
"TTC38",5.28907315967975,0.214384188465162,0.323540171210088,0.662620000673591,0.507573957337662,0.817343592805344
"XXYLT1",1.16632418213487,-0.379378369925929,0.450268815093599,-0.842559727009,0.399474722701832,NA
"SRA1",3.85921800037068,0.229409781506301,0.311729437012042,0.735925948172288,0.461775764917323,0.794335401470433
"AURKA",3.93976788987918,-0.3542227791689,0.354538776260389,-0.999108709363691,0.31774203256624,0.687564472526748
"SPNS3",0.428921092273507,0.82039187023731,0.761182034617279,1.07778669612165,0.28112895798828,NA
"CHMP7",1.2274838464521,1.22008153101883,0.575199428074939,2.121145243663,0.0339095815331514,0.253895883410293
"CDC73",1.64710420526864,0.299925862899568,0.444829989200679,0.674248297509143,0.50015346850955,0.815474623932159
"TRIM8",2.49731574465339,-0.286367905982179,0.371181867711625,-0.771502950151276,0.440408874431583,0.781768985802605
"CCDC12",4.80782442375574,0.408516322960132,0.289655158762527,1.41035403859336,0.158435169540774,0.521476505353407
"NDUFA4",9.34408709688006,0.0772721993869685,0.227323082449697,0.339922363159348,0.733914995010811,0.918490289346433
"SLC5A6",1.73192415382084,0.321301687177812,0.445384311128687,0.721403244680024,0.470661450863665,0.796645916022486
"RPP21",2.23837286182707,-0.175213094096664,0.33742344937635,-0.519267686998354,0.603574083439771,0.867325699243497
"RTF1",5.04563201608134,-0.382375791496182,0.285711376276104,-1.33832889848482,0.180789245418462,0.55104448210159
