"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRRC49",1.56337443681026,-1.96370425743563,0.679507215766058,-2.88989463522003,0.00385370968042106,0.0182849185284285
"FER1L5",0.778261783049878,-1.90775330578355,0.811927869492319,-2.34965860572864,0.0187906366899,0.0546764638919024
"AREL1",10.7844909900171,1.25187900762375,0.624291630038031,2.00527917945574,0.0449332093852233,0.105246780792507
"GAK",24.1946307204162,0.734227031051262,0.400491910561122,1.83331301254637,0.0667560353485395,0.142208724051964
"ZNF714",0.866848709094647,-1.21616449160508,0.751420377381896,-1.61848750474728,0.105557577511898,0.201885671570458
"ZNF707",1.74815080130281,-1.70392972719242,0.710041525899191,-2.39976066897577,0.0164057943400098,0.0494750974016412
"FO538757.1",11.2693879673459,-0.0544462845746129,0.529329932813912,-0.102858881010521,0.91807497274328,0.950037884788182
"ZMAT3",4.62739646092691,-0.571695337841256,0.599707228109685,-0.953290724281039,0.340442789907347,0.482679204416386
"PCBP3",1.83327641584464,-1.32282445979272,0.695389743174941,-1.90227778418632,0.0571348484527221,0.125990061763719
"EMC3",9.62917683285671,-0.184219997433432,0.463998925148656,-0.397026776246112,0.691347715336367,0.791844740567056
"WWC3",8.95634390488252,-0.293867201908479,0.630532427372258,-0.466061996419708,0.641171124817839,0.753581790622326
"SLC25A12",8.92436125537678,-0.265235175189288,0.637243988949715,-0.416222325810307,0.677247324316278,0.781067343147433
"SOX4",9.35447337498657,0.0291179523671874,0.781322405781165,0.0372675250981383,0.970271698713935,0.98292113109101
"PRR5L",10.0492298274858,0.572382478509371,0.65172868594571,0.878252700629249,0.379806598066429,0.522042121567385
"ADAP1",4.24580448380758,0.26756564871312,0.583263933729106,0.458738545691374,0.646421930420696,0.757345854437458
"CREB3",9.3335146180965,-1.05949723704924,0.450989553679484,-2.34927223569843,0.0188101483127515,0.0546844824812896
"PRDX2",4.75271623690825,0.528340617315499,0.699307934793211,0.75551926558896,0.449937477163478,0.58927926804047
"RP11-418I22.3",0.737741344464334,-1.96948506106908,0.835844404899359,-2.35628192223913,0.0184589025334303,0.0539227303151656
"CD2AP",37.8521611140337,-0.495673136451311,0.404796891330682,-1.22449837700555,0.220764278193648,0.34948386566007
"OLFM4",86.5729559790992,1.37484633320605,0.667842842915707,2.05863751897628,0.0395289757668335,0.0953627774339429
"AL591893.1",0.86042931280136,-3.70912419717583,1.22581782105438,-3.02583641179686,0.00247946410183697,0.0141122759727156
"RMDN3",16.9794060364873,0.253229194127999,0.521733598267296,0.48536110185157,0.627420219743142,0.742708969587856
"RP11-288L9.4",0.328579397070778,-2.61182180315233,0.873502180279999,-2.99005756610145,0.00278924875466868,0.0150661903934736
"RP11-519G16.5",0.871674011480407,-2.17347559128351,0.760850324084897,-2.85664015967612,0.00428150925382077,0.01952413347247
"YTHDF2",9.71047256396972,0.786721955653761,0.584765164360748,1.34536392316356,0.178507739759757,0.298176814146762
"CYFIP2",0.895236956997365,-1.59471344622812,0.757206141284214,-2.10604927678412,0.0352000721828531,0.0871615747920785
