"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAK",2.21587184070283,0.10402924383553,0.638584633196228,0.162905961759283,0.870592476732115,0.97896527048574
"FO538757.1",1.47054772152802,0.0758387145666389,0.717080165002948,0.105760441116548,0.915772424117488,NA
"SOX4",4.98688183577306,0.597839150744473,0.404046044007324,1.47963124404118,0.138971683650314,0.812496729411705
"ADAP1",0.52222110977488,0.416367524779023,0.946070833176571,0.440101850916393,0.659863341434951,NA
"CD2AP",0.897723938447317,-1.04127634894504,0.826167322491808,-1.26036980717713,0.20753598821992,NA
"OLFM4",3.17443602781395,0.236153055823806,0.70896275654148,0.333096560637159,0.739061395502866,0.97896527048574
"YTHDF2",2.40142731778184,0.141197021767608,0.647128329123654,0.218190141604244,0.827280965911342,0.97896527048574
"TSTA3",0.505844476245574,1.84283127786647,0.900898189439548,2.04554887496544,0.0408007758791559,NA
"CDH17",6.41261058231234,-0.341326720263492,0.381675097477568,-0.894286062987258,0.371168854912785,0.947831577775368
"BCAR3",1.14825739566968,0.501399738479887,0.784399208143006,0.639214998274802,0.522683076430885,NA
"RASA1",0.779402550016811,0.460492650038518,0.732879145900765,0.62833367904409,0.529785373241916,NA
"HAX1",1.26346407602958,0.273704852779508,0.611214023879666,0.447805256564915,0.654293749409666,NA
"AP002856.5",1.42145510822209,-0.39509307981067,0.793965333797191,-0.497620063487044,0.61875185958265,NA
"MAPKAPK5-AS1",1.03400065212558,-0.205955500047889,0.719249482189895,-0.286347790506317,0.774611758245637,NA
"TNFSF13",0.618209739588393,0.14267491535854,0.969478412324184,0.147166675961868,0.883000462892395,NA
"DRG1",0.720919998085567,0.0553819330024471,0.738498171537117,0.0749926474254834,0.940220561925146,NA
"TNRC6B",4.06344259114471,-0.260240015290515,0.414525757303284,-0.62780179688596,0.53013378885443,0.975549859858973
"CCDC125",2.26990158049546,1.62583619537278,0.587915598002116,2.76542449443045,0.00568487641109436,0.270640723428171
"KIAA1468",11.5311178108263,-0.119896470155026,0.786859468100052,-0.152373422467074,0.878892418087235,0.979330193352537
"NFE2L1",2.08292449470675,-0.322516927875775,0.50234212852742,-0.642026438875852,0.520856016605462,0.975549859858973
"ATP2B1",0.830610180023387,-0.188086866438749,0.681152065875523,-0.276130508680158,0.782447828732795,NA
"SRP9",0.678419412214375,-0.625496447267431,0.957488806099058,-0.653267634340071,0.513583754164555,NA
"SDHC",1.05207020407198,-0.532028942793497,0.618830229783128,-0.859733279319514,0.389936085538449,NA
"TTC38",1.26967768012272,0.570286248398384,0.549886883039141,1.03709738491396,0.29969047382303,NA
"SRA1",0.67844407295114,0.298670271417899,0.760158351201797,0.39290533471836,0.694389401269784,NA
"CDC73",0.721155709744472,-0.460794052744065,0.888511440977921,-0.518613527628752,0.604030273701691,NA
"CCDC12",0.997311986955091,-0.336323503345379,0.622073346221288,-0.540649274540272,0.588749347849669,NA
"NDUFA4",2.61757905267698,-0.270309993065717,0.533269797138519,-0.506891623182445,0.612230863612549,0.975549859858973
"RTF1",1.35661190486173,-0.0963271534116504,0.603404172500387,-0.159639521570575,0.873165044496875,NA
"NDUFA5",0.762153106217178,0.221698194542877,0.76078926290701,0.291405524962008,0.770741189512332,NA
"ACO2",0.561627456581696,-0.172267674426298,1.01634159449997,-0.169497809947503,0.865405094847529,NA
"RAP1GAP2",1.57754971816203,0.205413805244893,0.710577744881357,0.289079986988884,0.77252016816834,NA
"TSPAN8",1.18766905842025,-1.0478962243655,0.736923054460837,-1.42198865678342,0.155029543927958,NA
"SNX25",1.30921161061457,0.575020224298821,0.674005887050569,0.853138281647797,0.39358262445046,NA
"CYB561D2",0.641413044562002,1.5030339142593,0.780286125771712,1.92625995082609,0.0540719234443471,NA
"TRHDE",3.85132263241842,0.0566292094871593,0.400874894587301,0.141264045845173,0.887661351996214,0.979330193352537
"EIF3E",0.615817977884488,0.982299051120216,0.792181155278408,1.23999295435776,0.214978000164395,NA
"OSBPL8",0.730904701396772,-0.795547684231331,0.899504404245292,-0.884428892706552,0.376464731826396,NA
"IFT27",0.518471550819108,0.0102887517929169,0.944973999573263,0.0108878676001278,0.991312910178265,NA
"SPAG9",2.19980542954068,0.0745694860459965,0.537347330048688,0.138773344308308,0.889629258302617,0.979330193352537
"ZC3H18",0.778981584114567,0.2249968944529,0.696736089910009,0.322929869302394,0.746748354764552,NA
"EIF4G2",2.03825442494686,-0.0536703844350689,0.599548833265901,-0.0895179532628095,0.928670286222186,0.995405871884912
"ARHGEF10L",6.55392602330749,0.230172340861921,0.353186359333376,0.651702238150876,0.514593278475552,0.975549859858973
"PTMS",1.35639647486711,0.409654043186021,0.664484895403739,0.616498653347292,0.537565460426593,NA
"SRSF7",0.691722264423662,0.0504136097752228,0.768010076720393,0.06564185979239,0.947662961666099,NA
"UBR3",1.12465154377318,-0.0284400204187825,0.632752962018136,-0.0449464832658774,0.964149965970919,NA
"TMC5",3.86874055640926,0.908387140259384,0.406874230757438,2.23259934296731,0.0255753774762466,0.56525438494392
"UPF2",0.894958849110765,-0.0953794815228174,0.744688825933472,-0.128079646425819,0.898085943173287,NA
"DEGS2",0.90515066284779,0.114169316818292,0.679055172484916,0.168129662278404,0.86648127437128,NA
"SLC5A1",2.34251089007486,-1.25074363845636,0.800849221419891,-1.56177168560995,0.118341784290155,0.78820432942282
"RPS4Y1",0.655926505181773,-0.2751873394683,1.14760777443683,-0.239792153380404,0.81049139022845,NA
"KDSR",0.521364577197538,0.497905477443879,0.777258047159035,0.640592245090004,0.521787639310168,NA
"FOXK2",2.27273128036704,0.576339328901233,0.467119605483047,1.23381532724417,0.217271726690187,0.835957883012248
"SLC25A39",2.6984971734267,0.67646444412808,0.555984479254488,1.21669663339369,0.223719660455543,0.837215628700475
"DNAJC1",0.580035244144302,0.24684065530237,0.856900368959274,0.288062258162129,0.773299082248383,NA
"ITLN1",0.495410355872253,0.363275937750967,1.13434137214,0.320252744608642,0.74877674245917,NA
"GSTO1",1.22206392176602,-0.470710981668733,0.706989802509793,-0.665795998750933,0.505541502754143,NA
"MUC2",3.70670803600944,0.823610708932469,0.698864958770682,1.17849764621368,0.238598270159075,0.840574499206204
"DRAP1",0.593273675305215,1.34049929751269,0.853129094922566,1.57127368588262,0.116119090706829,NA
"AP3D1",2.07211799331687,-0.516014193379462,0.514830769278451,-1.00229866622516,0.316199366538916,0.924328411395558
"VPS53",1.57055077761223,-0.671124708125774,0.566571225017755,-1.18453722760937,0.236200468777388,NA
"DNASE1",1.65127337089205,0.170256587995503,0.58330393287683,0.291883147702785,0.770375968893976,NA
"CD2BP2",0.877591520274474,0.30576506657758,0.73243739235816,0.417462393056063,0.676340226123164,NA
"SPINT2",6.17754916490887,0.0381914507337326,0.346918232870541,0.110087758771631,0.912339776232815,0.990180345585203
"MAP2K6",0.730413039906764,-0.0443595143457862,0.781794221916184,-0.0567406525940556,0.954751790074824,NA
"PSMD1",1.27040728695528,-0.428102680378547,0.675477077240073,-0.63377825066652,0.526225549017714,NA
"KAT2B",1.10796656706335,-0.921914262804732,0.768500602794138,-1.19962724746449,0.230284139510893,NA
"B4GALT1",3.05223004086716,0.0388526137343399,0.528543075752277,0.0735088879540061,0.941401171646775,0.995405871884912
"DAP3",1.20590165115529,0.465621843718994,0.633824747108913,0.734622379203165,0.462569504725181,NA
"ARL2",0.333931227600462,1.44075991269881,1.16199775020809,1.23989905526134,0.215012733376956,NA
"SEC11A",0.692287080228723,-0.787061226626856,0.788184635743732,-0.998574687876507,0.318000767044194,NA
"SNRPB",1.89367290923834,0.306199022950566,0.540403854062861,0.566611471492112,0.570978179428499,NA
"PARVA",1.38638240027669,-0.556483159459444,0.69000851289777,-0.806487382485223,0.419961880363811,NA
"TMED3",0.806259483029545,0.504110943250116,0.738718108187053,0.682413139278925,0.494977749786642,NA
"PBLD",0.932938252201761,-0.530779861446792,0.709387929153628,-0.748222290841721,0.454326087800787,NA
"TUBB",4.40454797906798,-0.211592760787323,0.408790083038847,-0.517607372503741,0.604732236869996,0.975549859858973
"NCOA7",1.39454194974041,1.04250799219001,0.60679583519575,1.71805396761449,0.0857867720407106,NA
"MCPH1",0.507133957139918,1.13337194808557,0.854144623886751,1.32690871825454,0.184538880056673,NA
"COMMD1",0.818317055173037,-0.544267094587968,0.709775438497176,-0.766815904112373,0.443190979062987,NA
"TRAPPC12",0.8545569278428,0.332222597259081,0.77917067028004,0.426379752127577,0.669831153039179,NA
"CLRN3",4.9808619006898,-0.179206520383746,0.418219790980682,-0.428498421759345,0.66828828234625,0.978686929288335
"RANBP2",0.831229613225828,0.378894548462866,0.745221091557383,0.508432400471975,0.611150135235123,NA
"LCK",1.11059403423166,-0.195790784989869,1.28800862954061,-0.152010460566324,0.879178685195689,NA
