"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AREL1",0.551454152293561,0.446639898305637,0.612135646487231,0.729642034194056,0.465609021512864,0.999949916053983
"GAK",1.71555517823719,-0.0783542127502751,0.486890419290896,-0.160927817935686,0.872150252308583,0.999949916053983
"ZNF714",0.194146333635968,0.40662688958645,0.964019003650179,0.421803810969275,0.673168223809952,0.999949916053983
"FO538757.1",1.56580452362562,-0.11936522434643,0.721237542517164,-0.165500569936831,0.868550001274003,0.999949916053983
"ZMAT3",0.369988042328512,1.15213651108318,0.803318179162752,1.4342218823978,0.151508954384768,0.999949916053983
"EMC3",0.959311775877707,0.657619191235501,0.636571578046307,1.03306401654593,0.301573941369231,0.999949916053983
"WWC3",1.03236195759603,0.535135677635566,0.639989316117488,0.836163454855748,0.403062954508159,0.999949916053983
"SLC25A12",0.622758250767196,0.534612309029925,0.625176323864905,0.855138444343023,0.392474508805521,0.999949916053983
"SOX4",0.17223821162114,0.776493340621304,1.07064423685271,0.725258039873174,0.468293742336773,0.999949916053983
"CREB3",0.098124022800523,0.150546420328515,1.40620043704561,0.107059005503375,0.914742169060515,0.999949916053983
"PRDX2",0.125531870990592,0.963813105887591,1.12296236718478,0.858277297665664,0.390739362216172,0.999949916053983
"CD2AP",0.600343408373978,0.113685808358823,0.621372449035102,0.182959203510487,0.854830029115534,0.999949916053983
"OLFM4",1.58790574178118,-0.44027209182999,0.699432920259,-0.629470073651892,0.52904135486493,0.999949916053983
"RMDN3",0.612977201294451,0.756296507214802,0.669878042730292,1.12900626527821,0.258895190696176,0.999949916053983
"YTHDF2",0.764330179497578,0.73725965745841,0.608077560934771,1.21244345264945,0.225342676094366,0.999949916053983
"CYFIP2",2.89659726686376,0.483760482816191,0.402146655081684,1.20294543471443,0.228997436631854,0.999949916053983
"TSTA3",0.180306975458609,0.761129758407084,0.979470836098064,0.777082614771064,0.437110030306505,0.999949916053983
"MAPK10",0.975119026921253,2.88233949028559,1.11293962677415,2.58984352874561,0.00960195651582317,0.999949916053983
"PNPLA8",0.515870477123294,0.692073594352785,0.736047201871812,0.940257082144732,0.347085708230025,0.999949916053983
"CDH17",2.12170979377687,-0.184134550708658,0.449273429369889,-0.409849634257046,0.681916253738729,0.999949916053983
"ZNF511",0.212065632333554,0.542534910217676,0.792141566023333,0.684896404239057,0.493409295195797,0.999949916053983
"METTL3",0.340016000308799,1.03521618451898,0.800750730192168,1.29280704404795,0.196077803528323,0.999949916053983
"BCAR3",1.22840552574019,-0.0665056255745281,0.538499527518381,-0.123501734311657,0.901709801023935,0.999949916053983
"RASA1",1.76735226443953,0.259007226798478,0.468399201657425,0.552962570990694,0.580289040091407,0.999949916053983
"HAX1",0.672153072610109,-0.113162463122518,0.629687659279159,-0.179712054786117,0.857378629177136,0.999949916053983
"UBE3A",0.244150781308067,0.0130445350661507,0.894627008539391,0.0145809761404898,0.988366476481479,0.999949916053983
"CCPG1",0.355042670822922,1.32301398706085,0.717724158390998,1.84334604261727,0.0652785027129738,0.999949916053983
"METAP1",0.216158575692285,0.898786724627997,0.853959754430222,1.05249307120765,0.292573387787332,0.999949916053983
"MAPKAPK5-AS1",0.656907969315631,-0.00704893757564445,0.729512991857814,-0.00966252507401312,0.992290540390094,0.999949916053983
"TNFSF13",0.197245734312784,0.833356560197939,0.937020365771277,0.889368673979663,0.373804974845782,0.999949916053983
"LPAR5",3.64537277447027,0.220093024346875,0.644587422008118,0.341447904244249,0.732766417145349,0.999949916053983
