"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAK",0.495598707210052,-0.754851475757092,1.2660707719194,-0.596215861308222,0.551031030871683,0.999062828606333
"SLC25A12",0.31890823201259,-0.196722899554122,1.543165891697,-0.127480072371084,0.898560444436728,0.999062828606333
"CD2AP",0.300280903567286,-0.155132889312053,1.6084189770072,-0.096450546486781,0.923162748920437,0.999062828606333
"OLFM4",1.01786095349267,1.00216380340315,1.27337075657103,0.787016505783284,0.431272203891062,0.999062828606333
"CYFIP2",0.861521489870746,-0.107613545298035,0.985495526660665,-0.109197396017293,0.913045925637281,0.999062828606333
"CDH17",0.608393367239477,-1.02354186831849,1.22253405012809,-0.837229742771786,0.402463442087712,0.999062828606333
"BCAR3",1.20084519415475,0.0379345050445649,1.05751181880775,0.0358714714766333,0.971384843685264,0.999062828606333
"HAX1",1.6377891099609,1.5811722534947,1.29860587628887,1.21759209808394,0.223379018735548,0.999062828606333
"DRG1",0.564551347903221,0.0133159084777176,1.3793667641898,0.00965363877354184,0.992297630301367,0.999062828606333
"TNRC6B",1.23650329251224,0.281744418719516,0.856346977950288,0.32900731359371,0.742150160057906,0.999062828606333
"KIAA1468",4.25396208587109,0.185204125861913,1.06692502513353,0.173586823346592,0.862190188246625,0.999062828606333
"PRIM2",0.900659317687581,0.72531142306887,1.08246248483185,0.670056868697429,0.5028215385495,0.999062828606333
"SDHC",0.406122468517863,0.476753982777434,1.32561981261822,0.359646090258564,0.719111811630456,0.999062828606333
"AURKA",2.97276138047547,1.94855845705537,1.23388292767488,1.57920854025204,0.114288231712847,0.999062828606333
"PTAFR",1.11539378029678,-1.1478798052119,1.1329651735742,-1.0131642454557,0.310981715521025,0.999062828606333
"CCDC12",0.431337696400696,0.109536272184092,1.306527940108,0.0838376806354695,0.933185488650286,0.999062828606333
"NDUFA4",0.916228889648415,1.09089668058304,1.09298689322761,0.998087614172207,0.318236875571062,0.999062828606333
"RTF1",1.09213154886349,0.048260911545665,1.15008208477205,0.0419630148010091,0.966528182044343,0.999062828606333
"ATM",0.901600253758738,2.39766067948791,1.19022716427208,2.01445635880297,0.0439616423533447,0.999062828606333
"MX1",0.96596237198978,0.437835381518534,1.19920316941641,0.365105257128037,0.715032836781586,0.999062828606333
"CD79A",3.90501672597387,0.283821054329478,0.611365593799766,0.464241130361082,0.642474996160363,0.999062828606333
"CYB561D2",0.339979342369021,-1.08584612255501,1.6180552810911,-0.671080979274573,0.502168943324231,0.999062828606333
"CHCHD6",0.0386769662186671,0.061822531300971,3.17133924624494,0.0194941400148762,0.984446911746881,0.999062828606333
"SPAG9",0.117103560862955,-0.187971291213134,2.94219352240583,-0.0638881466435389,0.949059290605276,0.999062828606333
"EIF4G2",1.16237852277329,-1.61190116423531,1.13232745416614,-1.42352917285957,0.154582811402958,0.999062828606333
"BRPF1",0.0894572038944622,0.445171478677345,3.03535085562792,0.146662280524158,0.883398592366455,0.999062828606333
"SRSF7",0.852415627397731,-0.978503040667257,1.11196411881476,-0.87997717202444,0.378871676229894,0.999062828606333
"UPF2",0.239026626060559,-0.676541285735969,2.08576885765426,-0.324360622824159,0.745665027948037,0.999062828606333
"ATAD2",0.952046309907122,-0.292671274206022,1.01303496196531,-0.288905403262918,0.772653768759883,0.999062828606333
"SLC5A1",0.681361474511968,-1.74404772790963,1.32965917342216,-1.31165020538381,0.189638185025761,0.999062828606333
"EIF2B1",0.212688093162237,0.706112752535974,1.81286493731203,0.389501025698551,0.696905552041564,0.999062828606333
"SLC25A39",1.01058532027994,-0.145547400542891,1.11131439116499,-0.130968699496741,0.895800068269699,0.999062828606333
"DNAJC1",0.316439316162661,0.344106603240689,1.4554228831832,0.236430667139219,0.813098501696492,0.999062828606333
"GSTO1",0.339792930570704,-0.674602575238271,1.79804481771882,-0.375186740947949,0.707521590372563,0.999062828606333
"MUC2",1.06492768850507,1.30791921872669,1.33641616025293,0.978676596127924,0.327739799535039,0.999062828606333
"VPS53",0.475982391608059,0.270087430913138,1.36420336397141,0.197981795123912,0.843059307191481,0.999062828606333
"DNASE1",1.13998641534272,-0.196981141803639,0.987928046430373,-0.199388146247473,0.841959132251084,0.999062828606333
"CD2BP2",0.629797256095088,-0.172419943770762,1.09408513882095,-0.157592803021318,0.87477767506147,0.999062828606333
"SPINT2",0.455185759010524,-0.979619280332727,1.37071376323804,-0.714678225757778,0.474807895384231,0.999062828606333
