"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNRC6B",0.596864867779744,1.74834678322632,1.75783856949345,0.994600308337834,0.319930697496518,0.998082029875709
"SERPINH1",1.45982672771151,0.0302515115349959,1.19571481819949,0.0252999386430193,0.979815722872323,0.998082029875709
"PTMS",0.714317300726008,0.646639352965972,1.66663310584619,0.387991424565912,0.698022379699806,0.998082029875709
"TUBB",2.16849807080333,0.111307295228756,1.00483627442051,0.110771573501312,0.911797487655391,0.998082029875709
"FBLN1",3.31058621435152,4.12435365391935,1.5069843665178,2.73682577308318,0.00620351382586898,0.581204217968824
"PTCH1",0.720702493804788,0.627188426390916,2.39626346346729,0.261736005223482,0.793524979744592,0.998082029875709
"LAMB1",1.38735034570846,-0.426805958675011,1.19399776003302,-0.357459597464578,0.720747767394999,0.998082029875709
"ATXN2",1.06073211219915,-1.1698000691626,1.1615206405525,-1.0071280942594,0.313873221960816,0.998082029875709
"MYLK",0.86695436602478,2.13457809260186,1.76982806199345,1.20609348356561,0.227781447168619,0.998082029875709
"ID3",0.414359171388017,1.39037779974049,1.8384991271147,0.756256981161866,0.449495135066467,0.998082029875709
"PTRF",1.67725241364356,1.76289820590721,1.71323299193893,1.02898917672142,0.303484760870933,0.998082029875709
"HNRNPA0",0.299085661316536,-0.151876838940947,2.58487219398749,-0.0587560341645589,0.953146427578348,0.998082029875709
"HOOK2",0.518327435735827,0.445307136800205,1.65720257557955,0.268710140427144,0.788152747774743,0.998082029875709
"HNRNPM",0.817728021815168,2.12683136194431,1.68439588262659,1.26266715792953,0.206708821535557,0.998082029875709
"COL1A1",5.88805139071988,1.30425074367555,1.12110369599258,1.1633631646543,0.244682187993138,0.998082029875709
"TRIM56",1.02789585098375,-0.833355848869512,1.21168602481965,-0.687765503438526,0.491600462912816,0.998082029875709
"KANK2",1.15256505374818,1.14884996546525,1.7350779151386,0.662131628465501,0.507886867340567,0.998082029875709
"SLC24A3",0.61598884195066,1.95535195638696,1.75617030464271,1.11341818684536,0.265528867635294,0.998082029875709
"NBL1",3.47172103764919,-0.0834370322611962,1.30715521971942,-0.0638310056850829,0.949104789625627,0.998082029875709
"CPM",4.66515788244078,-3.08533903588206,2.08361833263847,-1.48076016972605,0.138670493804357,0.998082029875709
"TMEM176A",2.7751328504024,1.1617603251881,1.08734430860513,1.06843831893362,0.285322839741534,0.998082029875709
"COL1A2",4.224169078126,0.535372224226668,1.3868587438771,0.386032266508977,0.699472772251722,0.998082029875709
"CFD",6.51000665839789,5.02908657436154,1.5135249744058,3.32276418255731,0.000891302283125386,0.226011325693445
"SPARC",0.853140211710793,-0.463329305718873,1.8443405794897,-0.251216782231766,0.801646510184793,0.998082029875709
"MMP2",2.24944592063646,0.0966978992109424,1.21815475878219,0.0793806357638933,0.936729870454038,0.998082029875709
"HMCN2",0.417684195980965,1.37571526396678,3.24093708207488,0.424480707007752,0.671215272647282,0.998082029875709
"HSPA5",1.60186698034598,2.89024313645204,1.72248195080368,1.67795263985408,0.0933563449813199,0.998082029875709
"TIMP2",1.12286198751938,1.46448264663075,1.44563697200498,1.01303624284016,0.311042849833816,0.998082029875709
"CMIP",1.16556462062026,0.396157076643024,1.35392811772009,0.292598308180587,0.769829207079258,0.998082029875709
"RHOBTB3",0.323304666486697,1.2233097369421,2.34686343852987,0.521253054974689,0.602190499242957,0.998082029875709
"LTBP3",0.182591503817315,0.731983092457896,3.42207683368433,0.213900250646861,0.83062484476877,0.998082029875709
"XRCC5",2.6445315352997,-3.61618172649167,1.39424644746821,-2.59364600358727,0.00949642084234254,0.581204217968824
"EDIL3",1.20275443377941,1.41678102296558,1.63405364499468,0.867034584394067,0.385923060684913,0.998082029875709
"C3",0.735824386191363,2.05856747787434,1.98027741907901,1.03953489447541,0.29855603816437,0.998082029875709
"MYL12B",1.13668567948925,-1.46583480115504,1.25595991010536,-1.16710317690958,0.243168705060056,0.998082029875709
"ABCA6",0.567598227208811,1.78986684875758,1.74466873228561,1.02590641743935,0.304935697426418,0.998082029875709
"EMILIN1",0.596514413806605,1.56989540622289,1.7959884632415,0.874112188554631,0.382057160404493,0.998082029875709
"IL1R1",0.797349519206889,-1.47630545593761,2.32140873027717,-0.635952401092826,0.52480744678997,0.998082029875709
"CYGB",0.561609134023537,1.76501526972175,2.93650722059634,0.601059400549785,0.54780042332229,0.998082029875709
"COL6A1",6.94084489281299,-2.68937804393884,1.52246711736683,-1.76646051219171,0.0773186207709326,0.998082029875709
"CSNK1E",0.869700801114621,2.2587981980909,1.48611764573305,1.51993229107829,0.128527993747684,0.998082029875709
"PMP22",1.15646948099591,1.70242584367819,1.54791107371955,1.09982147720369,0.271409912689841,0.998082029875709
"FBLN5",1.16037356817967,2.41754224105712,1.50693728002861,1.60427528942095,0.108653385422865,0.998082029875709
"CTDSP2",0.227241934139093,0.91329317265359,2.5638505090784,0.356219354217295,0.721676298789412,0.998082029875709
