"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRRC49",0.965660135752179,-0.0315109672004818,0.516464095143981,-0.0610128903378986,0.951348943177042,0.997947273741304
"FER1L5",0.782546263939109,-0.394709044703196,0.530202046408023,-0.744450247556086,0.456604129822455,0.997947273741304
"AREL1",3.55130693481443,0.0529223810800251,0.271002473690808,0.195283756488531,0.845170812710552,0.997947273741304
"GAK",12.789809034991,0.132008681981712,0.201722737052438,0.654406557786276,0.512849910590088,0.997947273741304
"ZNF714",1.92341846433053,-0.223720597080379,0.393299969746986,-0.568829428652895,0.569471901246491,0.997947273741304
"ZNF707",0.680245582917869,0.141986416722927,0.520640653438267,0.272714809696977,0.785072449595265,0.997947273741304
"FO538757.1",7.7948105293482,-0.401654550087991,0.247149062374484,-1.62515101707891,0.104130384582457,0.997947273741304
"ZMAT3",2.83966837966485,-0.430133329418334,0.432705138245695,-0.994056440286824,0.320195390546684,0.997947273741304
"PCBP3",0.871947945217705,-0.132533746434728,0.499857509641771,-0.265143053526814,0.790899261906765,0.997947273741304
"EMC3",5.18956291833677,0.351215812641237,0.226294983650076,1.55202650529951,0.120655881693151,0.997947273741304
"WWC3",2.09804647479955,0.12351199281528,0.343110057290077,0.359977768622675,0.718863758726052,0.997947273741304
"SLC25A12",2.18389109571322,-0.245196500786793,0.373345089023943,-0.656755661170807,0.511338038107106,0.997947273741304
"SOX4",31.5359826349961,-0.384555699692773,0.175612466000548,-2.18979727607477,0.0285389423821769,0.997947273741304
"PRR5L",3.38688394399283,-0.32543151178845,0.271735496451226,-1.19760397901075,0.231071226328428,0.997947273741304
"ADAP1",1.62816718227298,-0.110243594666724,0.361314238722401,-0.305118323198508,0.760276036299646,0.997947273741304
"CREB3",2.16922051367528,-0.22273184866258,0.335849940806392,-0.663188589903545,0.50720977821379,0.997947273741304
"PRDX2",3.34943111873536,0.548492503411111,0.301938878700296,1.81656799472831,0.0692832877939522,0.997947273741304
"RP11-418I22.3",0.584514294638145,-0.299674603364311,0.551888012967783,-0.542998935151368,0.587130535599433,0.997947273741304
"CD2AP",5.65033093375406,0.0034508060812529,0.227600699974335,0.0151616672604347,0.987903203239497,0.998943206924274
"OLFM4",688.03862343725,-0.00748656444746154,0.301543534015882,-0.0248274746526889,0.980192576206015,0.99800332835184
"RMDN3",4.94078535112239,0.185505070818375,0.250628733445683,0.74015883282025,0.459203623642478,0.997947273741304
