"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAK",2.36389423835381,0.0395371957157129,0.407920865034923,0.0969236906092755,0.922786994993515,0.998696578544193
"FO538757.1",1.17057764049892,-0.0467787579469566,0.480835325075638,-0.0972864419634687,0.922498922670594,0.998696578544193
"ZMAT3",0.728179088534047,-0.132198338404778,0.49386926900457,-0.267678810368651,0.788946561662135,0.998696578544193
"EMC3",0.939973788923044,-0.0797563324076047,0.510042662470471,-0.156371884699394,0.875739897295119,0.998696578544193
"WWC3",1.0873977444753,1.15453503230312,0.656607536559115,1.75833350672968,0.0786907796964939,0.998696578544193
"SLC25A12",0.326083024902919,0.82827530420412,0.764417576879592,1.08353775378269,0.278569802708077,0.998696578544193
"SOX4",7.48937912264978,0.743162350969417,0.301737890816535,2.46294009996007,0.0137802935783625,0.998696578544193
"PRR5L",0.562328967344755,-0.286573599027119,0.616248139165107,-0.465029556787577,0.641910290455181,0.998696578544193
"ADAP1",0.415799132080102,-0.16895005865118,0.740070672612048,-0.228289087655477,0.819421507388216,0.998696578544193
"CREB3",0.553468329565218,-0.125971732689798,0.661360928426223,-0.190473502856543,0.848938104741161,0.998696578544193
"CD2AP",1.26339808213804,-0.0621021373247573,0.46653344206968,-0.133114010110945,0.894103215285682,0.998696578544193
"OLFM4",2.88210847946028,-0.302014660703582,0.518384171647989,-0.582607797887521,0.560157354784371,0.998696578544193
"RMDN3",0.79184033054155,0.197016560108195,0.527180647704185,0.373717360389046,0.708614607986584,0.998696578544193
"YTHDF2",1.64845079279371,-0.26229670939907,0.379640487513888,-0.690908156600328,0.489623259955989,0.998696578544193
"CDH17",8.2757337402162,-0.0817760823277297,0.276637903091632,-0.295606933879348,0.767530277709886,0.998696578544193
"BCAR3",1.49623553063271,0.634407076041774,0.53362149376773,1.18887091965211,0.234490465081047,0.998696578544193
"RASA1",1.16622594059969,0.817782712777905,0.518141684382679,1.57829940617926,0.11449684228503,0.998696578544193
"HAX1",1.68913619820986,-0.297898337777405,0.432623334635497,-0.688585922043239,0.491083882775869,0.998696578544193
"AP002856.5",2.59386093672555,0.564941958960517,0.581099530839165,0.972194828904241,0.330953632647131,0.998696578544193
"MAPKAPK5-AS1",0.670638320371046,-1.12726748169043,0.54510812769446,-2.06797041617821,0.0386428050555837,0.998696578544193
"TNFSF13",0.597433583866992,-0.359332228730443,0.666427268086513,-0.539191965782223,0.589754403451254,0.998696578544193
"DRG1",0.74318110671584,-0.0899943196331519,0.548829820937671,-0.163974908432267,0.869750896597051,0.998696578544193
"TNRC6B",4.73914781505091,-0.197361117012211,0.272509870531157,-0.72423474653424,0.468921630099099,0.998696578544193
"CCDC125",1.17158923181686,0.453794680688533,0.462026575674749,0.982183070369505,0.326009666435674,0.998696578544193
"KIAA1468",11.5243499271599,-0.274158896984773,0.621775339016253,-0.440929190627818,0.659264260294597,0.998696578544193
"NFE2L1",2.77797192613906,-0.135992086883014,0.282975183061205,-0.480579552637308,0.630815350741129,0.998696578544193
"PRIM2",0.386224994401309,0.873823337774858,0.759912754570935,1.1498995542827,0.250185244496207,0.998696578544193
"ATP2B1",0.647992076812994,-0.669447714291126,0.515945365089521,-1.29751667441565,0.19445347165007,0.998696578544193
"SRP9",0.932460388777952,-0.190810291429378,0.533554395350158,-0.357621065616288,0.720626911483464,0.998696578544193
"SDHC",1.69861066190077,0.312383800869234,0.399520613596343,0.781896578645256,0.434275355885851,0.998696578544193
"ACAD10",0.71152343439313,0.256215122975447,0.598439072488837,0.428139028272132,0.668549903644284,0.998696578544193
"TTC38",1.8377829882974,0.283102176360332,0.44685290346539,0.633546686537886,0.52637670335751,0.998696578544193
"SRA1",0.829918503674449,0.0772198611103676,0.482798582590084,0.15994218685586,0.872926615964461,0.998696578544193
