"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"FO538757.2",1.77284033783765,0.142132566809784,0.79445609087792,0.178905503327087,0.858011901476803,0.999990461206455,"FO538757.2"
"AP006222.2",1.64873095438452,-0.318679175727368,0.843852620513248,-0.377647906732269,0.705692171128271,0.999990461206455,"AP006222.2"
"SAMD11",1.59065617581093,2.41188274118496,0.823417910012161,2.92911134414036,0.0033993262955635,0.303907764002371,"SAMD11"
"NOC2L",2.154172891084,0.42300715532443,0.716256116729856,0.590580862688775,0.554801290570307,0.999990461206455,"NOC2L"
"HES4",1.23939162864084,0.18053358663794,0.936560343122501,0.192762364927858,0.847145079086482,0.999990461206455,"HES4"
"ISG15",22.340194615284,-1.48779022537671,0.772110819697432,-1.92691280502937,0.0539904974150689,0.999990461206455,"ISG15"
"SDF4",6.33141777375646,0.419959101522759,0.442371647712777,0.949335482267231,0.342450012689871,0.999990461206455,"SDF4"
"UBE2J2",2.19454166487412,-0.579054219132298,0.738768250382454,-0.783810374677752,0.433151385362251,0.999990461206455,"UBE2J2"
"MXRA8",8.72117340164439,-0.619680305245248,0.397153430448541,-1.56030455168268,0.118687928278427,0.999990461206455,"MXRA8"
"AURKAIP1",7.06082185441341,0.0406438510608752,0.458837039113567,0.088580144138746,0.92941558872521,0.999990461206455,"AURKAIP1"
"CCNL2",1.62207606532996,0.216677457009414,0.715942177845064,0.302646587552082,0.762159206696283,0.999990461206455,"CCNL2"
"MRPL20",4.97460683604488,0.174887044497079,0.533186033209907,0.328003799057183,0.742908790163057,0.999990461206455,"MRPL20"
"SSU72",5.45916860535989,0.0388388051424556,0.585907212346492,0.0662883206146423,0.947148281572556,0.999990461206455,"SSU72"
"MMP23B",2.78038250668495,0.279091978486789,0.890791531309536,0.313307848893109,0.754046787565024,0.999990461206455,"MMP23B"
"GNB1",3.29381802799911,0.120888975228023,0.600325502361783,0.201372380071186,0.840407410344857,0.999990461206455,"GNB1"
"FAAP20",7.66406858307748,-0.467806013400123,0.422235845549249,-1.10792586259842,0.267893835168306,0.999990461206455,"FAAP20"
"SKI",2.04079143942126,-0.598268034822014,0.779132862090971,-0.767863947127622,0.442568018473874,0.999990461206455,"SKI"
"RER1",3.58535954994637,0.0235110333198828,0.608000274977261,0.03866944520833,0.969153934372259,0.999990461206455,"RER1"
"TNFRSF14",2.99201658546515,-0.0271928260467016,0.550065039759604,-0.0494356559336796,0.96057211356171,0.999990461206455,"TNFRSF14"
"RPL22",52.3512859928215,0.19467134278648,0.27392791928858,0.710666307005368,0.477291043251089,0.999990461206455,"RPL22"
"ACOT7",3.07111689534078,-1.13389378239089,0.678858318019779,-1.67029518869039,0.0948609746394802,0.999990461206455,"ACOT7"
"CAMTA1",9.49225829999511,-0.484577034199528,0.421244619141885,-1.15034593245762,0.250001419535158,0.999990461206455,"CAMTA1"
"VAMP3",2.49057044368219,-0.330142124200522,0.657420041083369,-0.502178369336714,0.615542057062762,0.999990461206455,"VAMP3"
"PARK7",17.0300575713955,-0.317339803217104,0.305263528829117,-1.03956016113129,0.298544293903399,0.999990461206455,"PARK7"
"RERE",1.41251496039927,-0.546837044496935,0.816066079902287,-0.670089172879739,0.502800946471765,0.999990461206455,"RERE"
"ENO1",7.25715234624686,0.368224821759513,0.44531339497751,0.826889165950442,0.408299884654501,0.999990461206455,"ENO1"
"H6PD",1.19999436051029,-0.267899546457148,0.810346741369766,-0.330598659537158,0.740947658868866,0.999990461206455,"H6PD"
"CLSTN1",2.38947554613453,0.245681252790918,0.799636728708841,0.307241080818806,0.758659878699873,0.999990461206455,"CLSTN1"
"TARDBP",2.5618447143195,0.194900234882917,0.65346113948979,0.298258340251252,0.76550599769245,0.999990461206455,"TARDBP"
"SRM",3.53258976947302,0.424746712226339,0.581173469707719,0.730843258278721,0.464874897591534,0.999990461206455,"SRM"
"MAD2L2",1.03715392795577,1.48661545620122,0.891476072829843,1.66758873458286,0.0953973961039002,0.999990461206455,"MAD2L2"
"AGTRAP",2.70328844683802,-0.742777019809492,0.747982558354712,-0.993040561591878,0.320690188033452,0.999990461206455,"AGTRAP"
"PLOD1",2.74983931188307,-0.775425089122721,0.746224669695546,-1.03913086850786,0.298743876444515,0.999990461206455,"PLOD1"
"PDPN",5.25438724957786,1.5568043894045,0.667627344495516,2.33184635446722,0.0197087754601206,0.7075645526574,"PDPN"
"PRDM2",1.78571709940674,-0.25299503212285,0.776858296626655,-0.3256643241392,0.744678339145476,0.999990461206455,"PRDM2"
"FBLIM1",2.57906061768809,0.451961736962185,0.600035748998303,0.753224683223771,0.451314909122018,0.999990461206455,"FBLIM1"
"SZRD1",3.1474171172093,0.348907352676614,0.629913269169042,0.553897448670798,0.579649031288044,0.999990461206455,"SZRD1"
"RP11-108M9.4",1.81740360217511,-0.491117944634348,0.926619052821684,-0.530010626415274,0.596104563140162,0.999990461206455,"RP11-108M9.4"
"MFAP2",4.44905308811297,0.423925459993467,0.598114110325503,0.708770204004651,0.478467090821326,0.999990461206455,"MFAP2"
"SDHB",1.70841697757704,-0.0931949011694632,0.712885806158903,-0.130729073807215,0.895989632138889,0.999990461206455,"SDHB"
"AKR7A2",10.8851074354167,-0.358118784375912,0.488764945131934,-0.732701450754091,0.463740538948609,0.999990461206455,"AKR7A2"
"CAPZB",25.7954113927625,-0.864862984343439,0.269594804511701,-3.20801057687261,0.00133656582974954,0.177281918187362,"CAPZB"
"MINOS1",13.9179568692122,-0.352599147099345,0.38721249082148,-0.910608917473965,0.36250147024501,0.999990461206455,"MINOS1"
"NBL1",75.4839358036807,-1.39179092811441,0.355621796416221,-3.91368285673203,9.08990065738843e-05,0.0416566228977309,"NBL1"
"CAMK2N1",1.78711918850096,-0.894083361093111,0.825756294655193,-1.08274483268269,0.27892169841426,0.999990461206455,"CAMK2N1"
"DDOST",3.54380520060069,-0.080103789993692,0.626384636756228,-0.127882750139778,0.898241762344424,0.999990461206455,"DDOST"
"HP1BP3",4.58639385077283,-0.240025206930715,0.492015263141383,-0.487840977530289,0.625662483781976,0.999990461206455,"HP1BP3"
"ECE1",2.44894210546451,-0.675124208773478,0.67805407291334,-0.995679011074629,0.319406131312826,0.999990461206455,"ECE1"
"CDC42",9.14217634972614,-0.0945976571398274,0.447203710783977,-0.21153146733508,0.83247258031183,0.999990461206455,"CDC42"
"LUZP1",2.20405623798221,-0.360140928857059,0.693669469688398,-0.519182326157208,0.603633602631134,0.999990461206455,"LUZP1"
"HNRNPR",6.11931730104769,0.221241418760436,0.514826655621165,0.429739634389166,0.667385048818813,0.999990461206455,"HNRNPR"
"ID3",17.0888793835343,-0.0449975447845594,0.549499708137172,-0.0818882050676662,0.934735613929956,0.999990461206455,"ID3"
"RPL11",130.448862002888,0.0495367758857931,0.203005260094011,0.244017203607693,0.80721749604159,0.999990461206455,"RPL11"
"PNRC2",5.37577549981147,-0.462398269884128,0.513994897162544,-0.899616460079175,0.368324394551639,0.999990461206455,"PNRC2"
"SRSF10",3.84816256805709,-0.297906355541649,0.548785670941684,-0.542846454118342,0.587235525728327,0.999990461206455,"SRSF10"
"SRRM1",4.24456614395591,-0.33697451345625,0.608032166872955,-0.554205076335475,0.579438504603051,0.999990461206455,"SRRM1"
"CLIC4",1.89589713723833,-0.0675859096418979,0.733198615932669,-0.0921795379495158,0.926555395169111,0.999990461206455,"CLIC4"
"SYF2",9.05225705078916,-0.411746636961872,0.392959189209111,-1.0478101753787,0.294726073455938,0.999990461206455,"SYF2"
"RSRP1",6.08728189875362,0.121279911207954,0.509402570195919,0.238082644854558,0.811816995162977,0.999990461206455,"RSRP1"
"TMEM50A",7.90454380960693,-0.135854481135498,0.464266121656485,-0.292622000181219,0.769811095784539,0.999990461206455,"TMEM50A"
