"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0001525","angiogenesis",317,0.400841862758786,1.70281433149163,2.13858417359814e-06,0.000379479880581803,0.000326832357134686,1042,"tags=24%, list=11%, signal=22%","1116/3576/3569/2191/1295/3164/7058/4897/7291/2069/5054/8877/5743/10769/3397/7474/3627/5228/6303/28984/57125/3135/3091/2534/4313/51330/857/90627/4017/6772/3586/7045/80149/284/147372/6347/7040/7057/4323/1284/1317/3553/5315/26585/3678/9510/2255/5154/54567/8828/4776/375056/3099/56913/10553/51162/27286/1282/8829/83478/6786/5747/6464/7837/9394/57674/10000/219699/1647/5578/4780/1012/6667/54922/7494/3162/80781","Up","BP",0.0321403224171145,317,1
"GO:0001540","amyloid-beta binding",45,-0.505504749589603,-1.81134273151704,0.00105112555688692,0.0382852270143042,0.0355340016194564,308,"tags=24%, list=3%, signal=24%","143458/10268/335/949/1471/6653/3689/1191/43/3684/9452","Down","MF",0.00456250633681436,45,9
"GO:0001568","blood vessel development",428,0.402367910680539,1.7560595025702,7.10753823499056e-08,2.61940120644921e-05,2.25599594179457e-05,1514,"tags=31%, list=16%, signal=27%","1116/3576/3569/2191/1295/3164/7058/81031/93/4897/7291/2069/5054/8877/7472/5743/10769/3397/7474/3627/5754/5228/79659/6303/3280/28984/57125/4015/3135/3091/2534/4313/51330/857/90627/4017/6772/3586/7045/80149/284/147372/6347/7040/7057/4323/1284/1317/3553/2548/25976/5315/26585/3678/9510/348/2255/5154/54567/9021/8828/28982/3949/4776/196/60681/8061/375056/3099/56913/10553/51162/27286/1282/2737/8829/83478/1958/6786/5747/1281/11174/6464/7837/9394/57674/54453/10000/219699/1647/5578/84168/5175/4780/1012/6667/54922/7494/5310/4638/3162/80781/639/90993/3726/861/1289/79602/26259/26523/51684/25932/5396/22905/4016/8503/57178/4814/4035/290/55109/6926/10052/28514/1960/1909/1278/1277/153090/5159/5140","Up","BP",0.0433945047145899,428,1
"GO:0001935","endothelial cell proliferation",93,0.517858376441049,1.91363571569204,1.39273484476399e-05,0.00151649832756007,0.00130610540465906,1032,"tags=31%, list=11%, signal=28%","1295/3164/7472/7474/2252/28984/3091/857/4017/6772/3586/6347/7057/4323/2081/348/2255/54567/8828/51162/8829/6776/10000/5578/1012/6667/858/7494/3162","Up","BP",0.00942917976274967,93,1
"GO:0001944","vasculature development",450,0.407028745032744,1.78259585645763,1.16658706831185e-08,7.44729242200521e-06,6.41408480687702e-06,1514,"tags=31%, list=16%, signal=27%","1116/3576/3569/2191/1295/3164/7058/81031/93/4897/7291/2069/5054/8877/7472/5743/10769/3397/7474/3627/5754/5228/79659/6303/3280/28984/57125/4015/3135/3091/6648/2534/4313/51330/857/90627/4017/6772/3586/7045/80149/284/147372/6347/7040/7057/4323/1284/1317/3553/2548/25976/10630/5315/26585/3678/9510/348/79987/2255/5154/54567/9021/8828/28982/3949/4776/3976/196/60681/8061/375056/3099/56913/10553/51162/27286/1282/2737/8829/83478/1958/6786/5747/1281/11174/6464/7837/6443/9394/57674/5784/54453/10000/219699/1647/5578/84168/5175/4780/1012/6667/54922/7494/5310/4638/3162/80781/639/90993/3726/861/1289/79602/26259/27077/26523/51684/25932/5396/22905/4016/8503/57178/4814/4035/4772/290/55109/6926/10052/28514/1960/1909/1278/1277/153090/5159/5140","Up","BP",0.0456250633681436,450,1
"GO:0002237","response to molecule of bacterial origin",214,0.443703520428459,1.80935551148546,1.55210725087033e-06,0.000309839409954989,0.000266853527342617,1532,"tags=33%, list=17%, signal=28%","4314/11009/3576/6374/1440/3569/3164/4283/6372/5054/79931/5743/445/7474/1437/3627/115362/6648/2326/11213/6279/3586/80149/6347/4318/2920/3553/1051/9261/9572/249/2255/196/2643/64332/4258/10068/54/7538/10221/2634/274/2353/5578/7494/4282/840/968/6714/8767/5142/5737/7867/6891/22904/5595/4016/824/5606/1734/4317/27086/717/1728/10865/57088/153090/3656/6198/85363","Up","BP",0.0216972523572949,214,2
"GO:0003823","antigen binding",50,0.632478086556341,2.11417757437947,2.08745457653576e-06,0.000197681948397937,0.000183476270674459,834,"tags=38%, list=9%, signal=35%","3501/3575/3500/3494/3502/3493/3135/3514/3539/3538/3512/3106/6890/3503/3507/3134/3133/3107/28912","Up","MF",0.00506945148534929,50,2
"GO:0004175","endopeptidase activity",172,0.430185738266795,1.71784748219872,0.000104778404535078,0.00661500993964794,0.0061396468622309,1609,"tags=30%, list=17%, signal=25%","4312/4314/7177/629/2191/64499/5328/5648/9509/1803/4322/115209/9507/4313/1508/4318/4319/4323/5125/140766/9510/649/1509/11174/1514/81502/642/1519/84888/84301/840/23621/4311/8975/84971/23385/9361/824/8904/5699/4317/717/84196/5696/83752/23032/80332/81792/1513/9718/6687","Up","MF",0.0174389131096015,172,1
"GO:0004222","metalloendopeptidase activity",52,0.554620104276383,1.86886456729202,0.000230316487458642,0.0109054856811667,0.0101218035277877,474,"tags=25%, list=5%, signal=24%","4312/4314/9509/4322/115209/9507/4313/4318/4319/4323/140766/9510/649","Up","MF",0.00527222954476326,52,1
"GO:0004252","serine-type endopeptidase activity",56,0.653637673149294,2.21466178618802,1.83255259212861e-07,3.47085460949159e-05,3.22143455668924e-05,474,"tags=29%, list=5%, signal=27%","4312/4314/7177/629/2191/64499/5328/5648/1803/4322/4313/4318/4319/4323/5125/649","Up","MF",0.0056777856635912,56,1
