"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"FO538757.2",1.99583611470622,1.44985844107547,1.05887666878412,1.36924203150146,0.170923631497125,NA,"FO538757.2"
"SAMD11",4.12449266417468,0.593545912901928,0.633123056148272,0.937489019137734,0.348507069576482,0.979207351058631,"SAMD11"
"HES4",3.83323851342444,0.136097805241494,0.573976804772374,0.237113772037298,0.812568528454163,0.991502661520387,"HES4"
"ISG15",9.28005279201325,-0.144532008095635,0.656441466988338,-0.220175012341508,0.825734856400959,0.991502661520387,"ISG15"
"SDF4",5.78928106890391,0.335162841947319,0.421035321230276,0.796044476667573,0.426006184445934,0.983940037028791,"SDF4"
"MXRA8",8.67335759468125,-0.470365988181611,0.318588642883889,-1.47640538571564,0.139835097766632,0.879794068145899,"MXRA8"
"AURKAIP1",4.62319659360145,0.625933129221162,0.485626223549621,1.28891954113595,0.19742605975482,0.936476704855762,"AURKAIP1"
"MRPL20",3.87657980147401,0.0689477251449663,0.479524236652932,0.143783608574657,0.885671346831672,0.991502661520387,"MRPL20"
"SSU72",6.47530919770133,-0.219384988710799,0.421817285128436,-0.520094828840406,0.602997482441842,0.983940037028791,"SSU72"
"MMP23B",3.82450303194943,-0.285812125198414,0.534091834771695,-0.535136668622895,0.592555355495229,0.983940037028791,"MMP23B"
"GNB1",2.67463301276976,0.600867505527968,0.579836909418891,1.03626984720609,0.300076269102312,NA,"GNB1"
"FAAP20",5.33629845289192,0.548490612218682,0.411136060065474,1.33408539287781,0.182175872433598,0.936476704855762,"FAAP20"
"RER1",1.81790544617852,0.906393918024725,0.921299780026679,0.983820834081255,0.325203613655512,NA,"RER1"
"RPL22",52.1842969313492,0.0217305530312679,0.184839698735958,0.11756431751336,0.90641287932031,0.991502661520387,"RPL22"
"ACOT7",1.65287046931718,0.22883961096203,0.952629018867856,0.24021902170689,0.810160468162961,NA,"ACOT7"
"CAMTA1",6.59563647701924,-0.162501601848996,0.384931130066529,-0.422157599518933,0.672909987730649,0.983940037028791,"CAMTA1"
"VAMP3",2.88200820062325,-0.190117923567432,0.560662684680949,-0.33909501873773,0.734538150847063,NA,"VAMP3"
"PARK7",11.9992869978371,0.225077073608868,0.325864810236608,0.690706902182661,0.489749750934858,0.983940037028791,"PARK7"
"ENO1",8.65748128030374,0.493743261088752,0.409957416131428,1.20437694663014,0.228443918227121,0.955476521121308,"ENO1"
"MAD2L2",1.46225091297635,0.755230531784207,0.777197556697336,0.971735597051441,0.331182102820086,NA,"MAD2L2"
"PDPN",1.75634706769883,3.04455108059819,1.41713241489154,2.14838856877831,0.0316829001307898,NA,"PDPN"
"FBLIM1",3.09140613423261,0.24781566993003,0.515037227779999,0.481160693952566,0.630402294172464,NA,"FBLIM1"
"MFAP2",4.11149424911625,0.226113001408858,0.687047603248629,0.329108202022259,0.742073904951584,0.984640365237157,"MFAP2"
"AKR7A2",5.81456656436578,-0.365750699655277,0.429144208978695,-0.852279238547139,0.394059126307484,0.983940037028791,"AKR7A2"
"CAPZB",11.3906001662725,0.18284864182028,0.325259225833847,0.562162814449066,0.574005094353892,0.983940037028791,"CAPZB"
"MINOS1",24.592112390245,-0.435573809107266,0.326918134416627,-1.33236355910488,0.182740750638086,0.936476704855762,"MINOS1"
"NBL1",42.1655823638949,-0.451973345905341,0.343783683792151,-1.31470272503858,0.188609830393962,0.936476704855762,"NBL1"
"DDOST",2.14786261696163,0.459786496223707,0.702601981345499,0.654405351011401,0.51285068786318,NA,"DDOST"
