"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"FO538757.2",5.5136601144044,0.148802163072856,0.753420244028241,0.19750220975915,0.843434552360186,0.999852229720568,"FO538757.2"
"HES4",19.570907353502,-0.630974622214894,0.704054039934,-0.896201976589814,0.370144900225002,0.999852229720568,"HES4"
"ISG15",23.4169501094392,-0.558196830436898,0.834639870506149,-0.668787641427184,0.503630951375136,0.999852229720568,"ISG15"
"SDF4",10.7027797596411,-0.428756230762916,0.5628269802828,-0.76179047164278,0.44618506815412,0.999852229720568,"SDF4"
"FAM132A",3.57790865867509,1.17814049110825,0.90995825068729,1.29471927994324,0.195417086499546,0.999852229720568,"FAM132A"
"AURKAIP1",19.1257426441503,0.0491667379379062,0.498756340517601,0.0985786724773899,0.921472804422812,0.999852229720568,"AURKAIP1"
"MRPL20",7.14601657832654,-0.128639138137,0.684924124384645,-0.187815166026709,0.851021546564893,0.999852229720568,"MRPL20"
"SSU72",12.4188666732714,0.167261324806169,0.564471999250707,0.296314653389708,0.766989796389817,0.999852229720568,"SSU72"
"CDK11B",3.99595594328641,-0.625173449451519,0.841989602809523,-0.742495450496611,0.457787207234218,0.999852229720568,"CDK11B"
"SLC35E2B",3.55123752071981,0.667587473781201,0.792292054938312,0.842602761974155,0.399450645871069,0.999852229720568,"SLC35E2B"
"GNB1",10.4686530195723,0.110879268735294,0.612449293932248,0.18104236519466,0.856334322799101,0.999852229720568,"GNB1"
"PRKCZ",3.30913203800785,0.689483997415111,0.876150616788654,0.786946883564689,0.431312960674985,0.999852229720568,"PRKCZ"
"RER1",10.4065608976116,-0.434957128340507,0.591853503161257,-0.734906739619311,0.462396293523056,0.999852229720568,"RER1"
"RP3-395M20.8",3.04314536509847,0.580033800179533,0.893751262809087,0.648987950357092,0.516346164691504,0.999852229720568,"RP3-395M20.8"
"TNFRSF14",11.3745133493361,0.81934100460379,0.554624631863632,1.47728924669405,0.139598119253736,0.999852229720568,"TNFRSF14"
"FAM213B",4.04974040882206,0.352774419507087,0.825708052729675,0.427238681203199,0.669205490018297,0.999852229720568,"FAM213B"
"TPRG1L",3.32116418217351,-0.00295131606890325,0.824184363488669,-0.00358089306185171,0.997142866818136,0.999852229720568,"TPRG1L"
"RPL22",74.3544568910586,-0.553425675250727,0.519002236644763,-1.06632618546792,0.286276216413207,0.999852229720568,"RPL22"
"ICMT",2.76255000894905,-0.0408800740843107,0.938954155817458,-0.0435378807698234,0.965272768653674,0.999852229720568,"ICMT"
"ACOT7",6.16526361757741,-0.40791511517421,0.70956486054634,-0.574880659761152,0.565372010750382,0.999852229720568,"ACOT7"
"ESPN",13.774307911502,0.636371224686951,0.508363866177903,1.25180263001669,0.210641791577173,0.999852229720568,"ESPN"
"CAMTA1",9.07280661084362,0.280774440849035,0.605564214215641,0.463657584543216,0.642893090501769,0.999852229720568,"CAMTA1"
"VAMP3",4.33032467963213,-0.17301116895077,0.788273342960384,-0.219481186945916,0.826275233252325,0.999852229720568,"VAMP3"
"PARK7",8.10698127262544,0.150415191189162,0.659766123744049,0.227982592279191,0.819659773539757,0.999852229720568,"PARK7"
"RERE",5.12489991223751,-0.667153536554824,0.742301563443269,-0.898763480249374,0.368778656150641,0.999852229720568,"RERE"
"ENO1",14.0071629518381,-0.655388730804796,0.649619462212362,-1.00888099714991,0.313031709724546,0.999852229720568,"ENO1"
"SLC2A5",11.3726802740246,-0.286664152463414,0.817322684137874,-0.350735588313926,0.725786723927829,0.999852229720568,"SLC2A5"
"CLSTN1",4.4309722347797,-0.201781681859643,0.774240470477716,-0.260618876891234,0.79438643098305,0.999852229720568,"CLSTN1"
"KIF1B",2.19251467820664,0.156751897533569,1.03330340803437,0.151699777930428,0.879423732331376,0.999852229720568,"KIF1B"
"CASZ1",3.97133542385984,0.400720175498745,0.87833641972741,0.456226300650391,0.648227254548175,0.999852229720568,"CASZ1"
"KIAA2013",10.169262318292,0.454967877337223,0.590550403691781,0.770413286474831,0.441054774494909,0.999852229720568,"KIAA2013"
