"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"FO538757.2",12.4431345839285,-0.362951091867174,0.496666929815007,-0.730773623285855,0.464917437190001,0.999577022813176,"FO538757.2"
"NOC2L",14.5782893370123,-0.416268568505955,0.420231695971287,-0.990569184801322,0.321895990859019,0.999577022813176,"NOC2L"
"ISG15",3.44646470337497,0.0400674274611074,0.76293193673479,0.052517695920017,0.958116195486289,0.999577022813176,"ISG15"
"AGRN",3.8454613483843,-0.264534052217225,0.846776741542511,-0.312401178775107,0.75473565463479,0.999577022813176,"AGRN"
"RP11-465B22.8",6.7659325704614,0.26881176750874,0.668686257212137,0.401999838652973,0.687684145018048,0.999577022813176,"RP11-465B22.8"
"SDF4",35.5261693535299,0.0213580362837521,0.313529095228134,0.0681213852520174,0.945689006928316,0.999577022813176,"SDF4"
"UBE2J2",10.7741902741725,-0.246852953722843,0.496042451938742,-0.497644813983234,0.618734411405843,0.999577022813176,"UBE2J2"
"ACAP3",5.04178769418836,0.485605111299354,0.5921057038441,0.820132466461111,0.412140595757646,0.999577022813176,"ACAP3"
"CPSF3L",14.0644206856711,-0.244118658944779,0.39769773363472,-0.613829645730389,0.539327904848756,0.999577022813176,"CPSF3L"
"CPTP",5.65557618557605,0.176647028829508,0.590025585068442,0.299388760928083,0.764643436611854,0.999577022813176,"CPTP"
"DVL1",5.68419721620459,-0.0483669043581625,0.597008107805653,-0.0810154899502766,0.935429633799573,0.999577022813176,"DVL1"
"AURKAIP1",96.0542360088213,0.219817325852469,0.288838670790653,0.76103842068914,0.446634119275433,0.999577022813176,"AURKAIP1"
"CCNL2",11.2828710986061,0.366090727635027,0.440914304242839,0.8302990492987,0.40636972546736,0.999577022813176,"CCNL2"
"MRPL20",49.5071119413368,-0.11689303035442,0.352740093894617,-0.331385721038399,0.740353149127891,0.999577022813176,"MRPL20"
"ATAD3B",5.72812419112003,0.691603732376685,0.567470730365685,1.21874784965739,0.222939910577708,0.999577022813176,"ATAD3B"
"ATAD3A",10.8090179718601,-0.37128912865627,0.49194853347163,-0.754731650557266,0.450410011701005,0.999577022813176,"ATAD3A"
"SSU72",37.7316440102182,-0.157782531820871,0.311232734987796,-0.506959950170594,0.612182919951163,0.999577022813176,"SSU72"
"MIB2",7.36310432998161,0.224171766232994,0.545615164728151,0.41086058585759,0.681174764759407,0.999577022813176,"MIB2"
"CDK11B",15.0164677083061,0.0117636933825361,0.412228535986961,0.0285368244931694,0.977233998281408,0.999577022813176,"CDK11B"
"SLC35E2B",12.3521795375231,-0.00880547882186437,0.496155320173063,-0.0177474239695605,0.985840347738008,0.999577022813176,"SLC35E2B"
"CDK11A",7.146806233124,-0.448991257559538,0.567768576790889,-0.790799765808284,0.429060846619143,0.999577022813176,"CDK11A"
"NADK",10.5256657541361,-0.346244188061597,0.481737697643964,-0.718740073187079,0.472301087429737,0.999577022813176,"NADK"
"GNB1",25.79826800513,0.40008040751344,0.353011734094303,1.13333458600151,0.257073772834405,0.999577022813176,"GNB1"
"PRKCZ",9.91249723951414,0.0164982601929927,0.468872980589371,0.0351870567850902,0.971930583030268,0.999577022813176,"PRKCZ"
"FAAP20",21.5974060393662,-0.108519745069275,0.333985746573195,-0.32492328245359,0.745239135299265,0.999577022813176,"FAAP20"
"RER1",41.2519646513707,0.192358752704617,0.329239369090991,0.584251978236101,0.559050795621436,0.999577022813176,"RER1"
"RP3-395M20.8",6.82231989475779,-0.263911730366633,0.606911810654252,-0.434843622637918,0.663675938719652,0.999577022813176,"RP3-395M20.8"
"TNFRSF14",27.2654695586068,-0.0844362847889331,0.368434975600611,-0.229175540816362,0.818732482309785,0.999577022813176,"TNFRSF14"
