"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"NOC2L",2.61872950815308,-0.303951900296842,0.728920066141908,-0.416989344120578,0.67668620190149,0.99913583269559,"NOC2L"
"ISG15",10.6606005601398,-0.643112548927316,0.920087744673991,-0.698968715375278,0.484571582216779,0.99913583269559,"ISG15"
"SDF4",7.49845296091208,-0.0390939161185002,0.491556828555397,-0.0795308168811136,0.936610420910303,0.99913583269559,"SDF4"
"CPSF3L",2.65196212478285,-0.70949707019378,0.828416243447426,-0.856449974038693,0.391748932527387,0.99913583269559,"CPSF3L"
"AURKAIP1",10.6134767248684,-0.143628850590111,0.468668072663383,-0.30646177746627,0.759253077808419,0.99913583269559,"AURKAIP1"
"MRPL20",10.4233067132163,0.173266085743859,0.480621209247572,0.360504452175785,0.718469927795003,0.99913583269559,"MRPL20"
"SSU72",11.9218022865874,-0.0460141621096618,0.397759998616841,-0.115683231772099,0.90790359612553,0.99913583269559,"SSU72"
"GNB1",4.87357684739337,0.223978530519694,0.61638444587228,0.363374728255399,0.716324977379701,0.99913583269559,"GNB1"
"FAAP20",7.36150223178505,-0.00143105513377869,0.451701238394283,-0.00316814525208263,0.997472190045649,0.99913583269559,"FAAP20"
"RER1",5.25104242923572,0.18456404944598,0.549492828947071,0.335880724412069,0.736960813180915,0.99913583269559,"RER1"
"TNFRSF14",9.68400970456066,0.752314433218117,0.466119870314429,1.61399348350164,0.106528839764534,0.99913583269559,"TNFRSF14"
"RPL22",164.278346132646,-0.0323070810824804,0.269798357032669,-0.119745284729693,0.904684926396818,0.99913583269559,"RPL22"
"CAMTA1",7.85857001881483,0.344158590535785,0.456846231410759,0.753335732841683,0.451248191426298,0.99913583269559,"CAMTA1"
"VAMP3",2.91328025935621,-0.2246469249405,0.694156561493315,-0.323625731430421,0.746221404636714,0.99913583269559,"VAMP3"
"PARK7",18.7446816871271,-0.321952596562049,0.329837082257361,-0.976095817846341,0.329016983656036,0.99913583269559,"PARK7"
"RERE",2.31557681936381,-0.543643595858474,0.761782242444309,-0.713646978845424,0.475445500058154,0.99913583269559,"RERE"
"ENO1",17.8213200989704,0.152088241990232,0.357682665424249,0.425204396779585,0.670687679284293,0.99913583269559,"ENO1"
"CTNNBIP1",3.03810713277435,0.16604885760973,0.802920025193994,0.206806222786149,0.836161196130734,0.99913583269559,"CTNNBIP1"
"PGD",4.3281506133224,0.193752261719579,0.598788399031926,0.323573840162606,0.746260695844069,0.99913583269559,"PGD"
"TARDBP",3.86509892877884,-0.352126679472478,0.66996392321545,-0.525590509086621,0.599172752434202,0.99913583269559,"TARDBP"
"SRM",5.71570020758749,-0.375679098267781,0.614430309597937,-0.611426702751062,0.540917129226775,0.99913583269559,"SRM"
"MAD2L2",4.17429337505409,0.371986857554204,0.608142325744556,0.611677302839883,0.540751281656268,0.99913583269559,"MAD2L2"
"TNFRSF1B",4.63027439653479,0.416552942499217,0.646282179573501,0.644537255806916,0.519227106903428,0.99913583269559,"TNFRSF1B"
