"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"FO538757.2",122.403824571041,0.0556722166095341,0.329546877180253,0.168935652147245,0.865847255851174,0.999220134952063,"FO538757.2"
"AP006222.2",12.33764161035,-0.650742519069828,0.496093123528331,-1.31173460829611,0.189609695341402,0.999220134952063,"AP006222.2"
"RP11-206L10.9",9.70813533606604,-0.240173404827989,0.563210866383586,-0.42643602807268,0.669790153370573,0.999220134952063,"RP11-206L10.9"
"LINC00115",12.1950257711633,0.0979994751937548,0.509408251319344,0.192379049495058,0.847445301968051,0.999220134952063,"LINC00115"
"FAM41C",4.89290615648915,-0.411586592115062,0.681812865071138,-0.603665042419109,0.546066360013416,0.999220134952063,"FAM41C"
"NOC2L",30.9646131222498,0.0997145398426727,0.289131399821724,0.344876204743435,0.730187440233268,0.999220134952063,"NOC2L"
"HES4",3.27743980423359,0.298734336205373,0.958267072850416,0.311744340037451,0.755234827502146,0.999220134952063,"HES4"
"ISG15",961.761783301653,-0.67767400731999,0.712444798162587,-0.951195108824891,0.341505340915439,0.999220134952063,"ISG15"
"AGRN",67.3793757869785,0.477810854102601,0.28003942431388,1.70622709739273,0.0879658054373764,0.999220134952063,"AGRN"
"C1orf159",8.59969785636409,0.461030072978751,0.510818525707446,0.902532014359224,0.366774322926684,0.999220134952063,"C1orf159"
"RP11-465B22.8",31.5735767767449,0.275977473342846,0.373270774043598,0.739349267431829,0.459694939961102,0.999220134952063,"RP11-465B22.8"
"SDF4",435.660726418557,0.0470398627090559,0.143336354155131,0.328178172148464,0.742776950830284,0.999220134952063,"SDF4"
"B3GALT6",9.17985911808841,-0.457170237990959,0.648105472421173,-0.705394812179376,0.480564571583059,0.999220134952063,"B3GALT6"
"FAM132A",412.302749318941,0.425459641089591,0.244526048597521,1.73993586176121,0.0818702807567463,0.999220134952063,"FAM132A"
"UBE2J2",70.8688327071683,0.305555825590555,0.248794466681013,1.22814558405078,0.21939232171423,0.999220134952063,"UBE2J2"
"SCNN1D",9.67818519105478,0.41297391852098,0.508517879001381,0.812112878571688,0.416726864023273,0.999220134952063,"SCNN1D"
"ACAP3",35.8509215155356,0.200117953297479,0.310723150050107,0.644039406993679,0.519549880570796,0.999220134952063,"ACAP3"
"PUSL1",12.5551366583929,0.467267028538489,0.499602427592822,0.935277738320588,0.349645184831556,0.999220134952063,"PUSL1"
"CPSF3L",74.5729675344931,0.0169629812853841,0.222225112710773,0.0763324229132534,0.939154631328953,0.999220134952063,"CPSF3L"
"CPTP",93.6245802052405,0.319907150059484,0.215477577942539,1.48464240740999,0.137638575445352,0.999220134952063,"CPTP"
"DVL1",46.4035228668918,0.178971386389593,0.284623281016088,0.628800939089299,0.529479385159293,0.999220134952063,"DVL1"
"AURKAIP1",635.511298263754,0.0480689431629673,0.178746689589518,0.268922144926739,0.787989595317318,0.999220134952063,"AURKAIP1"
"CCNL2",83.4701154812645,0.0286810879508438,0.22210042607983,0.129135672799362,0.897250295504441,0.999220134952063,"CCNL2"
"MRPL20",197.689689182381,-0.369930415545737,0.218995618097033,-1.68921377861464,0.0911784694386207,0.999220134952063,"MRPL20"
"ATAD3B",10.8102289340967,-0.401078144535191,0.522008835921091,-0.768335930229003,0.442287633639381,0.999220134952063,"ATAD3B"
"ATAD3A",15.4973445048676,-0.272702704429553,0.456967534198577,-0.596766037017958,0.550663596172904,0.999220134952063,"ATAD3A"
"SSU72",339.489835792258,-0.285054975926707,0.149971869646788,-1.90072295956612,0.0573383096098344,0.999220134952063,"SSU72"
"RP5-832C2.5",11.4184403211005,0.535392063872499,0.770282660918591,0.695059217916218,0.487018191068771,0.999220134952063,"RP5-832C2.5"
"C1orf233",7.70760173635734,0.501716615904104,0.643198156066313,0.780034288301626,0.435370693002093,0.999220134952063,"C1orf233"
"RP11-345P4.9",18.7948369594492,0.418266113993239,0.370407740089595,1.12920457302557,0.258811545062569,0.999220134952063,"RP11-345P4.9"
"MIB2",63.2460821861221,0.0262164331058713,0.223708368027439,0.117190221076825,0.906709315973142,0.999220134952063,"MIB2"
"MMP23B",4.73659897895947,1.18977066719811,0.675526117684996,1.76125043288543,0.0781960254553968,0.999220134952063,"MMP23B"
"CDK11B",107.219931202508,0.0259955338461779,0.252973064454361,0.10276008594926,0.9181533843035,0.999220134952063,"CDK11B"
"SLC35E2B",110.427019109833,0.196777402184825,0.227317517214034,0.865649971003101,0.386682143130852,0.999220134952063,"SLC35E2B"
"CDK11A",69.610077149682,0.272958543646536,0.384079940441409,0.710681592308192,0.477281569057074,0.999220134952063,"CDK11A"
"SLC35E2",6.63521907850219,0.616338559148117,0.687112547465224,0.896997968414063,0.369720001094151,0.999220134952063,"SLC35E2"
"NADK",71.7664239860527,-0.368032022831771,0.223465016314846,-1.64693350619696,0.0995717139749957,0.999220134952063,"NADK"
"GNB1",405.934974891294,-0.128411463485223,0.156441823644841,-0.820825662175523,0.411745579047247,0.999220134952063,"GNB1"
"TMEM52",16.1873781769814,0.212432550240184,0.44620302484271,0.476089444519271,0.634010656666247,0.999220134952063,"TMEM52"
"PRKCZ",141.60405691909,-0.0472624756280372,0.234319767164248,-0.201700762167915,0.840150666722725,0.999220134952063,"PRKCZ"
