"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AREL1",1.14969233883483,-0.256776759460407,0.445854606651133,-0.575920391154164,0.564668992102432,0.893014424029285
"GAK",4.13572182111133,0.0140751585411979,0.290161559568981,0.0485080055473433,0.961311384450024,0.996052092639124
"FO538757.1",2.58159815884123,-0.284220014991053,0.414120587658398,-0.686321867256458,0.492510162503563,0.858033276569985
"ZMAT3",1.00804825681817,0.738940092347202,0.647825909785348,1.14064609208366,0.254017228220402,NA
"PCBP3",0.575194211029435,-0.783445791351735,0.671810623460833,-1.16617059033067,0.243545480682581,NA
"EMC3",1.83616244965039,0.116232747775799,0.405710251255987,0.28649201595466,0.774501307668535,0.961370017993346
"WWC3",0.842282821502,-0.110978877811684,0.609945223110087,-0.181948925258906,0.855622808462515,NA
"SLC25A12",0.983190783818069,0.17981163120737,0.521842042349618,0.344570993930959,0.730416915256021,NA
"SOX4",3.06432835964574,-0.220932820756691,0.348236539814996,-0.634433195534458,0.525798151445016,0.878276990075554
"PRR5L",5.00191024959829,-0.00587001647533225,0.337854737648872,-0.0173743796407345,0.986137948155417,0.997927016381073
"ADAP1",1.18164868595679,0.353983502632297,0.469566283221212,0.753852044495143,0.450938068941787,0.847884178462264
"CREB3",0.747156967938454,0.0815964433512949,0.604873125419487,0.134898443859126,0.892692169925887,NA
"CD2AP",3.75451799132396,0.823490622961056,0.308491951941356,2.66940715237071,0.00759852781598921,0.183692565648671
"OLFM4",12.831766299494,1.11620606121214,0.465611422712887,2.39729097432481,0.0165168017100199,0.269243150199881
"RMDN3",1.010033547446,0.638159811065585,0.529334889178052,1.20558803908904,0.22797637333933,NA
"YTHDF2",2.00160223353706,0.412548711364524,0.518247914147021,0.796045097535093,0.426005823588586,0.834862179854232
"TSTA3",1.2262010914742,0.69452397629148,0.506505672683602,1.37120670852847,0.170310527530617,0.668468380465212
"MAPK10",0.583632541812601,-0.99606152540771,0.897344485721531,-1.11001019258151,0.26699463436059,NA
"PNPLA8",0.653415068994188,-0.683578269172344,0.628007492119678,-1.08848744282509,0.276379977113312,NA
"CDH17",12.2207053262831,0.000695945086547872,0.264133911247302,0.00263481914632413,0.997897720915073,0.999943496488806
"LINC00483",1.14885853905267,0.10167014017283,0.523252429467837,0.194304191336925,0.845937703966656,0.977651767073264
"ZNF511",0.549511795494539,-0.15662960780808,0.696318451873917,-0.224939619776787,0.822026246867596,NA
"BCAR3",1.84434783308928,-0.220531771783145,0.422363688086126,-0.522137148632379,0.601574843013515,0.904413685614446
"RASA1",2.04607644157135,0.651759753515262,0.388065216507453,1.67951088062216,0.0930525201200916,0.550442133291506
"HAX1",1.79469986271954,0.0831451869224285,0.416137492497653,0.199802201006672,0.841635279883124,0.977651767073264
"CREB3L1",4.8738143703444,0.561263525061547,0.301134302398812,1.86383125598966,0.0623454049465695,0.481201449857953
"UBE3A",0.576001626719586,0.679033182008234,0.674856933663302,1.00618834620586,0.314324976994868,NA
"CCPG1",1.02355825619653,-0.459885500474519,0.509759863760644,-0.902161062822428,0.366971315382751,NA
"METAP1",1.39135375747522,0.454827161462201,0.492295075474899,0.923891349153649,0.3555428875819,0.811087301950462
"MAPKAPK5-AS1",0.701693064246456,-0.618687712344426,0.686826402508275,-0.900791976087395,0.367698934597674,NA
"TNFSF13",1.55247336404036,1.04746179915618,0.4104707825098,2.55185470876036,0.0107151191680247,0.220739549188697
"SPRED1",1.1687498529957,0.204688057952273,0.549948794013749,0.372194757367093,0.709747849177921,0.941012139876849
"LPAR5",1.22923036836,0.564381715194433,0.545245531975426,1.0350964512257,0.300623869724498,0.776659965982467
"DRG1",1.26794032563583,0.053249546348644,0.476300862354877,0.111798131301659,0.910983469240993,0.987096970587499
"TNRC6B",5.81276365533526,0.294310290773189,0.254241656747816,1.15760058574948,0.24702707012442,0.733466535077567
"CCDC125",4.11146297251043,0.23200532824518,0.344998037385289,0.672483037884878,0.501276234966551,0.862653009765267
"C9orf152",0.563027172189673,0.0969335423531496,0.697541028674396,0.138964646333939,0.889478086068198,NA
"RP11-894J14.5",1.52898680191414,-0.821999671556418,0.599231836745925,-1.37175567309677,0.170139510656471,0.668468380465212
"KIAA1468",20.572696703701,0.284228729799533,0.715085507355856,0.397475164684171,0.691017097088685,0.935606771912606
"ACVR1",0.634576335932283,0.366116574014092,0.624294790165895,0.586448228915707,0.557574342291215,NA
"NFE2L1",2.8950044133688,-0.0585134931158316,0.29783168643062,-0.196464969248537,0.844246248816151,0.977651767073264
"PRIM2",0.995874315981357,0.664279383368047,0.543516516783963,1.22218803450289,0.221636527705422,NA
"ATP2B1",2.15792524300946,-0.488085074620686,0.392256032412311,-1.2443022778236,0.213388333036665,0.702940304028693
"SRP9",0.534958039672607,-0.22135392768494,0.709828685959386,-0.311841338710853,0.755161105701219,NA
"WDR73",1.12055072967572,0.319517916068325,0.494585600440221,0.646031578323202,0.518258904828722,0.874885258654299
"SDHC",4.05217132738958,-0.176761922590656,0.3545632606434,-0.498534231295986,0.618107548052374,0.907249781538284
"ACAD10",1.58647065397239,0.455149255416433,0.444969550654862,1.02287730642825,0.306365860540603,0.77793406818206
"CWH43",1.22862051361809,-0.294074895652934,0.542145447442003,-0.542428045906247,0.587523663456774,0.89860710579693
"RCAN2",0.823583928255419,1.40730359574551,1.64316418925445,0.856459509614824,0.391743660152283,NA
"HORMAD2-AS1",0.388634264038404,-0.263797293321956,0.889105069170506,-0.296699796760879,0.766695712215937,NA
"TTC38",2.70749564282556,0.120617977562193,0.349520513506583,0.345095560635588,0.730022530788263,0.947403509371278
"XXYLT1",0.488796895827753,0.183714673975034,0.764572836224216,0.240284071406846,0.810110042519887,NA
"SRA1",1.78212736656998,0.431930138069236,0.459649973714829,0.939693598975835,0.347374749444781,0.806286284498614
"AURKA",0.388232789131265,0.840515502012015,0.803335687053343,1.04628179173148,0.295430949544969,NA
"CHMP7",0.409791306676195,0.470090886430968,0.656362603909114,0.716206078212311,0.473864110496178,NA
"PTAFR",0.512489157435568,0.860415223134579,0.865242595503351,0.994420787425562,0.32001805201262,NA
"CDC73",1.20106699034495,0.45891844139446,0.597364050401051,0.768239135057353,0.442345127196659,0.842767000691834
"ADAMTS14",3.06136126247868,-0.785902264038708,0.481373813886271,-1.63262363129787,0.102548178011256,0.571302693575061
"TRIM8",0.637061150284594,-0.0972891815468267,0.670299465740229,-0.14514286004896,0.884598079130939,NA
"CCDC12",2.33703309703548,0.681353461468068,0.428955432677937,1.58840152044335,0.112195573893421,0.593766161518849
"NDUFA4",4.59017707034907,0.135897532747608,0.318030578753401,0.42730964198566,0.669153810868537,0.929976776452413
"RPP21",1.26046086007941,-0.192259589877765,0.522264931692916,-0.368126554571752,0.712778871385729,0.941012139876849
"RTF1",2.87336055967318,0.314511379327198,0.423983987495951,0.741800135388844,0.458208438538984,0.852682875619507
"ATM",0.678854266492133,0.999142707070019,0.711046438944853,1.4051722255338,0.159970071078717,NA
"FARSB",1.16328049596447,-0.571265077134409,0.531836450627165,-1.07413675098942,0.282761395093603,0.767618924804344
"MX1",0.784963409271247,1.09909013506274,0.681370132021847,1.61305886978254,0.106731718543684,NA
"NDUFA5",0.971126355808794,-0.272874027198305,0.631938543378366,-0.431804690594612,0.665883370114082,NA
"ACO2",2.17298387650241,0.528704015477116,0.436530220234529,1.21115100620769,0.225837535941387,0.715439522257066
"RAP1GAP2",19.1529992551545,0.418995306638795,0.267313639246118,1.56742958503895,0.117014313191842,0.598968073633014
"TSPAN8",7.81986520203847,0.49330943213312,0.33016683857545,1.49412168181872,0.135143817907459,0.619725060430631
"SNX25",1.0442773503892,0.684001338263985,0.521587401362827,1.3113839338849,0.18972808400602,0.680368893932847
"TRIM4",0.613051727201444,0.155961104820103,0.569021578127281,0.274086450874833,0.784018185919676,NA
"CYB561D2",1.31646523039256,0.620306472465677,0.531439086006542,1.16722026813444,0.243121427832387,0.732538715092573
"USP54",2.17629529131128,0.454169681221586,0.347039833933697,1.30869611154884,0.190637309413647,0.682021408678135
"LINC00960",0.105605910175852,0.00625765789330078,1.59186866114966,0.00393101393728138,0.9968635127491,NA
"TMEM260",0.684265522997042,0.628213013034373,0.602202371739295,1.04319252549596,0.296859134558633,NA
"EIF3E",1.80821090596962,0.279354709377617,0.523128328727285,0.53400799390325,0.593336003406001,0.900571897966204
"CHCHD6",0.612139659502622,0.932020949619732,0.766626140076054,1.21574376465596,0.224082546928086,NA
"SERPINH1",1.41799083122551,-0.216398131803513,0.568050310731365,-0.38094888377915,0.703241178438979,0.938911814645071
"FGF12",0.237525246129385,0.321128404977023,0.955743677825523,0.335998461122592,0.736872026929946,NA
"HERC6",0.941343007205378,-0.3020943727536,0.516932258235433,-0.584398377042304,0.558952318412771,NA
"MED23",0.521317885285639,0.409305382244359,0.683322340802488,0.598993121992285,0.549177471170625,NA
"OSBPL8",2.26731650859828,-0.390782876346076,0.449088337226744,-0.870169282861536,0.38420789982153,0.82393681543833
"GPR108",1.99175011709847,0.239123077681177,0.464865077799056,0.514392431484262,0.606977649702476,0.904929917424905
"NOL11",0.522944179302146,0.216274026064225,0.747724207069825,0.289243044453192,0.772395394163998,NA
"IFT27",0.385599748633737,-1.08031334834831,0.715829995534253,-1.50917585891609,0.131253847760343,NA
"RNF187",1.1510218826581,0.0129252702024432,0.490874549937905,0.0263311068053501,0.978993243865056,0.996890817825507
"PAAF1",0.810461289568465,0.18538474655182,0.723603029141018,0.256196753034449,0.797798915689291,NA
"SPAG9",1.8932220985526,-0.136534873651483,0.413695828098299,-0.330036863748698,0.741372107989728,0.951693568470628
"CD151",5.52030071681272,0.423105290537527,0.244704671477479,1.72904459887463,0.0838011133247005,0.532316274968119
"ZC3H18",0.964795266167945,0.665275510696058,0.552761230803397,1.2035495140083,0.228763742791897,NA
"EIF4G2",3.47183893252542,0.397165959003059,0.46629485545872,0.851748532829824,0.394353677399796,0.82393681543833
"ARHGEF10L",5.53009684957579,0.234411576582041,0.26342352967332,0.889865749171089,0.373537977008342,0.818087999294923
"BRPF1",0.284987280762095,0.0418117927438467,0.835304340567865,0.0500557589769279,0.960077954735191,NA
"PTMS",2.17577392761205,0.182324181926104,0.472781512744102,0.38564152153045,0.699762177719034,0.937667969400472
"SRSF7",2.05012384280514,0.464854987984964,0.459310468708023,1.0120713975724,0.311503917020297,0.78111254116872
"RP11-166B2.8",0.587370678401543,0.0411463381168678,0.985141713448905,0.0417669230275689,0.966684503592096,NA
"UBR3",2.15010197827169,0.155276604108226,0.438990149731608,0.353713185143584,0.723553840300316,0.945499376724108
"DGKD",1.12461748592398,0.280073299441496,0.527246812233283,0.531199606983258,0.595280465297875,0.900603090490142
"SH3BP2",1.46890355437711,0.658845869206734,0.410094450526553,1.60657104323355,0.108148498873418,0.584776899445842
"TMC5",7.23736551537546,1.75084613595096,0.365876598589482,4.78534605028247,1.70692980313561e-06,0.000425025520980767
"LINC00863",0.343912302329162,-0.229375456191415,0.852430772728308,-0.269083969666266,0.787865065993761,NA
"UPF2",1.49372561108964,0.759410020002804,0.489129761431476,1.55257373376818,0.12052500478809,0.602020585601493
"ANKRD36",0.493259525053875,0.202665018265365,0.635524311462412,0.318894202173021,0.749806740976104,NA
"ATAD2",0.544076570953164,-0.101204928359963,0.663639893979233,-0.152499765728565,0.87879277519773,NA
"GTF2H3",0.623061982448851,0.122705309654604,0.618451325010938,0.198407384206727,0.842726340526823,NA
"DEGS2",0.887254763391122,-0.1842433402101,0.711140311095435,-0.259081558639663,0.795572313207796,NA
"RP11-123O10.4",2.31581758004423,-0.275870360789879,0.372264768620015,-0.741059546979237,0.458657336027365,0.852682875619507
"MTMR3",1.11057715224533,0.0616799569226196,0.536490722994626,0.114969288897168,0.90846946450456,0.986669038398865
"SLC5A1",1.18561231824561,1.40095569420387,0.601839908305472,2.32778796299562,0.0199233655553301,0.299791648740353
"RPS4Y1",2.12002698896929,0.44944159932164,1.22767785833845,0.366090824452858,0.714297304015663,0.941556530968238
"MTMR8",1.30861584934737,0.461557049556158,0.588638385182726,0.7841096693225,0.432975762211592,0.837366716820865
"KDSR",1.51129350747613,-0.0355559357474153,0.434922423559472,-0.0817523627694798,0.93484363820901,0.991971153044068
"KLHL42",0.526085981915309,-0.236513934961969,0.736426878332344,-0.32116418061432,0.748085975136701,NA
"EIF2B1",0.786700962202346,-0.821675018576274,0.594600644713909,-1.38189392473939,0.167004273619551,NA
