"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAK",1.02507419385486,-0.4088127885897,0.61032608504263,-0.669826832915303,0.502968186156231,0.996914553826197
"SLC25A12",1.82472339767492,0.32481179434906,0.698564178679338,0.464970584325021,0.641952521968904,0.996914553826197
"SOX4",3.40010067918897,1.51803403936869,0.703250761610761,2.1585956563939,0.0308815500385275,0.996914553826197
"CD2AP",0.836969843701363,-0.288811973349309,0.747042317252726,-0.38660724657664,0.699046992356973,0.996914553826197
"OLFM4",0.640638766757313,1.30595646673161,0.778685615696283,1.67712930662505,0.0935171990992508,0.996914553826197
"CDH17",3.7455543204736,0.254250893411403,0.439268436220499,0.578805287261244,0.562720563154687,0.996914553826197
"BCAR3",0.827791614384111,-0.459446459605665,0.652762982671388,-0.703848826913271,0.481526922672276,0.996914553826197
"HAX1",0.995379453804716,-0.85647494237647,0.598108645162429,-1.43197218315391,0.152151782347124,0.996914553826197
"KCNE4",0.374075149579699,0.437778831749108,1.77183178454338,0.247076971735175,0.8048486552159,0.996914553826197
"TNRC6B",4.31091194860674,0.151544890903308,0.39554931906838,0.383125146720604,0.70162697517965,0.996914553826197
"CCDC125",0.579954150859135,0.0595697893157313,0.816979674957809,0.072914652765147,0.941874033761082,0.998606033853696
"KIAA1468",4.2784830724038,-0.25875224688024,0.685005679548975,-0.377737374455945,0.70562570046393,0.996914553826197
"NFE2L1",0.704443701912838,0.243893684879708,0.693283978599657,0.351794780217396,0.724992173438363,0.996914553826197
"ATP2B1",1.26469559389446,-0.209647511586094,0.633565777870528,-0.330900940216087,0.740719311751663,0.996914553826197
"SDHC",0.685609599153613,-0.00384297673612273,0.739189323346459,-0.00519890725521413,0.995851890854316,0.999490367803344
"ACAD10",0.594816907548484,0.390104523310204,0.731734685633922,0.533122907754805,0.593948502560491,0.996914553826197
"RCAN2",1.2286634544599,0.0759163864893961,0.666480627222508,0.113906366349717,0.909312018800323,0.998606033853696
"SRA1",0.596115941018681,-0.50393425987583,0.75258234645799,-0.66960680415583,0.503108475439587,0.996914553826197
"CCDC12",1.25820699923369,0.425417106670674,0.653808534092235,0.650675365168388,0.515256068820531,0.996914553826197
"NDUFA4",0.887359817177311,-0.151426507225034,0.658059110736875,-0.230110798185699,0.818005674288488,0.996914553826197
"RPP21",0.415325876230666,0.102132875200233,0.874487125911608,0.116791742467066,0.907025087525265,0.998606033853696
"ATM",1.00777715937082,-0.813812079794253,0.624888689283896,-1.30233126915268,0.192803166810123,0.996914553826197
"RAP1GAP2",10.8080977323131,0.0128563851857887,0.397946686650484,0.0323068029388581,0.974227384077476,0.998776267288888
"TRIM4",0.276766027725314,0.621879809810319,0.935276470778048,0.664915486746911,0.506104549727215,0.996914553826197
"USP54",0.515956122174509,-0.77475929006847,0.765054207011884,-1.01268548420182,0.311210413509093,0.996914553826197
"TMEM260",0.392342822048021,-0.284803668707532,0.921657022379656,-0.309012638966486,0.757311912528339,0.996914553826197
"RNF187",0.354040409706611,1.0601865143752,0.855651606435601,1.23903993915424,0.215330707633381,0.996914553826197
"SPAG9",0.918904350707366,-0.167608004013488,0.603005849768582,-0.277954192447406,0.781047522723487,0.996914553826197
"CD151",0.635178104725424,0.131170866261394,0.790404775649803,0.165954040641463,0.868193118794597,0.997602357968664
"EIF4G2",1.37930908995128,0.47027369893122,0.632000968209678,0.744102814056446,0.456814277003366,0.996914553826197
