"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAK",0.313318870640361,1.00480564327005,1.02566898545275,0.979658795889699,0.327254571639489,0.999110110536721
"YTHDF2",0.899262496642297,0.212403480969778,0.907095528122321,0.234157786456572,0.814862485555987,0.999110110536721
"CDH17",0.45109613664662,-0.849583811396351,0.923877269623219,-0.919585143319775,0.357789593334277,0.999110110536721
"HAX1",0.645419777183557,-0.420375075439261,0.911405798120269,-0.461238096472794,0.644627792135626,0.999110110536721
"SPRED1",0.102413030948048,0.652629126058412,1.69385244611309,0.385292784832592,0.700020506564984,0.999110110536721
"TNRC6B",0.328855082372347,-0.124062787576242,0.901918350621904,-0.137554344570877,0.890592640174061,0.999110110536721
"KIAA1468",3.5953177562687,0.552757147219965,1.03586695805033,0.533617896510902,0.593605923763835,0.999110110536721
"ATP2B1",0.284777469918701,-0.604744510690853,0.939090039596959,-0.643968613436044,0.51959578704087,0.999110110536721
"SDHC",0.385781961477682,0.322175628778575,0.832528206147287,0.386984640760121,0.698767578703703,0.999110110536721
"PTAFR",2.09429279042501,0.293282314849513,0.679348222359818,0.431711315635379,0.665951242167626,0.999110110536721
"NDUFA4",1.3171607923456,0.0999890603208007,0.652104026366539,0.153332990256064,0.878135685814716,0.999110110536721
"ATM",0.256731005324254,0.641659920451985,1.16586922885674,0.5503704056768,0.582065342757911,0.999110110536721
"RAP1GAP2",1.24360792315107,0.104214927354717,1.69033008381795,0.0616535955624279,0.950838694999499,0.999110110536721
"EIF3E",0.152393853953211,0.987514547352931,1.14967333173509,0.85895229548603,0.390366835625474,0.999110110536721
"RNF187",0.204498679935734,0.581038148220917,0.981244592704722,0.59214405107633,0.553754130948022,0.999110110536721
"EIF4G2",0.904356388363518,-0.167373160496102,0.746477124085812,-0.224217400769084,0.822588144284337,0.999110110536721
"ARHGEF10L",0.641499434089919,0.774060773377974,0.925271763692031,0.836576672662426,0.402830562407451,0.999110110536721
"PTMS",0.710401620615048,-0.0909952490992142,0.831194521698698,-0.109475275310103,0.912825531330002,0.999110110536721
