"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRRC49",0.849317901028487,-0.378522396165851,0.578510372346949,-0.654305288650626,0.512915139285917,0.999991016086354
"FER1L5",0.774754098169227,-0.200841890613535,0.628841017815818,-0.319384208287061,0.749435184233797,0.999991016086354
"AREL1",5.63925334774215,0.118415601570019,0.258274106245442,0.458488089617032,0.646601817462963,0.999991016086354
"GAK",20.5302962516088,-0.240655177952612,0.158281052674713,-1.52042947583365,0.128403071015976,0.999991016086354
"ZNF714",3.64385929933495,0.282883558166766,0.306840621628285,0.92192342938693,0.356568517140651,0.999991016086354
"ZNF707",0.691433871608517,-0.772147815447479,0.497169680759696,-1.55308709547132,0.120402328609955,0.999991016086354
"FO538757.1",8.39362741933081,-0.400340858162871,0.210537911799477,-1.90151433887199,0.0572346761720573,0.999991016086354
"ZMAT3",1.41980692197213,0.0232189590014586,0.398559294460643,0.058257226275152,0.953543738103666,0.999991016086354
"PCBP3",1.7681857187854,-0.440843934813038,0.390967678284313,-1.12757130396967,0.259501011382522,0.999991016086354
"EMC3",10.8315986529791,-0.0417827692896875,0.195673102615431,-0.213533534917192,0.83091083514372,0.999991016086354
"WWC3",1.64921833556144,0.758170205358843,0.357301021653279,2.12193685271508,0.0338430412066099,0.999991016086354
"SLC25A12",7.52361321615941,-0.217911493215679,0.259182315495751,-0.840765284463444,0.400479438923942,0.999991016086354
"SOX4",15.0212377546466,0.149232341903528,0.203484164137559,0.733385531675303,0.463323321112222,0.999991016086354
"PRR5L",9.32939386588659,-0.0588367677918437,0.221329703517245,-0.265833129746452,0.790367727080435,0.999991016086354
"ADAP1",4.16091457876176,0.392243640141559,0.287102958451517,1.36621246349085,0.171872286681349,0.999991016086354
"CREB3",3.92964144405592,-0.0659270294710793,0.257621524608752,-0.255906526332388,0.798023015104617,0.999991016086354
"PRDX2",7.78119498195828,0.155788855758482,0.308834611310978,0.504441050493568,0.61395147723908,0.999991016086354
"CD2AP",9.69427700892003,-0.0222336566725565,0.19658336489328,-0.113100397302827,0.90995096001236,0.999991016086354
"OLFM4",121.472736027306,0.530092102247721,0.485216251132881,1.09248629041188,0.274619413158551,0.999991016086354
"RMDN3",6.05205681192118,-0.200142606254459,0.225145283291562,-0.888948697163135,0.374030652251847,0.999991016086354
"RP11-519G16.5",3.22134182828463,0.763358152449665,0.399152918283593,1.91244537490093,0.0558190927311446,0.999991016086354
"YTHDF2",8.41965024318361,0.0171842334596423,0.205106104789873,0.0837821647349172,0.933229628635764,0.999991016086354
"CYFIP2",2.99029639533155,0.216139599863406,0.341301767278534,0.633280048875385,0.526550779545579,0.999991016086354
"TSTA3",6.47279221553261,-0.106127237858912,0.235203502270641,-0.451214530542132,0.651834938046586,0.999991016086354
