"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WWC3",0.163330828446038,-0.624181635276768,1.60907592264601,-0.387913103721262,0.698080340617483,0.999830168988582
"SOX4",0.29503329392765,-0.30476798977585,1.34151201393348,-0.227182452792377,0.820281871635664,0.999830168988582
"MAPK10",0.384194293910667,-0.710333872241253,1.29162851222048,-0.549952146085795,0.582352196420252,0.999830168988582
"CREB3L1",0.291513027128715,-0.485159647057712,1.27634951470305,-0.380115040174234,0.703860021804475,0.999830168988582
"TNRC6B",0.923328587122501,-1.05875028807087,0.80761723052903,-1.31095554682177,0.189872782575697,0.999830168988582
"KIAA1468",2.50593397181638,0.649985521035007,1.80860653974454,0.359384701288769,0.719307317927456,0.999830168988582
"NFE2L1",1.26618607677703,-0.703131515040042,0.87325574097842,-0.805183959343037,0.420713531519239,0.999830168988582
"SDHC",0.0968108345278424,-0.626014473211645,2.32169038735372,-0.269637362768764,0.787439253261205,0.999830168988582
"RCAN2",0.974828670277537,-0.0775375785504048,0.976003092686778,-0.0794439885809751,0.936679481354945,0.999830168988582
"ADAMTS14",0.190188978378757,-0.701308452282831,1.81198378146301,-0.387039033934723,0.698727310657943,0.999830168988582
"NDUFA4",0.892792954226655,0.207685258486415,1.02382568883814,0.202852165901504,0.839250582963037,0.999830168988582
"SERPINH1",1.90308637960783,0.251643472767887,0.778883960158785,0.323082109325485,0.746633059012205,0.999830168988582
"RNF187",0.183398616201556,-0.224919615327412,1.77565789225128,-0.126668327445804,0.899202914906061,0.999830168988582
"CD151",0.969130769393468,-0.542779953217639,0.887993994991059,-0.611242819522787,0.541038839629965,0.999830168988582
"EIF4G2",0.523426387846435,-0.297285455887004,1.05556494068117,-0.281636348868467,0.778222365564771,0.999830168988582
"PTMS",1.35554619858598,-0.517668122387436,0.661256478377139,-0.782855275244941,0.433712103823825,0.999830168988582
"UBR3",0.17736374513927,-0.176710674572426,2.00722164530764,-0.0880374496685654,0.929846911153944,0.999830168988582
"FN1",0.543102325663752,0.731415172230483,1.23342711375275,0.592994238634112,0.5531850079856,0.999830168988582
"KDSR",0.181079734401574,-0.0870202007662303,1.64317976524642,-0.052958417944722,0.957765038866138,0.999830168988582
"DNAJC1",0.189878714162,-1.2426060659213,1.87358679068689,-0.663223114134864,0.507187670002728,0.999830168988582
"GSTO1",0.40258596114863,-0.292182223373553,1.11057764111886,-0.26309031674651,0.792480967240192,0.999830168988582
"MUC2",0.18455584795059,0.204905800825268,2.25179520071736,0.0909966415951105,0.927495259605336,0.999830168988582
"VPS53",0.244398892739406,0.111634472473067,1.47359315524996,0.0757566442782033,0.939612709807858,0.999830168988582
"B4GALT1",0.879988553849795,0.612945479231743,0.969714952606111,0.632088303459126,0.527329177751727,0.999830168988582
"DAP3",0.233335018433859,-0.247649036978191,1.36955310270517,-0.180824705875975,0.856505170283666,0.999830168988582
"IL34",0.385172612042272,0.413130876533198,1.18466575627064,0.348732015208867,0.72729050668783,0.999830168988582
"PARVA",0.391081760560127,0.160046775817433,1.00173962934991,0.159768837258936,0.873063172963204,0.999830168988582
"FOXK1",0.335805464516655,-0.0305628052176424,1.08005734445111,-0.0282973912215508,0.977424961271786,0.999830168988582
"TUBB",1.99028158569069,0.626580510953504,0.704757560941341,0.889072421041618,0.373964159625712,0.999830168988582
"FBLN1",2.91361475814347,-1.61322635582301,0.822589912584473,-1.96115504353129,0.0498609393581368,0.999830168988582
"PTCH1",1.25471295330833,0.362678257169636,1.04831100202407,0.345964371707804,0.729369490493666,0.999830168988582
"GABARAPL2",0.277616041072837,-0.129958298268213,1.52625772848377,-0.0851483310078423,0.932143467205271,0.999830168988582
"NPIPB4",1.04958158446687,-0.732420274865974,1.06995057392369,-0.684536550300695,0.493636417473266,0.999830168988582
"SNRPG",0.0959331595578491,-0.408939666590581,2.05145716442961,-0.199341070182317,0.841995954425333,0.999830168988582
"MAP4K4",0.55643806938015,0.392288004041718,1.46493631189644,0.267785023045732,0.788864799716026,0.999830168988582
