"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AREL1",1.00300186832803,-0.489193182798706,0.504928759275064,-0.968836046298987,0.332626998537412,0.999988017940475
"GAK",2.3294068510475,-0.262498638209467,0.363055097987511,-0.723026999660798,0.469663296548388,0.999988017940475
"ZNF714",0.349038998384258,-0.269676081866918,0.63288893353823,-0.426103329630472,0.670032554090641,0.999988017940475
"ZNF707",0.508590260401185,-0.522276491173926,0.708049785782489,-0.737626790744299,0.460741270686068,0.999988017940475
"FO538757.1",1.17975746103636,-0.532609006231923,0.450809103009971,-1.1814513120427,0.237423484213434,0.999988017940475
"ZMAT3",0.620173569552803,-0.532742107482776,0.557785064061965,-0.955102855575195,0.339525685044218,0.999988017940475
"PCBP3",0.215092727642878,0.181854835502816,0.910801210588048,0.199664683565148,0.841742835994656,0.999988017940475
"EMC3",0.993730799310244,-0.624263898180566,0.444790150256806,-1.40350207355118,0.160467174081845,0.999988017940475
"WWC3",1.37035199116063,-0.346274081819823,0.490714770697618,-0.70565245331325,0.480404296034824,0.999988017940475
"SLC25A12",1.7676974661659,-0.00807199840577215,0.486014932662369,-0.0166085399095746,0.986748911636121,0.999988017940475
"SOX4",0.341433104739942,-0.546446642606764,0.739273922354484,-0.739166668920781,0.459805797649134,0.999988017940475
"PRR5L",1.03167357895511,-1.00756875806612,0.538269527011124,-1.87186661608153,0.0612250592080719,0.999988017940475
"PRDX2",0.263971423024819,-0.287693347453627,0.826126458510476,-0.348243715583622,0.72765715970593,0.999988017940475
"CD2AP",1.25484817957045,0.314523779787725,0.612847636567641,0.51321692541603,0.607799587739449,0.999988017940475
"OLFM4",1.04613537965649,0.775453066212728,0.843762675462586,0.919041679329549,0.358073772106665,0.999988017940475
"RMDN3",0.892677194664427,0.186738811410458,0.503574867610966,0.370826312870565,0.710766901635141,0.999988017940475
"YTHDF2",1.27202254165682,-0.0172849479298294,0.499893258697353,-0.034577277506945,0.972416820585703,0.999988017940475
"CYFIP2",5.07403449797077,0.0626888188835031,0.321067336977592,0.195251312306111,0.845196210574936,0.999988017940475
"TSTA3",0.638458403531343,-0.176304238706904,0.66896020663023,-0.263549665524958,0.792126948546877,0.999988017940475
"CLTCL1",0.176711694975028,-0.900996936191122,1.06781842084826,-0.843773546700365,0.398795960344543,0.999988017940475
"PNPLA8",0.46331686812984,0.302490933339633,0.693700721528336,0.436053940773186,0.662797593853215,0.999988017940475
"CDH17",2.72675625403791,-0.421349904804072,0.481424988487796,-0.875214031011508,0.381457460197064,0.999988017940475
"ZNF511",0.260311592178945,0.423470703832568,0.740159549277806,0.572134351635076,0.567230958342721,0.999988017940475
