"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000976","transcription cis-regulatory region binding",130,-0.459739590780367,-1.73441179677277,0.000359239316399105,0.025066700633063,0.0239610290515286,478,"tags=41%, list=20%, signal=35%","6934/1997/3516/9516/5927/64332/6498/2354/10865/430/6239/10365/9611/27086/864/23064/2186/51274/3394/9208/3148/170506/2353/23135/9967/3726/3159/9314/3660/1390/27316/6773/1385/4773/1958/7071/1316/7494/1051/3280/5966/467/23512/6421/9921/7050/4929/3725/3164/22803/25976/3191/4321","Down","MF",0.0512618296529968,130,2
"GO:0001067","transcription regulatory region nucleic acid binding",130,-0.459739590780367,-1.73441179677277,0.000359239316399105,0.025066700633063,0.0239610290515286,478,"tags=41%, list=20%, signal=35%","6934/1997/3516/9516/5927/64332/6498/2354/10865/430/6239/10365/9611/27086/864/23064/2186/51274/3394/9208/3148/170506/2353/23135/9967/3726/3159/9314/3660/1390/27316/6773/1385/4773/1958/7071/1316/7494/1051/3280/5966/467/23512/6421/9921/7050/4929/3725/3164/22803/25976/3191/4321","Down","MF",0.0512618296529968,130,2
"GO:0003823","antigen binding",32,0.673168943199527,2.30217461426296,4.28244469186276e-06,0.000652359074727094,0.000623584051622122,521,"tags=66%, list=22%, signal=52%","3503/3118/3493/3514/3120/3512/3507/3538/3106/30835/3539/3107/3115/3111/7106/3105/23428/3109/3122/3123/3117","Up","MF",0.0126182965299685,32,4
"GO:0006351","DNA-templated transcription",491,-0.350578656174682,-1.45912594896058,0.00052102313945566,0.0303732807432674,0.0278211398867233,506,"tags=30%, list=21%, signal=29%","6427/1052/4848/149951/1499/6046/302/10456/6934/1997/3516/170463/9516/5315/7040/65056/9049/3337/22980/3479/5927/51282/64332/7533/3190/7324/3281/10096/548644/57018/6498/91612/7323/2354/10865/4841/430/22900/6281/6239/56943/10365/9611/8543/1654/27086/864/51322/23064/2186/51274/10049/3394/3428/7832/4194/9208/3148/1831/10475/1973/170506/81628/307/51773/29994/5728/51278/10138/6446/6418/114548/6827/51284/2353/23135/7037/9967/58508/3726/54765/79101/3159/9314/10474/3660/8878/1390/5771/3309/27316/10657/6773/1843/3162/7128/7073/80173/6648/57600/3553/1385/4773/11261/3627/1958/7071/1316/10135/7494/1051/10318/5359/7295/3280/3303/3304/1984/9592/5966/467/7538/23512/6421/3586/9921/7050/4792/6949/4929/1028/90826/1820/4072/6478/3725/10974/473/3164/399/22803/1844/3191/4321/3429","Down","BP",0.193611987381703,491,2
"GO:0006355","regulation of DNA-templated transcription",470,-0.358841030389464,-1.48941248293321,0.00015565981845522,0.0142595512263443,0.0130613802553403,506,"tags=30%, list=21%, signal=30%","6427/1052/4848/149951/1499/6046/302/10456/6934/1997/3516/170463/9516/5315/7040/65056/9049/3337/22980/3479/5927/51282/64332/7533/3190/7324/3281/10096/57018/6498/91612/7323/2354/10865/4841/430/22900/6281/6239/56943/10365/9611/8543/1654/27086/864/51322/23064/2186/51274/10049/3394/3428/7832/4194/9208/3148/1831/10475/1973/170506/81628/307/51773/29994/5728/51278/10138/6446/6418/114548/6827/51284/2353/23135/7037/9967/58508/3726/54765/79101/3159/9314/10474/3660/8878/1390/5771/3309/27316/10657/6773/1843/3162/7128/7073/80173/6648/57600/3553/1385/4773/11261/3627/1958/7071/1316/10135/7494/1051/10318/5359/7295/3280/3303/3304/1984/9592/5966/467/7538/23512/6421/3586/9921/7050/4792/4929/1028/90826/1820/4072/6478/3725/10974/473/3164/399/1844/3191/4321/3429","Down","BP",0.185331230283912,470,2
"GO:0006357","regulation of transcription by RNA polymerase II",349,-0.391770141688671,-1.59596853676775,6.76788419511763e-05,0.00798716292757317,0.00731603474067644,485,"tags=32%, list=20%, signal=30%","6046/302/10456/6934/1997/3516/170463/9516/5315/7040/65056/3337/22980/3479/5927/64332/3190/7324/3281/10096/57018/6498/7323/2354/10865/430/6281/6239/56943/10365/9611/8543/1654/27086/864/23064/2186/51274/3394/3428/7832/4194/9208/3148/1831/1973/170506/81628/307/29994/5728/51278/114548/6827/51284/2353/23135/9967/58508/3726/3159/9314/10474/3660/8878/1390/5771/3309/27316/10657/6773/1843/3162/7073/80173/6648/57600/3553/1385/4773/3627/1958/7071/1316/10135/7494/1051/10318/5359/7295/3280/3303/1984/9592/5966/467/7538/23512/6421/3586/9921/7050/4792/4929/1028/1820/4072/3725/10974/3164/1844/4321/3429","Down","BP",0.137618296529968,349,2
"GO:0006366","transcription by RNA polymerase II",368,-0.380157435592497,-1.55385640697071,9.19677242575261e-05,0.00943588850882217,0.0086430299175915,485,"tags=31%, list=20%, signal=29%","6046/302/10456/6934/1997/3516/170463/9516/5315/7040/65056/3337/22980/3479/5927/64332/3190/7324/3281/10096/548644/57018/6498/7323/2354/10865/430/6281/6239/56943/10365/9611/8543/1654/27086/864/23064/2186/51274/3394/3428/7832/4194/9208/3148/1831/1973/170506/81628/307/29994/5728/51278/114548/6827/51284/2353/23135/9967/58508/3726/3159/9314/10474/3660/8878/1390/5771/3309/27316/10657/6773/1843/3162/7073/80173/6648/57600/3553/1385/4773/3627/1958/7071/1316/10135/7494/1051/10318/5359/7295/3280/3303/1984/9592/5966/467/7538/23512/6421/3586/9921/7050/4792/4929/1028/1820/4072/3725/10974/3164/22803/1844/4321/3429","Down","BP",0.145110410094637,368,2
"GO:0006638","neutral lipid metabolic process",18,0.699730884877172,2.04596025703983,0.00024721026563336,0.0186498332749873,0.0170827651050669,482,"tags=67%, list=20%, signal=54%","341/348/10555/11343/3988/79718/6653/23399/9663/26090/3638/6400","Up","BP",0.00709779179810726,18,3
"GO:0006639","acylglycerol metabolic process",18,0.699730884877172,2.04596025703983,0.00024721026563336,0.0186498332749873,0.0170827651050669,482,"tags=67%, list=20%, signal=54%","341/348/10555/11343/3988/79718/6653/23399/9663/26090/3638/6400","Up","BP",0.00709779179810726,18,3
"GO:0006641","triglyceride metabolic process",17,0.694713726143751,2.00100006265618,0.00054683770356247,0.0304921458616899,0.0279300172620465,482,"tags=65%, list=20%, signal=52%","341/348/10555/11343/3988/79718/6653/23399/9663/3638/6400","Up","BP",0.00670347003154574,17,3
