"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000118","histone deacetylase complex",64,0.549262482219106,1.5299316478312,6.48640838088012e-05,0.0055732993565952,0.00463330508712161,1688,"tags=48%, list=25%, signal=37%","8204/8932/53615/7764/8473/23186/79718/9219/10847/473/9759/1107/55818/51780/51317/1108/55209/6907/8295/79685/57459/81611/10902/51564/55809/23468/23309/54815/57649/221037/55758","Up","CC",0.00863348172130042,64,2
"GO:0000122","negative regulation of transcription by RNA polymerase II",429,0.426978942052033,1.29892016296215,6.0487284148404e-06,0.00135340569766391,0.00118850980137976,2147,"tags=46%, list=32%, signal=34%","6659/161882/3429/3096/8204/90378/9839/3727/6304/8932/53615/4853/7764/6872/1021/6929/4089/10009/571/441478/56957/7124/8473/5569/2033/23429/6720/79718/7227/1387/9219/8725/10608/4094/23515/57680/4193/51341/2186/2005/4205/639/54039/1050/9759/1788/1107/79813/153222/2120/2308/23405/55183/5927/7799/23613/8850/23028/6498/57708/8861/7157/22882/9612/4194/163126/51317/4851/7091/10499/5788/4084/1108/55689/8452/29915/11244/29966/4999/6907/2145/6597/7421/23013/6595/84614/84458/3054/165631/51513/23512/3720/864/604/79685/10507/55729/25836/57459/4097/1487/10664/4782/84524/83666/5814/861/51043/4790/6721/57727/1523/6310/51564/121536/7975/2063/84295/6935/1822/112939/26036/648/171392/49854/4779/79413/6829/2004/3192/23468/4204/6421/146198/9646/3428/3214/23309/5813/57659/54815/8239/10155/57649/3516/3068/5325/1499/23038/29995/5993/8535/54880/3303/168451/5933/10915/51574/50943/23466/10614/79648/5981/4591/9960/23411/22828/7528/11278/23019/9205/1647/7534/7700/430/4773/170959/1739/2672/2146/5469/6772/8531/51592/64324/5663/1386/8241/6670/51132/27033/55869/56257/6778/200014/9975/811","Up","BP",0.0578713071630919,429,2
"GO:0000775","chromosome, centromeric region",151,0.453449713445601,1.33332435111861,0.000902146445822794,0.026897368800013,0.0223608508564701,2281,"tags=49%, list=34%, signal=33%","1059/115426/23291/9770/7153/324/7514/9793/1783/5905/253635/6601/25909/9918/55920/1788/8467/2332/8850/196528/23244/9031/79902/10735/3070/6602/1063/1060/5516/4999/1639/55274/23332/6597/55320/7798/10320/29117/6599/6603/51112/10664/23310/23047/546/4928/23137/84295/6249/11335/5885/55193/3192/23468/10274/51143/23421/348235/8243/7158/2146/11143/9682/284058/5663/23081/9126/4659/7405/54820/1452/55746/90417/10951","Up","CC",0.0203696209361932,151,3
"GO:0000793","condensed chromosome",148,0.460487548244862,1.3529077753113,0.000412401665039535,0.0155534342243482,0.0129301875429689,1798,"tags=41%, list=26%, signal=30%","1059/7273/23291/22920/9770/7153/324/7514/9793/1783/5905/27030/253635/6601/25909/9918/8467/55183/8850/196528/9031/79902/10111/6602/1063/1060/23476/4999/1639/55274/57820/23332/6597/641/29117/6599/6603/51112/10664/23310/546/4928/23137/84295/6249/10592/11335/5885/55193/10128/3192/23468/493861/51143/23421/348235/84365/8243/7158/11073","Up","CC",0.0199649264805072,148,3
"GO:0000902","cell morphogenesis",312,0.447281862949313,1.35264559087418,2.8031392750984e-06,0.00079729289953156,0.000700152531720067,2473,"tags=53%, list=36%, signal=35%","161882/9202/200933/4853/4089/5781/254065/23218/27020/2033/4647/5306/3708/6683/23499/9043/5591/5062/1889/8408/113251/4205/473/1857/91010/26037/5339/10427/2768/161176/283149/4891/5795/8826/9733/63925/2909/23405/6794/334/538/2803/6498/6259/4650/5921/4289/1729/10939/51199/4851/5911/50488/8452/23032/9373/9746/118987/7976/7421/9113/7798/23394/23181/57498/2011/5588/7155/5605/8301/79006/8546/7074/604/23607/10507/104/23011/54434/11078/3575/22902/3688/54764/23230/55619/8874/80208/1523/6760/440275/64919/9252/171023/93663/51542/4649/3071/23077/8831/4204/4627/150465/54776/673/6093/8239/752/1499/51347/2932/55605/3676/4076/6722/9585/27067/9344/4771/133418/4343/26999/6868/51177/128637/5532/6654/54014/9448/1385/2316/5530/8314/1739/7168/5469/998/29780/2355/5663/23345/85369/4660/55023/4659/1432/50618/56978/8851/170506/57609/4478/6239/1398/6049/5728/54915/23043/1785/56882/11252/596/23390/30011/7040","Up","BP",0.0420882233913395,312,1
"GO:0000976","transcription cis-regulatory region binding",473,0.434178082943117,1.32322877508157,4.00322685930124e-07,9.0661314166528e-06,6.77945848928104e-06,2439,"tags=51%, list=36%, signal=35%","6659/3096/8204/9839/3727/22806/6304/22807/4853/7764/6872/54816/27107/6873/6929/4089/10009/2113/571/10725/7124/55755/6720/79718/51621/7227/57801/9988/10608/283337/4094/7626/8648/152518/6777/7404/51341/2186/6667/2005/57786/23064/64375/4205/639/6938/1050/9759/1788/1107/63925/153222/7342/2120/2308/27161/5927/7799/7543/8850/6498/7157/7343/3091/440515/59269/196/81/126626/81856/4851/10499/3662/4084/253461/23476/9841/6907/7587/6597/5451/7421/6595/84614/23394/84914/10320/9575/339500/5989/29117/51513/2475/22887/4209/23512/55609/7634/864/604/146050/6773/64864/7544/7150/4097/100101467/84146/23269/79818/10664/4782/84524/5814/904/23135/861/51043/4790/6721/8085/1523/7559/5089/79692/7975/200424/2063/64919/55749/6935/112939/1106/4086/2000/64764/339123/171392/4779/79413/988/7581/5929/51427/2004/3192/860/221785/7675/6421/6776/146198/23300/3214/5813/57659/3097/3516/3068/5325/23152/26523/7716/5993/8535/54880/5933/6671/6722/170960/22809/50943/9960/1871/23411/7528/11278/22877/5966/55810/7024/405/7700/10419/430/1385/5452/2957/4773/170959/2672/2146/5469/6772/94039/6932/8531/23099/2355/7776/64324/1386/6670/163131/27033/1628/6778/200014/22803/84166/9975/22890/7019/7586/7582/84436/51742/170506/7029/7593/7403/6239/9603/4791/4801/3344/1112/7690/1960/7644/7520/4221/126070/5991/10522/6294/6497/57658/90592/22926/4087/5934/55922","Up","MF",0.0638068258464859,473,2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",410,0.430916859892368,1.30685602288238,5.4957081387931e-06,9.8411517834202e-05,7.35900208548304e-05,2439,"tags=51%, list=36%, signal=35%","6659/3096/8204/9839/3727/22806/6304/22807/7764/6872/54816/27107/6929/4089/10009/2113/571/10725/6720/51621/7227/57801/9988/10608/283337/4094/7626/8648/152518/6777/7404/51341/2186/6667/2005/57786/64375/4205/639/6938/1050/9759/1788/63925/153222/7342/2120/2308/7799/7543/8850/6498/7157/3091/440515/59269/196/81/81856/10499/3662/4084/253461/9841/7587/5451/7421/84614/23394/84914/10320/9575/339500/5989/51513/22887/4209/23512/55609/7634/864/604/146050/6773/64864/7544/7150/4097/100101467/84146/23269/79818/10664/4782/84524/5814/23135/861/51043/4790/6721/1523/7559/5089/79692/7975/200424/2063/64919/55749/6935/112939/1106/4086/2000/64764/171392/4779/79413/988/7581/51427/2004/3192/860/221785/7675/6776/146198/3214/5813/57659/3097/3516/3068/5325/23152/7716/5993/54880/5933/6671/6722/170960/22809/50943/9960/1871/23411/7528/11278/22877/5966/55810/7024/405/7700/10419/430/1385/5452/2957/4773/170959/2672/2146/5469/6772/94039/6932/8531/23099/2355/7776/64324/1386/6670/163131/27033/1628/6778/200014/84166/9975/22890/7586/7582/84436/170506/7029/7593/7403/6239/9603/4791/4801/7690/1960/7644/126070/5991/10522/6294/6497/57658/90592/22926/4087/5934/55922","Up","MF",0.0553082422770808,410,2
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",356,0.422860543306594,1.28008330568546,5.8095838185476e-05,0.00095178288091099,0.000711722810469326,2471,"tags=51%, list=36%, signal=34%","6659/3096/8204/9839/3727/22806/6304/22807/7764/54816/27107/6929/4089/10009/2113/571/10725/6720/51621/57801/9988/10608/283337/4094/7626/6777/7404/51341/2186/6667/2005/57786/64375/4205/639/6938/1050/9759/1788/63925/7342/2120/2308/7543/6498/7157/3091/440515/59269/196/81856/10499/3662/4084/253461/9841/7587/5451/7421/84614/84914/10320/9575/339500/5989/22887/4209/23512/55609/864/604/146050/6773/64864/7544/7150/4097/100101467/84146/23269/79818/10664/4782/23135/861/51043/4790/6721/7559/79692/7975/200424/2063/64919/55749/6935/112939/1106/4086/2000/64764/171392/4779/7581/51427/2004/3192/860/221785/7675/6776/3214/57659/3097/3516/3068/5325/5993/6671/6722/170960/50943/9960/1871/23411/7528/11278/22877/5966/55810/7024/405/7700/10419/430/1385/5452/4773/170959/2672/2146/5469/6772/6932/23099/2355/7776/64324/1386/6670/163131/27033/1628/6778/200014/84166/9975/22890/7586/7582/84436/170506/7593/7403/6239/9603/4791/4801/7690/1960/7644/5991/6294/6497/57658/22926/4087/55922/144348/84307","Up","MF",0.0480237420747336,356,2
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",376,0.437661606029845,1.326587785806,3.56014527542807e-06,6.52693300495145e-05,4.88070041518584e-05,2621,"tags=56%, list=39%, signal=36%","6659/3096/9839/3727/22806/6304/4853/7764/54816/27107/6929/4089/10009/2113/571/10725/6720/51621/7227/57801/9988/10608/283337/4094/7626/152518/6777/51341/6667/2005/57786/4205/639/6938/1050/153222/7342/2120/2308/7799/11057/7543/58487/23036/22834/6498/7157/22882/3091/440515/59269/196/9923/6018/81856/4851/3662/4084/253461/11244/7587/5451/7421/84614/23394/84914/9575/339500/5989/51513/22887/4209/55609/7634/864/604/146050/6773/64864/7544/4097/5326/100101467/84146/23269/79818/10664/4782/84524/5814/126208/861/51043/4790/6721/1523/7559/5089/79692/7975/2063/64919/6935/112939/26036/4086/2000/64764/171392/49854/4779/79413/988/7581/93349/22850/51427/2004/860/221785/7675/6776/146198/23300/3214/5813/57659/3097/3516/3068/5325/23152/7716/5993/6671/6722/170960/22809/50943/1871/7528/11278/22877/5966/55810/85460/7024/405/7700/430/1385/5452/11262/4773/170959/2672/6772/94039/6932/23099/2355/7776/1386/6670/163131/27033/1628/6778/200014/9975/22890/7586/7582/2969/84436/1998/7029/7593/6239/9603/4791/4801/3344/1112/7690/1960/7644/126070/5991/10522/6497/90592/22926/4087/55922/144348/84307/5359/80714/55279/90338/100381270/3090/23528/7748/54989/8848/5971/4775/6774","Up","MF",0.05072170511264,376,2
"GO:0000987","cis-regulatory region sequence-specific DNA binding",370,0.420046857587684,1.27249219100163,5.8095838185476e-05,0.00095178288091099,0.000711722810469326,2471,"tags=50%, list=36%, signal=34%","6659/3096/8204/9839/3727/22806/6304/22807/4853/7764/54816/27107/6929/4089/10009/2113/571/10725/6720/51621/57801/9988/10608/283337/4094/7626/6777/7404/51341/2186/6667/2005/57786/64375/4205/639/6938/1050/9759/1788/63925/7342/2120/2308/7543/6498/7157/3091/440515/59269/196/81856/4851/10499/3662/4084/253461/9841/7587/5451/7421/84614/84914/10320/9575/339500/5989/2475/22887/4209/23512/55609/864/604/146050/6773/64864/7544/7150/4097/100101467/84146/23269/79818/10664/4782/23135/861/51043/4790/6721/7559/79692/7975/200424/2063/64919/55749/6935/112939/1106/4086/2000/64764/339123/171392/4779/7581/51427/2004/3192/860/221785/7675/6776/3214/57659/3097/3516/3068/5325/5993/6671/6722/170960/50943/9960/1871/23411/7528/11278/22877/5966/55810/7024/405/7700/10419/430/1385/5452/4773/170959/2672/2146/5469/6772/6932/23099/2355/7776/64324/1386/6670/163131/27033/1628/6778/200014/84166/9975/22890/7586/7582/84436/170506/7593/7403/6239/9603/4791/4801/3344/1112/7690/1960/7644/5991/6294/6497/57658/22926/4087/55922/144348/84307","Up","MF",0.049912316201268,370,2
"GO:0001067","transcription regulatory region nucleic acid binding",473,0.434178082943117,1.32322877508157,4.00322685930124e-07,9.0661314166528e-06,6.77945848928104e-06,2439,"tags=51%, list=36%, signal=35%","6659/3096/8204/9839/3727/22806/6304/22807/4853/7764/6872/54816/27107/6873/6929/4089/10009/2113/571/10725/7124/55755/6720/79718/51621/7227/57801/9988/10608/283337/4094/7626/8648/152518/6777/7404/51341/2186/6667/2005/57786/23064/64375/4205/639/6938/1050/9759/1788/1107/63925/153222/7342/2120/2308/27161/5927/7799/7543/8850/6498/7157/7343/3091/440515/59269/196/81/126626/81856/4851/10499/3662/4084/253461/23476/9841/6907/7587/6597/5451/7421/6595/84614/23394/84914/10320/9575/339500/5989/29117/51513/2475/22887/4209/23512/55609/7634/864/604/146050/6773/64864/7544/7150/4097/100101467/84146/23269/79818/10664/4782/84524/5814/904/23135/861/51043/4790/6721/8085/1523/7559/5089/79692/7975/200424/2063/64919/55749/6935/112939/1106/4086/2000/64764/339123/171392/4779/79413/988/7581/5929/51427/2004/3192/860/221785/7675/6421/6776/146198/23300/3214/5813/57659/3097/3516/3068/5325/23152/26523/7716/5993/8535/54880/5933/6671/6722/170960/22809/50943/9960/1871/23411/7528/11278/22877/5966/55810/7024/405/7700/10419/430/1385/5452/2957/4773/170959/2672/2146/5469/6772/94039/6932/8531/23099/2355/7776/64324/1386/6670/163131/27033/1628/6778/200014/22803/84166/9975/22890/7019/7586/7582/84436/51742/170506/7029/7593/7403/6239/9603/4791/4801/3344/1112/7690/1960/7644/7520/4221/126070/5991/10522/6294/6497/57658/90592/22926/4087/5934/55922","Up","MF",0.0638068258464859,473,2
"GO:0003007","heart morphogenesis",68,0.542731974123245,1.53859179854363,8.97707884907156e-05,0.0101692765623328,0.00893027485264466,2136,"tags=59%, list=31%, signal=41%","6659/161882/7273/4853/5311/4089/57534/324/4193/10427/54806/7157/196528/3091/4194/6261/4851/27031/9645/57178/2475/25836/171023/2931/90/3516/1499/6722/64783/388591/6654/2316/23059/7168/5469/998/5663/1386/27250/7048","Up","BP",0.00917307432888169,68,1
"GO:0003008","system process",460,0.445089664139795,1.35677429470515,3.26101683142881e-08,3.24634225568738e-05,2.85081524052802e-05,2071,"tags=42%, list=30%, signal=32%","7033/2168/5284/388125/157506/7037/9839/4363/7273/27347/2153/153396/145741/4089/5781/9943/7124/2033/4647/51474/6720/11215/4297/493/5306/3708/5026/9475/23208/7402/9444/7248/5062/1889/57680/4193/5566/7423/4205/1121/26058/5339/9759/2768/488/4891/5795/2332/2909/7357/2308/207/23405/6510/23613/340481/5144/8850/2035/5770/3572/4763/23262/3091/1729/6261/4976/10059/4851/2744/6103/5286/2771/1522/55209/1639/6907/10765/2171/9194/5290/8925/157680/8140/7421/285331/9867/4864/84061/5141/6548/23394/54532/8301/817/8546/20/2475/3720/4302/7074/23607/104/25836/8870/23287/54434/109/11078/151556/11190/4012/5348/3688/23230/3320/22876/3605/54407/29766/80223/29909/1314/80208/5330/3064/6310/51762/136319/2063/28964/440275/65125/8411/894/134430/80204/6416/51542/4649/7133/11272/3949/23077/8831/4204/2931/22930/673/6093/9150/5443/3658/2778/23152/5567/29995/2932/10142/4155/3676/6722/130507/4739/7528/8106/285440/6533/26258/6509/388591/157378/7132/5532/7534/1385/18/2316/5530/1739/6566/7168/2146/79706/5082/998/8837/6772/9682/26018/585/5663/613/23345/4660","Up","BP",0.0620531498718468,460,1
"GO:0003013","circulatory system process",138,0.493405622070318,1.45765242064483,2.72269402907387e-05,0.0049280761926237,0.00432765050937004,2056,"tags=48%, list=30%, signal=34%","388125/7037/9839/4363/7273/27347/2153/153396/145741/7124/6720/493/9475/1889/4193/5566/7423/4205/5339/2768/488/5795/2909/6510/340481/5144/8850/5770/10059/5286/1522/2171/9194/5290/8140/6548/817/20/2475/8870/4012/5348/3688/3320/54407/65125/4204/2931/6093/5443/10142/3676/6533/26258/6509/388591/157378/18/2316/1739/6566/7168/998/6772/585/613","Up","BP",0.018615944961554,138,1
"GO:0003682","chromatin binding",357,0.486884697909482,1.47405277513339,1e-10,7.7e-08,5.75789473684211e-08,2044,"tags=52%, list=30%, signal=38%","2168/1059/90378/22904/1912/22806/8932/53615/6873/4089/10725/9425/8473/2033/93624/6720/23186/64318/1387/4297/6830/9219/8725/7153/6881/8648/57680/6777/7404/55252/26057/2005/27030/23522/4205/639/473/1050/6601/6418/1788/1107/8467/55818/5976/84456/2332/56916/23270/2308/51780/5927/7543/8850/23028/6498/8861/7157/7343/8289/1820/9612/81/10735/51317/11198/2956/4851/7091/10499/3070/114825/6602/1063/1108/23476/6907/2145/55274/23060/54454/57492/56254/6597/80012/6595/23394/3054/9575/7155/11128/905/23512/3720/6599/4302/604/79685/25836/57459/6603/7150/114785/1487/80335/84181/10664/904/23135/3184/4790/254225/57727/23211/546/4928/6310/5089/51564/23054/158880/6935/10592/1106/11335/171023/5885/648/55193/6829/7994/3192/860/23468/4204/10463/6421/84656/10274/50809/23309/10155/3516/1499/84969/8535/5579/5933/221037/6722/22809/23466/55870/8243/4591/1653/9960/55167/23411/7528/7259/27043/8019/7290/5884/1647/8888/51322/64710/4773/170959/51460/8314/1105/5430/2146/5469/11143/6772/23523/2355/84629/64324/1386","Up","MF",0.0481586402266289,357,2
