"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000226","microtubule cytoskeleton organization",255,-0.371254773059853,-1.75022105052852,3.09504102964278e-06,0.000252871437315495,0.000219668197602194,1479,"tags=33%, list=24%, signal=26%","80254/23299/51174/9662/23387/6249/7430/4957/6188/79582/546/51119/8481/29072/8636/728642/1213/10726/2959/9648/81669/4292/10383/10376/3304/4134/51143/55605/10300/9857/8243/6683/10636/4733/10735/79884/9748/7405/22809/23059/8480/10671/51199/26054/79745/4591/5058/8874/84790/1263/10142/6047/10274/23032/55172/9475/79768/23224/3796/1859/128866/10806/84984/79643/1107/402/26973/7280/54617/79925/23411/5108/7846/2932/29911/55755/10464/91147/8556/11127/50855/58526/4000/2302/10769","Down","BP",0.0378844153914723,255,4
"GO:0000323","lytic vacuole",366,0.394554836537136,1.88743178896302,3.74354154461217e-09,3.94569278802123e-07,3.23914857860127e-07,929,"tags=23%, list=15%, signal=21%","2999/4069/3122/3115/2171/3123/5284/3117/3119/3127/3113/3108/356/4818/9516/1512/2517/3002/10578/5551/972/47/2896/1521/54978/326624/80331/84557/220002/64747/10487/1777/54/5873/51479/10410/1522/201931/1803/81552/824/8530/100/66005/9798/83985/84937/64601/26001/4077/2992/55313/1509/1508/1200/10396/23545/23385/8131/27183/163/157680/10312/1889/10542/5594/23197/1211/2990/56674/567/5476/64121/3257/51606/55717/51382/6386/537/65082/11337/56848/84292/2519/57153/8907","Up","CC",0.0543752785618779,366,1
"GO:0000993","RNA polymerase II complex binding",27,-0.593780230942115,-1.87527334337584,0.000828952726303764,0.0180683752943794,0.0148273240869021,1247,"tags=52%, list=20%, signal=42%","54623/2959/57466/55250/8725/57805/22828/51322/1660/58490/26523/23160/9646/51585","Down","MF",0.00401129104145001,27,9
"GO:0001098","basal transcription machinery binding",45,-0.508425651426826,-1.80834611093497,0.000699306685947067,0.0160622004428467,0.013181010889726,1247,"tags=42%, list=20%, signal=34%","54623/2959/57466/55250/8725/2962/57805/22828/51322/1660/58490/26523/23160/9646/6872/196/6879/9150/51585","Down","MF",0.00668548506908335,45,9
"GO:0001099","basal RNA polymerase II transcription machinery binding",45,-0.508425651426826,-1.80834611093497,0.000699306685947067,0.0160622004428467,0.013181010889726,1247,"tags=42%, list=20%, signal=34%","54623/2959/57466/55250/8725/2962/57805/22828/51322/1660/58490/26523/23160/9646/6872/196/6879/9150/51585","Down","MF",0.00668548506908335,45,9
"GO:0001906","cell killing",97,0.581411978915804,2.34978296466425,3.40804032019188e-09,1.00668267919514e-06,8.74500386614418e-07,678,"tags=31%, list=11%, signal=28%","2999/4069/3122/3123/7305/259197/3001/3824/4818/4068/1512/1130/3002/10578/9547/115362/5551/10125/3902/3635/5873/4615/11126/57823/2634/3071/201633/5272/966/567","Up","BP",0.0144109344822463,97,2
"GO:0001909","leukocyte mediated cytotoxicity",72,0.576868823568289,2.20342495177326,8.64032560819043e-07,8.73127640406611e-05,7.58481768763309e-05,678,"tags=31%, list=11%, signal=28%","3122/3123/7305/259197/3824/4818/4068/1512/1130/3002/5551/10125/3902/3635/5873/4615/11126/57823/3071/201633/5272/567","Up","BP",0.0106967761105334,72,2
"GO:0002250","adaptive immune response",225,0.452133358497044,2.05979032287476,2.28111865272975e-09,8.20091923974991e-07,7.12409897773231e-07,686,"tags=26%, list=11%, signal=24%","3122/3115/3123/3117/3119/3127/3113/1493/3108/3824/3662/926/3458/4068/100423062/29126/1512/5579/11221/5551/3560/925/639/972/54900/11118/7294/8832/84807/3902/3718/7133/30009/255231/3635/5873/7037/64332/4615/112744/7124/100/11126/25865/6890/54440/6504/3572/9021/57823/51043/3071/5133/5294/10312/6097/2185/567/6885","Up","BP",0.0334274253454167,225,1
"GO:0002253","activation of immune response",283,0.390485025794942,1.83445875697114,8.17157318954648e-07,8.48076785077256e-05,7.36720211598088e-05,784,"tags=21%, list=13%, signal=19%","3115/3123/7305/3119/259197/1493/23643/1236/3824/952/3662/926/3458/4068/29126/5579/115362/2355/925/9447/57162/9404/54900/4938/11118/7294/84807/4773/3635/64332/4615/7124/5583/100/84937/6397/11126/5359/22933/84243/25865/8473/51295/57169/148022/3428/2634/868/3071/9572/5594/966/127018/6885/27246/834/330/89857/51304","Up","BP",0.0420442727677908,283,1
"GO:0002396","MHC protein complex assembly",14,0.914545165301005,2.39941894388441,1.32708025590566e-08,2.97307274597584e-06,2.58269395065719e-06,34,"tags=57%, list=1%, signal=57%","3122/3115/3123/3117/3119/3127/3113/3108","Up","BP",0.00207992868815926,14,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",166,0.494974284170608,2.16250973999391,3.32024584569626e-09,1.00668267919514e-06,8.74500386614418e-07,589,"tags=23%, list=10%, signal=21%","3115/3123/7305/3119/259197/1493/23643/1236/3824/952/926/3458/4068/5579/2355/925/57162/9404/54900/4938/11118/7294/84807/4773/3635/64332/4615/5583/100/84937/11126/5359/25865/51295/148022/868/3071/9572","Up","BP",0.0246620115881741,166,1
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",21,0.868303382334481,2.55447790319342,1.05151218684155e-09,6.72967799578595e-07,5.84603880719453e-07,143,"tags=43%, list=2%, signal=42%","3122/3115/3123/3117/3119/3127/3113/3108/972","Up","BP",0.00311989303223889,21,1
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",16,0.89111289143282,2.45448619724754,3.97648975120563e-09,1.09069433175926e-06,9.47480903877492e-07,143,"tags=56%, list=2%, signal=55%","3122/3115/3123/3117/3119/3127/3113/3108/972","Up","BP",0.0023770613578963,16,1
"GO:0002501","peptide antigen assembly with MHC protein complex",14,0.914545165301005,2.39941894388441,1.32708025590566e-08,2.97307274597584e-06,2.58269395065719e-06,34,"tags=57%, list=1%, signal=57%","3122/3115/3123/3117/3119/3127/3113/3108","Up","BP",0.00207992868815926,14,1
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",18,0.872964776849757,2.49257292471261,1.70592140296266e-08,3.17042495837208e-06,2.75413286542794e-06,143,"tags=50%, list=2%, signal=49%","3122/3115/3123/3117/3119/3127/3113/3108/972","Up","BP",0.00267419402763334,18,1
"GO:0002694","regulation of leukocyte activation",288,0.42688565409788,2.00431417671689,2.09529748325169e-09,8.20091923974991e-07,7.12409897773231e-07,692,"tags=25%, list=11%, signal=24%","3122/3115/3123/3117/7305/3119/3127/3113/1493/1236/3108/3824/952/51237/3604/3662/3458/29126/11221/199/861/639/57162/972/648/2896/677/54900/8832/6603/10125/7704/84807/4773/6348/3902/7940/3718/7133/30009/3635/7037/55423/1326/64332/1803/7494/8744/4615/3707/6352/8530/7124/100/11126/5359/54440/399/6504/3572/148022/1499/51043/868/3071/5133/9572/201633/7048/8379/567/406934/30011","Up","BP",0.0427871044421334,288,1
"GO:0002696","positive regulation of leukocyte activation",196,0.438716053049525,1.97006046288153,4.3262379472761e-07,5.19148553673132e-05,4.50981843911775e-05,559,"tags=24%, list=9%, signal=23%","3122/3115/3123/3117/7305/3119/3127/3113/1236/3108/952/3458/29126/11221/199/861/57162/972/648/6603/10125/7704/84807/4773/6348/30009/3635/7037/55423/1326/64332/1803/7494/8744/4615/3707/6352/7124/100/11126/54440/399/6504/3572/148022/51043/3071","Up","BP",0.0291190016342297,196,1
"GO:0002757","immune response-activating signaling pathway",263,0.409234325255733,1.9110476061773,1.14900081054317e-07,1.5757725401735e-05,1.36886600323734e-05,784,"tags=22%, list=13%, signal=20%","3115/3123/7305/3119/259197/1493/23643/1236/3824/952/3662/926/3458/4068/29126/5579/115362/2355/925/9447/57162/9404/54900/4938/11118/7294/84807/4773/3635/64332/4615/7124/5583/100/84937/6397/11126/5359/22933/84243/25865/8473/51295/148022/3428/2634/868/3071/9572/5594/127018/6885/27246/834/330/89857/51304","Up","BP",0.0390729460704204,263,1
"GO:0002764","immune response-regulating signaling pathway",275,0.405236382182223,1.89369491848665,1.37871393489446e-07,1.76475383666491e-05,1.53303314374756e-05,559,"tags=18%, list=9%, signal=17%","3115/3123/5284/7305/3119/259197/1493/23643/1236/3824/952/3662/926/3458/4068/29126/1512/5579/115362/2355/925/9447/57162/9404/54900/4938/11118/7294/84807/4773/3635/64332/4615/7124/5583/100/84937/6397/11126/5359/22933/84243/25865/8473/51295/148022/3428/2634/868/3071","Up","BP",0.0408557420888427,275,1
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",176,0.476351403306033,2.09971662723593,2.79811270438834e-08,4.67163164558749e-06,4.05822387194813e-06,589,"tags=22%, list=10%, signal=21%","3115/3123/5284/7305/3119/259197/1493/23643/1236/3824/952/926/3458/4068/5579/2355/925/57162/9404/54900/4938/11118/7294/84807/4773/3635/64332/4615/5583/100/84937/11126/5359/25865/51295/148022/868/3071/9572","Up","BP",0.0261476749368593,176,1
"GO:0003682","chromatin binding",329,-0.30036616462837,-1.45251820078069,0.000690650235048983,0.0160622004428467,0.013181010889726,1788,"tags=41%, list=29%, signal=31%","5562/5914/9960/55636/92822/26053/6046/55206/23476/54737/55818/9425/1387/10229/7175/1108/3192/25836/86/6498/6601/4302/55870/8648/1655/7019/23125/7376/10865/4436/6595/6873/10933/81550/26147/27000/546/10734/6670/468/1786/2965/22806/54623/2959/55167/4292/10951/6605/905/1106/661/54107/1025/4928/8467/7155/4297/50809/8243/55193/6598/3297/23512/6421/54454/10735/3066/8725/80173/5316/2521/22809/2962/90780/93624/1911/7404/7403/4591/221037/4205/9112/23186/23028/2353/51322/3622/84456/1788/1660/6294/9612/6047/79892/29803/10274/5431/4300/114785/29781/473/1105/84181/83743/84289/55274/254225/11168/1059/6015/1107/5252/7543/2033/8019/5884/23522/10782/23411/114825/170959/2145/23060/64061/2956/56916/84148/2168/8805/165918/6045/7067/8861","Down","MF",0.0488783241717427,329,6
"GO:0003823","antigen binding",28,0.761092636108283,2.40250520274176,8.02301589519746e-08,1.47422917074253e-05,1.20978634419688e-05,477,"tags=50%, list=8%, signal=46%","3122/3115/3123/3117/3119/3127/3113/3108/3824/100423062/3902/6890/6892/6504","Up","MF",0.00415985737631853,28,1
"GO:0004252","serine-type endopeptidase activity",31,0.595333500723361,1.92041174121364,0.00103806989167628,0.0195262754764259,0.0160237104876363,1192,"tags=48%, list=19%, signal=39%","2999/3003/3001/1512/3002/1803/64699/1200/5045/23478/9159/1075/196294/5327/327","Up","MF",0.00460555638092408,31,2
"GO:0004386","helicase activity",91,-0.40556587362529,-1.66110470021184,0.00143013748113307,0.0208123831534221,0.0170791200098974,1805,"tags=47%, list=29%, signal=34%","9879/55636/8886/1108/1973/64135/1655/7520/80205/4176/8449/6595/546/9188/10973/1974/1106/10111/9775/8467/56897/4172/64848/10212/57062/83479/375748/1660/9044/1105/84181/257218/170506/10847/79039/1107/57696/1654/92797/9716/113510/54555/56916","Down","MF",0.0135195364730352,91,8
"GO:0004693","cyclin-dependent protein serine/threonine kinase activity",13,-0.713575485488928,-1.88863878433224,0.00118154171664481,0.0195262754764259,0.0160237104876363,1489,"tags=62%, list=24%, signal=47%","8621/5128/728642/1025/1019/51755/8812/5127","Down","MF",0.00193136235329074,13,11
"GO:0004842","ubiquitin-protein transferase activity",228,-0.327836218922835,-1.54459182110533,0.00055784794750734,0.015832015161885,0.0129921155571215,1369,"tags=31%, list=22%, signal=25%","26224/11342/89122/997/7319/26268/127544/55167/26046/5930/223082/10210/130507/51320/10475/6103/867/400569/55585/89970/10425/114804/79872/51444/112950/11059/257160/92912/64750/4591/27339/7188/10296/23609/51191/51132/7337/6737/6047/80204/9666/8452/27338/257218/51665/254225/8453/7267/6015/25820/54476/90390/56658/10001/6872/283450/54467/7321/81559/51003/54765/11236/7187/1840/54941/8805/165918/9781/55819/6045","Down","MF",0.0338731243500223,228,10
"GO:0004888","transmembrane signaling receptor activity",121,0.457909358056559,1.92576184346182,1.0183547482515e-05,0.000680446127240773,0.000558389732773309,709,"tags=28%, list=11%, signal=25%","3122/3123/5284/3117/3119/2833/3113/1230/1236/5026/3824/3689/1512/3560/972/2841/57085/3902/7133/8698/3248/960/132014/1234/11126/29933/6504/3572/8718/7132/7048/5791/27197/10663","Up","MF",0.0179765265190908,121,1
"GO:0005102","signaling receptor binding",402,0.293386430288843,1.41878290368023,0.00119548625365873,0.0195262754764259,0.0160237104876363,631,"tags=17%, list=10%, signal=16%","3122/3123/7305/3490/6351/23643/3824/356/5967/926/3458/1123/1435/29126/3039/3689/9547/925/972/5008/6503/2896/23616/55801/3040/64108/11118/2316/322/55662/7704/6348/3902/3718/1890/4050/1803/8744/4615/112744/6772/6352/7124/10019/81/8837/6397/6404/11126/5359/6890/3964/6892/3148/3275/55681/3572/9021/29097/1499/868/23385/23345/5294/9802/201633/7048","Up","MF",0.0597236666171446,402,1
"GO:0005125","cytokine activity",42,0.54034609091923,1.86872156154357,0.00140697493780492,0.0208123831534221,0.0170791200098974,363,"tags=33%, list=6%, signal=32%","6351/356/3458/1435/9547/5008/2896/55801/6348/4050/8744/112744/6352/7124","Up","MF",0.00623978606447779,42,1
"GO:0005215","transporter activity",300,0.358913514601177,1.67039539026773,1.83330967940112e-05,0.00112290217863319,0.00092147933885688,1168,"tags=34%, list=19%, signal=29%","2171/5026/285195/5551/578/488/54978/23169/7351/254428/81037/220002/64747/9022/79651/255231/9057/54503/4707/6574/23480/4358/3927/134429/83985/55508/5359/23130/6890/57185/4513/57282/27032/11261/9123/4512/6515/29796/10396/7388/23545/493/10998/4541/27069/22/4711/6576/4514/598/10312/115286/56910/6834/201305/9167/113829/788/292/728661/4363/51606/29928/6575/4700/51063/51382/401612/94081/4710/9377/92745/79581/80833/4720/51660/4538/57153/7386/7009/10440/4697/533/706/55144/147138/5828/6533/4723/526/1140/4724/4695/4702/4708/84230/523/81539/119559/10577/528","Up","MF",0.0445699004605556,300,3
