"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0001664","G protein-coupled receptor binding",62,0.551057712987951,1.87176436724311,5.58477276850734e-05,0.00590124322538942,0.00513407180824184,583,"tags=32%, list=13%, signal=28%","6288/2768/115908/718/6772/3303/23032/133/3304/6351/2776/1672/3301/6347/5144/2770/27131/858/10672/1857","Up","MF",0.013130029648454,62,1
"GO:0001775","cell activation",331,0.384143654109723,1.54465558696038,5.34387001232616e-05,0.00392106462154432,0.00333405925111139,779,"tags=25%, list=18%, signal=22%","6288/3575/3659/972/4254/64332/5270/55193/8600/10808/718/2355/5591/1021/25/8651/161882/4208/6722/4775/3430/3383/3122/9839/3115/51010/1075/867/3134/2776/3133/1540/406937/9976/953/1026/7412/9021/6347/3615/567/10673/51293/4192/5087/149041/1316/3105/4323/5734/7155/4055/85480/79576/57492/5730/6654/1281/8764/4089/51176/51237/196/10672/140885/5359/5074/28514/55795/4690/7474/55274/2151/604/3569/639/4791/5573/3119/7414/5295/2615/6363","Up","BP",0.0700974163490047,331,1
"GO:0001816","cytokine production",226,0.416594998096391,1.63768118955294,4.48168824223137e-05,0.00375821571169974,0.00319558973662863,1311,"tags=46%, list=30%, signal=34%","6288/3659/972/54739/3082/718/6772/25/3303/8651/56957/161882/10644/6885/1535/3304/1116/5885/3115/11118/3685/3134/5125/3133/1540/406937/5610/3661/567/5144/9636/4192/9140/3106/3091/2633/3105/1654/5734/1992/85480/6711/1281/56829/8764/4089/51176/8087/7072/1670/5552/4060/834/140885/26137/113/28514/7474/604/10417/3569/5295/54/26060/2615/6363/10542/4155/55353/57045/684/8826/3566/1649/10524/27250/23220/3554/27086/11315/9188/331/3113/10146/55959/23515/55325/5142/29108/7128/23646/5187/602/5966/3320/23633/920/7528/3315/85364/5325/861/1653/1604/9314","Up","BP",0.0478610758153325,226,1
"GO:0002250","adaptive immune response",107,0.486752461507219,1.79790149472037,3.51529752543054e-05,0.00333556898575044,0.00283621559653905,779,"tags=36%, list=18%, signal=30%","3575/3659/972/64332/718/56957/4208/6890/6885/100423062/3383/3122/3115/51010/11118/1075/3134/3133/51279/9021/567/10673/149041/3106/3105/8764/51176/196/113/1520/2794/604/3569/639/4791/3119/3107/6363","Up","BP",0.0226598898771707,107,1
"GO:0002682","regulation of immune system process",460,0.395380153936617,1.6030573933942,1.13557242624622e-07,0.000138022133125995,0.000117359445513451,786,"tags=28%, list=18%, signal=26%","3575/3659/972/4254/64332/55193/8600/10808/718/2355/7994/6772/5591/1021/25/3303/8651/161882/4208/2113/5747/79647/6885/1535/3304/3430/3383/6351/3122/54625/2200/3673/330/6397/3115/23522/51010/11118/1075/3134/3133/4609/51279/1540/81035/406937/5610/9698/3661/23304/1399/1026/7412/6347/567/5144/10673/9636/51293/6773/4192/149041/9140/3106/3091/57169/2633/1/3105/4323/1654/5734/4211/85480/79576/2821/146433/7422/57492/6654/1281/23369/169200/253943/56829/8764/51176/51237/7423/196/8887/375056/834/26057/140885/59338/26137/113/5359/1843/5074/10318/83666/28514/5919/4841/55795/4792/4015/4690/1520/7474/55274/604/10417/3569/639/3597/5292/4763/5573/3119/5284/5295/3107/54/26060/2615/1265/6363/1398","Up","BP",0.097416349004659,460,1
"GO:0002684","positive regulation of immune system process",325,0.445434385138496,1.78865739734678,4.16818157063985e-09,1.46803354917936e-05,1.24826069141794e-05,779,"tags=30%, list=18%, signal=27%","3575/3659/972/4254/64332/55193/8600/10808/718/2355/5591/25/3303/8651/4208/5747/79647/6885/1535/3304/3430/3383/6351/3122/3673/330/6397/3115/51010/11118/1075/3134/3133/51279/1540/81035/406937/5610/9698/3661/23304/1399/1026/7412/6347/567/5144/10673/51293/4192/149041/3106/57169/2633/3105/4323/1654/85480/79576/2821/146433/7422/57492/6654/23369/169200/56829/8764/51176/51237/7423/8887/375056/834/26057/140885/59338/5359/5074/10318/83666/5919/4841/55795/4792/4690/1520/7474/55274/604/10417/3569/3597/4763/3119/5295/3107/26060/6363","Up","BP",0.0688267683185091,325,1
"GO:0002694","regulation of leukocyte activation",163,0.454316599235727,1.74884533049288,1.90589655433447e-05,0.00258175679398692,0.0021952533186565,779,"tags=31%, list=18%, signal=27%","3575/3659/972/4254/64332/55193/8600/10808/5591/25/8651/4208/3122/3115/51010/1075/3133/1540/406937/1026/7412/6347/567/10673/51293/4192/149041/3105/4323/85480/79576/57492/6654/8764/51176/51237/196/140885/5359/5074/55795/4690/7474/55274/604/3569/639/5573/3119/2615/6363","Up","BP",0.0345192714951292,163,1
"GO:0002696","positive regulation of leukocyte activation",116,0.520184626451394,1.92815725874598,3.01555477591916e-07,0.000212415678415746,0.000180615859736632,683,"tags=34%, list=16%, signal=29%","3575/972/4254/64332/55193/8600/10808/5591/25/8651/4208/3122/3115/51010/1075/3133/1540/406937/1026/7412/6347/567/10673/51293/4192/3105/4323/85480/79576/57492/8764/51176/140885/55795/4690/7474/55274/604/3569","Up","BP",0.024565861922914,116,1
"GO:0002757","immune response-activating signaling pathway",145,0.485424711871272,1.84928454425871,3.68485736733735e-06,0.000805659128065505,0.000685047436966544,657,"tags=29%, list=15%, signal=25%","3659/64332/718/2355/5591/25/3303/4208/5747/6885/1535/3304/3430/330/6397/3115/11118/1540/81035/5610/9698/3661/23304/1399/5144/149041/2633/3105/1654/6654/23369/56829/8887/834/26057/59338/5359/5074/10318/4792/4690/1520","Up","BP",0.0307073274036425,145,1
"GO:0002764","immune response-regulating signaling pathway",150,0.484341776396927,1.84670564624988,2.08046745338872e-06,0.000666127851894098,0.000566404775587647,767,"tags=31%, list=17%, signal=27%","3659/64332/718/2355/5591/25/3303/4208/5747/6885/1535/3304/3430/330/6397/3115/11118/1540/81035/5610/9698/3661/23304/1399/5144/149041/2633/1/3105/1654/6654/23369/56829/8887/834/26057/59338/5359/5074/10318/4792/4690/1520/3119/5284/5295/26060","Up","BP",0.0317662007623888,150,1
