"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",306,0.374423272123715,1.59920270428743,0.000103220740965311,0.0058835822350227,0.00519121855147176,980,"tags=28%, list=18%, signal=25%","3113/115361/857/79971/5045/3127/2524/972/23760/1718/9867/3122/3115/79158/113829/22926/10075/84002/6892/3106/3134/2634/5909/84725/54947/2650/152007/523/9245/2651/5627/63971/2590/11337/9267/3133/4124/22908/3123/9743/162/10317/55331/3119/54941/6653/5768/10678/757/3105/56913/23385/11226/1314/9527/10905/10564/4853/4893/22820/153339/148867/2131/51014/2013/2591/9342/2907/56937/3107/9516/55300/57584/64114/55808/84910/8428/5584/3482/116068/152519/2633/9367/55080/7357/567/2734","Up","CC",0.0532359081419624,306,1
"GO:0000323","lytic vacuole",348,0.335557047947773,1.45222622403459,0.00168415251812407,0.0318871265563987,0.0281347377023729,1034,"tags=26%, list=19%, signal=23%","3113/684/653361/1080/2799/3127/92799/8876/7317/4069/10970/972/2776/5284/10410/23118/4067/11182/8546/151636/57406/23120/3122/3115/51316/23197/535/2444/3134/7128/1200/2040/4905/1075/523/126321/3988/100506658/11337/3109/81552/163/3454/2581/7415/9798/3123/162/3119/203068/64798/2720/4035/57153/1520/2896/288/23385/47/3073/6714/7073/4689/220441/1534/220002/54472/9342/6642/54664/4287/1727/9516/64114/4680/56681/10576/6272/10694/79026/9367/10097/1777/6386/567/51256/56888/2517/27072/8417/3949","Up","CC",0.0605427974947808,348,1
"GO:0001671","ATPase activator activity",18,-0.660603861104534,-1.9267029745123,0.00162765880495173,0.0408262203151663,0.0377768712665318,1428,"tags=78%, list=27%, signal=57%","163590/481/131118/7266/3300/27000/64215/10294/10598/11080/10049/150274/3301/3337","Down","MF",0.00313152400835073,18,3
"GO:0001775","cell activation",349,0.355735534419601,1.54540746652139,0.000190706357127625,0.0226756010442718,0.0208708519192644,1120,"tags=31%, list=21%, signal=26%","3113/684/5724/9021/857/3694/6541/160851/3127/8876/975/972/2776/54542/5320/4067/25853/5291/8546/9867/3122/3956/3115/836/3696/3134/5130/3717/55330/7128/2281/4323/1075/4683/8543/5880/7917/5591/3988/3109/8723/3133/1445/29760/1540/57162/3123/3119/10039/3710/1947/23173/118460/578/9111/4035/4297/3105/2896/6595/23385/677/25793/6284/7525/1432/4853/2730/29110/23075/5573/6714/1386/64332/54472/2013/8289/7414/3394/6830/3965/8440/3572/5087/50848/4179/26258/1015/55193/8754/6810/7048/57178/11148/165918/567/80149/9025/7037/3949/2923/23228/207/10398/3659/7532/22890/5295","Up","BP",0.0607167710508003,349,1
"GO:0002250","adaptive immune response",124,0.515204033180739,2.00712337813472,6.12045347619723e-07,0.000322285593046614,0.000296634910583213,1169,"tags=46%, list=22%, signal=37%","3426/3113/9021/11118/3127/717/8792/975/6890/972/722/54542/4067/3122/3956/3115/214/3106/3134/5130/5909/3717/7128/1075/4683/3109/3133/1445/3123/3119/10039/54941/118460/56259/1520/3105/23075/6398/64332/2013/3107/6830/3572/4179/25865/165918/567/80149/9025/7037/8417/2923/3659/7532/22890/81622/8284","Up","BP",0.0215727209464161,124,1
"GO:0002252","immune effector process",193,0.43351038011103,1.778077213507,1.46913817898898e-05,0.00455940603598037,0.00419652330409936,1332,"tags=41%, list=25%, signal=32%","3426/684/653361/5724/9021/11118/717/975/972/629/722/54542/4067/5291/3122/3956/3106/3134/5130/1075/4683/5880/3988/3109/8723/3133/3123/203068/10039/118460/9111/4035/4297/3105/2896/6284/7525/4853/29110/23075/6398/6714/64332/2013/3394/3107/6830/3965/5058/9188/9516/51465/3572/79004/4179/1015/6810/2821/165918/567/80149/9025/7037/8417/23228/7532/22890/5295/81622/8284/9948/55601/11187/3430/4615/56848/5663/5105/1675/23376","Up","BP",0.0335768963117606,193,1
"GO:0002253","activation of immune response",204,0.406585753919423,1.6756557691126,8.60272600770296e-05,0.0150998324116158,0.0138980380565547,537,"tags=21%, list=10%, signal=20%","130120/3426/92610/857/11118/717/975/629/722/54542/4067/4938/8546/9867/3115/8473/2634/929/7128/55666/23369/8893/5608/118788/7917/5591/3988/1445/29760/1540/57162/55366/3123/65125/10432/4790/3119/834/54941/9782/9111/1520/3105","Up","BP",0.0354906054279749,204,1
"GO:0002263","cell activation involved in immune response",98,0.470983639112648,1.76943115941786,0.000357576771406271,0.0329506994850879,0.030328156164274,1017,"tags=38%, list=19%, signal=31%","5724/9021/975/972/54542/4067/3122/3956/3134/5130/4683/5880/3109/8723/3123/10039/118460/9111/4035/4297/2896/6284/4853/29110/23075/64332/3394/6830/3965/3572/4179/1015/6810/165918/80149/9025/7037","Up","BP",0.0170494084899095,98,1
"GO:0002443","leukocyte mediated immunity",114,0.457656611052065,1.76325699186894,0.000215482419468085,0.0244747992079902,0.022526852056816,1186,"tags=40%, list=22%, signal=32%","3426/684/5724/11118/717/975/972/722/4067/5291/3122/3106/3134/5130/1075/4683/5880/8723/3133/3123/203068/10039/118460/3105/6284/23075/6398/64332/2013/3107/6830/3965/9188/4179/6810/165918/567/9025/7037/8417/7532/22890/5295/81622/8284/9948","Up","BP",0.0198329853862213,114,1
"GO:0002449","lymphocyte mediated immunity",87,0.471351823495589,1.73950080431873,0.000463176947577696,0.0345081226978273,0.0317616241982744,1169,"tags=43%, list=22%, signal=34%","3426/11118/717/975/972/722/5291/3122/3106/3134/5130/1075/4683/3133/3123/203068/10039/118460/3105/23075/6398/64332/2013/3107/6830/3965/4179/165918/567/9025/7037/8417/7532/22890/5295/81622/8284","Up","BP",0.0151356993736952,87,1
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",10,0.818165001798764,1.9098650477184,0.000474819489588287,0.0345081226978273,0.0317616241982744,116,"tags=40%, list=2%, signal=39%","3426/717/975/722","Up","BP",0.00173973556019485,10,6
