"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000785","chromatin",364,-0.336198462430643,-1.50948280415292,0.00012386590671687,0.0194056587189763,0.0186885403116681,1005,"tags=35%, list=24%, signal=29%","7798/9960/4780/7913/3651/3398/9643/26959/8896/1998/23613/3280/23270/55929/23394/11052/5080/2120/55209/79647/1054/23028/23126/5926/3182/4090/9705/1912/5934/23314/1499/1106/9987/51621/23512/3720/6950/55193/9275/10370/55904/3169/51274/10769/9031/54897/10428/2114/4094/25909/3219/1051/7392/2309/54891/23451/3172/55183/64426/64651/86/23160/152485/10725/2353/221037/1958/1676/6046/8932/8467/3206/22933/4149/6945/11177/26057/6597/824/51742/468/2354/54738/3659/7503/84699/114799/2101/71/3205/1105/5514/60/56655/1999/8431/4089/3217/3204/9975/9878/1316/23099/3622/571/3164/3726/26993/9971/7050/2355/4084/7071/23764/8013/3725/6722/4761/1959/5966/1961/10765/1960/4929/467/1649","Down","CC",0.0807274340208472,364,2
"GO:0000976","transcription cis-regulatory region binding",265,-0.408809673449963,-1.77506988113998,1.53691997257861e-06,0.000133931597610422,0.000115557892675084,869,"tags=34%, list=21%, signal=29%","5080/2120/1054/3192/5926/4090/9705/7343/5934/7551/23314/26137/1106/9967/51621/23512/84146/23064/7644/153222/8864/3169/51274/54897/2114/4094/3219/26523/1051/7392/170960/2309/170506/25976/3172/1025/10725/7705/2353/1958/3206/4149/6945/6597/51742/163049/468/2354/54738/8848/3659/84699/2101/3205/1999/4089/65986/3217/3204/9975/1316/23099/571/3164/23135/3726/54700/9971/7050/64332/2355/4097/4084/7690/10664/7071/23764/8013/3725/6722/8535/116039/11179/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0587713461964959,265,2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",229,-0.416172471191935,-1.77282362192667,1.37294989971477e-06,0.000133931597610422,0.000115557892675084,803,"tags=34%, list=19%, signal=29%","4090/9705/5934/7551/23314/26137/1106/9967/51621/23512/84146/7644/153222/3169/51274/54897/2114/4094/3219/1051/7392/170960/2309/170506/3172/1025/10725/7705/2353/1958/3206/4149/6945/163049/468/2354/54738/8848/3659/84699/2101/3205/1999/4089/65986/3217/3204/9975/1316/23099/571/3164/23135/3726/9971/7050/64332/2355/4097/4084/7690/10664/7071/23764/8013/3725/6722/116039/11179/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0507873142603682,229,2
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",203,-0.425273811645927,-1.78144402580402,3.57340280277351e-06,0.000217977570969184,0.000188073831724921,803,"tags=34%, list=19%, signal=29%","4090/9705/23314/26137/1106/9967/51621/23512/84146/7644/3169/51274/2114/4094/3219/1051/7392/170960/2309/170506/3172/1025/10725/7705/2353/1958/3206/4149/6945/468/2354/54738/8848/3659/84699/2101/3205/1999/4089/3217/3204/9975/1316/23099/571/3164/23135/3726/9971/7050/64332/2355/4097/4084/7690/10664/7071/23764/8013/3725/6722/11179/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0450210689731648,203,2
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",209,-0.395849103219114,-1.67433158223341,4.39956097466117e-05,0.00206440938041793,0.00178119877516646,661,"tags=30%, list=16%, signal=26%","7644/153222/3169/51274/54897/2114/4094/3219/1051/7392/170960/2309/3172/64651/10725/7705/2353/1958/3206/4149/6945/163049/468/2354/54738/8848/3659/84699/2101/3205/1999/4089/65986/3217/3204/9975/1316/23099/571/3164/3726/9971/7050/2355/4097/4084/7690/10664/7071/23764/8013/3725/6722/116039/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0463517409625194,209,2
"GO:0000987","cis-regulatory region sequence-specific DNA binding",209,-0.421580291620745,-1.78316735081011,2.24921710092551e-06,0.00017150280394557,0.000147974809271415,803,"tags=34%, list=19%, signal=29%","4090/9705/23314/26137/1106/9967/51621/23512/84146/7644/3169/51274/2114/4094/3219/1051/7392/170960/2309/170506/25976/3172/1025/10725/7705/2353/1958/3206/4149/6945/468/2354/54738/8848/3659/84699/2101/3205/1999/4089/3217/3204/9975/1316/23099/571/3164/23135/3726/9971/7050/64332/2355/4097/4084/7690/10664/7071/23764/8013/3725/6722/11179/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0463517409625194,209,2
"GO:0001067","transcription regulatory region nucleic acid binding",265,-0.408809673449963,-1.77506988113998,1.53691997257861e-06,0.000133931597610422,0.000115557892675084,869,"tags=34%, list=21%, signal=29%","5080/2120/1054/3192/5926/4090/9705/7343/5934/7551/23314/26137/1106/9967/51621/23512/84146/23064/7644/153222/8864/3169/51274/54897/2114/4094/3219/26523/1051/7392/170960/2309/170506/25976/3172/1025/10725/7705/2353/1958/3206/4149/6945/6597/51742/163049/468/2354/54738/8848/3659/84699/2101/3205/1999/4089/65986/3217/3204/9975/1316/23099/571/3164/23135/3726/54700/9971/7050/64332/2355/4097/4084/7690/10664/7071/23764/8013/3725/6722/8535/116039/11179/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0587713461964959,265,2
"GO:0001216","DNA-binding transcription activator activity",125,-0.500381632585536,-1.98048820142,8.04768273349328e-07,0.000122727161685773,0.000105890562282806,661,"tags=39%, list=16%, signal=34%","7644/153222/3169/54897/4094/1051/7392/170960/2309/3172/64651/10725/2353/1958/3206/6945/468/2354/54738/8848/3659/84699/3205/1999/4089/3217/3204/1316/571/3164/3726/9971/2355/4097/7690/7071/23764/8013/3725/6722/116039/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0277223331115547,125,2
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",125,-0.500381632585536,-1.98048820142,8.04768273349328e-07,0.000122727161685773,0.000105890562282806,661,"tags=39%, list=16%, signal=34%","7644/153222/3169/54897/4094/1051/7392/170960/2309/3172/64651/10725/2353/1958/3206/6945/468/2354/54738/8848/3659/84699/3205/1999/4089/3217/3204/1316/571/3164/3726/9971/2355/4097/7690/7071/23764/8013/3725/6722/116039/4761/1959/5966/1961/1960/4929/467/1649","Down","MF",0.0277223331115547,125,2
"GO:0001664","G protein-coupled receptor binding",54,0.625921569059467,2.18085932060478,3.44265847395797e-05,0.0017500180575953,0.00150993792717455,120,"tags=24%, list=3%, signal=24%","2695/4295/2691/51738/5539/6863/283869/6370/25805/4922/114131/54361/10015","Up","MF",0.0119760479041916,54,3
