"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000313","organellar ribosome",78,-0.479984306632548,-1.9999210267325,1.67742552799034e-05,0.00105305047034949,0.000975064897556958,2776,"tags=69%, list=36%, signal=45%","740/51318/51649/54148/51642/54534/65005/9801/64965/28957/122704/64975/6150/9553/55173/64963/65008/10884/29088/57129/28977/64949/29093/79590/51023/6183/51069/29074/116541/84545/28973/90480/64928/26589/54998/64969/128308/28998/63875/51073/64960/55052/60488/84769/51081/51264/10573/64968/7818/64432/11222/116540/6182/55168","Down","CC",0.00919594435274699,78,6
"GO:0000315","organellar large ribosomal subunit",49,-0.533784819434193,-2.02356987703326,0.000151959812114076,0.00505042904967371,0.00467641031707096,2776,"tags=76%, list=36%, signal=49%","740/51318/54148/51642/54534/65005/9801/122704/64975/6150/9553/65008/10884/29088/57129/28977/29093/79590/51069/29074/116541/84545/90480/64928/26589/128308/28998/63875/51073/55052/84769/51264/10573/11222/116540/6182/55168","Down","CC",0.00577693940108465,49,6
"GO:0000502","proteasome complex",58,-0.524830781301706,-2.0633063578951,2.65706396917498e-05,0.00136476467507624,0.00126369453844973,2356,"tags=66%, list=30%, signal=46%","9352/5705/5689/5682/51377/5685/5711/5702/5707/5688/5686/5691/5706/5708/5684/5704/90637/5694/23198/5717/3315/5714/5721/5886/5716/10197/7415/5719/5701/9861/5713/5695/130617/3300/11047/5709/80227/5699","Down","CC",0.00683800990332469,58,10
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",487,0.343421763960273,1.71799188479173,8.27935187273629e-08,2.51081163895191e-05,2.27403390640953e-05,1910,"tags=34%, list=24%, signal=27%","8850/84671/5993/126070/57801/10499/3097/9968/1602/3607/1052/9839/171017/64864/6095/3280/64764/11179/4094/11278/140467/7770/6886/4601/6908/1385/5465/26959/7776/1386/9935/4775/3201/6722/7767/64288/2309/6934/4773/7799/9575/7764/3231/10608/2738/169792/2624/1876/2117/159296/23090/22809/5934/167465/367/8204/388558/4090/10014/3159/64324/57659/4212/9580/400713/7699/7572/3727/23411/7029/23598/6721/56731/23269/4086/6777/144348/8609/170506/6659/149076/4779/7644/4783/7975/7003/10919/10009/4097/7067/405/7024/7707/147923/6256/11016/3164/83595/5978/8648/7551/7587/170960/55810/3213/5451/7392/3394/4208/196/7559/2551/10691/2296/22926/7528/10522/80345/55892/26137/2354/56987/27316/2004/2294/55145/90338/7580/6925/571/3131/65982/10520/80778/27107/2113/6304/2627/80818/5087/153222/25988/56977/4780/1879/7181/6772/7597/147807/7716/65986/1523/7695/5991/23394/3516/22823/3202/54897/25925/6929/10538/9572/687/9586/55311","Up","MF",0.0574157038434332,487,2
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",436,0.333406352020397,1.64600757433147,1.60032292734338e-06,0.000279736447699624,0.000253356387655205,1709,"tags=31%, list=22%, signal=25%","84671/5993/57801/10499/3097/9968/1602/3607/1052/9839/171017/64864/6095/3280/64764/11179/4094/11278/140467/7770/6886/4601/6908/1385/5465/26959/7776/1386/9935/4775/3201/6722/7767/64288/2309/6934/4773/9575/7764/3231/10608/2738/169792/2624/1876/159296/23090/167465/367/8204/388558/4090/10014/3159/64324/57659/4212/9580/400713/7699/7572/3727/23411/23598/6721/56731/23269/4086/6777/144348/8609/170506/6659/149076/4779/7644/4783/7975/7003/10009/4097/7067/405/7024/7707/147923/6256/11016/3164/83595/5978/7587/170960/55810/3213/5451/7392/3394/4208/196/7559/2551/10691/2296/22926/7528/80345/55892/26137/2354/27316/2004/2294/55145/90338/7580/6925/571/3131/65982/10520/80778/27107/2113/6304/2627/25988/4780/1879/7181/6772/7597/147807","Up","MF",0.0514029709974063,436,2
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",453,0.350438852016172,1.73937532326214,8.61834658679144e-08,2.51081163895191e-05,2.27403390640953e-05,1910,"tags=35%, list=24%, signal=28%","3142/84671/5993/126070/57801/3097/1602/3607/1052/9839/22869/171017/64864/6095/3280/64764/4094/11278/7770/6886/4601/1112/1385/5465/26959/7776/1386/9935/4775/3201/6722/7767/64288/2309/6934/4773/7799/9575/10472/7764/3231/10608/2738/23300/169792/2624/1876/3090/2117/159296/23090/22809/367/10194/388558/4090/49854/57659/4212/9580/400713/7699/7572/3727/7029/23598/6721/23269/4086/6777/144348/8609/6659/4779/7644/4783/7975/7003/10009/4097/7067/100381270/26036/405/7024/7707/147923/6256/11016/3164/83595/5978/7551/7587/170960/55810/3213/5451/7392/3394/4208/196/7559/2551/10691/2296/22926/7528/10522/80345/55892/26137/2354/56987/2004/4851/2294/55145/90338/7580/6925/571/3131/65982/10520/80778/27107/2113/6304/2627/80818/58487/5087/153222/25988/4780/1879/7181/6772/7597/23036/7716/65986/1523/2077/7695/5991/23394/3516/3202/84327/54897/25925/6929/10538/9572/687/9586/55311","Up","MF",0.0534072152794152,453,2
"GO:0000987","cis-regulatory region sequence-specific DNA binding",450,0.330900168968319,1.63939196272772,2.30006435436459e-06,0.000335042707619108,0.000303447086751258,1709,"tags=30%, list=22%, signal=25%","84671/5993/57801/10499/3097/9968/1602/3607/1052/9839/171017/64864/6095/3280/64764/11179/4094/11278/140467/7770/6886/4601/1112/6908/1385/5465/26959/7776/1386/9935/4775/3201/6722/7767/64288/2309/6934/4773/9575/7764/3231/10608/2738/169792/2624/1876/159296/23090/167465/367/8204/388558/4090/10014/3159/64324/57659/4212/9580/400713/7699/7572/3727/23411/23598/6721/56731/23269/4086/6777/144348/8609/170506/6659/149076/4779/7644/4783/7975/7003/10009/4097/7067/405/7024/7707/147923/6256/11016/3164/83595/5978/7587/170960/55810/25976/3213/5451/7392/3394/4208/196/7559/2551/10691/2296/22926/7528/80345/55892/26137/2354/27316/2004/4851/2294/55145/90338/7580/6925/571/3131/65982/10520/80778/27107/2113/6304/2627/25988/4780/1879/7181/6772/7597/147807","Up","MF",0.0530535251120019,450,2
"GO:0001503","ossification",197,0.383406801842213,1.7509394644872,3.73764319644304e-05,0.00826206028573735,0.007422172515884,1599,"tags=32%, list=20%, signal=27%","6696/1278/1277/4015/57045/6272/6781/144165/5727/1893/90/3569/1052/4041/1290/4256/1291/4077/4325/27152/652/4091/29072/1021/847/1435/23317/3488/4313/5728/4092/23376/4090/3727/23353/103/4086/9365/1213/170506/79176/7123/3486/7067/4192/6256/5978/51430/490/5743/4664/4208/115908/2296/4054/27316/23020/7189/4851/7010/55589/166929/51564/55787","Up","BP",0.0232256543268097,197,2
"GO:0001568","blood vessel development",397,0.33212108821071,1.62928026634407,1.26340665678171e-05,0.00447692348472256,0.00402181747588857,1621,"tags=31%, list=21%, signal=26%","358/1278/5159/59/1277/4015/2191/285/54828/1281/23576/144165/1948/1893/90139/90/3569/10267/26051/6095/4041/26523/1634/3280/84516/2549/6886/6789/4215/3037/7128/652/1386/4775/4091/6654/29072/6722/25/6934/8325/4854/8742/6376/83700/4204/22915/2624/51752/4313/1647/1289/4092/10800/5613/90627/10014/163/7423/1399/23411/23213/3949/4086/187/196528/5170/54583/6659/54567/65125/28984/841/56913/57556/6558/4192/947/51330/2548/3164/57381/538/5138/441478/25932/5743/9693/55810/25976/3213/10672/79893/5797/4208/196/161198/11064/2296/7082/493/55742/857/57534/1954/388/3685/4643/2004/2013/4851/2294/7010/4193/7075/8829/889/10203/51564/2113/10553/11005/2627","Up","BP",0.0468049988210328,397,2
"GO:0001822","kidney development",139,0.424955483258156,1.83825475348671,5.19131357507332e-05,0.0104321805979087,0.00937168713815868,1070,"tags=27%, list=14%, signal=23%","358/5159/59/285/10252/2043/56603/1948/5727/25959/10409/3280/1028/50484/3037/652/4091/847/4854/55959/4092/9500/5613/4090/163/84159/3913/23213/26258/4086/6659/23279/54806/23607/5420/56913/947","Up","BP",0.016387644423485,139,2
