"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000902","cell morphogenesis",356,0.444845907376576,1.51379781786917,7.91749581104517e-08,5.46676658697108e-05,4.60505159497504e-05,1834,"tags=48%, list=31%, signal=35%","2033/219699/122786/8609/54434/23345/80243/285527/3480/4205/85358/152273/3672/4647/5747/4076/8322/23768/23268/57699/23394/5925/10810/153090/128637/23499/4089/6794/8997/54538/9344/5591/5797/57520/9043/51347/9693/2932/9448/1523/65059/7204/9423/10507/51199/2317/8522/4628/7042/79006/25/8452/5592/25942/114793/1729/26524/10427/5339/4734/27020/473/4237/4208/2803/2534/171023/58480/1969/9113/80208/10787/10152/6324/7474/55785/4289/10611/5469/23433/57493/10439/2909/221061/3280/81628/8976/26037/2335/5911/6643/23129/22906/10079/836/10371/23181/22902/5629/1291/81565/5048/1267/93663/3913/6654/2768/1385/7414/5921/23654/4659/5306/8239/9334/25932/8826/440275/7155/23607/91137/223117/55023/2316/152503/10494/23390/23405/22903/29071/5605/6904/3688/1432/4478/4204/4774/23077/6642/10413/3791/23230/170506/4781/10630/27067/51441/6259/10160/8650/23603/26115/4649/84062/1948/5062/3074/54764/1003/56990/54664/8301/9181/200933/1942/57381/5978/6356/113251/6886","Up","BP",0.0549297947847554,356,1
"GO:0001568","blood vessel development",324,0.425140226317745,1.44028038320176,7.57226123907851e-06,0.000933517830880148,0.000786369366176673,1646,"tags=42%, list=27%, signal=32%","22918/7423/196/358/219699/3339/2034/2549/10451/90627/55636/7057/29072/5747/8322/7128/3685/5787/23166/11117/153090/26051/26523/5594/7052/10000/54538/5797/493/5335/9693/3213/161198/161742/9444/2113/57178/4086/7048/2324/7042/25/196528/25831/3091/10427/51564/6772/8434/5316/2308/4763/5170/4208/23414/9525/51752/2534/2697/4041/163/1969/10203/22905/7342/204851/8837/7474/4775/1281/182/5469/6899/57493/3202/65125/3280/4066/2050/2335/55294/6786/1545/23129/6464/5138/5154/5629/7075/3340/4691/28996/6654/7837/8325/7026/6422/5921/3949/5290/7049/6659/25932/2022/2316/677/5286/5371/1901/90139/3516/7010/1282/3688/1432/23411/221981/133/196740/4204/22915/57674/154810/10413/3791/116150/7716/26057/84516/54583/8751/94/4193/1948/7082/2969","Up","BP",0.0499922851411819,324,1
"GO:0001726","ruffle",96,0.46639647408759,1.49799488879145,0.00128405391653609,0.0478768674594169,0.0412248888993164,1751,"tags=43%, list=29%, signal=31%","152273/3685/7099/59338/4646/1021/84687/26060/23499/23527/5335/25/324/1729/9564/54822/26258/1182/23150/208/7456/7094/1969/10787/55785/4289/51474/9788/93663/5921/8826/23607/51429/3688/10395/117145/10630/23603/5756/4641/9181","Up","CC",0.0148125289307206,96,1
"GO:0001944","vasculature development",345,0.415245962179402,1.41109165773001,1.74532765149149e-05,0.00176546604747023,0.0014871793240914,1970,"tags=48%, list=33%, signal=34%","22918/7423/196/650/358/219699/3339/2034/2549/10451/90627/55636/7057/29072/5747/8322/7128/3685/22899/5787/23166/11117/153090/26051/26523/5594/7052/6794/10000/54538/5797/493/5335/9693/3213/161198/161742/9444/2113/57178/4086/7048/5784/2324/7042/25/196528/25831/102/3091/10427/51564/6772/8434/5316/2308/4763/5170/4208/23414/9525/51752/2534/2697/4041/163/1969/10203/22905/7342/204851/8837/7474/4775/1281/182/5469/6899/57493/3202/65125/3280/4066/2050/2335/55294/6786/1545/23129/6464/5138/5154/6443/5629/7075/3340/4691/28996/6654/7837/8325/7026/6422/5921/3949/5290/7049/6659/25932/2022/2316/677/5286/5371/1901/90139/3516/7010/1282/3688/1432/23411/221981/133/196740/4204/22915/57674/154810/10413/3791/116150/7716/26057/10630/84516/54583/8751/94/4193/1948/7082/2969/4773/57534/1003/1942/5310/80310/57381/6356/10541/6886/6678/1386/3678/2548/5532/1278/55333/7763/6648/4215/79893/79652/2260","Up","BP",0.053232525844777,345,1
"GO:0003682","chromatin binding",299,0.419069210710854,1.41733530340407,4.29364537892096e-05,0.00075388424676403,0.00058019394104391,2012,"tags=49%, list=34%, signal=34%","2033/8648/6881/4205/10725/84629/55636/5976/1387/23468/8028/4790/2332/23394/51317/4089/5585/7091/7703/1487/6830/1660/5430/81/25836/57634/6595/10274/55274/55818/2145/8805/23512/25942/6046/11051/51780/1106/50809/51564/6599/6772/5316/57459/2308/473/80335/7343/2005/23522/648/56916/11168/9126/91875/5089/2078/5884/10735/64318/80012/1025/27030/11198/171023/4297/905/23060/2551/221037/546/1912/5469/9612/3280/4302/10155/90378/3720/1653/5431/7543/8535/10051/8467/114785/8243/6935/9575/84656/1108/8932/165918/27316/7155/10499/79892/5934/10951/54737/84456/56254/3516/3184/23411/57492/4204/4774/54107/11335/10413/26057/55870/4841/7019/1788/6670/23054/3192/4773/6597/7175/64324/8473/27000/22893/5094/10664/8850/6598/5978/3054/6886/23523/1386/5928/9878/22907/6421/57658/79685/3622/6601/1059/84181/7157","Up","MF",0.0461348557321401,299,3
"GO:0004672","protein kinase activity",211,0.475904411338435,1.59396368495105,4.38490050845228e-07,3.89271607858876e-05,2.99585817411083e-05,1435,"tags=42%, list=24%, signal=33%","7273/23049/3480/55589/1859/8428/5747/10746/1021/57538/79834/84687/5594/1459/6794/10000/5585/9578/8997/23678/9344/5591/200576/51347/4140/2932/375449/6197/9448/7204/6872/7048/2324/5566/51755/25/5289/8805/3482/5592/29110/6046/26524/51232/54822/5170/9261/208/1025/7525/2534/1969/9113/204851/8812/8621/10114/140609/65125/4216/2050/10155/57787/817/1326/5586/7075/5583/5601/6196/28996/5597/127933/9748/8476/5290/7049/1455/440275/4296/472/8780/595/10494/2931/3985/7010/5605/1432","Up","MF",0.0325567042123129,211,1
"GO:0004674","protein serine/threonine kinase activity",172,0.478393038757803,1.58780479442779,2.7742883960899e-06,9.62295901100891e-05,7.40588828731533e-05,1435,"tags=42%, list=24%, signal=33%","7273/23049/55589/1859/8428/10746/1021/57538/5594/1459/6794/10000/5585/9578/8997/23678/9344/5591/200576/51347/4140/2932/375449/6197/9448/7204/6872/7048/5566/51755/5592/29110/6046/26524/54822/5170/9261/208/1025/2534/9113/204851/8812/8621/10114/140609/65125/4216/57787/817/1326/5586/5583/5601/6196/28996/5597/127933/9748/8476/5290/7049/1455/440275/4296/472/8780/10494/2931/3985/5605/1432","Up","MF",0.0265391143342077,172,1
"GO:0004676","3-phosphoinositide-dependent protein kinase activity",99,0.52872647862669,1.68990469721762,4.46097437596439e-06,9.62295901100891e-05,7.40588828731533e-05,1375,"tags=47%, list=23%, signal=37%","7273/23049/55589/8428/57538/1459/6794/10000/9578/8997/23678/9344/5591/200576/51347/4140/2932/375449/6197/9448/7204/6872/29110/26524/54822/5170/9261/208/9113/204851/10114/140609/65125/57787/6196/28996/127933/9748/8476/5290/1455/440275/472/8780/10494/2931/3985","Up","MF",0.0152754204598056,99,1
"GO:0004677","DNA-dependent protein kinase activity",99,0.52872647862669,1.68990469721762,4.46097437596439e-06,9.62295901100891e-05,7.40588828731533e-05,1375,"tags=47%, list=23%, signal=37%","7273/23049/55589/8428/57538/1459/6794/10000/9578/8997/23678/9344/5591/200576/51347/4140/2932/375449/6197/9448/7204/6872/29110/26524/54822/5170/9261/208/9113/204851/10114/140609/65125/57787/6196/28996/127933/9748/8476/5290/1455/440275/472/8780/10494/2931/3985","Up","MF",0.0152754204598056,99,1
"GO:0004679","AMP-activated protein kinase activity",100,0.529307644711403,1.69386548737675,9.38006599429821e-06,0.000181588457069106,0.000139751590522338,2052,"tags=62%, list=34%, signal=41%","7273/23049/55589/8428/57538/1459/6794/10000/9578/8997/23678/9344/5591/200576/51347/4140/2932/375449/6197/9448/7204/6872/29110/26524/54822/5170/9261/208/9113/204851/10114/140609/65125/57787/6196/28996/127933/9748/8476/5290/1455/440275/472/8780/10494/2931/3985/57551/1454/51422/5062/3551/65018/613/6198/369/23012/2580/545/673/91754/6093","Up","MF",0.0154297176361673,100,1
