"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",497,0.427974046531369,1.74880533045705,1.12051698715288e-08,4.76593225202359e-07,4.10463064767582e-07,2223,"tags=31%, list=21%, signal=26%","3123/3115/3113/3122/972/3119/115361/2634/3117/2633/283987/79888/3134/3133/1604/56937/3106/10317/11237/3105/2907/2530/3107/64285/3601/9245/130340/23162/55454/567/64132/79586/142891/11226/192134/84885/1718/11322/259230/26286/55343/26056/28988/10133/6469/11015/57085/57120/8693/91252/55568/2635/64114/9159/5298/7110/64746/9570/347734/63971/5768/51463/2132/51272/2590/3998/84669/84068/23646/10347/6892/8615/6483/169714/55512/9334/55858/51030/8943/57511/1315/9583/55974/403/79585/442117/10905/84572/201158/2802/192683/5870/2131/4249/3382/753/54480/114805/23085/6480/55501/2734/4245/5986/7355/8658/9394/51360/25849/23443/9265/57704/11227/955/84243/9267/6513/8548/22856/55062/9727/84364/79065/6720/286451/29940/84725/2524/113829/22883/51809/80142/533/90522/2683/23423/9746/6836/5663/6811/27032/9718/55738/9197/55624/10466/10237/29108/3265/157680/10972/10945/10331/9296","Up","CC",0.0416178194607268,497,1
"GO:0001653","peptide receptor activity",17,-0.677580887400467,-1.99308857361417,0.0011403704803729,0.0457464004241896,0.0421983246583331,1114,"tags=47%, list=10%, signal=42%","7433/114815/22986/27297/57537/7434/6751/2587","Down","MF",0.0014235471445319,17,9
"GO:0001816","cytokine production",420,0.48631299678581,1.9733784459459,1e-10,1.49212121212121e-08,1.27751196172249e-08,1214,"tags=23%, list=11%, signal=21%","3123/3115/3113/684/972/6288/8651/3635/80149/4843/2633/1670/3659/5450/4192/3134/283234/9636/7133/89870/9235/3133/834/338557/1604/11213/1969/407040/1958/6772/3106/2335/602/11119/8140/4067/3105/10384/10365/3428/113277/8986/79102/59272/9641/3665/3606/11118/5795/3574/567/3091/22890/307/6774/80772/1649/51564/7538/5971/5588/7040/255231/3394/6647/10626/1652/9111/7430/136/3098/5371/25865/7110/284194/23705/5781/27242/10555/23646/9451/2597/4938/5607/8399/5606/6992/54476/10623/3815/2000/4155/9466/9475/192683","Up","BP",0.0351699882766706,420,1
"GO:0001817","regulation of cytokine production",417,0.487634234967058,1.97769299562947,1e-10,1.49212121212121e-08,1.27751196172249e-08,1214,"tags=23%, list=11%, signal=21%","3123/3115/3113/684/972/6288/8651/3635/80149/4843/2633/1670/3659/5450/4192/3134/283234/9636/7133/89870/9235/3133/834/338557/1604/11213/1969/407040/1958/6772/3106/2335/602/11119/8140/4067/3105/10384/10365/3428/113277/8986/79102/59272/9641/3665/3606/11118/5795/3574/567/3091/22890/307/6774/80772/1649/51564/7538/5971/5588/7040/255231/3394/6647/10626/1652/9111/7430/136/3098/5371/25865/7110/284194/23705/5781/27242/10555/23646/9451/2597/4938/5607/8399/5606/6992/54476/10623/3815/2000/4155/9466/9475/192683","Up","BP",0.0349187740746944,417,1
"GO:0001906","cell killing",88,0.739354562088482,2.57321207871056,1e-10,1.49212121212121e-08,1.27751196172249e-08,778,"tags=40%, list=7%, signal=37%","3500/3123/3122/2919/8542/3635/2920/4843/2921/2634/2633/5320/1670/3134/6891/3133/1604/3106/3105/3107/5817/55876/81607/5873/3606/567/1113/27433/56477/7040/127544/55207/2635/6338/23705","Up","BP",0.00736894992463574,88,1
"GO:0002250","adaptive immune response",220,0.690171419507964,2.67550442432026,1e-10,1.49212121212121e-08,1.27751196172249e-08,943,"tags=33%, list=9%, signal=30%","3500/3502/3501/3123/3539/3493/3115/3113/3122/3514/972/3494/3109/3119/3507/3108/3538/717/3635/80149/3503/9021/3512/3117/3659/3134/6891/7133/725/3133/1604/3106/3426/602/11119/4067/6890/3105/3107/10384/5817/8741/57089/430/64332/5873/3665/3606/11118/567/28638/22890/196/6774/28988/5971/5588/7040/255231/3726/127544/6830/2067/9025/25865/2794/27242/10312/6778/2923/55611/23075","Up","BP",0.0184223748115893,220,1
"GO:0002252","immune effector process",311,0.603825077403709,2.40901479668942,1e-10,1.49212121212121e-08,1.27751196172249e-08,782,"tags=23%, list=7%, signal=22%","3500/3502/3501/3123/3539/3493/3122/684/3514/972/3494/6280/3109/3538/717/3635/80149/3503/9021/4843/5450/4192/3134/6891/7133/725/3133/1604/11213/3106/3426/602/8140/306/4067/3105/3107/10384/5817/8741/57089/430/64332/81607/5873/3665/3606/11118/567/1113/22890/196/6774/5971/7040/5581/3394/6461/3726/9111/127544/6830/55207/136/3098/11005/2067/9025/6338/23705/2794","Up","BP",0.0260425389382013,311,1
"GO:0002253","activation of immune response",339,0.537316994151156,2.1504633240529,1e-10,1.49212121212121e-08,1.27751196172249e-08,638,"tags=15%, list=6%, signal=15%","3500/3502/3501/3123/3539/3493/3115/3514/3494/6280/3119/3507/717/3635/79931/80149/3503/4843/2634/2633/3659/725/89870/834/1604/11213/407040/3426/11119/9424/4067/330/57169/3105/10384/3428/85363/64332/9641/3665/11118/5795/28638/84885/6895/80772/9684/8891/5581/6461/9111/7430","Up","BP",0.0283872048233127,339,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",182,0.603061998942158,2.28955302154815,1e-10,1.49212121212121e-08,1.27751196172249e-08,748,"tags=18%, list=7%, signal=17%","3500/3502/3501/3123/3539/3493/3115/3514/3494/3119/3507/3635/79931/80149/3503/4843/2633/407040/11119/4067/3105/10384/64332/11118/5795/28638/8891/5581/6461/9111/7430/8878/25865","Up","BP",0.0152403282532239,182,1
"GO:0002443","leukocyte mediated immunity",190,0.667010028926256,2.54172873005981,1e-10,1.49212121212121e-08,1.27751196172249e-08,1192,"tags=33%, list=11%, signal=30%","3500/3502/3501/3123/3539/3493/3122/684/3514/972/3494/3538/717/3635/3503/4843/3134/6891/7133/725/3133/1604/3106/3426/602/306/4067/3105/3107/10384/5817/8741/64332/81607/5873/3665/3606/11118/567/1113/22890/196/7040/127544/6830/55207/136/2067/9025/6338/23705/2794/10312/6778/23075/1130/5880/1636/5532/100507436/10039/3815/9466","Up","BP",0.0159102327918272,190,1
