"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Mature Colonocyte",315,275,590,"08_AC_LI_ActiveCD_vs_Control","Control",16,"ActiveCD",18
"Early Goblet",277,55,332,"08_AC_LI_ActiveCD_vs_Control","Control",16,"ActiveCD",20
"Intermediate Colonocyte",240,70,310,"08_AC_LI_ActiveCD_vs_Control","Control",16,"ActiveCD",20
"Stem",202,36,238,"08_AC_LI_ActiveCD_vs_Control","Control",16,"ActiveCD",20
"Mature Goblet",156,27,183,"08_AC_LI_ActiveCD_vs_Control","Control",16,"ActiveCD",20
"Cycling TA",157,23,180,"08_AC_LI_ActiveCD_vs_Control","Control",15,"ActiveCD",20
"Plasma",138,16,154,"08_AC_LI_ActiveCD_vs_Control","Control",12,"ActiveCD",17
"Early Colonocyte",77,13,90,"08_AC_LI_ActiveCD_vs_Control","Control",15,"ActiveCD",20
"LND",0,51,51,"08_AC_LI_ActiveCD_vs_Control","Control",3,"ActiveCD",18
"B",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",11,"ActiveCD",17
"B Proliferating",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",8,"ActiveCD",9
"BEST4/OTOP2",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",16,"ActiveCD",18
"EEC",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",12,"ActiveCD",17
"Endo.",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",6,"ActiveCD",17
"Goblet Proliferating",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",14,"ActiveCD",19
"NK",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",14,"ActiveCD",20
"Resident Macro.",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",10,"ActiveCD",19
"T",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",13,"ActiveCD",19
"T Proliferating",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",0,"ActiveCD",16
"Tuft",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",15,"ActiveCD",16
"Fibro.",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",7,"ActiveCD",14
"Mast",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",8,"ActiveCD",18
"Neutrophils",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",2,"ActiveCD",13
"Recruited Macro.",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",4,"ActiveCD",17
"ABCA8+ Fibro.",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",2,"ActiveCD",1
"PDGFRA+ Fibro.",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",1,"ActiveCD",2
"PDPN+ Fibro.",NA,NA,NA,"08_AC_LI_ActiveCD_vs_Control","Control",0,"ActiveCD",2
