"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0001725","stress fiber",38,-0.556327170379066,-1.75593568658979,0.000590991844194257,0.0199829117318183,0.0182740899191645,1695,"tags=42%, list=23%, signal=33%","10627/7798/3983/4026/5590/29109/23022/2317/51474/4638/3936/79784/51466/129446/5747/54751","Down","CC",0.00471054915086153,38,11
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",14,0.75013076996338,2.35565675960193,8.38595323221729e-05,0.0187095030270364,0.018012377108757,1035,"tags=57%, list=14%, signal=49%","6891/3106/3107/6892/567/3105/64167/6890","Up","BP",0.0017354654766332,14,6
"GO:0003823","antigen binding",74,0.448225118769559,2.24239972747915,8.71943916879053e-07,0.000584898539822333,0.000544058014653218,405,"tags=36%, list=5%, signal=35%","28815/3503/3501/3539/3538/28778/28817/28809/28299/3507/28813/3494/28912/6891/28913/28893/100423062/3500/3106/28825/28816/3107/6892/3493/567/3105/3512","Up","MF",0.00917317466220404,74,4
"GO:0005201","extracellular matrix structural constituent",41,-0.651997266053316,-2.07440180798326,1.37461466468233e-06,0.000584898539822333,0.000544058014653218,1930,"tags=73%, list=26%, signal=55%","3339/1284/8425/6678/7784/1289/1293/2335/10085/920/1291/7450/1278/25890/4052/4256/1281/7373/2202/1634/165/2200/10516/2192/3910/1292/5118/5549/1805/79812","Down","MF",0.00508243461014008,41,9
"GO:0005518","collagen binding",34,-0.615134922970821,-1.89678498608442,3.57584014036632e-05,0.00760759989862936,0.00707639943567231,1220,"tags=56%, list=16%, signal=47%","4088/84168/2335/10609/5479/7399/1291/7450/1513/57211/51144/8754/9902/7373/9806/165/8404/1292/5118","Down","MF",0.00421470187182348,34,9
"GO:0005539","glycosaminoglycan binding",61,-0.519936376183218,-1.76580807114542,0.000292152805971188,0.0355174339830687,0.0330374300887719,918,"tags=36%, list=12%, signal=32%","10178/7705/55959/4745/5792/51144/2257/6586/26279/2247/1809/9353/9806/6402/11167/1634/10392/2200/6355/5118/5549/151887","Down","MF",0.00756167100533036,61,9
"GO:0005766","primary lysosome",104,0.282507606285451,1.41221750902476,0.00206431621160531,0.0413129413983894,0.0377801001211072,1375,"tags=39%, list=18%, signal=33%","23385/10577/10970/81567/684/410/302/411/23197/2665/5580/2760/5611/5707/51316/8417/7415/8673/5660/201294/2519/5284/6836/3920/967/10097/3074/2512/23200/9588/10487/311/8904/2990/1650/2683/4069/1778/5547/203068/4718","Up","CC",0.0128920292549895,104,12
"GO:0005791","rough endoplasmic reticulum",40,0.545823433098243,2.36923461988838,3.63728527010217e-06,0.000327961888520879,0.000299916504727722,1302,"tags=45%, list=17%, signal=37%","58477/10970/10952/29880/7095/29927/6734/6184/6780/54901/6231/6128/6124/81502/6748/161176/4043/57003","Up","CC",0.00495847279038056,40,1
"GO:0005793","endoplasmic reticulum-Golgi intermediate compartment",94,0.411668560044997,2.09081456309675,2.96164811722038e-07,4.00562907854057e-05,3.66309109235152e-05,1338,"tags=47%, list=18%, signal=39%","10959/6891/4245/4121/966/6892/10945/6811/10972/3998/5771/11079/54732/23423/157680/5862/56005/10897/8729/222068/23071/56886/10652/2804/6836/57222/3146/50999/1453/537/2801/9554/11282/3309/811/9321/6890/5034/8613/51614/1315/4043/55757/51112","Up","CC",0.0116524110573943,94,2
"GO:0005795","Golgi stack",89,0.301464786861493,1.50515088942829,0.00250218197252865,0.0446945009687128,0.0408724884819438,1514,"tags=42%, list=20%, signal=34%","6480/27314/10959/8720/55851/2530/55790/2590/6483/23256/3105/23423/23015/11313/8729/8615/51128/56681/2804/8703/2801/55968/11282/64083/55454/10142/148867/79586/2683/54432/440270/4124/9528/23011/4905/653519/55204","Up","CC",0.0110326019585968,89,2
