"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",489,0.293502084641577,1.43785432879636,0.000424497945478498,0.018647588319234,0.0161819893501954,1996,"tags=24%, list=20%, signal=20%","3113/3122/3123/3119/972/147138/3117/26290/2633/79888/169714/166929/148789/51062/347734/10175/83464/3115/93010/1604/3106/9718/51026/79135/9727/9527/192683/3601/259230/6513/200576/26056/3107/26035/11227/9334/261729/9827/286451/6480/55501/63971/84725/1201/63917/254887/3105/4893/8693/29801/51100/1182/126792/51201/7355/64285/55638/3134/79971/4124/23258/55858/6720/51382/51030/84002/84364/51014/567/84766/221477/5298/7110/192134/3382/3133/9197/757/6868/11079/56623/11070/22796/55974/10317/10972/22926/8702/55032/9382/83548/11014/9914/2132/377/57584/6487/7132/4853/2907/5861/79586/55331/11345/55080/2589/27032/10960/23390/6484/27315/10198/9653/253012/201158/55851","Up","CC",0.0432934926958831,489,1
"GO:0001816","cytokine production",401,0.366686595877311,1.77186195726118,1.91420117665148e-07,3.67526625917083e-05,3.42218871413144e-05,1861,"tags=28%, list=18%, signal=24%","3113/684/3123/972/4050/834/4939/3635/602/2633/7128/1670/5450/7805/55353/89870/5885/3394/4345/23598/3574/708/283234/8767/11118/64135/9868/4089/3115/11119/5971/1604/3106/84632/22925/10365/80149/26146/192683/11213/3659/5970/3066/85364/3459/1386/6398/83786/10146/9636/148022/634/4192/51465/5187/7072/3105/91947/50848/10644/7057/10392/4940/4860/409/27035/3162/3134/9683/1969/6992/6772/4790/55612/3148/567/3685/29923/56919/1445/7494/114769/961/6714/9314/100133941/7110/10211/3133/6868/8815/51564/10972/9475/3329/2335/10384/1051/255231/8140/7187/3098/5861/9451/1436/5781/8915/7850/6777/66005/10626/55122","Up","BP",0.035502434705622,401,1
"GO:0001817","regulation of cytokine production",398,0.369073007607783,1.78267333826345,3.2019625872156e-07,5.69237793282773e-05,5.3004027856988e-05,1861,"tags=28%, list=18%, signal=24%","3113/684/3123/972/4050/834/4939/3635/602/2633/7128/1670/5450/7805/55353/89870/5885/3394/4345/23598/3574/708/283234/8767/11118/64135/9868/4089/3115/11119/5971/1604/3106/84632/22925/10365/80149/26146/192683/11213/3659/5970/3066/85364/3459/1386/6398/83786/10146/9636/148022/634/4192/51465/5187/7072/3105/91947/50848/10644/7057/10392/4940/4860/409/27035/3162/3134/9683/1969/6992/6772/4790/55612/3148/567/29923/56919/1445/7494/114769/961/6714/9314/100133941/7110/10211/3133/6868/8815/51564/10972/9475/3329/2335/10384/1051/255231/8140/7187/3098/5861/9451/1436/5781/8915/7850/6777/66005/10626/55122","Up","BP",0.035236830455954,398,1
"GO:0001819","positive regulation of cytokine production",236,0.417640364230737,1.90155364850952,5.9631847859891e-07,0.00010222602490267,9.51867766966531e-05,2282,"tags=37%, list=22%, signal=29%","3113/972/4050/834/4939/602/1670/5450/7805/89870/5885/3394/4345/3574/283234/8767/11118/64135/9868/3115/11119/1604/84632/22925/192683/11213/3659/5970/3066/85364/3459/1386/6398/83786/10146/9636/148022/4192/3105/91947/7057/10392/4940/4860/27035/3162/3134/6772/55612/3148/567/29923/56919/7494/6714/7110/10211/3133/6868/10972/9475/3329/1051/255231/8140/7187/3098/5861/9451/1436/5781/8915/6777/10626/55122/10623/4155/6774/657/91543/5914/3091/4179/672/10159/81844/161882","Up","BP",0.0208942009738822,236,1
"GO:0002250","adaptive immune response",216,0.589842842391832,2.65769243069309,1e-10,2.52631578947368e-08,2.35235457063712e-08,852,"tags=24%, list=8%, signal=23%","3507/3501/3500/3538/3502/3493/3539/3113/3122/3123/973/3119/972/3512/3109/3514/3117/3635/9021/3494/602/4791/100423062/7128/64421/28817/5395/708/8767/11118/3108/201294/3115/11119/5971/1604/3106/28638/80149/6891/118460/3659/1512/6398/3107/3426/64332/64218/634/3105/2185/2923","Up","BP",0.0191235059760956,216,1
"GO:0002252","immune effector process",309,0.456783744302935,2.12905654769534,1.19035546846977e-10,2.85685312432744e-08,2.66013122059086e-08,998,"tags=18%, list=10%, signal=17%","3501/3500/3538/3502/3493/3539/684/3122/3123/51237/972/3109/3514/3635/9021/3494/602/100423062/5450/7805/55601/5395/3394/708/8767/11118/201294/5971/1604/3106/6812/80149/6891/118460/11213/1512/1675/613/6398/9846/3107/3426/64332/64218/148022/634/4192/51465/3105/2185/10392/9452/5130/409/3561/3134","Up","BP",0.0273572377158035,309,1
"GO:0002253","activation of immune response",327,0.45594104353911,2.14187174624651,1e-10,2.52631578947368e-08,2.35235457063712e-08,1604,"tags=24%, list=16%, signal=20%","3507/3501/3500/3502/3493/3539/3123/973/3119/834/3514/330/3635/3494/2633/7128/7805/55601/89870/5599/3843/708/8767/11118/64135/9684/9868/127018/8473/3115/11119/1604/28638/80149/57169/11213/3659/5970/85364/1675/9958/9404/3426/64332/148022/634/79184/5591/3105/10392/5583/4940/409/4790/5537/7105/56919/1445/961/6397/6714/329/85363/5515/3312/10211/5062/7006/6197/8815/26524/8891/55577/9782/3329/10384/3503","Up","BP",0.0289508632138114,327,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",177,0.546489916644092,2.4096156131872,1e-10,2.52631578947368e-08,2.35235457063712e-08,454,"tags=12%, list=4%, signal=12%","3507/3501/3500/3502/3493/3539/3123/973/3119/3514/3635/3494/2633/7128/7805/8767/11118/3115/11119/28638/80149/5970","Up","BP",0.0156706507304117,177,1
"GO:0002443","leukocyte mediated immunity",180,0.554439487121654,2.44840108295283,1e-10,2.52631578947368e-08,2.35235457063712e-08,796,"tags=19%, list=8%, signal=18%","3501/3500/3538/3502/3493/3539/684/3122/3123/972/3514/3635/3494/602/100423062/5395/708/11118/201294/1604/3106/6812/6891/118460/1512/613/6398/9846/3107/3426/64332/148022/634/3105","Up","BP",0.0159362549800797,180,1
"GO:0002449","lymphocyte mediated immunity",137,0.589650178573687,2.5282692849689,1e-10,2.52631578947368e-08,2.35235457063712e-08,796,"tags=21%, list=8%, signal=20%","3501/3500/3538/3502/3493/3539/3122/3123/972/3514/3635/3494/602/100423062/5395/708/11118/201294/1604/3106/6891/118460/1512/6398/3107/3426/64332/634/3105","Up","BP",0.0121292607348384,137,1
