"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0001653","peptide receptor activity",25,-0.728247870348456,-2.05898210584119,0.000144980447048294,0.0177842681712574,0.0167193825484933,873,"tags=40%, list=7%, signal=37%","114815/27297/7253/7434/2151/59350/4886/22986/57537/2587","Down","MF",0.0017919862375457,25,7
"GO:0001772","immunological synapse",35,0.792335769073066,2.31385703882036,1.81098770912057e-07,6.64028826677543e-06,5.6553651267274e-06,785,"tags=34%, list=7%, signal=32%","3123/3122/3001/951/963/3932/11151/399/396/975/84766/4739","Up","CC",0.00250878073256397,35,1
"GO:0001816","cytokine production",474,0.453369240269571,1.94259881442097,1e-10,1.78103448275862e-08,1.59419237749546e-08,1571,"tags=24%, list=13%, signal=22%","684/3123/972/1670/3113/91543/1236/3635/3115/958/5552/54739/144811/5450/3554/8651/4192/3718/1604/4050/166793/80149/10773/240/3106/3134/5788/6772/51564/3694/959/3815/4940/10554/10384/9880/3105/79132/27342/7057/2633/81031/5734/23598/79102/834/3568/79671/283234/23308/54/3133/3659/3394/7805/101/5371/7098/975/9636/7096/22900/10009/567/5293/11118/5724/150/3663/10365/114769/4938/11119/5196/5187/54941/2048/22954/284194/56919/56848/7494/4860/57621/9188/6774/9314/1378/7597/2152/4345/654346/10855/2648/4067/7133/8808/3685/1191/29110/58509/3459/5966/6398/3965/634/55612/338557/3077/4843/5777/10626/3098/7072/120892/4179","Up","BP",0.0339760590638664,474,1
"GO:0001817","regulation of cytokine production",471,0.450516458177391,1.92874916569047,1e-10,1.78103448275862e-08,1.59419237749546e-08,1571,"tags=24%, list=13%, signal=22%","684/3123/972/1670/3113/91543/1236/3635/3115/958/5552/54739/144811/5450/3554/8651/4192/3718/1604/4050/166793/80149/10773/240/3106/3134/5788/6772/51564/959/3815/4940/10554/10384/9880/3105/79132/27342/7057/2633/81031/5734/23598/79102/834/3568/79671/283234/23308/54/3133/3659/3394/7805/101/5371/7098/975/9636/7096/22900/10009/567/5293/11118/5724/150/3663/10365/114769/4938/11119/5196/5187/54941/2048/22954/284194/56919/56848/7494/4860/57621/9188/6774/9314/1378/7597/2152/4345/654346/10855/2648/4067/7133/8808/1191/29110/58509/3459/5966/6398/3965/634/55612/338557/3077/4843/5777/10626/3098/7072/120892/4179","Up","BP",0.0337610207153609,471,1
"GO:0001906","cell killing",104,0.647750222703689,2.30395433305264,1.82914510082454e-09,2.10351293483905e-07,1.88284074179713e-07,1374,"tags=38%, list=11%, signal=34%","3500/3123/3122/6364/1670/4069/3635/3001/2921/9547/8542/5320/1604/201294/4814/11151/3106/3134/5788/55876/3105/2633/3107/6688/4277/3133/567/5196/27433/5817/81607/2013/5272/1378/1773/100507436/3965/2635/634","Up","BP",0.00745466274819009,104,1
"GO:0002250","adaptive immune response",253,0.625456868200925,2.5079924844493,1e-10,1.78103448275862e-08,1.59419237749546e-08,1109,"tags=28%, list=9%, signal=26%","3500/3119/3502/3501/3109/3123/3122/3538/972/3113/3507/915/91543/3635/9021/717/3503/3539/3108/3115/3514/958/3512/3554/3494/973/917/3493/3117/3718/3127/28815/1604/28638/201294/80149/3106/3134/5788/959/10384/3105/3426/3107/10312/4277/23308/919/3133/3659/4791/28755/975/84766/6097/567/5293/660/11118/196/11119/6890/54941/2048/5817/2013/84787/6774/1378/6776/8741/80758","Up","BP",0.0181349007239624,253,1
"GO:0002252","immune effector process",355,0.549755388104777,2.28872336999029,1e-10,1.78103448275862e-08,1.59419237749546e-08,1341,"tags=26%, list=11%, signal=24%","684/3500/3502/3501/3109/3123/3122/3538/972/91543/3635/9021/717/3503/3539/3514/958/51237/144811/5450/3554/3494/3493/4192/5880/3718/1604/201294/11151/80149/3106/3134/5788/57126/959/3815/10384/306/3105/3426/79132/27342/3107/5734/79671/10312/6688/23308/54/3133/3394/7805/7098/975/84766/6097/567/5293/11118/5724/3663/196/2048/5817/11331/84522/5338/613/56848/81607/7494/2013/84787/5729/9188/6774/5272/1378/6776/55601/8741/1675/4067/7133/5058/1773/100507436/1191/29110/3430/6398/3965","Up","BP",0.0254462045731489,355,1
"GO:0002253","activation of immune response",387,0.505875838334456,2.12602764811337,1e-10,1.78103448275862e-08,1.59419237749546e-08,1523,"tags=23%, list=13%, signal=21%","3500/3119/3502/3501/3123/3507/915/91543/1236/3635/857/717/3503/3937/3539/3115/3514/144811/3494/973/917/3493/1604/28638/3932/4814/80149/5788/6565/4940/330/10384/3105/3426/79132/27342/9212/2633/971/834/79671/4277/23308/919/3659/7805/7098/28755/975/7096/22900/92610/596/5293/660/11118/9684/57169/4938/11119/84885/54941/22954/11331/29800/5338/56919/1378/55601/8638/81790/22841/1675/4067/5058/25800/5359/1191/207/29110/58509/3430/634/57505/1520/5538/673/4843/10432/5777","Up","BP",0.0277399469572074,387,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",215,0.589166977373874,2.3215155382964,1e-10,1.78103448275862e-08,1.59419237749546e-08,882,"tags=20%, list=7%, signal=18%","3500/3119/3502/3501/3123/3507/915/1236/3635/3503/3937/3539/3115/3514/3494/973/917/3493/28638/3932/4814/80149/5788/10384/3105/27342/2633/971/4277/23308/919/7805/28755/975/7096/596/5293/660/11118/4938/11119/22954","Up","BP",0.015411081642893,215,1
"GO:0002443","leukocyte mediated immunity",217,0.608036954236045,2.39487132832053,1e-10,1.78103448275862e-08,1.59419237749546e-08,1374,"tags=30%, list=11%, signal=27%","684/3500/3502/3501/3123/3122/3538/972/91543/3635/717/3503/3539/3514/958/3554/3494/3493/5880/3718/1604/201294/11151/3106/3134/5788/57126/959/3815/10384/306/3105/3426/27342/3107/10312/6688/3133/7098/975/567/5293/11118/5724/196/5817/84522/613/56848/81607/2013/84787/5729/9188/5272/1378/8741/4067/7133/1773/100507436/1191/6398/3965/634","Up","BP",0.0155544405418966,217,1
"GO:0002449","lymphocyte mediated immunity",168,0.595190124565667,2.27920221660853,1e-10,1.78103448275862e-08,1.59419237749546e-08,1086,"tags=24%, list=9%, signal=23%","3500/3502/3501/3123/3122/3538/972/91543/3635/717/3503/3539/3514/958/3554/3494/3493/1604/201294/11151/3106/3134/5788/959/10384/3105/3426/3107/10312/3133/975/567/11118/196/5817/81607/2013/84787/5272/1378/8741","Up","BP",0.0120421475163071,168,1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",181,0.592369094966314,2.30376581111605,1e-10,1.78103448275862e-08,1.59419237749546e-08,1086,"tags=26%, list=9%, signal=24%","3500/3502/3501/3123/3122/3538/972/91543/3635/9021/717/3503/3539/3514/958/3554/3494/3493/3718/1604/201294/80149/3106/3134/5788/959/10384/3105/3426/3107/10312/3133/4791/975/84766/6097/567/11118/196/2048/5817/2013/84787/6774/1378/6776/8741","Up","BP",0.0129739803598308,181,1
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",28,0.868468335316031,2.39724808328787,4.43677688008988e-10,5.87588527837544e-08,5.25946668214703e-08,684,"tags=54%, list=6%, signal=51%","3119/3109/3123/3122/972/3113/3108/3115/3117/3127/3134/3105/3133/1510/567","Up","BP",0.00200702458605118,28,1
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",24,0.876942091202286,2.35134081869996,1.7107502104337e-09,2.05488949695118e-07,1.83931821890449e-07,684,"tags=54%, list=6%, signal=51%","3119/3109/3123/3122/972/3113/3108/3115/3117/3127/7057/1510/567","Up","BP",0.00172030678804387,24,1
"GO:0002694","regulation of leukocyte activation",335,0.493544502727904,2.04257540704539,1e-10,1.78103448275862e-08,1.59419237749546e-08,1683,"tags=26%, list=14%, signal=23%","3119/3109/3123/3122/972/3113/1236/3635/857/3108/3115/958/51237/3117/8651/4192/5880/3718/3127/8530/5320/1604/403313/3932/11151/80149/5788/959/648/3105/27342/7057/6601/683/6688/283234/23308/399/3133/3659/7805/101/6541/975/567/596/8660/3949/4739/677/196/2048/55274/284194/56848/7494/4860/84787/3601/1378/6776/4345/8741/654346/6932/7048/2648/4067/7133/8808/100507436/5359/207/1326/3965/86/23729/7037/673/3077/5777/120892/4179/5573/6666/637/3606/6461","Up","BP",0.0240126155831123,335,1
"GO:0002696","positive regulation of leukocyte activation",221,0.547450918290957,2.15908169581516,1e-10,1.78103448275862e-08,1.59419237749546e-08,1181,"tags=23%, list=10%, signal=21%","3119/3109/3123/3122/972/3113/1236/3635/857/3108/3115/958/3117/8651/4192/3127/1604/403313/3932/11151/5788/959/648/3105/7057/6601/683/6688/283234/23308/399/3133/101/6541/975/567/596/8660/2048/55274/56848/7494/4860/84787/3601/1378/8741/7048/4067/8808","Up","BP",0.0158411583399039,221,1
"GO:0002697","regulation of immune effector process",206,0.548711366822314,2.15731886724011,3.21316085974387e-10,4.71752384240135e-08,4.2226248975038e-08,1571,"tags=31%, list=13%, signal=27%","684/3109/3123/3122/972/91543/3635/958/51237/144811/3554/5880/3718/1604/201294/80149/3106/3134/5788/57126/959/3815/3105/79132/27342/3107/79671/6688/54/3133/7805/7098/975/567/5724/3663/196/2048/5817/11331/613/56848/81607/7494/84787/9188/5272/1378/6776/55601/8741/4067/7133/1773/100507436/6398/3965/634/7037/3077/4843/5777/3098/4179","Up","BP",0.0147659665973765,206,1
"GO:0002757","immune response-activating signaling pathway",357,0.520146746696879,2.16831876995983,1e-10,1.78103448275862e-08,1.59419237749546e-08,1315,"tags=21%, list=11%, signal=20%","3500/3119/3502/3501/3123/3507/915/91543/1236/3635/857/3503/3937/3539/3115/3514/144811/3494/973/917/3493/28638/3932/4814/80149/5788/6565/4940/330/10384/3105/79132/27342/9212/2633/971/834/79671/4277/23308/919/3659/7805/7098/28755/975/7096/22900/92610/596/5293/660/11118/9684/4938/11119/84885/54941/22954/11331/29800/5338/56919/1378/55601/8638/81790/22841/4067/5058/25800/5359/207/29110/58509/3430","Up","BP",0.0255895634721525,357,1
