"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",484,0.345637165118044,1.64312384450007,2.13763867003161e-06,4.77914931228497e-05,4.27527734006323e-05,1520,"tags=21%, list=15%, signal=18%","3119/3122/3115/972/3123/3113/3127/79888/3106/58480/3134/84885/147138/115361/113189/1604/4893/3105/116068/3117/26056/51014/9245/7355/11070/2907/25972/3107/64285/10959/84912/79571/11015/9896/9718/567/22908/2634/50515/9827/8708/8677/5045/4121/7851/10175/3133/9334/261729/374378/51124/6009/9917/372/148327/9619/10678/377/23557/3845/25921/9265/64114/11345/55062/390/1718/55738/8905/64689/2589/113419/7098/5870/400/2804/64921/9296/10897/5007/966/84572/9197/6892/8907/5154/6480/3998/10652/9528/11014/6836/56034/6720/2683/55532/9367/10282/148867/80762","Up","CC",0.0426018836370038,484,1
"GO:0001772","immunological synapse",28,0.68645822870882,2.0819280509007,6.19047593550623e-05,0.00117431452594754,0.00105050500723742,712,"tags=29%, list=7%, signal=27%","3122/3123/951/11151/84433/5573/5795/27020","Up","CC",0.00246457178065311,28,1
"GO:0001816","cytokine production",405,0.419589093944928,1.95994518555815,1e-10,1.55677419354839e-08,1.40407470288625e-08,1146,"tags=21%, list=11%, signal=20%","684/3115/972/3123/3113/3635/80149/4050/10384/7805/3106/5450/3134/11119/4192/150/4940/54/1969/1604/1670/7189/9235/3105/7538/6398/84433/11118/240/7057/7133/7541/3394/834/3600/85364/567/11148/255231/26191/284194/958/5336/10892/5045/5795/4976/79594/3133/9314/283234/7494/28964/8780/708/27020/4067/4843/11120/2150/27242/3459/10146/9111/961/3066/4092/2000/8140/3091/91947/5971/7098/4938/8651/80772/3659/6772/7474/3077/10623/654346/114769/5606/602/11334/4860","Up","BP",0.0356482703987325,405,1
"GO:0001817","regulation of cytokine production",402,0.420792226171613,1.96204325884884,1e-10,1.55677419354839e-08,1.40407470288625e-08,1146,"tags=22%, list=11%, signal=20%","684/3115/972/3123/3113/3635/80149/4050/10384/7805/3106/5450/3134/11119/4192/150/4940/54/1969/1604/1670/7189/9235/3105/7538/6398/84433/11118/240/7057/7133/7541/3394/834/3600/85364/567/11148/255231/26191/284194/958/5336/10892/5045/5795/4976/79594/3133/9314/283234/7494/28964/8780/708/27020/4067/4843/11120/2150/27242/3459/10146/9111/961/3066/4092/2000/8140/3091/91947/5971/7098/4938/8651/80772/3659/6772/7474/3077/10623/654346/114769/5606/602/11334/4860","Up","BP",0.0353842091365197,402,1
"GO:0002250","adaptive immune response",215,0.623929209976886,2.71845797788909,1e-10,1.55677419354839e-08,1.40407470288625e-08,1365,"tags=37%, list=13%, signal=33%","3493/3538/3514/3500/3119/3122/3115/3502/972/3494/3123/3113/3501/3108/3109/3539/3635/3512/3507/3127/80149/10384/973/28638/3106/9021/3134/28299/11119/1604/7189/3105/4791/6398/11118/3117/717/54542/7133/3107/567/6891/255231/10312/958/10892/4976/3133/64332/708/4067/2923/27242/60468/1075/6890/4092/5130/121260/127544/10758/4277/5971/3659/3077/55824/6046/1514/10039/602/4292/5532/4683/22890/6774/7037/5579/9025/28755","Up","BP",0.0189243904585864,215,1
"GO:0002252","immune effector process",306,0.521128537157911,2.36766659139119,1e-10,1.55677419354839e-08,1.40407470288625e-08,1358,"tags=28%, list=13%, signal=25%","3493/3538/3514/3500/684/3122/3502/972/3494/3123/3501/3109/3539/3635/80149/10384/7805/4189/51237/3106/9021/5450/3134/4192/57126/54/11151/1113/1604/7189/3105/6398/11118/717/54542/7133/55207/7409/3107/11005/3394/567/6891/80031/10312/55619/958/5336/10892/4976/3561/3133/7494/5880/64332/708/3936/4067/6461/4843/2150/1075/9111/4092/5130/121260/8140/127544/10758/5971/7098/7474/3077/6046/10039/8723/602/11334/4292/5532/4683/22890/966/6774/7037/9025/51465","Up","BP",0.026934248745709,306,1
"GO:0002253","activation of immune response",330,0.484460985064988,2.21975101284226,1e-10,1.55677419354839e-08,1.40407470288625e-08,1025,"tags=20%, list=10%, signal=19%","3493/3514/3500/3119/3115/3502/3494/3123/3501/3539/3635/3507/80149/10384/7805/973/28638/330/11119/9404/84885/4940/1604/7189/3105/84433/11118/717/54542/5515/7105/7409/834/51296/85364/11148/9424/2634/26191/29085/5336/10892/5795/25800/11074/92610/64332/8780/708/4067/6461/4843/11120/2150/10432/90268/25921/27242/9111/961/121260/57169/4277/7098/4938/80772/3659","Up","BP",0.0290467388434117,330,1
"GO:0002399","MHC class II protein complex assembly",10,0.964758566978193,2.29104543499264,1.3494331926947e-09,1.4800828608965e-07,1.33490580186425e-07,372,"tags=100%, list=4%, signal=96%","3119/3122/3115/3123/3113/3108/3109/3127/3117/567","Up","BP",0.000880204207376111,10,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",183,0.59386094295368,2.55156193674506,1e-10,1.55677419354839e-08,1.40407470288625e-08,829,"tags=22%, list=8%, signal=21%","3493/3514/3500/3119/3115/3502/3494/3123/3501/3539/3635/3507/80149/10384/7805/973/28638/11119/9404/7189/3105/84433/11118/54542/7409/11148/26191/29085/5336/10892/5795/25800/64332/4067/6461/4843/11120/2150/27242/9111/961","Up","BP",0.0161077369949828,183,1
"GO:0002443","leukocyte mediated immunity",183,0.596989611062472,2.56500446155465,1e-10,1.55677419354839e-08,1.40407470288625e-08,1231,"tags=32%, list=12%, signal=28%","3493/3538/3514/3500/684/3122/3502/972/3494/3123/3501/3539/3635/10384/3106/3134/57126/11151/1113/1604/7189/3105/6398/11118/717/7133/55207/7409/3107/567/6891/10312/958/5336/10892/3133/5880/64332/708/4067/4843/2150/1075/4092/5130/121260/127544/10758/7098/3077/10039/8723/602/11334/4292/5532/4683/22890","Up","BP",0.0161077369949828,183,1
"GO:0002449","lymphocyte mediated immunity",139,0.635123667209639,2.64032445796223,1e-10,1.55677419354839e-08,1.40407470288625e-08,1231,"tags=34%, list=12%, signal=30%","3493/3538/3514/3500/3122/3502/972/3494/3123/3501/3539/3635/10384/3106/3134/11151/1604/7189/3105/6398/11118/717/7133/55207/7409/3107/567/6891/10312/958/10892/3133/64332/708/1075/4092/5130/121260/127544/10758/3077/10039/602/4292/5532/4683/22890","Up","BP",0.0122348384825279,139,1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",152,0.605655588257523,2.52527613240978,1e-10,1.55677419354839e-08,1.40407470288625e-08,1348,"tags=36%, list=13%, signal=31%","3493/3538/3514/3500/3122/3502/972/3494/3123/3501/3539/3635/80149/10384/3106/9021/3134/1604/7189/3105/4791/6398/11118/717/54542/7133/3107/567/6891/10312/958/10892/4976/3133/64332/708/60468/1075/4092/5130/121260/10758/5971/3077/6046/10039/602/4292/5532/4683/22890/6774/7037/9025","Up","BP",0.0133791039521169,152,1
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",27,0.858865910167699,2.57388705321565,1e-10,1.55677419354839e-08,1.40407470288625e-08,818,"tags=67%, list=8%, signal=62%","3119/3122/3115/972/3123/3113/3108/3109/3127/3134/7189/3105/3117/567/6891/3133/4012/1515","Up","BP",0.0023765513599155,27,1
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",21,0.878393767833138,2.49697179809645,4.89769674632741e-10,6.38818499939894e-08,5.76158635734391e-08,372,"tags=57%, list=4%, signal=55%","3119/3122/3115/972/3123/3113/3108/3109/3127/7189/3117/567","Up","BP",0.00184842883548983,21,1
"GO:0002503","peptide antigen assembly with MHC class II protein complex",10,0.964758566978193,2.29104543499264,1.3494331926947e-09,1.4800828608965e-07,1.33490580186425e-07,372,"tags=100%, list=4%, signal=96%","3119/3122/3115/3123/3113/3108/3109/3127/3117/567","Up","BP",0.000880204207376111,10,1
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",23,0.882994354803796,2.55083800684154,1e-10,1.55677419354839e-08,1.40407470288625e-08,372,"tags=61%, list=4%, signal=59%","3119/3122/3115/972/3123/3113/3108/3109/3127/7189/3117/7057/55207/567","Up","BP",0.00202446967696506,23,1
"GO:0002683","negative regulation of immune system process",267,0.454543068441172,2.03630677902416,1.92044526242070e-09,1.85361376728845e-07,1.67179813897044e-07,1603,"tags=28%, list=16%, signal=24%","684/972/3123/3635/80149/7805/3106/3134/4192/9404/1843/84885/4940/54/1604/3105/84830/7057/5320/4609/79148/54542/10221/7105/11005/3949/11274/26191/284194/29085/5573/5045/5795/79594/7534/3133/6662/11074/54625/8780/708/4067/25807/441478/1803/2150/27242/9111/4092/84166/7098/4938/8651/80772/3659/3077/55824/654346/1265/10039/6988/5532/966/207/8848/3149/5537/7430/54726/80762/28959/203228/9306/3398/5169","Up","BP",0.0235014523369422,267,1
"GO:0002694","regulation of leukocyte activation",294,0.469168801512913,2.11447487017672,1e-10,1.55677419354839e-08,1.40407470288625e-08,1164,"tags=23%, list=11%, signal=21%","3119/3122/3115/972/3123/3113/3108/3109/3635/3127/80149/7805/51237/4192/11151/1604/7189/683/3105/84433/3117/7057/5320/54542/7133/7409/11005/3600/3949/567/11148/403313/26191/284194/9580/958/5573/10892/4976/3561/3133/283234/7494/5880/64332/10193/4067/6461/25807/441478/1803/27242/1075/961/4092/121260/8651/3659/63925/7474/3077/55824/6046/654346/10039/4739/4860/4292","Up","BP",0.0258780036968577,294,1
"GO:0002696","positive regulation of leukocyte activation",193,0.499041154439935,2.15539489516051,1.60983866527681e-09,1.68893073883171e-07,1.52326839380311e-07,829,"tags=20%, list=8%, signal=18%","3119/3122/3115/972/3123/3113/3108/3109/3635/3127/4192/11151/1604/7189/683/3105/84433/3117/7057/7409/3600/567/11148/403313/9580/958/10892/4976/3561/3133/283234/7494/64332/4067/6461/1803/1075/961","Up","BP",0.0169879412023589,193,1
"GO:0002697","regulation of immune effector process",175,0.528453591624663,2.24608881275295,1.69517084498853e-10,2.40614544056313e-08,2.17013357400234e-08,1619,"tags=34%, list=16%, signal=29%","684/3122/972/3123/3109/3635/80149/7805/4189/51237/3106/3134/57126/54/1604/7189/3105/6398/54542/7133/7409/3107/11005/567/6891/958/5336/10892/4976/3561/3133/7494/5880/64332/708/4067/6461/4843/2150/4092/121260/8140/7098/7474/3077/6046/10039/8723/4292/5532/22890/966/7037/51465/5562/80762/3726/57142/5169/3606","Up","BP",0.0154035736290819,175,1
"GO:0002757","immune response-activating signaling pathway",306,0.503768984240341,2.28879615817988,1e-10,1.55677419354839e-08,1.40407470288625e-08,1025,"tags=21%, list=10%, signal=19%","3493/3514/3500/3119/3115/3502/3494/3123/3501/3539/3635/3507/80149/10384/7805/973/28638/330/11119/9404/84885/4940/7189/3105/84433/11118/54542/5515/7105/7409/834/51296/85364/11148/9424/2634/26191/29085/5336/10892/5795/25800/11074/92610/64332/8780/708/4067/6461/4843/11120/2150/90268/25921/27242/9111/961/121260/4277/7098/4938/80772/3659","Up","BP",0.026934248745709,306,1
"GO:0002764","immune response-regulating signaling pathway",318,0.497197885313834,2.26923387868697,1e-10,1.55677419354839e-08,1.40407470288625e-08,1025,"tags=20%, list=10%, signal=19%","3493/3514/3500/3119/3115/3502/3494/3123/3501/3539/3635/3507/80149/10384/7805/973/28638/330/11119/9404/84885/4940/7189/3105/84433/11118/54542/5515/7105/7409/834/51296/85364/11148/9424/2634/26191/29085/958/5336/10892/5795/25800/11074/92610/64332/8780/708/4067/6461/4843/11120/2150/90268/25921/27242/9111/961/121260/4277/7098/4938/80772/3659","Up","BP",0.0279904937945603,318,1
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",194,0.586160625693428,2.53161472441866,1e-10,1.55677419354839e-08,1.40407470288625e-08,829,"tags=22%, list=8%, signal=20%","3493/3514/3500/3119/3115/3502/3494/3123/3501/3539/3635/3507/80149/10384/7805/973/28638/11119/9404/7189/3105/84433/11118/54542/7409/11148/26191/29085/958/5336/10892/5795/25800/64332/4067/6461/4843/11120/2150/27242/9111/961","Up","BP",0.0170759616230966,194,1
"GO:0003823","antigen binding",41,0.889949706846781,2.9026807464853,1e-10,2.75089741146342e-08,2.69128043969796e-08,478,"tags=66%, list=5%, signal=63%","3493/3538/3514/3500/3119/3122/3115/3502/3494/3123/3113/3501/3108/3109/3539/3512/3507/3127/3106/3134/28299/3105/3117/3107/567/6891/958","Up","MF",0.00360883725024206,41,1
"GO:0004857","enzyme inhibitor activity",196,0.39946438811338,1.71256558963493,5.49501016447432e-05,0.00934151727960634,0.00913906953670466,528,"tags=14%, list=5%, signal=13%","684/83666/5266/9021/1032/9535/5265/26051/81611/65057/27290/6690/332/7057/2764/84059/6815/10221/11142/11005/26271/2634/56882/6059/308/5573/5045","Up","MF",0.0172520024645718,196,5
"GO:0005452","solute:inorganic anion antiporter activity",15,-0.760995534364637,-1.99897703407875,0.000147734590566977,0.0173934847916345,0.0170165362048189,879,"tags=40%, list=9%, signal=37%","9497/65010/1811/9016/57282/219855","Down","MF",0.00132030631106417,15,6
"GO:0005539","glycosaminoglycan binding",73,0.524461118510934,1.93457160838477,0.000117494986204112,0.0171206979897421,0.0167496611912028,748,"tags=26%, list=7%, signal=24%","1755/3512/3507/5068/9982/3161/4192/5968/116068/5967/7057/51144/7705/64094/3918/146760/5045/708/4043","Up","MF",0.00642549071384561,73,2
"GO:0005765","lysosomal membrane",330,0.464114151454917,2.11734976311208,1e-10,6.95555555555556e-09,6.22222222222222e-09,1539,"tags=23%, list=15%, signal=20%","154664/3119/684/3122/3115/972/3123/3113/3108/3109/2040/3127/79888/7805/8519/3134/283537/55745/55823/3117/10581/64121/8895/55207/10490/51296/3949/567/9424/6520/5547/10410/5167/8763/10312/290/9741/9842/4864/26503/25978/6009/55317/526/4067/23557/1803/4012/8649/64114/26276/121260/8140/64747/23457/8905/7098/55788/54664/64116/219931/114790/9296/2028/374395/79643/138065/8907/5826/5476/9528/6836/2683/94107/55054/83547/23120","Up","CC",0.0290467388434117,330,1
"GO:0005766","primary lysosome",111,0.468431510734295,1.82557258295705,6.84756576791882e-05,0.00122473604877634,0.00109561052286701,1968,"tags=26%, list=19%, signal=21%","154664/684/2040/79888/8895/25801/5547/6386/10487/93100/1075/387921/3074/8804/175/2717/114790/374395/2799/5476/6836/2683/23197/5660/51316/81567/55754/10694/23526","Up","CC",0.00977026670187484,111,3
"GO:0005770","late endosome",222,0.475939418082708,2.07320813653285,1.96506200712137e-09,9.46252935736905e-08,8.46488249221512e-08,789,"tags=17%, list=8%, signal=16%","3119/684/3122/3115/972/3123/3113/3108/3109/3127/973/55745/55823/23621/3117/10581/29062/55207/10490/9896/3949/567/9424/10410/255231/10312/55435/9741/9842/5573/27183/4864/25978/78992/55317/88455/8649","Up","CC",0.0195405334037497,222,1
"GO:0005771","multivesicular body",38,0.606055727867555,1.94577056195158,0.000295207811125604,0.00410666866143618,0.00367369720511863,1914,"tags=34%, list=19%, signal=28%","684/972/973/23621/5573/25978/1514/79643/57132/54602/5119/51534/51652","Up","CC",0.00334477598802922,38,5
