"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000976","transcription cis-regulatory region binding",130,0.364996633077881,1.54481051143231,0.00364796224195302,0.0341236468049355,0.0286397035662101,558,"tags=35%, list=24%, signal=28%","4321/8013/7643/23135/467/3659/9516/10062/9839/10320/153222/6772/10608/4929/4261/6498/4779/7586/79718/8531/3192/22809/5928/55422/4799/468/23476/3727/51621/7392/22877/4208/23512/9314/2313/51274/2354/3191/430/639/56987/5813/1390/7520/4150","Up","MF",0.053475935828877,130,4
"GO:0001067","transcription regulatory region nucleic acid binding",130,0.364996633077881,1.54481051143231,0.00364796224195302,0.0341236468049355,0.0286397035662101,558,"tags=35%, list=24%, signal=28%","4321/8013/7643/23135/467/3659/9516/10062/9839/10320/153222/6772/10608/4929/4261/6498/4779/7586/79718/8531/3192/22809/5928/55422/4799/468/23476/3727/51621/7392/22877/4208/23512/9314/2313/51274/2354/3191/430/639/56987/5813/1390/7520/4150","Up","MF",0.053475935828877,130,4
"GO:0002250","adaptive immune response",127,0.431774397088322,1.7963033406088,3.13814209448297e-05,0.00606627006418132,0.00582398516644127,297,"tags=30%, list=13%, signal=28%","3493/3538/3514/3539/2214/9021/7037/3383/1439/3512/3659/3507/2209/3494/50856/23075/440275/3118/57823/5579/7532/11118/10859/10068/84807/3572/3635/3553/7133/3570/30835/8832/2212/4067/4179/84868/7099/3956","Up","BP",0.0522418757712875,127,2
"GO:0002252","immune effector process",171,0.379346895475116,1.65008583871731,0.000114154112289234,0.0168746637754614,0.0162006950691593,332,"tags=26%, list=14%, signal=24%","3493/3538/8013/3514/3539/2214/9021/7037/3383/1439/11334/2209/3494/9516/55207/2/23075/440275/30817/57823/7532/11118/3916/10859/4035/388325/84807/3572/3635/3553/7133/3570/5734/4282/8832/2212/4067/4179/84868/7099/3956/966/6850/284021/51465","Up","BP",0.0703414232825997,171,2
"GO:0002443","leukocyte mediated immunity",109,0.455158273202782,1.8528244845615,2.19807838657163e-05,0.00502160998677684,0.00482104848040401,321,"tags=30%, list=14%, signal=27%","3493/3538/8013/3514/3539/2214/7037/3383/1439/11334/2209/3494/55207/23075/30817/57823/7532/11118/3916/10859/388325/3635/3553/7133/3570/8832/2212/4067/4179/84868/7099/6850/284021","Up","BP",0.0448375154257507,109,2
"GO:0002449","lymphocyte mediated immunity",75,0.486230851337007,1.87506950454275,0.000155639831898985,0.0195561448781074,0.0187750786690775,282,"tags=31%, list=12%, signal=28%","3493/3538/3514/3539/2214/7037/3383/1439/2209/3494/55207/23075/57823/7532/11118/3916/10859/3635/3553/7133/2212/4179/84868","Up","BP",0.0308515014397367,75,2
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",83,0.491382061062695,1.92590156185619,2.57307814336264e-05,0.0053884544785586,0.00517324131981331,297,"tags=33%, list=13%, signal=29%","3493/3538/3514/3539/2214/9021/7037/3383/1439/2209/3494/23075/7532/11118/10859/10068/84807/3572/3635/3553/7133/3570/2212/4179/84868/7099/3956","Up","BP",0.0341423282599753,83,2
"GO:0003677","DNA binding",265,0.358633178085944,1.64930584216784,2.49530032332224e-05,0.000466829102154869,0.000391805927960246,607,"tags=37%, list=26%, signal=31%","4321/8013/7643/23135/467/3512/3659/3507/23168/29068/91607/9516/10062/55320/5981/9839/10320/153222/23075/54107/112495/6772/3090/10608/4929/6648/4261/5411/6881/6498/4779/7586/9444/79718/8531/4350/50809/3192/22809/5928/29803/55422/9774/1786/4799/1777/468/64710/472/5594/10146/4691/23476/3727/51621/7392/11177/51747/22877/4208/65056/23512/4841/1820/5093/328/5886/9987/26019/9314/2313/51274/5094/2354/6672/58508/3191/8545/430/639/56987/5813/26065/3150/1390/7520/6418/4150/136319/51230/103/55870/8289/864/25939/3159/3661/25946","Up","MF",0.109008638420403,265,4
"GO:0003690","double-stranded DNA binding",145,0.382860370887003,1.63989973578955,0.000388153804168202,0.00606522041823449,0.00509049093829082,558,"tags=37%, list=24%, signal=30%","4321/8013/7643/23135/467/3659/9516/10062/5981/9839/10320/153222/6772/3090/10608/4929/4261/6498/4779/7586/79718/8531/3192/22809/5928/55422/4799/468/64710/23476/3727/51621/7392/22877/4208/23512/328/9987/9314/2313/51274/5094/2354/3191/8545/430/639/56987/5813/26065/1390/7520/4150","Up","MF",0.0596462361168244,145,4
"GO:0003823","antigen binding",31,0.560816948413305,1.82042140451048,0.00154204618098111,0.0177533009041158,0.0149002033142034,119,"tags=26%, list=5%, signal=25%","3493/3538/3514/3539/3512/3507/3494/3118","Up","MF",0.0127519539284245,31,2
"GO:0004602","glutathione peroxidase activity",10,-0.761615446224465,-1.86214082823836,0.00475940608064087,0.0436117006164847,0.0366029511679792,406,"tags=60%, list=18%, signal=50%","4259/9588/1193/4258/4056/241","Down","MF",0.00411353352529823,10,5
