"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000502","proteasome complex",33,-0.600730453736601,-1.89907471618794,0.000638309162909045,0.0390994634945958,0.0349083113040756,659,"tags=67%, list=25%, signal=51%","5688/5686/9352/11047/5713/5689/5708/3315/5710/5706/5690/5683/5692/5695/5721/5694/5684/7415/5691/5685/5714/5693","Down","CC",0.0117647058823529,33,1
"GO:0001664","G protein-coupled receptor binding",40,0.617454377832393,2.0954394950932,0.00017852348106975,0.016459864954631,0.0150335563006106,218,"tags=22%, list=8%, signal=21%","3627/6373/4283/6376/57561/6772/2767/2534/51704","Up","MF",0.0142602495543672,40,5
"GO:0005125","cytokine activity",21,0.71567318670304,2.13333028568462,0.000118448413603179,0.016459864954631,0.0150335563006106,30,"tags=19%, list=1%, signal=19%","3627/6373/4283/6376","Up","MF",0.00748663101604278,21,5
"GO:0005126","cytokine receptor binding",38,0.677129827055735,2.2675681294784,7.93474140486736e-06,0.00365791578764385,0.00334094374941783,174,"tags=32%, list=7%, signal=30%","3627/6373/4283/6376/6772/3977/6464/10979/3572/637/7048/9958","Up","MF",0.0135472370766488,38,5
"GO:0005200","structural constituent of cytoskeleton",29,-0.634697480939317,-1.97708701312721,0.00016993573889581,0.016459864954631,0.0150335563006106,432,"tags=41%, list=16%, signal=35%","10174/203068/71/60/10094/6709/10376/5339/4000/10383/10398/3880","Down","MF",0.0103386809269162,29,6
"GO:0005739","mitochondrion",383,-0.320950604547152,-1.47673186695134,0.000525590230142157,0.0390994634945958,0.0349083113040756,714,"tags=34%, list=27%, signal=29%","25994/5250/10857/29937/51660/54541/1716/84545/4697/823/4716/27068/4712/4539/3336/4541/6392/581/51023/65991/3429/28978/51142/4723/3301/3030/92675/4718/1345/90480/708/57509/284106/5303/55744/328/7381/84681/103/4259/83982/56910/7386/9619/80777/50808/7416/3437/23568/51024/81631/6687/7417/56993/4724/5692/837/51596/4715/7316/64344/100131801/54940/11315/2040/55863/4725/55017/83605/7533/5694/83787/27069/4350/2055/7284/6150/4537/5230/4708/79792/6342/64960/37/51056/1666/3845/29103/128/55052/665/6390/5202/65003/29796/113444/54739/2537/3303/9512/8192/3320/4720/9553/64949/10935/7385/706/3329/4191/5339/29108/9158/25953/26521/51406/4729/38/23710/132299/1891/2752/9377/5203/51251/2224/3958/5518/1191/32/445","Down","CC",0.136541889483066,383,3
"GO:0005811","lipid droplet",20,-0.683984572101685,-1.88583290310522,0.000716482315345996,0.0390994634945958,0.0349083113040756,551,"tags=55%, list=21%, signal=44%","5908/5878/857/7415/10134/550/302/7327/9144/168537/22931","Down","CC",0.0071301247771836,20,2
"GO:0008201","heparin binding",23,0.664757504161336,2.02639903440237,0.000414832937804796,0.0273197120468587,0.0249523571611907,2,"tags=9%, list=0%, signal=9%","3627/6373","Up","MF",0.00819964349376114,23,5
"GO:0016491","oxidoreductase activity",136,-0.43947928081515,-1.79829357430017,5.41362938556252e-05,0.0124784157337216,0.0113971144959211,1004,"tags=55%, list=38%, signal=36%","1487/1329/25824/1340/6647/9167/4519/4846/4717/4709/1349/374291/1347/373156/4694/1192/4696/4705/9352/4536/4700/4512/8991/2923/112398/2950/10327/4258/4697/4716/4712/4539/3163/4541/6392/79001/1193/4723/3030/54890/4718/328/4259/7386/80777/4724/4715/10130/5092/11315/4725/4537/5230/4708/2878/37/1666/128/6390/29796/1488/5052/4720/10935/1535/9588/4191/9524/4729/7295/7001/9377/84817/9446/2877","Down","MF",0.0484848484848485,136,3
"GO:0042379","chemokine receptor binding",10,0.845691538918941,2.1121045921384,0.000355254799663599,0.0272954104408198,0.0249301613799017,58,"tags=50%, list=2%, signal=49%","3627/6373/4283/6376/6772","Up","MF",0.0035650623885918,10,5
