"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",474,0.470299680421917,1.92853984764877,1e-10,3.13e-09,2.19473684210526e-09,2859,"tags=46%, list=28%, signal=35%","3113/23017/3115/3119/3127/3122/27090/3123/972/2633/79888/115361/253832/192134/10317/6484/2635/51226/3117/11015/1604/51809/11227/84068/26290/2634/79586/54947/26286/9619/83452/201475/2804/30815/11226/22862/7110/6469/64841/3133/148867/166929/7851/51026/2803/9245/2591/3998/64285/55568/56937/4249/1315/9950/10564/9321/50807/57511/152559/93010/9276/6093/64746/55331/9919/83464/8615/6868/259230/4247/10466/116068/51014/1182/9197/200576/2526/80351/1184/84002/390/56900/79571/201158/23256/5337/64921/9583/378/3134/55858/10905/6483/373/753/2683/2590/2801/23760/7098/2802/84910/10678/10565/55808/84725/286451/5154/6892/79932/22908/10347/79694/65977/51552/56913/11237/261729/9570/1314/8548/6836/57584/55300/9331/3838/254887/340481/4124/25849/9867/153339/6513/51360/863/3106/8905/23545/5007/55343/10945/283987/10652/7357/2530/84932/4121/22926/372/170384/4245/2734/64083/9394/148789/10488/9653/102/27236/25963/84912/5870/79695/55974/998/2589/5664/950/23461/51030/10955/10972/3105/55512/9746/54480/26003/164/10484/60592/440400/1718/83548/9516/5768/64924/22820/11235/25921/523/93380/7355/23443/10159/2907/11014/23390/11261/23011/23085/1523/84669/400/757/10559/5862/222236/3482/135152/10959/10610/22856/10282/51201/152519/10331/27032","Up","CC",0.0410247533321793,474,8
"GO:0000313","organellar ribosome",83,-0.641186101819339,-2.87616213570246,1e-10,3.13e-09,2.19473684210526e-09,2264,"tags=70%, list=22%, signal=55%","64968/29074/64975/64963/51650/10240/64969/54460/10884/64960/128308/64976/63931/51258/92170/55168/7818/51021/51023/51649/65993/84311/10573/51253/28973/65005/64979/84545/54998/51116/51073/6183/64949/29088/51081/54148/64928/90480/51642/6150/51069/56945/64965/51264/29093/26589/124995/219927/65003/64983/64432/6182/64978/54948/28957/64981/79590/116540","Down","CC",0.00718365933875714,83,2
"GO:0000315","organellar large ribosomal subunit",52,-0.684567878690003,-2.7967266234425,1e-10,3.13e-09,2.19473684210526e-09,1857,"tags=62%, list=18%, signal=51%","10884/128308/64976/51258/55168/84311/10573/51253/65005/64979/84545/51073/29088/54148/64928/90480/51642/6150/51069/51264/29093/26589/124995/219927/65003/64983/6182/64978/54948/64981/79590/116540","Down","CC",0.00450060585078761,52,2
"GO:0001540","amyloid-beta binding",40,0.592823494064823,1.8306930991982,0.000580715943671086,0.0129524903957942,0.0104183363807353,1883,"tags=35%, list=18%, signal=29%","1410/7804/712/972/7099/3949/1191/2043/54103/43/3643/9452/3673/5621","Up","MF",0.00346200450060585,40,4
"GO:0001726","ruffle",135,0.489913679233712,1.84799811107697,1.53247793429508e-05,0.000195781874871168,0.000137281052331053,2544,"tags=42%, list=25%, signal=32%","54997/3936/55785/7099/199/6624/24138/23022/9107/1969/23499/7456/3685/57679/6093/6868/1182/8826/23150/6282/154796/378/1729/5420/26258/324/5756/255189/91663/10347/4289/526/114609/4646/6249/57403/23607/5868/8394/7430/26084/25963/81848/55198/5921/54869/3688/121512/10253/23242/7094/11275/5753/87/23362/6277/50855","Up","CC",0.0116842651895447,135,9
"GO:0001816","cytokine production",434,0.504351192595888,2.06051807072664,1e-10,1.19414634146341e-08,9.06033376123235e-09,2501,"tags=42%, list=24%, signal=33%","6288/1670/3113/301/3620/3115/11213/684/5142/3553/5345/28951/4939/3123/972/2633/3815/84632/7099/8013/240/199/7128/7305/2152/2867/4050/3902/10365/5450/2207/7805/1604/5552/3659/4060/924/1281/6348/3717/7043/6772/161882/634/338557/10384/1649/54739/23705/11119/9636/1191/8140/3572/83737/7110/3133/9451/56829/1969/64135/51465/24145/384/10855/2335/80149/5971/10475/10564/28984/4067/604/7133/3685/9475/10865/6095/8651/958/3428/84614/26146/4940/6868/140885/3574/3303/8826/3091/23405/22890/403341/5295/89870/3134/153579/144811/59272/1540/23515/4179/5610/5966/7494/7098/5781/3320/5144/10464/55959/79876/841/6774/834/8915/9235/114609/3077/8780/5371/113277/3838/1386/307/81844/3098/8767/3106/331/29110/11118/57684/23236/11148/57678/84932/3459/23607/672/3606/5621/861/7430/23411/9683/27242/10773/661/55198/5734/10892/23119/55366/11146/51564/10972/3694/3105/10146/10385/5196/602/836/4155/23633/10010/1958/9655/8452/57045/9516/1147/163486/7072/55325/9188/50848/8087/5987/10159/1997","Up","BP",0.0375627488315735,434,4
"GO:0001817","regulation of cytokine production",430,0.502463623659403,2.05072194702394,1e-10,1.19414634146341e-08,9.06033376123235e-09,2501,"tags=42%, list=24%, signal=33%","6288/1670/3113/301/3620/3115/11213/684/5142/3553/5345/28951/4939/3123/972/2633/3815/84632/7099/8013/240/199/7128/7305/2152/2867/4050/3902/10365/5450/2207/7805/1604/5552/3659/4060/924/6348/3717/7043/6772/161882/634/338557/10384/1649/54739/23705/11119/9636/1191/8140/3572/83737/7110/3133/9451/56829/1969/64135/51465/24145/384/10855/2335/80149/5971/10475/10564/28984/4067/604/7133/9475/10865/6095/8651/958/3428/84614/26146/4940/6868/140885/3574/3303/8826/3091/23405/22890/403341/5295/89870/3134/153579/144811/59272/1540/23515/4179/5610/5966/7494/7098/5781/3320/5144/10464/55959/79876/841/6774/834/8915/9235/114609/3077/8780/5371/113277/3838/1386/307/81844/3098/8767/3106/331/29110/11118/57684/23236/11148/57678/84932/3459/23607/672/3606/5621/861/7430/23411/9683/27242/10773/661/55198/5734/10892/23119/55366/11146/51564/10972/3105/10146/10385/5196/602/836/4155/23633/10010/1958/9655/8452/57045/9516/1147/163486/7072/55325/9188/50848/8087/5987/10159/1997","Up","BP",0.0372165483815129,430,4
"GO:0001819","positive regulation of cytokine production",259,0.539556823763027,2.15322409305879,1e-10,1.19414634146341e-08,9.06033376123235e-09,2268,"tags=42%, list=22%, signal=33%","6288/1670/3113/301/3620/3115/11213/5142/3553/5345/4939/972/3815/84632/7099/8013/199/7305/2152/2867/4050/5450/2207/7805/1604/3659/4060/924/6348/3717/6772/161882/1649/23705/11119/9636/1191/8140/3572/7110/3133/9451/56829/64135/24145/10855/10564/28984/9475/10865/6095/958/3428/4940/6868/3574/3303/3091/5295/89870/3134/144811/4179/5610/7494/7098/5781/3320/5144/10464/55959/841/6774/834/8915/9235/114609/8780/113277/3838/1386/81844/3098/8767/331/29110/11118/23236/11148/84932/3459/672/3606/861/23411/661/5734/10892/11146/10972/3105/10146/5196/602/4155/23633/10010/1958","Up","BP",0.0224164791414229,259,4
"GO:0002181","cytoplasmic translation",153,-0.55206842373856,-2.80628505333749,1e-10,1.19414634146341e-08,9.06033376123235e-09,1909,"tags=52%, list=19%, signal=43%","51121/6207/6206/1819/7311/6146/7555/85451/6189/4904/6152/6164/6176/6133/6227/6130/6155/6235/8665/6232/8664/6217/6224/221120/6159/6129/6165/51386/6234/6141/8667/1936/25873/6171/6210/6124/6228/6157/2197/4733/6143/6202/6122/6142/6230/6125/6209/6147/9045/6134/11224/6136/6154/6231/6191/6128/6135/6203/6137/6161/6201/6175/6181/4736/6132/6138/6222/6223/6208/27335/6193/6204/6194/23521/6188/6187/6160/6173/6139/6218","Down","BP",0.0132421672148174,153,2
"GO:0002250","adaptive immune response",218,0.586033516924407,2.29764389772344,1e-10,1.19414634146341e-08,9.06033376123235e-09,904,"tags=31%, list=9%, signal=29%","3113/717/301/3115/3383/3119/3553/3127/712/3122/973/713/3123/972/714/3956/7099/7128/639/3108/608/725/3109/3902/3117/715/10411/2207/3426/1604/201294/3659/57089/924/3717/100423062/634/3981/10384/9021/11221/196/11119/1191/2534/214/3572/3133/6890/915/384/80149/64332/5971/4067/604/64218/7133/10865/6095/710/958/4208/6868/4791/2923/2033/118460","Up","BP",0.0188679245283019,218,4
