"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",500,0.444392985215861,1.43352758790264,1.31243671378156e-09,5.6736639136777e-06,4.41945794461813e-06,2713,"tags=47%, list=32%, signal=34%","3727/2033/8932/6659/6772/3429/4194/23013/441478/6595/8204/4205/23515/604/23405/8452/54880/1108/4261/84614/2005/4193/7764/8725/165631/4208/5079/6872/9612/57708/10155/5788/9839/6498/1107/8473/2186/161882/79685/2077/1499/5981/79718/55729/57680/6907/5814/571/10608/4150/23613/55183/84458/83666/3280/54815/10664/5813/26036/153222/8861/3192/4089/79365/53335/7091/5927/11060/10365/3096/7799/9534/7700/2146/6304/65986/10507/1021/51341/1523/5469/8440/10472/9646/10915/7644/57659/23512/90378/23019/6670/6774/8239/7528/10499/6929/55841/8535/96459/22828/4088/2145/3068/7175/1387/221937/51592/5074/84524/861/4790/8543/79648/2308/8531/6239/9975/29966/4775/64207/5925/23468/2004/10614/7157/22882/83855/4084/23429/8864/3054/10443/51742/53615/11244/60468/5978/51317/84295/8609/25836/201163/1822/6421/64426/864/22890/51132/7707/51574/57649/57459/2063/56257/142/1786/5926/6935/1386/6778/7040/5663/4848/171392/10919/10628/1487/170959/7124/1788/7227/22980/3720/100381270/4773/23168/3661/3428/9314/79577/4204/168451/23028/2551/3516/6721/595/8850/7534/4591/121536/79813/7428/23528/49854/23038/8554/2120/1739/25942/9960/4799/6672/55689/23309/3660/51043/4853/2117/112939/6597/811/463/10009/2874/6829/2908/8726/64324/51564/5716/55364/54107/23466/2100/54623/7975/7593/3065/4097/64750/27086/22938/83933/359948/6497","Up","BP",0.0538851169307037,500,1
"GO:0000510","H3-H4 histone complex chaperone activity",112,0.524585523816943,1.60943376095654,2.08503452627541e-06,3.68790481834963e-05,2.80748069985329e-05,2510,"tags=56%, list=30%, signal=40%","8653/10521/57674/1108/55601/1107/7919/57680/5965/23347/546/10973/1659/10111/9785/1660/79665/56916/11056/91351/23020/9188/56897/55661/10730/1106/1653/29028/7486/4905/55636/9716/64848/9416/57062/84515/11325/9557/5976/64135/9525/84181/1665/170506/1105/54617/1662/79009/57647/54555/57697/80205/10939/1654/55308/64794/22907/8886/6832/113510/1656/10146/54505","Up","MF",0.0120702661924776,112,4
"GO:0000792","heterochromatin",55,0.535253118406565,1.57198660289773,0.000523229167622689,0.0135801752142071,0.0112156300045438,2741,"tags=64%, list=33%, signal=43%","8932/115426/10155/8467/546/79968/3070/1059/2146/56916/10472/23512/2145/9031/23076/10320/7155/1060/23468/53615/11335/1786/7317/1788/54737/4204/51434/23081/11168/11176/1912/54107/23466/3065/54108","Up","CC",0.00592736286237741,55,1
"GO:0000902","cell morphogenesis",390,0.448433413578954,1.44087432725777,4.25234726596746e-08,1.50639640773621e-05,1.17339618158641e-05,2640,"tags=47%, list=32%, signal=34%","2033/26037/23499/9448/473/4205/604/23405/605/5591/254065/8452/9202/51199/4208/8546/8826/6498/3688/27020/161882/23607/1729/8851/6259/23394/1889/6654/144165/1499/23345/5781/4289/23077/9043/51177/23433/5530/3676/3280/8994/7204/91010/6093/4089/53335/10365/4192/5062/23032/10507/23094/1523/1857/5469/80208/5605/10672/55619/3708/334/3071/113251/22902/2011/8239/10427/2803/2932/54776/10013/2534/5911/5747/120892/8543/23011/5306/6239/285527/440275/5921/7155/1785/5925/2316/57699/51347/221472/5339/23303/5728/4627/998/128637/5978/54764/161176/8609/26999/1365/50488/6868/23181/6760/283149/4650/4067/6794/170506/23380/133418/23230/22906/9252/221692/7040/2038/5663/26259/104/51092/836/9204/9113/54915/9585/27067/2185/171023/200933/3689/63925/6277/54014/214/4204/5532/596/4478/6683/57609/538/4076/65082/4659/10939/9798/4649/57498/7428/23218/8874/10163/9733/11078/1739/25942/55023/81622/84079/4853/1982/56882/23390/118987/1385/116985/30011/51542/51393/1432/150465/64098/752/23513/93663/55364/23370/2768/8976/673/7337/9181/23256","Up","BP",0.0420303912059489,390,2
"GO:0002218","activation of innate immune response",195,0.471037477803068,1.48653115123933,3.49101843418929e-06,0.000407883045702711,0.000317717438718963,2414,"tags=45%, list=29%, signal=32%","2634/2033/115362/85364/5295/8780/5591/23369/55601/8546/8473/6397/57590/56829/9698/329/23180/25921/26191/115352/118788/5062/7706/3659/26057/6197/26060/3320/5581/22841/4671/10333/9958/2534/207/1387/121260/83737/7520/6850/10614/57169/79184/695/64135/9867/9782/81926/6421/4067/5336/142/3551/5610/330/8887/7124/64332/9113/3843/80216/1540/3661/3428/3654/5170/85363/23643/22900/7096/81793/27246/55666/7531/1654/3329/25942/22861/81622/331/81030/51135/51296/8915/9111/29110/2874","Up","BP",0.0210151956029745,195,2
"GO:0002757","immune response-activating signaling pathway",306,0.44598900006096,1.42662153239651,1.18933327238412e-06,0.000183624562018448,0.000143032975126195,2737,"tags=47%, list=33%, signal=33%","2634/2633/2033/115362/85364/5295/57181/8780/5591/1380/23369/54542/4208/55601/8546/5788/10451/8473/23607/6654/65125/6397/57590/56829/9698/329/1378/23180/25921/26191/149041/975/115352/118788/5062/7706/3659/26057/6197/26060/915/5581/5290/22841/868/4671/933/3071/10892/10333/9958/2534/971/207/1387/5747/121260/5074/4790/83737/10385/84433/6850/5293/79184/5594/2208/695/64135/9867/81926/23304/4067/6794/23228/5336/142/3551/5610/5663/89857/330/8887/4277/7410/3958/7124/64332/9113/3843/80216/1540/4773/3661/3428/3654/2885/5170/8525/23643/596/22900/7096/81793/27246/1445/55666/11120/7531/1654/3635/3329/931/22861/1997/81622/331/51135/54900/51296/8915/10384/5579/1399/9111/29110/2874/8678/23308/11119/3304/55024/9840/673/1452/54726/163486/6280/8517/29979/27086/11118/55198/2268","Up","BP",0.0329776915615907,306,2
"GO:0002758","innate immune response-activating signaling pathway",177,0.475263429878979,1.4966950618234,6.18698357636868e-06,0.000607871136378222,0.000473496661741708,2677,"tags=47%, list=32%, signal=33%","2634/2033/115362/85364/5295/8780/5591/23369/55601/8546/8473/6397/57590/56829/9698/329/23180/25921/26191/115352/118788/5062/7706/3659/26057/6197/26060/5581/22841/4671/10333/9958/2534/207/1387/121260/83737/6850/79184/695/64135/9867/81926/4067/5336/142/3551/5610/330/8887/7124/64332/9113/3843/80216/1540/3661/3428/3654/5170/23643/22900/7096/81793/27246/55666/7531/1654/3329/22861/81622/331/51135/51296/8915/9111/29110/2874/8678/3304/1452/54726/6280/29979","Up","BP",0.0190753313934691,177,2
"GO:0002764","immune response-regulating signaling pathway",319,0.437907018583187,1.40162597278767,1.97768746527125e-06,0.000275791706850568,0.00021482588120213,2956,"tags=50%, list=35%, signal=33%","2634/2633/2033/5284/115362/85364/5295/57181/8780/5591/1380/23369/54542/4208/55601/8546/5788/10451/8473/23607/6654/65125/6397/57590/56829/9698/329/1378/23180/25921/26191/149041/975/115352/118788/5062/7706/3659/26057/6197/26060/915/4214/5581/5290/22841/868/4671/933/3071/10892/10333/9958/2534/10859/971/207/1387/5747/121260/5074/4790/83737/10385/84433/6850/5293/79184/5594/2208/695/64135/9867/81926/23304/4067/6794/23228/5336/142/3551/5610/5663/89857/330/8887/4277/7410/3958/7124/64332/9113/3843/80216/1540/4773/3661/3428/3654/2885/5170/8525/23643/596/22900/7096/81793/27246/1445/55666/11120/7531/1654/3635/3329/931/22861/1997/81622/331/51135/54900/151888/51296/8915/10384/5579/1399/9111/29110/2874/8678/23308/11119/3304/55024/9840/673/1452/54726/163486/6280/8517/29979/27086/11118/55198/2268/8631/3662/3303/64005/5601/7128/5777/4795/84807/59338","Up","BP",0.034378704601789,319,2
"GO:0003682","chromatin binding",393,0.502297455748571,1.61136971820742,1e-10,1.34598708260235e-08,1.02465571721262e-08,2602,"tags=53%, list=31%, signal=38%","2168/2033/22806/8932/6772/473/6595/4205/604/55274/10735/80012/2956/1108/23211/2005/22904/8725/4297/9612/7343/10155/11198/6498/6418/1107/8473/7404/79685/9425/23394/56254/1499/8467/7150/8243/54454/57680/6907/84456/9575/2332/546/3280/10664/84629/8861/3192/4089/3070/7091/5927/1059/1660/2146/26057/56916/23270/55193/64318/5469/114825/6881/7994/165918/905/23512/6603/90378/6670/1106/6774/1653/29028/7528/27030/10499/4302/8535/254225/7486/4088/2145/80335/5562/54799/5430/7175/1387/7403/55636/4790/50809/2308/8648/7543/64061/9126/6777/79809/10725/8289/7259/57492/7019/6601/7155/23468/904/7157/3054/5885/84515/23522/9557/5976/53615/23135/5978/51317/3184/92822/81/25836/55870/84181/6421/23186/10274/1105/23476/2521/57459/11335/55252/142/23060/6599/1786/6935/1386/64710/64431/10919/55167/1487/57697/170959/1788/3720/8019/23636/4676/54737/4773/3661/171023/9314/27043/6830/23054/4204/23028/2551/3516/8850/4591/5089/51322/4928/6602/11168/25885/7270/6294/22907/25942/57634/9960/661/23309/9760/11143/55206/6046/5585/5579/6597/51053/6873/93624/6829/7702/84656/8726/64324/55818/51564/5934/5884/114785/1912/9869/54107/23466/6605/54623/6322","Up","MF",0.0423537019075331,393,1
"GO:0003689","DNA clamp loader activity",119,0.526206948330102,1.61727733012043,6.26426986135308e-07,1.32959127807219e-05,1.01217413022916e-05,2510,"tags=55%, list=30%, signal=39%","8653/10521/57674/1108/55601/1107/7919/5981/57680/5965/23347/546/10973/1659/10111/9785/1660/79665/56916/11056/91351/23020/9188/56897/55661/10730/1106/1653/29028/7486/4905/55636/9716/64848/9416/57062/84515/11325/9557/5976/64135/9525/84181/1665/170506/1105/54617/1662/79009/57647/54555/57697/80205/5983/10939/1654/55308/64794/22907/8886/6832/113510/1656/10146/5884/54505","Up","MF",0.0128246578295075,119,4
