"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",380,0.43960500734026,1.88929173736771,1.48684776733974e-09,2.11132382962243e-07,1.77639180624274e-07,1638,"tags=34%, list=22%, signal=28%","3113/3115/3117/3119/9976/115361/3127/5768/4853/3122/3133/6480/972/1718/25849/261729/3134/1604/3106/857/56937/10331/22820/9917/567/3123/55568/2524/26958/55343/11226/135152/79586/966/377/6892/162/10466/2526/9159/757/286451/79158/9245/1182/3107/3482/128637/3105/7355/55974/2590/81876/955/9516/2528/11015/10678/9950/378/347734/9334/51272/55738/9653/51809/4247/22883/9743/113829/29108/6721/253012/1388/8459/10484/10972/10564/10897/8906/5861/400/537/55331/55697/2633/11322/55146/11285/153339/79932/55512/64841/6836/23423/5584/10959/148867/8428/51026/5045/23443/51014/8675/64114/7851/55808/10559/51399/55858/8766/6009/23646/55062/25972/5663/63917/63971/254887/83548/4124/11014/54732/9342/11337/6811/523/116068/90522/27032","Up","CC",0.0464150482472212,380,1
"GO:0000323","lytic vacuole",414,0.370614180786054,1.59868078236744,4.48591792349457e-05,0.00115818244570224,0.000974452984338056,1581,"tags=30%, list=21%, signal=25%","3113/684/3115/4069/8399/3117/3119/51316/3127/4680/3122/10581/10312/972/10103/5552/4067/3108/10410/375790/8519/3134/5547/567/64116/2171/3123/47/2799/54918/53/23400/4060/162/51479/9146/5873/1182/57153/1520/4669/89781/57561/4035/84255/6382/253260/203547/9516/1213/55717/2776/91782/824/1075/5660/10970/10487/84061/5284/10279/5476/56270/5594/221960/8836/79026/29108/2239/3949/10641/6386/163/537/54472/1508/79643/3109/5834/56848/7128/7415/55255/51622/7317/23200/6836/410/1534/138050/151636/4952/80208/6813/1200/26503/64114/5826/374395/1777/175/55858/3074/9550/387921/6009/23646/4718/83985/83547/7249/79887/5663/56674/127544/54414/1727/55754/80331/92799/9342/2896/8031/11337","Up","CC",0.0505679736167094,414,1
"GO:0001906","cell killing",78,0.54810861184104,1.96074276546094,2.88435514122308e-05,0.0025845023880001,0.00233911081408837,603,"tags=31%, list=8%, signal=29%","4069/6364/3820/5320/56477/4843/3122/3133/9547/3134/1604/3106/2919/567/3123/634/4922/966/5873/140823/3107/2921/3105/1075","Up","BP",0.00952729937706119,78,1
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity",15,0.859679252817117,2.1449614280136,3.76288114909388e-06,0.000599413030453806,0.000542500369955133,513,"tags=60%, list=7%, signal=56%","4843/3122/3133/3134/3106/567/3123/3107/3105","Up","BP",0.00183217295712715,15,1
"GO:0001913","T cell mediated cytotoxicity",20,0.784556477064875,2.13369860563235,1.34556298876044e-05,0.00141152839381919,0.00127750755646627,603,"tags=55%, list=8%, signal=51%","3122/3133/3134/3106/567/3123/634/5873/3107/3105/1075","Up","BP",0.00244289727616954,20,1
"GO:0001914","regulation of T cell mediated cytotoxicity",13,0.872386757963865,2.08968550602316,5.11698285841035e-06,0.000733604775800764,0.000663950968786017,513,"tags=69%, list=7%, signal=65%","3122/3133/3134/3106/567/3123/634/3107/3105","Up","BP",0.0015878832295102,13,1
"GO:0001916","positive regulation of T cell mediated cytotoxicity",11,0.890586967369996,2.07186312031585,3.64436769632877e-06,0.000599413030453806,0.000542500369955133,513,"tags=73%, list=7%, signal=68%","3122/3133/3134/3106/567/3123/3107/3105","Up","BP",0.00134359350189325,11,1
"GO:0002250","adaptive immune response",163,0.556531996005071,2.20639926540959,1e-10,4.301e-07,3.89263157894737e-07,987,"tags=34%, list=13%, signal=31%","3113/3115/3426/100423062/10673/717/3117/915/3119/3956/3127/214/639/3122/3133/10312/972/4067/6890/725/3717/3108/2185/27242/3134/1604/3106/64332/567/969/3123/634/11118/56940/3566/5873/8284/3107/1520/54795/79908/3105/9021/64167/6885/1075/54542/11119/29108/4683/6774/1445/3109/10039/7128/25865","Up","BP",0.0199096128007817,163,1
"GO:0002252","immune effector process",231,0.445236385540369,1.83685279410286,8.69365584122757e-07,0.000237604376867346,0.00021504447818878,1524,"tags=35%, list=20%, signal=29%","684/3426/100423062/5225/717/3820/3956/4853/4843/3122/3133/10312/972/629/4067/725/2185/3134/1604/3106/80031/64332/567/969/3123/634/4282/11118/966/56940/3566/5873/8284/3107/6284/54795/4035/3105/9021/161882/7494/148022/9516/6885/1075/54542/306/29108/4683/6774/409/3109/10039/56848/1015/4189/3965/11334/6844/5339/81545/5562/6813/11187/3430/5734/51465/7009/11277/1398/7532/51237/9474/1675/182/5663/127544/10758/1130/79004/4292","Up","BP",0.0282154635397582,231,1
"GO:0002396","MHC protein complex assembly",15,0.86040341113988,2.14676825499588,3.64436769632877e-06,0.000599413030453806,0.000542500369955133,513,"tags=73%, list=7%, signal=68%","3113/3115/3117/3119/3127/3122/3108/567/3123/6892/3105","Up","BP",0.00183217295712715,15,1
"GO:0002399","MHC class II protein complex assembly",10,0.93784400928735,2.12903908527812,1.8701611809008e-07,0.000100544540488179,9.09981058811996e-05,239,"tags=90%, list=3%, signal=87%","3113/3115/3117/3119/3127/3122/3108/567/3123","Up","BP",0.00122144863808477,10,1
"GO:0002443","leukocyte mediated immunity",139,0.491055230145746,1.89998552324113,6.12168463422933e-06,0.00077439310623001,0.000700866556575234,1524,"tags=36%, list=20%, signal=29%","684/3426/100423062/717/3820/4843/3122/3133/10312/972/4067/725/3134/1604/3106/64332/567/3123/634/11118/56940/3566/5873/8284/3107/6284/54795/3105/148022/6885/1075/306/4683/409/10039/56848/3965/11334/6844/81545/5562/6813/11277/1398/7532/182/127544/10758/1130/4292","Up","BP",0.0169781360693783,139,1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",115,0.53044229562999,2.01454878411674,1.4860987246666e-06,0.000336405821831107,0.00030446499079319,654,"tags=27%, list=9%, signal=25%","3426/100423062/10673/717/3956/3122/3133/10312/972/725/3717/3134/1604/3106/64332/567/969/3123/634/11118/56940/3566/5873/8284/3107/54795/3105/9021/6885/1075/54542","Up","BP",0.0140466593379748,115,1
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",25,0.841322848989164,2.3981483459895,1.00917878003785e-09,1.44682597764759e-06,1.3094537293263e-06,513,"tags=64%, list=7%, signal=60%","3113/3115/3117/3119/3127/1510/3122/3133/972/3108/3134/567/3123/54842/1520/3105","Up","BP",0.00305362159521192,25,1
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",14,0.874141144855381,2.13530610071283,3.65065108890864e-06,0.000599413030453806,0.000542500369955133,585,"tags=79%, list=8%, signal=73%","3122/3133/6890/3134/3106/567/3123/6892/3107/3105/64167","Up","BP",0.00171002809331868,14,1
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",20,0.823018890049727,2.23830190616472,1.39274788479191e-06,0.000332789369582778,0.000301191910991841,442,"tags=60%, list=6%, signal=57%","3113/3115/3117/3119/3127/1510/3122/972/3108/567/3123/1520","Up","BP",0.00244289727616954,20,1
"GO:0002501","peptide antigen assembly with MHC protein complex",15,0.86040341113988,2.14676825499588,3.64436769632877e-06,0.000599413030453806,0.000542500369955133,513,"tags=73%, list=7%, signal=68%","3113/3115/3117/3119/3127/3122/3108/567/3123/6892/3105","Up","BP",0.00183217295712715,15,1
"GO:0002503","peptide antigen assembly with MHC class II protein complex",10,0.93784400928735,2.12903908527812,1.8701611809008e-07,0.000100544540488179,9.09981058811996e-05,239,"tags=90%, list=3%, signal=87%","3113/3115/3117/3119/3127/3122/3108/567/3123","Up","BP",0.00122144863808477,10,1
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",22,0.755393539312517,2.07671763548978,3.03838316662885e-05,0.0026669563264634,0.0024137359721146,442,"tags=55%, list=6%, signal=51%","3113/3115/3117/3119/3127/1510/3122/972/3108/567/3123/1520","Up","BP",0.00268718700378649,22,1
"GO:0002697","regulation of immune effector process",133,0.477828160122222,1.83691877871347,2.09186455730134e-05,0.00207506188628313,0.00187804032244032,1416,"tags=36%, list=19%, signal=30%","684/5225/3820/3956/4843/3122/3133/972/4067/725/3134/1604/3106/64332/567/969/3123/634/4282/966/56940/3566/3107/54795/3105/7494/148022/9516/6885/54542/29108/409/3109/10039/56848/4189/3965/81545/5562/6813/11187/51465/7009/11277/1398/7532/51237/9474","Up","BP",0.0162452668865274,133,1
"GO:0003682","chromatin binding",353,-0.27892346386279,-1.41538605910206,0.000732300266120285,0.0335701858837247,0.0307931247637283,1539,"tags=31%, list=20%, signal=26%","4869/23125/54737/83743/79685/6598/7155/51053/4676/9960/2067/10038/23394/81620/1460/7486/9575/64710/84289/64061/6418/9219/1108/64324/4335/90378/54454/6472/983/1105/2332/80173/2521/9878/10413/7376/4591/8243/2648/7404/905/3622/8019/23512/7175/23476/10919/5468/1786/1106/3192/8467/50809/1059/23211/2033/58495/55870/22809/9112/64318/84148/6599/7150/11168/6871/27000/23028/23522/7543/165918/6594/6881/3184/2962/7994/25836/9025/3070/5914/7067/6421/122953/23598/7528/10370/171023/81550/26147/1663/27030/2956/3172/7270/9126/114825/23411/55274/4673/661/6601/84181/56254/1647/8725/55636/29028/2168/8805/79977","Down","MF",0.0431171369243923,353,7
"GO:0003823","antigen binding",26,0.802684238767081,2.34689127826447,1.2815436821598e-07,3.72074849053729e-05,3.412953174594e-05,513,"tags=73%, list=7%, signal=68%","3113/3115/100423062/3117/3119/3127/3122/3133/1718/6890/3108/3134/3106/567/3123/6892/9794/3107/3105","Up","MF",0.0031757664590204,26,1
"GO:0004888","transmembrane signaling receptor activity",121,0.465217401297717,1.79130973901228,0.00025796942914445,0.0224691372784816,0.020610399654804,789,"tags=23%, list=10%, signal=21%","53832/3113/3117/3820/915/3119/94/3122/972/4486/27077/9052/3455/969/3123/5796/3566/1131/55362/3482/55334/2152/7046/5793/355/5284/84818/91","Up","MF",0.0147795285208257,121,1
"GO:0005102","signaling receptor binding",471,0.333347647929899,1.45151196848927,0.000614152225959463,0.0314662699300407,0.0288632532200144,1139,"tags=24%, list=15%, signal=22%","7031/6288/4585/6275/10673/3490/6364/56477/9976/3956/10637/214/3040/6772/4061/3122/3133/9547/972/3672/1890/4067/6890/3717/2185/5329/3134/3106/2919/5753/857/80031/100462977/1500/8751/4323/3123/4282/11118/4922/7076/440193/22848/116844/6892/3485/5144/1672/3691/405/10512/8717/4828/4050/3107/6284/2921/131177/29948/57561/9802/50848/4035/79908/64108/3105/27237/9021/1213/2776/6885/7046/23780/9612/9636/51192/9535/55681/378/931/10776/11119/84818/1943/29108/10755/22906/6386/6774/10564/409/29990/54472/10551/310/4650/23365/6359/10509/1015/7415/5359/6874/10193/9255/9860/2316/5967/79874/10959/5469/51726/4023/1857/283","Up","MF",0.0575302308537926,471,1
"GO:0005179","hormone activity",15,-0.74550299154727,-2.1121290390169,0.000510359961227866,0.0296349017486314,0.0271833831980316,467,"tags=53%, list=6%, signal=50%","6750/9518/284207/84666/1906/5697/1907/2980","Down","MF",0.00183217295712715,15,8
"GO:0005319","lipid transporter activity",70,-0.550016125268554,-2.24736284059001,6.06391397936568e-07,0.00010563338152055,9.68949623229168e-05,337,"tags=27%, list=4%, signal=26%","200931/9429/11001/114876/196527/2168/114882/51228/27141/55937/4547/2169/63924/123264/6555/5243/335/338/337","Down","MF",0.00855014046659338,70,2
"GO:0005504","fatty acid binding",18,-0.676172172751875,-2.00592009172918,0.000904026000745043,0.0357912112113151,0.0328304179217936,354,"tags=39%, list=5%, signal=37%","3172/5948/3399/2168/2169/2938/2172","Down","MF",0.00219860754855258,18,10
"GO:0005509","calcium ion binding",194,0.422001940495693,1.71235791687603,8.90380845348649e-05,0.00969402145373341,0.00889209291604769,1438,"tags=35%, list=19%, signal=29%","6286/50506/6275/54997/8399/8404/5320/199/6678/4853/7052/375790/6277/55959/5534/2934/80267/861/6282/30844/79158/9847/6284/54795/4035/5358/5097/84440/55600/824/50618/4925/114789/22883/3309/306/124583/8826/23499/3949/55331/6281/310/2643/444/26/1015/5359/1830/90411/999/1373/410/308/4023/9695/3710/5357/813/85021/255743/57488/9600/868/89941/1070/182","Up","MF",0.0236961035788445,194,4
"GO:0005543","phospholipid binding",227,-0.309016455644387,-1.47599574415129,0.000444104592375119,0.027629649997052,0.0253440139558432,616,"tags=15%, list=8%, signal=14%","4651/157680/5306/56288/11021/4833/3760/274/4311/221184/54899/129401/114876/117583/5217/2168/116984/85477/114882/116987/51228/23612/27445/312/27141/55937/1800/2035/63924/345/7057/335/338/337","Down","MF",0.0277268840845242,227,2
"GO:0005764","lysosome",414,0.370614180786054,1.59868078236744,4.48591792349457e-05,0.00115818244570224,0.000974452984338056,1581,"tags=30%, list=21%, signal=25%","3113/684/3115/4069/8399/3117/3119/51316/3127/4680/3122/10581/10312/972/10103/5552/4067/3108/10410/375790/8519/3134/5547/567/64116/2171/3123/47/2799/54918/53/23400/4060/162/51479/9146/5873/1182/57153/1520/4669/89781/57561/4035/84255/6382/253260/203547/9516/1213/55717/2776/91782/824/1075/5660/10970/10487/84061/5284/10279/5476/56270/5594/221960/8836/79026/29108/2239/3949/10641/6386/163/537/54472/1508/79643/3109/5834/56848/7128/7415/55255/51622/7317/23200/6836/410/1534/138050/151636/4952/80208/6813/1200/26503/64114/5826/374395/1777/175/55858/3074/9550/387921/6009/23646/4718/83985/83547/7249/79887/5663/56674/127544/54414/1727/55754/80331/92799/9342/2896/8031/11337","Up","CC",0.0505679736167094,414,1
"GO:0005765","lysosomal membrane",254,0.40116007517627,1.66310318657942,8.20870379859727e-05,0.00179328606061663,0.00150880628524824,1510,"tags=30%, list=20%, signal=24%","3113/684/3115/3117/3119/3127/4680/3122/10581/10312/972/10103/4067/3108/10410/8519/3134/5547/567/64116/3123/54918/53/23400/162/51479/1182/57153/89781/4035/84255/9516/1213/55717/2776/91782/5660/10970/84061/5284/5476/221960/79026/3949/10641/163/537/79643/3109/56848/55255/51622/7317/23200/6836/1534/138050/151636/80208/26503/64114/5826/374395/55858/9550/6009/23646/4718/83985/83547/7249/5663/56674/55754/80331","Up","CC",0.0310247954073531,254,1
"GO:0005766","primary lysosome",98,0.501045860166691,1.86755402400219,0.000173752926386129,0.00318360200604263,0.00267856803325307,1563,"tags=39%, list=21%, signal=31%","684/4069/51316/4680/5547/2171/47/2799/54918/1075/5660/10970/10487/84061/5284/5476/5594/8836/29108/6386/54472/5834/7415/23200/6836/410/6813/374395/175/3074/387921/4718/5663/1727/55754/80331/9342/2896","Up","CC",0.0119701966532307,98,1
"GO:0005770","late endosome",177,0.428677018022325,1.7172157244335,0.000170780642462541,0.00318360200604263,0.00267856803325307,920,"tags=20%, list=12%, signal=18%","3113/684/3115/3117/3119/3127/3122/10581/10312/972/25849/3108/10410/567/3123/23400/440335/9146/5873/1182/1520/3482/10079/9516/88455/91782/5660/5573/5594/221960/284996/3949/112936/55697/79643/3109","Up","CC",0.0216196408941004,177,1
"GO:0005773","vacuole",463,0.356981932126056,1.55038815771348,3.53832941345741e-05,0.0010577742667599,0.000889973159949953,1583,"tags=30%, list=21%, signal=25%","3113/684/3115/4069/8399/3117/3119/51316/3127/4680/3122/10581/10312/972/10103/5552/4067/3108/10410/375790/8519/3134/4486/5547/94241/567/64116/2171/3123/47/2799/54918/53/23400/4060/162/51479/9146/5873/1182/57153/1520/4669/89781/57561/4035/84255/6382/253260/148022/203547/9516/1213/55717/2776/91782/824/1075/5660/10970/10487/84061/56893/5284/114881/10279/5476/56270/5594/221960/8836/79026/29108/2239/3949/10641/6386/163/81671/537/54472/55697/1508/79643/3109/5834/56848/7128/7415/55255/51622/7317/8678/23200/29978/6836/410/1534/138050/151636/4952/80208/6813/1200/26503/64114/5826/374395/1777/175/55858/3074/9550/387921/6009/23646/4718/55062/83985/9474/83547/7249/79887/5663/56674/127544/54414/1727/3064/55754/80331/92799/9342/2896/8031/11337/58476","Up","CC",0.0565530719433248,463,1
"GO:0005774","vacuolar membrane",278,0.375868615181138,1.57055666402677,0.000342112790849845,0.00539777958896422,0.0045414972820418,1458,"tags=27%, list=19%, signal=23%","3113/684/3115/3117/3119/3127/4680/3122/10581/10312/972/10103/4067/3108/10410/8519/3134/5547/567/64116/3123/54918/53/23400/162/51479/1182/57153/89781/4035/84255/9516/1213/55717/2776/91782/5660/10970/84061/5284/5476/221960/79026/3949/10641/163/81671/537/55697/79643/3109/56848/55255/51622/7317/23200/6836/1534/138050/151636/80208/26503/64114/5826/374395/55858/9550/6009/23646/4718/55062/83985/83547/7249/5663/56674","Up","CC",0.0339562721387566,278,1
"GO:0006869","lipid transport",185,-0.384413608878894,-1.82415109821307,6.63230683606239e-06,0.000815015762911552,0.000737632200894999,615,"tags=23%, list=8%, signal=21%","157680/27183/25921/5306/1191/51454/4833/118987/1119/200931/5948/9429/160518/22925/23411/11001/5025/114876/8529/196527/84647/2168/8431/1906/114882/51228/27141/55937/4547/118471/2169/123/63924/345/123264/6555/7057/5243/2172/335/338/337","Down","BP",0.0225967998045682,185,2
"GO:0006954","inflammatory response",317,0.402401325058705,1.70656589138934,1.14599548343173e-05,0.00124976867898932,0.00113110649295819,1372,"tags=31%, list=18%, signal=26%","405753/6288/4069/26471/8399/5320/3429/56477/3956/199/4853/4843/3133/10312/4067/4065/3717/2678/2194/5547/64332/9830/64116/9870/3123/4282/7076/8986/79792/27035/10658/51542/2526/3566/29102/405/8717/330/1540/4669/8314/50848/838/4035/9021/253260/148022/1535/4907/2152/283131/3091/6885/1075/23780/56919/746/2950/84818/29108/11074/3949/6774/834/4363/5687/55331/54472/2633/10551/7114/6359/55876/7128/5359/9255/3965/4258/11334/961/55848/10959/4023/5045/81559/5265/23609/3430/5734/51074/11277/5606/2355/11343/56925/6647/23646","Up","BP",0.0387199218272872,317,1
"GO:0006959","humoral immune response",75,0.64403501148591,2.28755581518471,1.21210171362144e-08,8.68874911714299e-06,7.86377567889836e-06,583,"tags=40%, list=8%, signal=37%","4069/3426/5266/5225/717/6364/56477/3119/1755/6590/5968/4853/3133/9547/6480/629/725/6038/27242/1604/2919/567/3123/4922/966/1672/140823/2921/3105/5699","Up","BP",0.00916086478563576,75,1
"GO:0007159","leukocyte cell-cell adhesion",180,0.467608856557707,1.8740352403133,3.93286609737403e-06,0.000604116324457346,0.000546757098800344,801,"tags=26%, list=11%, signal=23%","3113/3115/10673/3117/5320/56477/3119/3956/199/3127/3122/3133/972/4067/3717/3108/27242/1604/6541/857/64332/567/969/64116/3123/861/56940/116844/3485/2526/3566/8289/1540/50848/3105/7494/4907/2319/54542/23513/57178/5573/6522/5290/29108/50512","Up","BP",0.0219860754855258,180,1
"GO:0008289","lipid binding",360,-0.301341903567494,-1.521850512352,3.13154860875744e-05,0.00389654119746819,0.00357420360007053,547,"tags=14%, list=7%, signal=14%","56994/5306/56288/5914/11021/4833/118987/3030/55909/3760/274/4311/2101/3172/7186/5948/221184/54899/129401/3399/84320/114876/837/117583/5217/6820/2168/116984/85477/114882/116987/51228/23612/27445/312/27141/55937/1576/1800/4547/118471/2169/5618/2035/63924/345/2938/7057/2172/335/338/337","Down","MF",0.0439721509710517,360,2
"GO:0009617","response to bacterium",253,0.412527461309462,1.71080608176536,2.35689440957409e-05,0.00225266730123959,0.0020387825793228,1139,"tags=28%, list=15%, signal=24%","3934/4069/5266/5225/717/6364/5320/1728/56477/83998/1755/6590/51316/115361/5996/7431/4853/4843/3133/629/4067/725/3717/6038/1604/3106/857/64332/567/3123/129607/4282/90933/116844/79792/1672/29102/140823/84419/4669/3105/7494/148022/9516/1535/6885/824/9636/931/306/2950/5594/29108/834/5861/2633/2643/55876/7128/840/999/3965/10221/4258/11334/1373/114769/6648/4023/283","Up","BP",0.0309026505435446,253,1
"GO:0009897","external side of plasma membrane",84,0.477867002571777,1.72440143718505,0.00118773255457147,0.0156891183952697,0.0132002589908311,889,"tags=37%, list=12%, signal=33%","762/915/6337/214/3133/972/3672/4065/5329/3134/3106/567/3123/11118/966/3566/1182/3107/6382/79908/3105/4907/2152/824/931/355/11119/2239/3949/140453/1508","Up","CC",0.0102601685599121,84,1
"GO:0009986","cell surface",235,0.491197803273409,2.02670851020484,4.0109594254975e-09,3.79704158947096e-07,3.19469399855415e-07,890,"tags=30%, list=12%, signal=27%","2346/50506/3113/1048/684/10232/3115/762/3820/915/6337/214/6678/4853/4680/94/3122/3133/972/3672/4065/3108/5329/3134/1604/3106/55959/4486/80031/1500/8751/9982/8842/567/3123/634/4282/11118/9601/966/2526/5796/3566/6548/3691/1182/3107/3482/6382/79908/3105/955/4907/726/2152/7046/824/54542/931/355/11119/22883/3309/84818/91/2239/3949/140453/1508/6281","Up","CC",0.0287040429949921,235,1
"GO:0010008","endosome membrane",320,0.383375074706302,1.62746975816623,4.00401993836779e-05,0.00113714166249645,0.00095675002737841,2117,"tags=38%, list=28%, signal=28%","3113/3115/3117/3119/3127/3122/10581/3133/10312/25849/261729/3108/10410/3134/3106/857/56937/567/3123/54918/55293/5371/23400/399979/51479/58489/9146/5873/30844/1182/3107/55362/6293/10244/3482/84440/10079/3105/148022/9516/1213/113178/6885/91782/387849/55681/117584/9743/3949/8906/382/163/537/26872/55697/5869/79643/3109/7317/8678/23200/64841/93343/151636/4952/10269/392/25777/5045/5912/51324/64114/56850/78992/55858/8766/23646/55062/2923/83547/23603/5663/56674/63971/55754/7251/55041/10067/10938/54432/51699/523/55614/81846/302/9741/5911/4289/51104/55745/55353/29934/9375/54862/23527/23531/4615/57231/23041/55207/223082/388/120224/8992/7314/5119/51534/222236/1509/8650","Up","CC",0.0390863564187126,320,1
"GO:0010876","lipid localization",195,-0.375833696260227,-1.81241749972506,2.83326985894843e-06,0.000580280650635104,0.000525184558315352,615,"tags=22%, list=8%, signal=21%","157680/27183/25921/5306/1191/51454/4833/118987/10226/1119/200931/5948/9429/160518/22925/23411/11001/5025/114876/8529/196527/84647/2168/8431/1906/114882/51228/27141/55937/4547/118471/2169/123/63924/345/123264/6555/7057/5243/2172/335/338/337","Down","BP",0.023818248442653,195,2
"GO:0012507","ER to Golgi transport vesicle membrane",48,0.688653092132491,2.23021184651849,6.55762604875085e-08,4.6559144946131e-06,3.9173187185959e-06,829,"tags=46%, list=11%, signal=41%","3113/3115/3117/3119/3127/3122/3133/972/10483/3134/3106/9871/567/3123/966/3107/3105/203547/10802/6721/10484/10972","Up","CC",0.00586295346280689,48,1
"GO:0016651","oxidoreductase activity, acting on NAD(P)H",67,0.51908901200218,1.81923396092572,0.000866533400920522,0.0357912112113151,0.0328304179217936,2304,"tags=51%, list=31%, signal=36%","50506/1645/1728/4696/27035/4707/1535/51181/4694/1429/874/4708/4726/4541/374291/4718/4536/4720/1727/4700/4709/4715/4713/4723/9540/4717/4538/55967/4716/4725/1646/4731/84883/4695","Up","MF",0.00818370587516795,67,3
"GO:0019882","antigen processing and presentation",60,0.643361187096842,2.18181184952771,3.99642031211618e-07,0.000143238364686764,0.000129638265914085,920,"tags=45%, list=12%, signal=40%","3113/3115/3117/3119/3127/1510/3122/3133/972/6890/3108/3134/3106/567/3123/6892/5873/8284/3107/54842/1520/3105/64167/5696/29108/5869/3109","Up","BP",0.00732869182850861,60,1
"GO:0019883","antigen processing and presentation of endogenous antigen",16,0.852069839218622,2.16207755066172,6.90057066668045e-07,0.000211995388838519,0.000191866994927702,585,"tags=75%, list=8%, signal=69%","3122/3133/972/6890/3134/3106/567/3123/6892/3107/3105/64167","Up","BP",0.00195431782093563,16,1
"GO:0019884","antigen processing and presentation of exogenous antigen",28,0.811887426410782,2.3650787180384,5.25024033368194e-09,4.51625673503321e-06,4.0874502639907e-06,513,"tags=57%, list=7%, signal=53%","3113/3115/3117/3119/3127/1510/3122/3133/972/3108/3134/567/3123/54842/1520/3105","Up","BP",0.00342005618663735,28,1
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I",12,0.861527226321386,2.04407415063844,1.46211356235793e-05,0.00149727391230987,0.00135511176781945,585,"tags=75%, list=8%, signal=69%","3133/6890/3134/3106/567/6892/3107/3105/64167","Up","BP",0.00146573836570172,12,1
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",19,0.845950679434197,2.26147557375696,2.90229463380526e-07,0.000113479720181786,0.000102705124935999,442,"tags=63%, list=6%, signal=60%","3113/3115/3117/3119/3127/1510/3122/972/3108/567/3123/1520","Up","BP",0.00232075241236106,19,1
