"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000375","RNA splicing, via transesterification reactions",254,-0.301297761721185,-1.60989851447592,8.65027192625411e-06,0.000833309528895812,0.000689391262052579,2153,"tags=38%, list=26%, signal=29%","4236/11100/56949/27339/91746/9128/5935/11066/23064/27238/55082/7536/9343/6633/65109/55596/51503/10179/8621/10199/25804/11325/55192/54496/51634/10772/6651/10421/65110/55696/1665/50628/51645/84950/8161/55692/55147/24148/10286/2332/79753/5978/10285/143884/988/10907/3192/4116/10946/55280/9939/11168/5356/9584/79760/10250/8241/4928/10212/22938/6625/7919/6628/54883/84081/51362/79066/6432/7737/8449/9785/6430/6431/10419/22985/23524/96764/51428/8896/6421/58155/56259/3185/54960/6428/4691/9129/118924/4686/79622/8233/84292/11193/10078/8487/202559","Down","BP",0.0270933333333333,254,3
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",250,-0.300275355594694,-1.52420003727166,9.98108299183166e-06,0.000901416557699797,0.000745735740201107,2153,"tags=38%, list=26%, signal=29%","4236/11100/56949/27339/91746/9128/5935/11066/23064/27238/55082/7536/9343/6633/65109/55596/51503/10179/8621/25804/11325/55192/54496/51634/10772/6651/10421/65110/55696/1665/50628/51645/84950/8161/55692/55147/24148/10286/2332/79753/5978/143884/988/10907/3192/4116/10946/55280/9939/11168/5356/9584/79760/10250/8241/4928/10212/22938/6625/7919/6628/54883/84081/51362/79066/6432/7737/8449/9785/6430/6431/10419/22985/23524/96764/51428/8896/6421/58155/56259/3185/54960/6428/4691/9129/118924/4686/79622/8233/84292/11193/10078/8487/202559","Down","BP",0.0266666666666667,250,3
"GO:0000398","mRNA splicing, via spliceosome",250,-0.300275355594694,-1.52420003727166,9.98108299183166e-06,0.000901416557699797,0.000745735740201107,2153,"tags=38%, list=26%, signal=29%","4236/11100/56949/27339/91746/9128/5935/11066/23064/27238/55082/7536/9343/6633/65109/55596/51503/10179/8621/25804/11325/55192/54496/51634/10772/6651/10421/65110/55696/1665/50628/51645/84950/8161/55692/55147/24148/10286/2332/79753/5978/143884/988/10907/3192/4116/10946/55280/9939/11168/5356/9584/79760/10250/8241/4928/10212/22938/6625/7919/6628/54883/84081/51362/79066/6432/7737/8449/9785/6430/6431/10419/22985/23524/96764/51428/8896/6421/58155/56259/3185/54960/6428/4691/9129/118924/4686/79622/8233/84292/11193/10078/8487/202559","Down","BP",0.0266666666666667,250,3
"GO:0001568","blood vessel development",272,0.441169549537433,1.63930471420083,1.07469791002845e-05,0.00093176308799467,0.000770841216729883,1578,"tags=29%, list=19%, signal=24%","3627/3490/6659/59/3553/639/301/3569/2752/6772/7052/7128/1959/10427/1958/538/861/4853/9820/2833/493/3688/22976/2316/90139/5371/7410/9451/54828/6558/1605/9047/7124/5578/657/7494/634/28982/2534/4669/51684/8879/25/146850/3339/5607/1890/6237/9444/407021/80025/3516/2683/6095/6667/302/81575/57674/5293/5547/1399/65125/3988/25831/1960/5594/26051/9270/677/1901/5291/5604/6722/6464/285/11235/3687/841/5286","Up","BP",0.0290133333333333,272,1
"GO:0001664","G protein-coupled receptor binding",72,0.591439853235143,1.9712455696097,7.43085708865049e-06,0.000713362280510447,0.000665735266655705,703,"tags=19%, list=8%, signal=18%","3627/4283/9547/6364/6351/6366/6772/6352/1857/2316/64108/6348/84687/2534","Up","MF",0.00768,72,1
"GO:0001725","stress fiber",38,0.591682305984918,1.76915672309535,0.00202601771903639,0.0451957798861964,0.0394540292654455,862,"tags=29%, list=10%, signal=26%","59/800/2317/7168/10611/10398/29109/51474/9260/5590/4660","Up","CC",0.00405333333333333,38,6
"GO:0001891","phagocytic cup",18,0.734256904907444,1.88013970894517,0.000960036811190576,0.0290903587204944,0.0253946688648962,683,"tags=28%, list=8%, signal=26%","199/301/23208/7124/64005","Up","CC",0.00192,18,1
"GO:0001906","cell killing",109,0.578367606755147,2.01302724909575,1.02565573877444e-07,2.778886017242e-05,2.29895335658192e-05,1564,"tags=39%, list=19%, signal=32%","3627/4283/9547/7305/914/6364/6366/3820/2635/3575/10125/2634/4069/5320/115362/2633/1671/909/4818/3958/51561/966/634/1773/146850/3071/4615/3002/127544/1075/8542/3251/567/4277/57823/6777/3140/3001/5291/2212/1398/11035","Up","BP",0.0116266666666667,109,1
"GO:0002252","immune effector process",348,0.441373512143278,1.64826522569317,5.94715123052966e-07,9.20746449440931e-05,7.61727227158442e-05,1113,"tags=22%, list=13%, signal=20%","6280/7305/2207/335/914/3553/5730/712/301/3569/3820/3575/6284/10125/30009/2268/538/9846/10875/51279/5734/4853/942/909/3142/4818/127943/3560/57506/3572/3055/22976/3597/11118/10225/3958/7410/2529/51561/966/3956/114548/10039/23529/7124/64332/6693/6775/6348/8767/7494/4049/3683/634/163486/64005/149041/1773/2534/25/146850/3071/10384/4615/3002/5590/127544/1439/6095/3665/1075/23376/8673/6504/5293/3561/7157/3251","Up","BP",0.03712,348,1
"GO:0002274","myeloid leukocyte activation",127,0.552971376961887,1.95407164089241,2.03775663930612e-07,4.64930264810106e-05,3.84633621613072e-05,1081,"tags=28%, list=13%, signal=24%","7305/2207/199/914/5730/712/301/3569/23208/4495/6284/10125/2268/3600/5320/9846/6352/161145/3937/4853/4345/10397/113277/7124/6348/1773/4669/4615/3516/6095/1075/1435/8673/6504/5293","Up","BP",0.0135466666666667,127,1
"GO:0002548","monocyte chemotaxis",19,0.841094744446196,2.19638273557532,2.92783684605973e-07,5.28840530319539e-05,4.37506146251119e-05,555,"tags=53%, list=7%, signal=49%","3627/199/301/3569/158747/6352/8600/3958/196527/6348","Up","BP",0.00202666666666667,19,1
"GO:0003735","structural constituent of ribosome",150,-0.318689636048688,-1.6405446208382,0.000233342949991738,0.00840034619970256,0.00783950437252943,2779,"tags=48%, list=33%, signal=33%","84311/51069/9801/6129/51073/6169/29093/6128/7311/6155/128308/64968/6142/6133/6192/6156/6147/6134/6143/56945/6222/6161/124995/6209/6159/122704/6183/6202/57129/9349/6181/6137/6194/9045/63875/6201/51264/65993/6130/6141/6193/6152/6230/6187/55052/219927/65003/4736/6122/6124/6224/6132/51116/6138/6191/3921/6217/6189/6160/6135/6203/6205/6188/23521/64979/6175/6125/6157/55168/29074/65005/116541","Down","MF",0.016,150,2
"GO:0003779","actin binding",210,0.452333076800006,1.65372226351757,3.19153797584384e-05,0.00172343050695568,0.00160836716414236,1536,"tags=29%, list=18%, signal=24%","199/7169/6641/1266/800/6876/2317/7273/119/7464/7168/2633/10013/91624/1756/50853/11034/4629/3688/3092/2316/1495/10611/6711/121512/1605/8851/1729/11078/4642/8507/634/64601/64005/84687/1773/25/3927/29109/51474/9260/257144/23164/57617/1073/9168/65979/11275/23623/2934/23224/120/653857/9788/84193/6275/55364/4771/29767/822","Up","MF",0.0224,210,6
"GO:0004866","endopeptidase inhibitor activity",37,0.663694858964471,1.97319178609164,4.24220432128599e-05,0.00215603796093594,0.00201209195672141,433,"tags=27%, list=5%, signal=26%","27290/6690/1471/2634/5973/115362/7076/5274/4671/114769","Up","MF",0.00394666666666667,37,1
"GO:0005102","signaling receptor binding",494,0.424700549230963,1.59783291317741,9.92979174536718e-08,1.22562000971389e-05,1.143792552925e-05,831,"tags=17%, list=10%, signal=16%","3627/4283/9547/6280/10673/3490/7305/335/914/50616/3553/6364/6351/301/3569/5967/6366/100462977/6772/5068/22848/6284/1500/2081/9235/2268/100463486/3600/8743/9846/83892/6352/10551/7076/10154/942/26037/9636/11119/8600/1020/57506/3572/3055/1857/3688/3092/2316/11118/64108/3958/7410/965/51561/3956/10148/23529/7124/6642/5578/8851/6348/6878/8767/1729/4049/3683/153579/9344/84687/868/2534/10188/25/4591/3339/8660/23710/1890/6890/10384/4615/1845","Up","MF",0.0526933333333333,494,1
"GO:0005125","cytokine activity",46,0.775897157492071,2.3902754625155,1e-10,2.16e-08,2.01578947368421e-08,612,"tags=46%, list=7%, signal=43%","3627/4283/9547/10673/50616/3553/6351/3569/6366/9235/3600/8743/6352/7076/8600/51561/10148/23529/7124/6348/4049","Up","MF",0.00490666666666667,46,1
"GO:0005126","cytokine receptor binding",98,0.616896915731773,2.11322770309613,2.57580601984726e-08,3.70916066858006e-06,3.46152177404036e-06,1108,"tags=30%, list=13%, signal=26%","3627/4283/9547/10673/50616/3553/6364/6351/3569/6366/6772/3600/8743/6352/8600/3572/51561/10148/23529/7124/6348/4049/4591/4615/10019/8651/1435/51192/64114","Up","MF",0.0104533333333333,98,1
"GO:0005253","monoatomic anion channel activity",26,0.685061564776285,1.93467535983836,0.000358060628954134,0.0114579401265323,0.0106929606931332,1046,"tags=38%, list=12%, signal=34%","5348/1179/338440/80727/8001/7419/196527/84230/23507/8542","Up","MF",0.00277333333333333,26,9
"GO:0005254","chloride channel activity",16,0.760086064986129,1.91913820973367,0.000417414609113103,0.0124360766301283,0.0116057927615476,551,"tags=38%, list=7%, signal=35%","5348/1179/338440/80727/8001/196527","Up","MF",0.00170666666666667,16,9
"GO:0005504","fatty acid binding",17,0.743089761727525,1.91610920501799,0.000508655341622108,0.0146492738387167,0.0136712277783346,32,"tags=18%, list=0%, signal=18%","2172/6280/5730","Up","MF",0.00181333333333333,17,11
"GO:0005539","glycosaminoglycan binding",39,0.637939549316961,1.91971306059871,0.000147021651263934,0.00604889079485902,0.00564504184802876,497,"tags=23%, list=6%, signal=22%","3627/1755/5968/145864/5967/5068/6402/2799/114548","Up","MF",0.00416,39,10
