"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000313","organellar ribosome",42,0.497238130456503,1.96666852203062,0.00106219584762844,0.0213450784618668,0.0194336583651319,433,"tags=36%, list=13%, signal=31%","51650/9801/9553/57129/90480/64432/64928/51081/122704/6183/51021/51073/64976/55052/118487","Up","CC",0.0118946474086661,42,4
"GO:0003677","DNA binding",459,-0.355434288599238,-1.43300844289636,0.00016259733141209,0.00955710981299953,0.00890006445624073,976,"tags=37%, list=30%, signal=30%","4150/5813/50809/80205/51341/3181/3930/3609/3192/10308/23512/55206/116092/51203/5465/22877/5316/9921/1523/9774/29117/4929/6294/9611/6881/10181/6605/10180/7110/29803/29994/27332/54921/7799/468/51621/8880/23558/29855/2908/2969/3182/25824/5430/8013/6599/8467/10210/23013/1786/50804/64061/546/22834/10943/9987/167465/2186/7764/6648/5411/1385/7027/10051/5187/7343/4209/54464/162989/4001/6049/1316/5966/55809/65110/56987/22890/5303/55320/6595/6945/1654/81/9208/864/7763/2353/6830/11177/3659/4097/8458/65056/7128/1776/1106/54386/7553/23764/2804/8531/10075/5927/51157/6598/10146/22992/51593/10320/1051/2959/84146/90378/571/55422/4205/5926/1112/6935/4297/23411/55636/65986/55870/5925/64215/51230/171023/8243/7756/6421/51274/54790/2117/1387/1105/2354/64421/5111/163859/57798/11073/3149/51426/8553/3615/25976/80149/57801/1390/4288/162979/9592/23064/26298/64859/8535/7112/1649/23522/7124/83852/2962/5514/5980/23515/3725/23137/3280/467","Down","MF",0.12999150382328,459,3
"GO:0003735","structural constituent of ribosome",120,0.397596962953823,1.88244937623552,1.51097372030642e-05,0.00114186442577443,0.00106336195654647,496,"tags=24%, list=15%, signal=21%","6192/51650/9801/9553/57129/64432/6164/6232/64928/6139/51081/6144/51065/6235/6173/122704/6183/6168/6170/25873/6210/6231/6167/51021/51073/55052/6234/6223/6136","Up","MF",0.0339847068819031,120,4
"GO:0003954","NADH dehydrogenase activity",38,0.617177209507956,2.42092951563845,2.91906793370233e-06,0.000257364489488088,0.000239670840872402,540,"tags=47%, list=16%, signal=40%","4707/4696/4708/4541/4537/4717/4536/4538/55967/4704/4725/4697/4713/4726/4709/4718/4535/4695","Up","MF",0.010761823845936,38,1
"GO:0005694","chromosome",439,-0.35522074696641,-1.42944199354823,0.000369044970477118,0.00973356109633398,0.00886193514632553,1149,"tags=43%, list=35%, signal=32%","1874/51742/81611/6597/23466/7150/10728/84333/25836/51368/10362/10096/23028/8409/55193/23304/6774/4691/2101/55904/2033/3398/27125/84301/221037/84295/64426/128866/10735/4673/9031/5431/5813/50809/51341/23613/3181/80314/3192/23512/57178/116092/7319/10093/51203/5465/119504/22877/5316/1523/5074/6002/55791/29117/4929/9611/81565/6881/5931/6605/29803/29994/54921/468/51621/983/23558/2908/3182/9643/5430/8013/6599/7405/8467/1786/64061/546/10943/9987/8896/2186/1385/7027/10051/6046/7175/4209/6732/4678/1316/259282/5966/56987/55082/5303/55320/6595/23326/6945/165918/4659/5515/55122/864/1459/2353/11177/3659/1106/54386/23764/3717/10189/10199/5927/51157/4676/6598/22992/10320/1051/2959/90378/5048/571/4205/5926/1112/7874/6935/254225/79813/23411/55636/7503/65986/55870/5925/51230/8243/8726/7756/7514/6421/51274/55035/9898/54790/10552/2117/1387/1105/29072/2354/80335/5111/11073/57187/55100/3149/51426/8553/114799/57801/79577/30836/5883/5930/1390/4000/4288/1783/23064/26298/64859/7112/1649/1263/23522/79019/55294/83852/5514/23515/3725/23137/3280/467","Down","CC",0.124327386009629,439,3
"GO:0005740","mitochondrial envelope",275,0.334506640075355,1.78101587250992,4.85963245911807e-08,5.12691224436956e-06,4.66780486204762e-06,664,"tags=37%, list=20%, signal=33%","2710/4707/51300/51650/9801/100131801/9553/27069/1347/57129/90480/51241/4696/2180/51079/116228/1345/64432/114971/54543/7388/30968/26517/84300/4708/64928/56947/4541/29796/402/255488/22906/204/51081/10245/3945/6390/4537/4512/4513/7351/4717/122704/4536/1350/4287/4538/6183/3329/55967/51629/4704/80777/27089/4725/1337/3845/140823/2182/4697/34/4170/51021/51073/64976/4713/54958/55052/7879/84987/118487/4726/4709/1340/10018/26521/493856/37/292/4718/10981/5018/4535/126328/4695/7386/4514/2647/55847/6233/4706/1537/1727/25994/84545/10063/9167/26355/4702/54539/3032/51703/4967","Up","CC",0.0778816199376947,275,1
"GO:0005743","mitochondrial inner membrane",186,0.385473866188323,1.92230975737196,2.66730355622402e-08,3.75200700242179e-06,3.41602034393603e-06,549,"tags=37%, list=17%, signal=33%","4707/51300/51650/9801/100131801/9553/27069/1347/57129/90480/51241/4696/51079/116228/1345/64432/114971/7388/30968/26517/84300/4708/64928/4541/29796/51081/10245/3945/6390/4537/4512/4513/7351/4717/122704/4536/1350/4538/6183/3329/55967/51629/4704/27089/4725/1337/140823/4697/51021/51073/64976/4713/54958/55052/84987/118487/4726/4709/1340/26521/37/292/4718/5018/4535/126328/4695/7386/4514","Up","CC",0.0526762956669499,186,1
"GO:0005759","mitochondrial matrix",153,0.306278819937396,1.49286520626633,0.000675024588331293,0.015825576459767,0.0144084195754925,744,"tags=39%, list=23%, signal=31%","81892/55526/51650/9801/9553/23479/3418/10449/57129/90480/152100/64432/84300/64928/402/51081/7157/6390/708/4513/373156/122704/4287/6183/3329/4704/34/51021/51073/64976/4357/55052/1431/118487/37/292/5018/7386/2647/4706/2746/2926/5230/8192/388962/84545/3419/3028/3032/4350/4967/131118/1716/5770/64975/3421/25902/6742/91689","Up","CC",0.0433305012744265,153,4
"GO:0005761","mitochondrial ribosome",42,0.497238130456503,1.96666852203062,0.00106219584762844,0.0213450784618668,0.0194336583651319,433,"tags=36%, list=13%, signal=31%","51650/9801/9553/57129/90480/64432/64928/51081/122704/6183/51021/51073/64976/55052/118487","Up","CC",0.0118946474086661,42,4
"GO:0005840","ribosome",150,0.315805598081218,1.55062915786837,0.000477551000739052,0.0118545013124635,0.0107929483139166,561,"tags=23%, list=17%, signal=20%","6192/51650/9801/9553/57129/90480/64432/6164/6232/64928/6139/51081/6144/51065/6235/6173/122704/6183/6168/6170/25873/6210/6231/6167/51021/51073/64976/55052/118487/6234/6223/6136/2935/11224/6233","Up","CC",0.0424808836023789,150,4
