"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000280","nuclear division",82,0.525360676594504,1.74840453741317,5.25593719782399e-05,0.0060301771773496,0.0046856573723111,597,"tags=35%, list=20%, signal=29%","7474/655/3303/3304/11065/5159/9232/10051/4926/1642/1164/2801/7155/8467/8881/9031/7756/2316/9525/652/5728/51652/4781/54461/29082/10097/9126/11331/7175","Up","BP",0.0253948590895014,82,2
"GO:0000902","cell morphogenesis",188,0.436769767482325,1.55177038348501,9.82646223837289e-05,0.00817234539630518,0.00635019657450606,538,"tags=30%, list=18%, signal=26%","7474/655/4205/4237/10439/6781/3925/27020/1191/10631/7852/51421/3913/6347/6091/3280/4651/4628/148170/2335/10160/4929/6356/80781/2263/5339/6357/7155/91653/2737/2316/9043/4627/23345/11078/10763/87/5728/23654/23022/7070/4781/1739/10611/1902/10413/10487/1009/8904/10630/6277/91624/2131/3082/4659/8543","Up","BP",0.0582223598637349,188,1
"GO:0001568","blood vessel development",209,0.443859023294449,1.58552021497382,3.46561619342212e-05,0.00507928805491917,0.00394678345605166,799,"tags=45%, list=26%, signal=36%","7474/655/3569/857/5159/2113/51129/3164/7852/6772/51421/1960/6444/163/6347/27286/6667/4323/6091/1277/3280/2335/4763/6356/2247/80781/2263/7128/4017/7057/2683/2737/9475/2034/1289/2316/83478/4627/2969/9255/9525/652/3716/1116/10769/493/23213/65125/196/7070/2152/7837/55109/5311/80149/9784/10413/3678/51330/1281/861/3685/4638/5156/4780/7082/1278/7534/6659/7045/4313/7127/1284/25831/1282/25932/7052/6303/2697/133/9444/57674/8837/5906/25/3091/7422/6789/6909/5396/6464/6093/1499/60681","Up","BP",0.0647259213378755,209,1
"GO:0001935","endothelial cell proliferation",51,0.579456633767106,1.81804881133596,8.50677179967823e-05,0.00792990633701255,0.00616181299437219,447,"tags=43%, list=15%, signal=37%","7474/857/3164/6772/1960/6347/6667/4323/4763/6356/2247/3148/4017/9839/7057/253260/9255/652/23213/2152/55109/1739","Up","BP",0.0157943635800557,51,1
"GO:0001944","vasculature development",220,0.458335690949825,1.64284189388527,2.1950140036381e-06,0.00117005974594699,0.000909177112611914,799,"tags=46%, list=26%, signal=36%","7474/655/3569/857/5159/2113/51129/3164/7852/6772/51421/1960/6444/163/6347/27286/6667/4323/6091/1786/1277/3280/6648/2335/4763/79987/54206/6356/2247/80781/2263/7128/7763/4017/6443/7057/2683/2737/9475/2034/1289/2316/83478/4627/2969/9255/9525/652/3716/1116/10769/493/23213/65125/196/7070/2152/7837/55109/5311/80149/9784/10413/3678/10630/51330/1281/861/3685/4638/5156/4780/7082/1278/7534/6659/7045/4313/7127/1284/25831/1282/25932/7052/6303/2697/133/9444/57674/8837/5906/25/3091/7422/6789/6909/5396/6464/6093/1499/60681","Up","BP",0.0681325487767111,220,1
"GO:0001959","regulation of cytokine-mediated signaling pathway",55,0.561190064882012,1.78083161656066,0.000217745882634891,0.0138199142106358,0.0107385539431586,861,"tags=55%, list=28%, signal=40%","4982/7474/3569/3303/857/3304/4940/7852/6773/6091/54625/7128/25939/9636/7837/103/8904/2131/331/9261/9470/8767/10010/5781/3091/51441/3572/5048/3554/3093","Up","BP",0.0170331371941778,55,3
"GO:0003779","actin binding",118,0.472652846363727,1.62668398139863,0.000279804079120859,0.0471936213450516,0.0414306390838605,758,"tags=37%, list=25%, signal=29%","51088/6709/7852/51421/10788/4651/4628/5339/2633/1265/60312/4082/8507/2316/4627/23345/829/11078/26064/9749/87/3987/23022/23406/64236/10611/10487/667/51474/7169/91624/10097/4638/26258/23002/22921/7170/7094/170954/6876/3068/25/28988/11034","Up","MF",0.0365438216165996,118,6
"GO:0005201","extracellular matrix structural constituent",62,0.567026734627491,1.82471572727991,8.09215830176683e-05,0.0409463210069402,0.0359462189825853,690,"tags=61%, list=23%, signal=48%","115908/7373/4237/10631/4052/3913/27286/4811/1277/3371/2335/80781/1303/7057/1289/3910/3915/2200/1290/1805/1116/1294/633/3912/7837/1293/1281/4053/1307/165/7148/1278/7045/25878/1284/1282/1462/7980","Up","MF",0.0192009910188913,62,1
"GO:0005581","collagen trimer",22,0.68065087085054,1.83427859997024,0.000280581488656487,0.0225587516879816,0.0205562859057805,669,"tags=68%, list=22%, signal=54%","115908/7373/1277/80781/1303/1289/1290/1294/1293/1281/1307/1278/78989/1284/1282","Up","CC",0.00681325487767111,22,1
"GO:0005604","basement membrane",34,0.598010246288747,1.73570129619901,0.000659534239669012,0.0378761091924204,0.0345139722413257,669,"tags=62%, list=22%, signal=49%","3913/4811/151887/3371/2335/80781/4017/1289/3910/3915/2200/1294/3912/7837/1739/667/1307/7078/7045/1284/1282","Up","CC",0.0105295757200372,34,1
"GO:0005788","endoplasmic reticulum lumen",113,0.486228782509802,1.66142825384902,0.000147756906545319,0.0148495691078046,0.0135314219678345,674,"tags=43%, list=22%, signal=35%","3488/7474/3569/7373/444/1191/4052/56034/3913/5595/54972/1277/3371/11096/2335/9563/10954/23621/80781/5955/5033/1303/7057/340348/1289/3915/3895/2200/1290/652/10491/1294/11167/3912/1293/4924/51246/1281/871/1307/3487/1278/1356/813/1284/57333/8542/1282/1462","Up","CC",0.034995354598947,113,1
"GO:0007155","cell adhesion",337,0.412122232165721,1.50132600636238,1.07893752700932e-05,0.00247574664851447,0.0019237412424895,800,"tags=39%, list=26%, signal=32%","7474/655/3569/857/7373/5270/953/2113/27020/3659/10631/7852/928/1960/1500/3913/6347/27286/4811/151887/4323/6091/3383/1277/3371/3280/4651/4628/2335/4763/79987/6356/80781/10725/1303/2309/2633/7057/91653/2683/865/2737/9475/149041/1289/3910/3915/3127/2316/4627/2200/55824/11078/3117/390/6385/87/3987/1805/652/5728/23654/3716/23022/57045/23476/5796/1294/65125/7070/259307/3912/7837/55109/1293/1739/10611/80149/1009/667/3678/10630/1601/51330/1281/10808/91624/4179/2131/64332/861/4659/29117/3685/3682/91663/5156/1307/6810/7148/5328/7082/9235/22862/6659/7045/8767/4313/10428/7094/3671/1462/7052/1326/2195/3956/4254/25/7791/5781/3620/7422/6789/23114/6464/145864/51441/6093/1499/488/3572","Up","BP",0.10436667698978,337,1
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT",26,0.67839669145308,1.89300730304492,7.43993468040667e-05,0.00715913714569455,0.00556289852843989,458,"tags=50%, list=15%, signal=43%","3569/857/2149/6772/6347/6773/3280/54625/6778/3588/3716/5311/3454","Up","BP",0.00805202849179312,26,3
"GO:0007369","gastrulation",48,0.577660177111888,1.78790302158866,9.95590830878379e-05,0.00817234539630518,0.00635019657450606,686,"tags=50%, list=23%, signal=39%","7474/655/4323/2335/2263/1303/1289/25949/23187/4627/1290/652/57045/1294/65125/3912/55578/3678/2131/3685/91663/4313/1284/2697","Up","BP",0.0148652833694642,48,1
"GO:0008092","cytoskeletal protein binding",225,0.418561832557629,1.5018968081501,0.000221945188463464,0.0471936213450516,0.0414306390838605,1057,"tags=47%, list=35%, signal=33%","3925/6546/51088/1191/6709/7852/51421/4926/9702/10788/5142/4651/4628/10160/22809/5339/2801/2633/1265/2683/60312/4082/8507/9475/7756/2316/3895/9043/4627/23345/829/11078/1809/26064/10397/9749/87/3987/11075/23022/3320/23406/64236/5311/1739/10611/51552/10487/84376/667/6277/51474/84251/10808/7169/91624/10097/4638/9126/6902/26258/23002/7175/1654/5536/6249/22921/7170/801/4140/7094/170954/2697/285331/6876/3068/25/28988/11034/6093/5756/81631/81873/824/23710/5048/2332/7414/808/1072/7171/8409/4646/84557/58533/57175/4478/889/8636/4790/1495/5870/5034/6711/5970","Up","MF",0.0696810157943636,225,6
"GO:0008283","cell population proliferation",465,0.400319023675889,1.46882292797962,5.84134573782993e-06,0.00159728668535599,0.00124114730178164,581,"tags=28%, list=19%, signal=27%","3488/4283/7474/655/3569/115908/3303/857/3304/54331/6373/5159/5270/6781/2113/1026/444/1191/23367/3659/5730/2149/3164/6772/5585/56034/928/1960/2771/5595/6347/6773/6667/9180/4323/6091/1786/1457/3371/3280/6648/1164/2335/4763/23648/54206/6356/9961/2247/22809/3148/80781/2263/7128/7262/4217/183/4017/2309/9839/10730/6374/1265/7057/7832/2683/2737/27086/149041/3915/25949/2316/23345/253260/27339/10397/9255/6385/10763/6778/55749/1805/652/5728/23654/57045/5796/9500/64343/23213/26136/196/259307/2152/3912/3727/4781/55109/2782/81606/5311/1739/10413/50809/4683/84376/283131/10630/6277/1601/1281/6878/6935/4179/79630/2131/64332/861/3082/3685/221477/5156/6810/7148/5328/51621/11331/3487/5610/7082/331","Up","BP",0.144007432641685,465,1
"GO:0008285","negative regulation of cell population proliferation",179,0.44502747811382,1.57155160606922,5.98214949436215e-05,0.00660916738580826,0.00513555289925359,497,"tags=28%, list=16%, signal=25%","3488/7474/655/3569/3303/857/3304/5270/2113/1026/444/3659/5730/2149/6772/5585/928/6347/6091/3280/6648/4763/2247/22809/80781/2263/7128/7057/7832/2683/2737/149041/10397/9255/6385/1805/652/5728/57045/5796/9500/23213/26136/259307/4781/5311/1739/10630/1601/6878/6935","Up","BP",0.0554351192319604,179,1
"GO:0009719","response to endogenous stimulus",383,0.393254443355993,1.43696156834174,6.26079996471421e-05,0.00666998796240803,0.00518281260236868,797,"tags=34%, list=26%, signal=29%","3488/4982/7474/655/3569/3303/857/3304/54331/5159/6781/27020/9518/94031/1026/5730/10631/23625/4052/3164/6772/3275/5585/4926/928/1960/9702/2771/5595/6347/6773/6667/23019/2776/4323/6091/1277/3371/3280/51232/4929/54206/2247/1508/3148/2263/5782/183/5069/2309/9839/6443/2354/7057/7832/27086/9475/2200/51742/7110/6778/3987/64397/10424/652/11075/3716/2207/3320/57045/5796/493/23213/56937/11167/3727/2782/2734/81606/5311/7077/10413/51552/2817/3678/1601/1281/6935/1513/2131/64332/3082/4053/5156/4780/7078/7148/11331/331/1278/26258/9261/4090/7175/2355/54832/4313/25878/1284/3312/8895/2195/133/7357/64710/8837/5906/5654/25/7791/5781/5062/3091/7422/6909/5967/6464/10081/6093/3301/1499/8648","Up","BP",0.118612573552183,383,1
"GO:0009888","tissue development",433,0.406023601678492,1.48670312214722,3.76752604291462e-06,0.00124872557622381,0.000970303198420817,826,"tags=38%, list=27%, signal=33%","3488/7474/655/3569/115908/857/7373/5159/5270/4205/10439/6781/1827/3925/6546/1026/10631/3164/7852/6772/51421/4926/6444/3913/5595/4323/6091/3383/1277/3371/3280/11096/2335/4763/23648/79987/54206/6356/2247/1508/80781/10155/2263/5339/7763/7262/183/4017/1303/6443/54796/7832/2683/4082/2737/27086/9475/2034/64764/1289/3915/2316/23187/83478/4627/23345/51742/11078/9636/1290/6385/6778/7922/10424/652/5728/23654/1116/23022/57045/9500/1294/23213/11167/633/3912/4781/546/2734/81606/5311/1739/10611/10413/2817/27327/3678/10630/1601/1281/6935/1513/79630/2131/9953/64332/861/3082/3685/8543/4638/871/91663/5156/373156/307/7148/11331/7082/1278/26258/4090/2355/22862/23399/6659/7045/4313/1284/57333/5552/1282/25932/7052/2195/2697/133/7357/9444/6876/4254/8837/5906/4194/25/5781/3091/2012/7422/6789/5351/6909/5396/6093/231/1499/8648/488/3572/5930/1200/25959/56975/4088/3182/572","Up","BP",0.134097243728709,433,1
"GO:0009968","negative regulation of signal transduction",335,0.398962316751989,1.45281218722631,9.09909569604713e-05,0.00817234539630518,0.00635019657450606,596,"tags=28%, list=20%, signal=26%","3488/4982/7474/655/3569/115908/3303/857/3304/5270/1827/3925/9518/94031/1191/4940/23625/4052/6772/64853/1500/2771/8870/5595/6773/23019/4323/6091/3383/1457/5142/10133/6648/51232/4763/4929/7703/54206/9961/2247/3148/5782/54625/7128/183/26091/2309/2633/25939/7057/2737/27086/5577/754/83478/2200/51742/9636/55031/5576/652/5728/57045/23476/493/8490/64343/23213/56937/7070/7837/103/2734/81606/1739/1902/80149/10413/2817/8904/1601/64359/4179/3082/3685/10449/5996/83892/80114/4780/11331/3487/331/7534/4090","Up","BP",0.103747290182719,335,1
"GO:0010648","negative regulation of cell communication",349,0.391314702849621,1.42742765985244,0.000248851810597073,0.0148464990202214,0.0115362460407317,750,"tags=33%, list=25%, signal=28%","3488/4982/7474/655/3569/115908/3303/857/3304/5270/1827/3925/9518/94031/1191/4940/23625/4052/6772/64853/1500/2771/8870/5595/6773/23019/4323/6091/3383/1457/5142/10133/6648/51232/4763/4929/7703/54206/9961/2247/3148/5782/54625/7128/183/26091/2309/2633/25939/7057/2737/27086/5577/754/83478/2200/51742/9636/55031/5576/652/5728/57045/23476/10769/493/8490/64343/23213/56937/7070/7837/103/2734/81606/1739/1902/80149/10413/2817/8904/1601/64359/4179/5211/3082/3685/56943/10449/5996/83892/80114/4780/11331/3487/331/7534/4090/1654/9470/4841/4140/3312/2697/133/10010/57674/8837/5998/5654/25/5781/3091/30851/7091/6789","Up","BP",0.108082997832146,349,1
"GO:0016477","cell migration",369,0.436827136784574,1.59477841646504,3.93929510894821e-08,0.000117509173099925,9.13087139989889e-05,579,"tags=31%, list=19%, signal=29%","3488/4283/7474/655/3569/857/6373/5159/5270/6781/2113/3925/9518/10631/23625/2149/3164/7852/1822/51421/5585/56034/928/1960/2771/5595/6347/27286/6667/4323/6091/3383/1277/3371/5142/3280/6648/2335/4763/4929/54206/57522/6356/2247/3148/5339/6357/7128/7155/7763/7262/183/4017/2309/9839/6374/1265/7057/2683/2737/27086/9475/1289/58191/3910/3915/8065/2316/83478/9043/4627/51742/1809/9255/6385/55749/652/5728/23654/2207/23022/3320/5796/10769/493/23213/65125/11167/7070/2152/3912/1902/80149/10487/1009/2817/3678/10630/1601/51474/1281/91624/2131/3082/3685/8543/4638/91663/5156/4780/6810/7148/5328/11331/7082","Up","BP",0.114276865902756,369,1
"GO:0022625","cytosolic large ribosomal subunit",49,-0.437395099026519,-1.85706039863609,0.000391354375599725,0.0262207431651815,0.023893214510299,1726,"tags=100%, list=57%, signal=44%","6176/6158/6133/6166/6173/6181/6168/9045/6139/7311/6136/6169/6146/6124/6170/6155/6147/6164/6171/6141/6154/6165/6167/25873/6152/6156/6159/11224/6137/6143/6130/6157/4736/6132/6122/6128/6135/6161/6175/6134/23521/6142/6125/6129/6144/6138/6160/285855","Down","CC",0.0151749767729947,49,4
"GO:0030155","regulation of cell adhesion",206,0.428520550632505,1.52951366074284,0.000101366671023564,0.00817234539630518,0.00635019657450606,750,"tags=39%, list=25%, signal=32%","7474/655/3569/857/5270/2113/3659/10631/7852/928/1960/3913/6347/4811/151887/4323/1277/3371/3280/4651/2335/4763/10725/2309/2633/7057/865/2737/9475/149041/3910/3915/3127/2316/55824/11078/3117/6385/3987/652/5728/23654/3716/57045/23476/65125/7070/259307/3912/1739/80149/3678/10630/1601/10808/4179/64332/861/4659/29117/3685/91663/1307/6810/7148/5328/7082/6659/7045/8767/4313/7094/7052/1326/3956/4254/25/5781/3620/7422/6789","Up","BP",0.063796841127284,206,1
"GO:0030198","extracellular matrix organization",94,0.520170156751376,1.75991674666138,3.23793624340544e-05,0.00507928805491917,0.00394678345605166,860,"tags=59%, list=28%, signal=43%","4982/3569/857/7373/5352/7177/10631/3913/4811/151887/4323/1277/11096/4763/80781/183/4017/5033/1303/2683/89932/1289/3915/23187/1290/1805/10491/1294/23213/3912/7837/10630/1281/1513/2131/861/871/5156/1307/165/7148/1278/7045/4313/1284/1282/8837/25/5351/60681/5768/4088/10049/2331/1291","Up","BP",0.0291111799318675,94,1
"GO:0030199","collagen fibril organization",29,0.653957424259528,1.87135038972695,7.43254086173822e-05,0.00715913714569455,0.00556289852843989,860,"tags=76%, list=28%, signal=55%","7373/5352/1277/4763/4017/5033/1303/1289/1290/1805/10491/7837/1281/2131/871/165/7148/1278/5351/60681/2331/1291","Up","BP",0.00898110870238464,29,1
"GO:0030312","external encapsulating structure",168,0.465418038467236,1.63287959895956,2.38171280883432e-05,0.00319149516383799,0.00290819669289243,751,"tags=46%, list=25%, signal=37%","4982/7474/655/115908/7373/5270/4237/5352/51129/9518/7177/1191/10631/4052/3913/27286/4811/151887/4323/3383/1277/80760/3371/11096/2335/23452/1508/80781/2263/183/4017/1303/7057/1289/3910/3915/2200/1290/1805/1116/3320/1294/439921/23213/633/2152/3912/7837/1293/2734/1739/7077/667/2817/6277/1281/4053/871/1307/307/165/7078/7148/1278/7045/4313/25878/1284/5552/1282/1462/7052/7980/3956/3068/5654/7422/5351","Up","CC",0.0520284917931248,168,1
"GO:0030334","regulation of cell migration",264,0.422522600315788,1.52523019705312,3.98475932744368e-05,0.00516805959728891,0.00401576203159313,579,"tags=31%, list=19%, signal=28%","3488/7474/655/3569/857/5159/5270/6781/2113/3925/9518/10631/23625/2149/7852/51421/56034/928/2771/5595/6347/27286/6667/4323/6091/3383/1277/3371/6648/2335/4763/57522/6356/2247/6357/7262/183/2309/9839/1265/7057/27086/9475/58191/3910/8065/2316/9043/51742/1809/6385/55749/652/5728/23654/5796/10769/493/23213/65125/7070/2152/3912/1902/80149/1009/3678/10630/1601/1281/91624/3082/3685/8543/4638/91663/5156/4780/6810/7148/5328/7082","Up","BP",0.0817590585320533,264,1
"GO:0030900","forebrain development",80,0.52665134546517,1.75351614011713,9.96696613089706e-05,0.00817234539630518,0.00635019657450606,513,"tags=36%, list=17%, signal=31%","7474/3337/7852/6091/3280/4763/4929/2247/22809/2263/7155/7832/2737/27086/2316/54407/652/5728/22930/57045/493/3912/4781/546/1902/84376/1281/6935/2131","Up","BP",0.0247754722824404,80,1
