"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",435,0.304294627523074,1.46142455818854,0.000307810917111389,0.025055808652867,0.0230242565999319,1280,"tags=27%, list=20%, signal=23%","9935/57507/2296/1050/90865/9646/3337/9839/65986/8726/4773/6256/3303/60436/6926/56180/2117/8535/10614/1649/3727/53615/9314/2354/7091/1487/467/3280/221937/6304/10009/1910/1958/84159/83933/6595/54623/6615/4097/9960/5927/57504/25959/1788/4152/1263/2033/6872/57459/7975/9112/3720/8553/4487/2077/6772/5915/4929/138151/64207/3214/1647/7767/29966/100381270/3192/25942/5138/7181/639/10499/142/7494/2294/10370/4017/4208/9541/167465/595/54815/9975/6996/7295/7832/11060/23515/79685/1051/8863/7026/27086/3281/56957/10916/2004/122953/5465/6659/10363/3621/5813/6774/359948/468/6310/4775/83666/84312/9349/9612/7050/8609/5916/6778/51421/3059/3725","Up","BP",0.0634573304157549,435,1
"GO:0001501","skeletal system development",182,0.399572376357385,1.75031953259166,6.11420413485803e-05,0.0103064213586297,0.00947076557279484,1123,"tags=29%, list=18%, signal=24%","1278/1277/6781/633/2296/1281/7052/8642/4773/2487/6926/145864/1290/3202/84159/29072/6615/9060/6722/56172/64764/3091/4487/399979/5915/3214/57599/4015/3638/25976/10370/4017/4313/6259/4208/5781/55959/649/9770/2767/6949/3215/7763/124565/27086/1291/27173/4041/5600/79065/4087/56987","Up","BP",0.0265499635302699,182,1
"GO:0001568","blood vessel development",352,0.363568099788247,1.70819766380819,2.15627818431794e-06,0.00292360224169059,0.00268655341128324,1320,"tags=31%, list=21%, signal=26%","6347/1278/1277/347/6356/2296/1281/7052/2701/59/7128/56999/6926/7070/2152/9510/90139/1959/1649/388/3164/9314/57674/1012/10052/3280/187/1958/3202/5534/841/6303/4643/57534/29072/358/7716/5228/7837/163/6722/3949/4638/23166/60681/10454/91010/7127/3091/6464/6772/81575/2752/7049/11005/5547/1647/4015/25976/84516/5797/5138/639/1960/7494/2294/10370/4017/4313/4208/26057/9146/10769/301/26523/339123/2335/26051/204851/10672/7026/1306/57493/154810/4041/677/57381/2004/7082/22846/6659/5054/4846/1948/6774/8503/4775/2113/116150/9021/133/57556/80025/2697/51421/1890/5155/5594/2828","Up","BP",0.0513493800145879,352,1
"GO:0001944","vasculature development",370,0.368397898122197,1.7453656643665,6.07093417560268e-07,0.00123543510473515,0.0011352646908377,1320,"tags=31%, list=21%, signal=26%","6347/1278/1277/347/6356/2296/1281/7052/4772/2701/59/4773/7128/56999/6926/7070/2152/9510/90139/1959/1649/388/3164/9314/6648/57674/1012/10052/3280/187/1958/3202/5534/841/6303/4643/57534/29072/358/7716/5228/7837/163/6722/3949/4638/23166/60681/10454/91010/7127/3091/6464/6772/81575/2752/7049/11005/5547/1647/4015/25976/84516/5797/5138/639/1960/7494/2294/10370/4017/4313/4208/26057/6794/9146/10769/301/26523/339123/2335/7763/26051/204851/10672/7026/1306/57493/154810/4041/677/57381/2004/7082/22846/6659/5054/4846/1948/6774/8503/4775/2113/116150/5784/9021/133/57556/80025/2697/3964/51421/1890/5155/5594/2828","Up","BP",0.0539752005835157,370,1
"GO:0002683","negative regulation of immune system process",222,0.363433001905024,1.63514477615557,0.000184063507930045,0.0179215870220068,0.0164684853715738,1031,"tags=24%, list=16%, signal=21%","6347/9935/347/8651/1281/1050/3111/90865/7128/10461/7070/2633/23208/3659/1265/23143/4254/60343/868/10766/8780/6737/4940/3949/4067/3635/710/84640/472/11005/8379/7105/23376/1604/142/2294/10221/5781/10769/5573/972/301/2335/100507436/1997/3149/1051/127018/55666/6522/3142/9636/143684/3956","Up","BP",0.0323851203501094,222,1
"GO:0002684","positive regulation of immune system process",453,0.331168374102529,1.59886212270168,1.88120494348527e-05,0.00558348950904298,0.0051307741434449,1035,"tags=24%, list=16%, signal=21%","6347/716/6401/8651/115362/9308/92610/3127/64332/1326/1050/3111/90865/5919/4773/715/3304/3303/7128/7070/1075/1026/56829/26524/2633/10614/10392/3659/30011/3280/9261/123920/10808/4254/6885/841/8174/6595/5228/868/27/11119/7158/80328/8780/11118/2821/2319/57492/4940/8546/3108/4292/4615/4067/2033/10454/57118/1520/10616/3635/4792/710/22985/834/6868/7105/5336/6046/25942/6605/1960/331/1604/23643/142/7494/8767/10221/6602/4208/3383/5781/6603/3075/26057/80196/6794/8673/972/301/1535/2664/10432/3320/57590/8547/1997/127018/6351/1445/55666/27086/3142/677/3956/5359","Up","BP",0.0660831509846827,453,1
"GO:0002694","regulation of leukocyte activation",226,0.404545198599081,1.82525555999785,2.87331915645267e-06,0.00292360224169059,0.00268655341128324,1035,"tags=29%, list=16%, signal=25%","6347/8651/9308/3127/64332/1326/1050/3111/90865/4773/7128/10461/7070/1075/1026/23208/3659/30011/3280/10808/4254/6595/868/27/7158/2319/57492/3949/8546/3108/4292/4615/4067/2033/3635/472/11005/8379/6046/23376/6605/639/1960/1604/7494/8767/678/6602/4208/5781/6603/5573/972/301/2335/100507436/3149/1051/10193/1445/6522/3142/143684/677/3956/5359","Up","BP",0.0329686360320934,226,1
"GO:0002696","positive regulation of leukocyte activation",153,0.431194202441666,1.83476428822359,1.12333575761414e-05,0.00433468067251547,0.00398322007744665,745,"tags=25%, list=12%, signal=23%","6347/8651/9308/3127/64332/1326/1050/3111/90865/4773/7070/1075/1026/30011/3280/10808/4254/6595/27/7158/2319/57492/8546/3108/4292/4615/4067/2033/3635/6046/6605/1960/1604/7494/8767/6602/4208/5781/6603","Up","BP",0.0223194748358862,153,1
"GO:0003700","DNA-binding transcription factor activity",365,0.333159629828554,1.55935256278483,5.78346616911807e-05,0.0456893827360328,0.0441978572503128,1289,"tags=30%, list=20%, signal=26%","9935/2296/1050/9839/4772/65986/4773/23090/6256/7773/60436/6926/2117/1959/1649/3727/3164/58525/3659/9314/2354/467/3280/221937/6304/10009/1958/3202/140467/6615/7716/4097/55279/6722/23099/93134/116071/144348/64764/54897/7975/118472/55205/3091/8553/4487/2077/6772/5915/23152/4929/138151/3214/114991/988/7767/100381270/115509/7181/639/1960/26468/7494/2294/5089/4208/167465/9975/1388/5966/23051/3215/83439/163081/51193/128553/1997/7702/1051/5971/7026/27086/3142/93349/5359/2004/122953/5465/6659/84124/4087/56987/5813/6774/64864/468/4775/163049/2113/8625/51545/7029/4093/7050/22877/8609/5916/6778/3725/6939/55311","Up","MF",0.0532458059810357,365,1
"GO:0005125","cytokine activity",36,0.590618920248557,1.9520392378117,0.000194449627196589,0.0469369084605908,0.0454046576181065,969,"tags=42%, list=15%, signal=36%","6696/6347/6356/90865/4283/9547/123920/4254/2821/1440/10135/649/58191/92304/6351","Up","MF",0.00525164113785558,36,8
