"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",308,0.430443662218135,1.50229534401191,1.57777996080171e-05,0.000271904079911495,0.000197084093349267,1770,"tags=40%, list=29%, signal=30%","3113/3115/3127/3122/3119/972/3123/30815/5154/22862/2804/51201/10565/3133/9321/93010/372/4124/9867/390/23011/4121/10905/3134/2803/64746/950/10133/9653/6892/1314/26286/1604/10564/2526/7110/57584/164/11015/23760/166929/3845/64841/2589/998/1956/4853/63971/51809/8428/9919/152519/51100/9334/11046/102/8658/1182/258010/5663/1718/51552/55343/56894/5007/51196/11282/3998/4893/27333/51114/10955/11235/23673/6093/2802/93380/2801/64921/65977/3106/9276/9527/2591/10945/79158/1315/11261/25849/377/84910/10331/11322/8720/81876/4247/3107/9743/11320/6480/84002/5986/79695/51125/55300/1523/757/3838/2131/6836/79971/5584/10652/523/9950/90196/153339/113829/222236/26035/5310/23443/128637","Up","CC",0.0469727009303035,308,1
"GO:0000313","organellar ribosome",77,-0.478615078956537,-2.31961588745644,7.82857445615784e-08,5.78196141976229e-06,4.19093609983788e-06,1207,"tags=42%, list=20%, signal=34%","7818/6182/29088/26589/10573/64928/51116/56945/51081/64965/84311/64432/51649/65005/51264/10884/128308/124995/54948/51253/6150/64981/11222/740/63931/51642/116540/28957/29093/79590/64983/54148","Down","CC",0.0117431752325759,77,4
"GO:0000315","organellar large ribosomal subunit",49,-0.526140901669555,-2.30449032227408,2.487490643794e-06,6.57906257812207e-05,4.76869851941659e-05,1193,"tags=47%, list=20%, signal=38%","6182/29088/26589/10573/64928/84311/65005/51264/10884/128308/124995/54948/51253/6150/64981/11222/740/51642/116540/29093/79590/64983/54148","Down","CC",0.00747292969345737,49,4
"GO:0000785","chromatin",497,0.437372704788267,1.53811495149007,8.71841392415019e-09,1.50247333292855e-06,1.08903696736753e-06,1485,"tags=39%, list=25%, signal=32%","10365/64764/8932/6881/1960/10481/374393/3659/114799/4090/8204/6772/4084/467/8284/1459/6602/55183/29117/2186/7994/5514/5074/4582/8819/23047/64431/1111/79685/5925/64426/51621/23076/2120/51742/8467/8473/55193/25836/55636/11198/3727/221037/26057/10725/1959/1997/10608/2956/6418/3660/3184/4781/65980/4306/546/23512/1389/57680/3070/1998/7259/84181/51274/6929/26298/151987/58487/55274/5591/7155/894/1052/3169/3182/861/5927/1387/10943/51105/3174/29994/9031/2355/6595/9188/2309/5465/79647/4779/3516/55167/7543/11335/5451/1063/2627/57492/26993/1912/2551/6599/23160/1786/1106/1059/6732/3191/7029/152485/7112/7798/65018/4089/2063/50809/7528/7913/10735/22809/57801/6934/339287/1107/23468/7003/57215/54107/9960/6774/54815/80314/9682/1050/10769/9063/23451/54556/3280/79968/3622/80335/5966/6045/81611/9126/10155/84193/1958/11244/6670/2146/168451/284058/4087/10592/3164/23476/10927/2494/6667/11168/3200/8289/9416/7342/10765/53615/23244/54108/64324/1810/1788/10635/23613/55904/6603/6601/7508/10951/6314/8507/8648/7421/54897/11176/7071/10902/6659/196528/3054/4790/56987","Up","CC",0.0757968583193534,497,2
"GO:0000792","heterochromatin",39,0.628464742996663,1.88318136950289,9.90409063298312e-05,0.00134747759401376,0.000976691486244319,1452,"tags=64%, list=24%, signal=49%","8932/23076/8467/546/23512/3070/7155/9031/11335/1912/1786/1059/23468/54107/9682/79968/6045/10155/2146/11168/53615/54108/1788/10951/11176","Up","CC",0.00594784200091505,39,8
"GO:0000976","transcription cis-regulatory region binding",344,0.425550820642009,1.48365235286659,1.66321531007598e-05,0.000692870025565408,0.000527501665959591,1742,"tags=44%, list=29%, signal=33%","6498/10365/64764/1960/10481/3659/4090/8204/6772/23064/4084/467/904/7150/7026/84166/29117/2186/56731/619279/10413/8535/4582/5925/51621/2120/51742/5187/140467/58495/55636/5813/3727/170506/10725/1959/1997/10608/3660/7764/253461/4781/4306/79718/23512/54989/7716/5814/4853/51274/6929/65986/26298/22890/1052/3169/861/5927/64332/170960/3174/2355/6595/23135/2309/5465/4779/3516/7543/54816/5451/2627/7644/2551/10664/7707/1106/3191/7029/4089/2063/8531/7528/22809/4097/3068/57801/6934/1107/7003/57215/9960/6774/7343/988/7520/1050/84146/3280/22803/5966/2738/1958/81/84914/6670/2146/4087/3164/23476/2494/6667/201501/3200/7342/3192/84159/7494/64324/51341/1788/79027/8648/7421/7019/54897/11176/7071/7690/6659/5978/2959/4790/56987/6421/1523/147657/6239/23394/3091/7748/7581/4780/2101/5926/55749/10923/23764/8554/4775/2305/339123","Up","MF",0.0524630166234559,344,2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",298,0.425455982639539,1.48147738513452,6.94456341361329e-05,0.00225849279712293,0.0017194548314713,1485,"tags=39%, list=25%, signal=31%","6498/10365/64764/1960/10481/3659/4090/8204/6772/4084/467/7150/7026/84166/2186/56731/619279/10413/4582/5925/51621/2120/5187/140467/58495/55636/5813/3727/170506/10725/1959/1997/10608/3660/7764/253461/4781/4306/23512/54989/7716/5814/51274/6929/65986/26298/22890/1052/3169/861/64332/170960/3174/2355/23135/2309/5465/4779/3516/7543/54816/5451/2627/7644/2551/10664/7707/1106/7029/4089/2063/8531/7528/22809/4097/3068/57801/6934/7003/57215/9960/6774/988/1050/84146/3280/5966/2738/1958/81/84914/6670/2146/4087/3164/2494/6667/201501/3200/7342/3192/7494/64324/51341/1788/79027/8648/7421/54897/7071/7690/6659/5978/2959/4790/56987","Up","MF",0.0454476132377612,298,2
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",263,0.429635031819586,1.49162379994979,8.29957276143026e-05,0.00248323217021993,0.00189055531113001,1483,"tags=39%, list=25%, signal=31%","6498/10365/64764/1960/10481/3659/4090/8204/6772/4084/467/7150/7026/84166/2186/56731/619279/10413/4582/51621/2120/5187/140467/58495/55636/3727/170506/10725/1959/1997/10608/3660/7764/253461/4781/4306/23512/54989/51274/6929/26298/22890/1052/3169/861/64332/170960/3174/2355/23135/2309/5465/4779/3516/7543/54816/5451/2627/7644/2551/10664/7707/1106/4089/2063/7528/4097/3068/57801/6934/7003/57215/9960/6774/1050/84146/3280/5966/2738/1958/84914/6670/2146/4087/3164/2494/6667/201501/3200/7342/3192/7494/64324/51341/1788/79027/7421/7071/7690/6659/5978/4790","Up","MF",0.040109806313863,263,2
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",262,0.413975106220898,1.43701707833678,0.000499661190737978,0.00889872787314303,0.00677485474158511,1922,"tags=47%, list=32%, signal=34%","6498/10365/64764/1960/10481/3659/4090/6772/4084/467/7026/51621/2120/126208/58495/5813/3727/10725/1959/1997/10608/3660/7764/253461/4781/4306/1389/54989/7716/5814/1998/4853/51274/6929/65986/26298/22890/58487/1052/3169/861/170960/3174/2355/2309/5465/4779/3516/7543/54816/5451/2627/7644/2551/23036/10664/7707/7029/22834/4089/2063/7528/22809/4097/3068/57801/6934/7003/57215/6774/988/1050/84146/3280/5966/2738/1958/2969/11244/84914/6670/4087/3164/2494/6667/201501/3200/7342/7494/51341/79027/7421/54897/7071/7690/6659/5978/4790/56987/1523/147657/6239/23394/3091/7748/7581/4780/2101/23764/4775/2305/4929/4784/4801/7586/6721/5089/90993/6672/4774/1390/10424/3172/4335","Up","MF",0.0399572975446088,262,2
"GO:0000987","cis-regulatory region sequence-specific DNA binding",273,0.417892715142863,1.45223942769247,0.000216740329454196,0.00463205046947824,0.00352651182660812,1483,"tags=38%, list=25%, signal=30%","6498/10365/64764/1960/10481/3659/4090/8204/6772/4084/467/7150/7026/84166/2186/56731/619279/10413/4582/51621/2120/5187/140467/58495/55636/3727/170506/10725/1959/1997/10608/3660/7764/253461/4781/4306/23512/54989/4853/51274/6929/26298/22890/1052/3169/861/64332/170960/3174/2355/23135/2309/5465/4779/3516/7543/54816/5451/2627/7644/2551/10664/7707/1106/4089/2063/7528/4097/3068/57801/6934/7003/57215/9960/6774/1050/84146/3280/5966/2738/1958/84914/6670/2146/4087/3164/2494/6667/201501/3200/7342/3192/7494/64324/51341/1788/79027/7421/7071/7690/6659/5978/4790","Up","MF",0.0416348940064054,273,2
