"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000315","organellar large ribosomal subunit",46,-0.467081245314449,-2.37910535009578,9.2543878085695e-06,0.000295562010636188,0.000219791710453526,1250,"tags=50%, list=23%, signal=39%","6182/64976/64979/10884/90480/65003/219927/11222/64981/26589/128308/10573/65005/63875/51253/51642/29093/84311/124995/79590/55168/54948/29088","Down","CC",0.00776633462772244,46,5
"GO:0000785","chromatin",471,0.460368990022706,1.51581873389449,1e-10,5.11e-08,3.8e-08,1668,"tags=47%, list=30%, signal=36%","571/25909/196/2113/8204/79813/8202/8932/10499/3727/8850/23304/1386/1459/4784/5591/23512/2063/2005/5453/3344/9031/23411/10735/23522/4094/55818/51366/9839/2551/9612/257218/55553/1911/4790/1060/6881/5514/284058/168451/7052/114799/8473/5934/80312/4775/5927/55209/9189/1788/26057/79776/23047/55183/23394/6667/55274/65980/7003/81611/23515/2308/25836/2145/11198/57680/11176/687/1523/5925/860/9975/57459/9572/29994/5966/10725/4205/7503/23244/50809/2241/121536/54891/405/6663/10608/4208/56254/7155/7994/93649/7543/1387/64324/2186/1960/23476/6926/546/7112/1105/8648/3720/84181/6096/1106/5307/894/1107/7067/23613/80335/6773/6095/9646/55578/463/54617/3184/64764/122953/152485/8289/57492/27125/2004/84656/4678/4791/23451/23468/3661/10927/22926/63901/5074/55636/9188/4090/5469/54556/9580/57178/8467/9586/6935/1499/4204/8819/1912/376940/23028/25942/339287/10765/7024/1108/196528/7528/6659/10365/27022/3091/5451/6314/6304/55193/1997/6256/23160/6418/1457/6421/4773/9274/51105/80314/4087/4209/1786/26122/7157/10155/3182/861/22887/6594/54108/5915/30812/2309/4641/6772/29117/9464/1112/4801/23595/1857/6925/4782/4089/64710/51621/22877/2908/6934/9126/51742/23126/7392/84101/10919/23326/6670/4774/26993/2034/4601/1385","Up","CC",0.0795205132534189,471,3
"GO:0000803","sex chromosome",14,0.702020518413254,1.7137034140615,0.001762451509026,0.0181593794999807,0.0135040395498878,637,"tags=50%, list=12%, signal=44%","23347/23137/23512/1911/1788/7503/84333","Up","CC",0.00236366706061118,14,9
"GO:0000902","cell morphogenesis",339,0.464741471790483,1.51900307727689,3.82368838061746e-09,9.62549821680768e-07,7.55077831793511e-07,1759,"tags=53%, list=32%, signal=38%","5803/23433/3908/23230/4649/27020/6654/91584/288/5339/5591/152503/4756/57498/1739/10752/9693/659/23499/3480/9331/9043/57609/8976/10763/1889/9353/7414/22902/285527/596/8522/23022/23405/5649/2909/6789/23077/214/8452/80312/6093/1605/8826/5048/23394/10512/23011/7976/5728/9378/23654/4660/1000/114793/5727/10787/1523/54434/5925/91137/3672/10507/22906/9448/4205/23607/5530/4684/1952/10413/79006/4650/473/6498/4208/2803/80031/25/10509/122786/7155/26084/85440/2316/23129/5605/23122/8239/257194/23242/26053/3688/5062/200894/23345/51421/4289/10631/8301/23032/5306/2335/9202/5469/2045/23181/1499/148170/4204/23769/10979/1902/1785/25942/2059/170506/440275/28513/87/10365/4853/23380/4627/56882/54664/54014/2932/8874/30011/2317/604/23191/5027/7779/8829/25932/2011/4851/10152/80208/116985/2737/2534/3897/5064/9962/57639/9369/8543/85449/23603/51347/2017/8650/1857/4478/4076/5764/4089/23767/57689/10602/51466/5962/84189/998/4774/10006/23136/1385/11078/81565/1982/6868/780/64218/9223/5978","Up","BP",0.0572345095390849,339,2
"GO:0000976","transcription cis-regulatory region binding",341,0.4845943519838,1.58402799200614,1e-10,1.20666666666667e-08,8.98245614035088e-09,1668,"tags=51%, list=30%, signal=38%","25976/571/8863/196/2113/8204/639/10499/3727/8850/1386/23064/4784/23512/2063/2005/5453/3344/23411/7644/153222/4094/79718/9839/2551/5814/55553/4790/6907/7799/440515/5934/80312/4775/5927/9189/1788/79776/23394/6667/79692/65986/7003/2308/54816/54989/11176/687/1523/5925/860/84146/9975/9572/5966/10725/4205/10664/5813/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/23476/169792/6926/8648/6096/1106/7343/5307/253461/1107/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/4853/27022/3091/5451/7707/7026/7767/144348/56977/6304/9328/1997/604/6256/6421/4773/4851/4087/4209/7157/3192/861/7586/2737/22887/55769/84159/5915/30812/51193/2309/6772/140467/5929/29117/84307/9464/1112/4801/6925/4782/126626/4089/285971/51621/22877/2908/6934/51742/7392/10919/9967/6670/4774/7019/2034/165/4601/1385","Up","MF",0.0575721762620294,341,3
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",295,0.481840796803815,1.57070182312366,7.40058615458811e-10,6.69753046990224e-08,4.98565804098567e-08,1768,"tags=54%, list=32%, signal=39%","571/196/2113/8204/639/10499/3727/8850/1386/4784/23512/2063/2005/5453/23411/7644/153222/4094/9839/2551/5814/55553/4790/7799/440515/5934/80312/4775/9189/1788/79776/23394/6667/79692/65986/7003/2308/54816/54989/687/1523/5925/860/84146/9975/9572/5966/10725/4205/10664/5813/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/169792/6926/8648/6096/1106/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/27022/3091/5451/7707/7026/7767/144348/56977/6304/1997/604/6256/4773/4087/4209/7157/3192/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/140467/84307/9464/4801/6925/4782/4089/285971/51621/22877/2908/6934/7392/10919/9967/6670/4774/2034/165/4601/1385/23135/5928/2114/22890/5978/6720/3068","Up","MF",0.0498058416343069,295,3
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",262,0.492852112873553,1.60274068545287,1.10563127307012e-09,8.89418935225297e-08,6.62085627850177e-08,1768,"tags=55%, list=32%, signal=39%","571/196/2113/8204/639/10499/3727/1386/4784/23512/2063/2005/5453/23411/7644/4094/9839/2551/55553/4790/440515/80312/4775/9189/1788/79776/6667/79692/7003/2308/54816/54989/687/860/84146/9975/9572/5966/10725/4205/10664/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/169792/6926/6096/1106/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/27022/3091/5451/7707/7026/7767/144348/6304/1997/604/6256/4773/4087/4209/7157/3192/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/140467/84307/9464/4801/6925/4782/4089/285971/51621/22877/2908/6934/7392/9967/6670/4774/2034/4601/1385/23135/5928/2114/22890/5978/6720/3068","Up","MF",0.0442343407057234,262,3
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",269,0.469148577192684,1.52597868470998,4.46104886924671e-08,7.68999852698718e-07,5.72445368685292e-07,1668,"tags=51%, list=30%, signal=38%","571/196/2113/639/3727/1386/4784/2063/2005/5453/23036/3344/7644/153222/4094/9839/2551/5814/6018/55553/4790/7799/440515/4775/9189/79776/23394/6667/79692/65986/7003/2308/54816/54989/687/1523/860/84146/9975/9572/5966/11057/10725/4205/10664/5813/405/6498/6663/10608/9745/4208/2969/4150/7543/9988/7581/1960/169792/6926/6096/92999/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/4090/57659/9580/9586/63976/6935/79027/51341/7024/7528/6659/10365/4853/27022/3091/5451/7707/7026/7767/144348/6304/22834/1997/604/6256/4773/4851/4087/4209/7157/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/84307/9464/1112/26036/4801/6925/4782/4089/285971/51621/148398/22877/2908/6934/7392/6670/4774/10424/2034/165/4601/1385","Up","MF",0.045416174236029,269,3
"GO:0000987","cis-regulatory region sequence-specific DNA binding",273,0.496386771671722,1.61491953352192,2.26441712293325e-10,2.34205428143382e-08,1.74343092773207e-08,1768,"tags=55%, list=32%, signal=40%","25976/571/196/2113/8204/639/10499/3727/1386/4784/23512/2063/2005/5453/3344/23411/7644/4094/9839/2551/55553/4790/440515/80312/4775/9189/1788/79776/6667/79692/7003/2308/54816/54989/687/860/84146/9975/9572/5966/10725/4205/10664/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/169792/6926/6096/1106/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/4853/27022/3091/5451/7707/7026/7767/144348/6304/9328/1997/604/6256/4773/4851/4087/4209/7157/3192/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/140467/84307/9464/1112/4801/6925/4782/4089/285971/51621/22877/2908/6934/7392/9967/6670/4774/2034/4601/1385/23135/5928/2114/22890/5978/6720/3068","Up","MF",0.0460915076819179,273,3
"GO:0001067","transcription regulatory region nucleic acid binding",341,0.4845943519838,1.58402799200614,1e-10,1.20666666666667e-08,8.98245614035088e-09,1668,"tags=51%, list=30%, signal=38%","25976/571/8863/196/2113/8204/639/10499/3727/8850/1386/23064/4784/23512/2063/2005/5453/3344/23411/7644/153222/4094/79718/9839/2551/5814/55553/4790/6907/7799/440515/5934/80312/4775/5927/9189/1788/79776/23394/6667/79692/65986/7003/2308/54816/54989/11176/687/1523/5925/860/84146/9975/9572/5966/10725/4205/10664/5813/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/23476/169792/6926/8648/6096/1106/7343/5307/253461/1107/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/4853/27022/3091/5451/7707/7026/7767/144348/56977/6304/9328/1997/604/6256/6421/4773/4851/4087/4209/7157/3192/861/7586/2737/22887/55769/84159/5915/30812/51193/2309/6772/140467/5929/29117/84307/9464/1112/4801/6925/4782/126626/4089/285971/51621/22877/2908/6934/51742/7392/10919/9967/6670/4774/7019/2034/165/4601/1385","Up","MF",0.0575721762620294,341,3
