"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",297,-0.355889144768566,-1.5865513248356,7.88309530148292e-05,0.0107651549437051,0.00966882383714516,685,"tags=26%, list=15%, signal=24%","25855/3400/5663/201163/5970/3169/8241/6595/4848/2309/22828/169792/23314/23466/430/7026/3661/4790/2908/81857/64426/6386/7832/51742/6774/10155/1788/23512/26036/5074/79577/3204/7430/9314/468/55929/5926/10614/4089/5187/8535/4097/7799/441478/3192/10628/2354/2254/8878/23013/79813/23764/22890/3398/4782/4929/2005/8531/6720/9935/4084/25942/9975/57507/29966/10915/1263/7690/10370/467/3725/4335/3337/54567/1649/3303/1906","Down","BP",0.0623425692695214,297,2
"GO:0000313","organellar ribosome",61,0.492889663348377,1.89396215496382,0.000283177464185392,0.00522789164649954,0.00449415246804347,929,"tags=44%, list=21%, signal=36%","28998/9801/51253/55168/29088/9553/51318/51021/79590/54948/118487/64981/65008/11222/64979/64965/28977/65080/54534/55173/84545/7818/51023/65003/63875/219927/6183","Up","CC",0.0128043660789253,61,1
"GO:0000315","organellar large ribosomal subunit",38,0.590649265371539,2.06369589431757,0.00012305780889828,0.00281274991767497,0.0024179779994048,915,"tags=53%, list=21%, signal=42%","28998/9801/51253/55168/29088/9553/51318/79590/54948/64981/65008/11222/64979/28977/65080/54534/84545/65003/63875/219927","Up","CC",0.00797649034424853,38,1
"GO:0000323","lytic vacuole",279,0.319228538331449,1.55995834617279,0.000116018639098321,0.00281274991767497,0.0024179779994048,766,"tags=24%, list=17%, signal=21%","3127/23385/3113/10577/79026/3122/4257/1075/3123/10581/1520/29108/64114/2171/10410/5547/56829/302/54664/3134/4287/161/4069/27163/2799/84888/26001/203068/51316/1200/3074/2896/10040/2444/567/203547/23545/1174/56270/51449/7276/4718/2990/389541/5580/10890/84061/51652/6813/1727/55754/10159/10487/950/57600/7073/427/55860/972/5036/1650/55858/3920/128866/2782/5476","Up","CC",0.0585642317380353,279,7
"GO:0000785","chromatin",393,-0.361908536258438,-1.64001744893741,2.89371156492106e-06,0.000198928252364254,0.000171008497646464,1119,"tags=35%, list=25%, signal=29%","2355/6732/84193/84181/2186/10902/5111/2649/23476/1045/23270/116138/51274/5976/2077/339287/546/7027/1457/4205/2033/23394/26057/27086/29994/4641/22887/10725/7552/4821/1388/51366/51085/51105/79960/1810/10428/5451/60/5087/7994/1958/6938/23558/71/25855/9275/1106/5970/3169/6667/6595/79647/2309/23314/51157/23451/23466/55904/430/3661/4209/4790/8896/2908/6722/1676/6427/64426/4093/51742/6774/6950/4678/7392/10155/8607/1788/1912/23512/54891/5074/55209/3204/54556/6046/9314/3205/1857/468/5514/1960/55636/55929/5926/23081/4089/3611/54799/1029/257218/2353/1999/54738/5316/2354/6314/79813/23764/3659/27125/3726/1060/23047/51621/3398/4782/4929/2005/3164/3171/6720/23126/5078/5966/9935/4084/25942/9975/7503/10370/467/3725/1105/4335/1959/64061/10769/1649","Down","CC",0.0824937027707809,393,2
"GO:0000791","euchromatin",21,-0.624209465289354,-1.78643125725639,0.00221883462818779,0.0275488209673663,0.023682319778964,650,"tags=43%, list=15%, signal=37%","6667/55904/10155/1788/55209/9314/27125/3398/3725","Down","CC",0.0044080604534005,21,2
"GO:0000976","transcription cis-regulatory region binding",289,-0.404725989082637,-1.79959077728293,1.39328467021486e-07,1.30330554563839e-05,1.03211095841659e-05,1131,"tags=40%, list=25%, signal=32%","27107/2355/9967/116039/2186/2649/23476/1045/7587/54862/51274/9921/65982/163049/6907/7027/22823/4205/23394/5813/27086/22887/153222/84146/10725/7552/4821/1388/51085/7581/8625/5451/23064/5087/1958/126626/6938/23558/5887/1106/5970/3169/6667/6595/2309/169792/23314/51157/430/7026/904/3661/4209/4790/2908/6722/8576/23135/4093/51742/6774/7392/1788/23512/7716/3204/9314/3205/170506/468/9841/1960/55636/5926/170960/4089/5187/8535/22936/54816/4097/7799/2353/1999/54738/3192/25976/2354/23764/22890/3659/3726/51621/4782/4929/2005/64332/3164/163033/3171/8531/6720/55422/5078/5966/9935/4084/9975/7690/467/3725/4335/1959/7718/1649","Down","MF",0.0606633081444165,289,2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",250,-0.408507586462967,-1.78426488917526,1.15742789476199e-06,5.75152630781726e-05,4.55473649274757e-05,1145,"tags=41%, list=26%, signal=32%","6721/27107/2355/9967/116039/2186/2649/1045/7587/54862/51274/65982/163049/7027/22823/4205/23394/5813/27086/22887/153222/84146/10725/7552/4821/1388/51085/7581/8625/5451/5087/1958/6938/23558/5887/1106/5970/3169/6667/2309/169792/23314/51157/430/7026/3661/4209/4790/2908/6722/8576/23135/4093/6774/7392/1788/23512/7716/3204/9314/3205/170506/468/9841/1960/55636/170960/4089/5187/54816/4097/7799/2353/1999/54738/3192/2354/23764/22890/3659/3726/51621/4782/4929/2005/64332/3164/3171/8531/6720/55422/5078/5966/9935/4084/9975/7690/467/3725/4335/1959/7718/1649","Down","MF",0.0524769101595298,250,2
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",220,-0.431841424917345,-1.86342230691447,2.96945801907086e-07,1.91826988031977e-05,1.51911220765099e-05,836,"tags=35%, list=19%, signal=30%","84146/10725/7552/4821/1388/51085/7581/5451/1958/6938/23558/5887/1106/5970/3169/6667/2309/169792/23314/51157/430/7026/3661/4209/4790/2908/6722/8576/23135/4093/6774/7392/1788/23512/3204/9314/3205/170506/468/9841/1960/55636/170960/4089/5187/54816/4097/2353/1999/54738/3192/2354/23764/22890/3659/3726/51621/4782/4929/2005/64332/3164/3171/6720/55422/5078/5966/9935/4084/9975/7690/467/3725/4335/1959/7718/1649","Down","MF",0.0461796809403862,220,2
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",229,-0.384423521085863,-1.66121670259967,5.35244871817749e-05,0.00216105116996416,0.00171137505068044,1060,"tags=37%, list=24%, signal=30%","1045/7587/54862/51274/65982/2077/163049/7027/4205/23394/5813/27086/22887/153222/84146/10725/7552/4821/1388/51085/7581/8625/5451/5087/1958/6938/5970/3169/6667/2309/169792/23314/51157/430/7026/3661/4209/4790/2908/6722/4093/6774/7392/26036/7716/3204/9314/3205/468/1960/170960/4089/54816/4097/7799/2353/1999/54738/5316/2354/23764/22890/3659/3726/51621/4782/4929/2005/3164/163033/3171/6720/55422/5078/5966/9935/4084/9975/7690/467/3725/4335/1959/7718/1649","Down","MF",0.0480688497061293,229,2
