"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000313","organellar ribosome",80,0.433164540731695,1.95313177031703,2.29586239991615e-05,0.00115498115735989,0.00101877914130117,2860,"tags=62%, list=30%, signal=44%","387338/51253/54460/79590/51318/64979/55168/51649/64976/11222/29088/64960/10884/122704/51650/90480/54148/64983/9801/84545/28998/26589/64949/65003/51023/64981/54948/219927/54998/29074/56945/64928/51258/55052/6182/51069/65008/9553/23107/10240/64965/65005/65993/51642/29093/63875/124995/28957/6150/10573","Up","CC",0.00745642650759623,80,8
"GO:0000315","organellar large ribosomal subunit",51,0.49470718535812,2.0613741736665,3.14552824357252e-05,0.00128127850454854,0.001130182779445,2860,"tags=73%, list=30%, signal=51%","387338/51253/79590/51318/64979/55168/64976/11222/29088/10884/122704/90480/54148/64983/9801/84545/28998/26589/65003/64981/54948/219927/29074/64928/51258/55052/6182/51069/65008/9553/65005/51642/29093/63875/124995/6150/10573","Up","CC",0.0047534718985926,51,8
"GO:0002396","MHC protein complex assembly",15,0.765519599643848,2.35675590359408,4.0988631043521e-05,0.0102665734282167,0.00959202091566941,1338,"tags=67%, list=14%, signal=58%","3113/3115/3119/3122/3127/3105/3108/3123/567/6892","Up","BP",0.00139807997017429,15,5
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",14,0.745634895960978,2.25575473132279,0.000252704063091892,0.0400872878751438,0.0374534021929878,1338,"tags=71%, list=14%, signal=62%","3122/3106/3133/3105/3134/6890/3107/3123/567/6892","Up","BP",0.00130487463882934,14,5
"GO:0002501","peptide antigen assembly with MHC protein complex",15,0.765519599643848,2.35675590359408,4.0988631043521e-05,0.0102665734282167,0.00959202091566941,1338,"tags=67%, list=14%, signal=58%","3113/3115/3119/3122/3127/3105/3108/3123/567/6892","Up","BP",0.00139807997017429,15,5
"GO:0003735","structural constituent of ribosome",150,0.506534276011444,2.53399487733775,1e-10,9.85e-08,8.88421052631579e-08,2374,"tags=55%, list=25%, signal=42%","6227/51253/54460/200916/116832/79590/6234/51318/64979/55168/51649/6170/6167/51121/6146/6207/6136/6164/11222/6132/6202/29088/6130/64960/6135/6171/6192/2197/10884/25873/6168/122704/51650/6232/6206/6201/11224/6158/64983/9801/9045/84545/6228/28998/6235/26589/6209/6165/6231/6233/6143/6187/65003/51023/64981/6210/54948/6137/219927/6156/6208/6125/29074/56945/6128/6193/6173/64928/6159/6176/51258/6166/6204/51065/55052/6182/51069/6141/65008/6175/6222/9553/6223","Up","MF",0.0139807997017429,150,8
"GO:0003823","antigen binding",31,0.662787991106947,2.34501247041069,3.35525049850842e-06,0.0011016405803436,0.00099362505990916,1338,"tags=65%, list=14%, signal=56%","3113/3115/3119/3122/3106/958/100423062/9794/3127/3133/1718/3105/3134/6890/3107/3108/3123/8140/567/6892","Up","MF",0.00288936527169354,31,5
"GO:0003954","NADH dehydrogenase activity",41,0.593673800943175,2.28313360616248,2.88768776905312e-06,0.0011016405803436,0.00099362505990916,2758,"tags=61%, list=29%, signal=44%","1728/4537/4538/4536/4696/4535/4707/4541/4718/4726/55967/4694/4708/4709/4723/4700/4725/4729/4713/4715/4717/4697/4710/374291/4705","Up","MF",0.00382141858514307,41,1
"GO:0004672","protein kinase activity",357,-0.380548799387933,-1.41457164666865,0.00036683291271202,0.0225831511888337,0.0203688801532201,2962,"tags=42%, list=31%, signal=30%","2534/7048/3717/80216/51135/728642/79834/28996/5170/8445/9263/7301/23604/2444/29904/2264/51755/9261/57410/54822/51232/5578/983/673/7150/10783/23097/1196/11035/701/818/8558/8895/5166/613/140609/90/6793/27347/5565/7867/6714/65266/11329/4638/2064/27/27102/3716/92/1326/6789/8569/1263/10746/2932/4216/5256/5580/1452/23178/23139/8621/6093/2475/5586/9344/5754/7272/130399/1455/8425/2870/5608/9448/6446/4750/984/2011/545/8737/5599/8805/6195/9748/8812/81788/440275/55589/23043/1859/5292/54101/5609/1024/57396/200576/6416/2241/1022/11011/5128/9149/84930/9475/8780/5291/255967/1195/11183/1613/9262/4921/9874/1198/10595/9706/2261/5289/6872/5753/51422/340371/146057/9451/8408/10110/9252/65975/23031/5567/284086/9943/8476/10298/84687/55359/9578/284656/1026/9625/6352/3643/25928/10420/79705/6041/10769/84446","Down","MF",0.0332743032901482,357,14
"GO:0005179","hormone activity",19,-0.729937215700255,-1.94268494277141,0.000183264380211249,0.0164104922280073,0.0148014485070138,449,"tags=53%, list=5%, signal=50%","84666/6750/9518/6343/1906/1907/2980/4922/2641/5697","Down","MF",0.00177090129555411,19,2
