"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000070","mitotic sister chromatid segregation",140,-0.47787872549996,-2.04359660938479,3.5680656715309e-07,0.00158138823392649,0.00144187054360007,1487,"tags=31%, list=18%, signal=26%","10464/7283/256364/10459/10051/3192/64105/8850/29127/79003/26271/23411/26073/54984/27183/10726/9587/3796/286053/11065/11200/55755/1063/3303/55125/1104/81620/10524/9055/9183/10300/113130/991/11130/3304/983/332/51203/3833/3832/9212/4085/64151","Down","BP",0.0153508771929825,140,1
"GO:0000226","microtubule cytoskeleton organization",346,-0.328523506177405,-1.56725763719595,7.61893221226727e-05,0.0217759385101889,0.0198547602818115,1891,"tags=31%, list=23%, signal=25%","84327/10253/10426/2597/4869/10286/728642/25978/2011/23059/55968/79582/10844/1785/221908/1062/5902/1107/7405/8841/10464/1642/284001/7283/256364/2931/219899/3192/1263/22809/91978/7840/9748/8850/54462/28964/29911/29127/153241/8658/81565/7320/51175/26271/22995/23411/285331/675/26073/10769/203068/8874/2288/10726/54820/672/6622/9654/3796/26973/2959/4591/84942/11200/55755/5116/83541/117178/667/10383/51119/54930/1453/3303/55125/2241/10460/7430/55201/11127/23187/1104/10524/2770/7277/9055/9183/24139/7280/10300/58526/991/3925/4000/64946/3304/22911/983/26146/332/344148/1647/51203/3833/3832/9212/4085","Down","BP",0.0379385964912281,346,1
"GO:0000280","nuclear division",243,-0.365393638966131,-1.66528244840564,3.66262679065614e-05,0.0139820777733298,0.0127485114958979,1487,"tags=28%, list=18%, signal=24%","10464/1642/7283/256364/10459/10051/10419/9985/3192/64105/10734/8850/9232/29127/811/79003/81565/84930/7320/26271/23411/675/26073/54984/27183/10726/9587/54820/28984/3796/55063/286053/55706/11065/11200/55755/1063/1164/3303/55125/51343/9150/1028/1104/4288/81620/10524/9055/100130958/9183/10635/10300/113130/7153/991/11130/1613/84464/3304/983/2059/332/51203/3833/3832/9212/4085/64151","Down","BP",0.0266447368421053,243,1
"GO:0000775","chromosome, centromeric region",188,-0.352023703526717,-1.56712018988571,0.000553627703627837,0.0364164000608533,0.033023406883064,1707,"tags=27%, list=20%, signal=22%","1062/5516/51112/11143/7405/7158/6602/3297/10051/64769/9985/3192/1263/64105/23219/10734/8850/11177/79003/81565/7798/3070/10769/54984/25983/54820/92822/2959/51548/1063/11243/55839/79023/81620/10524/9183/79682/113130/7153/991/11130/1613/64946/79980/157570/332/6615/9212/4085/64151/79019","Down","CC",0.0206140350877193,188,1
"GO:0000819","sister chromatid segregation",170,-0.411393081569593,-1.81154017069563,8.858991452268e-06,0.0101457599607099,0.00925065212699985,1487,"tags=26%, list=18%, signal=22%","10464/7283/256364/10459/10051/3192/64105/8850/29127/79003/26271/23411/26073/54984/27183/10726/9587/3796/286053/11065/11200/55755/1063/3303/55125/10460/1104/81620/10524/9055/9183/10300/113130/7153/991/11130/3304/983/332/51203/3833/3832/9212/4085/64151","Down","BP",0.018640350877193,170,1
"GO:0000922","spindle pole",129,-0.395157674261635,-1.66742311177804,0.000443339759252842,0.0328071421847103,0.0297504312130197,1464,"tags=29%, list=18%, signal=25%","7283/805/3192/1263/7840/28964/79003/8658/10769/56271/8874/27183/79848/54820/26524/3796/84902/84942/55755/1063/83541/11243/51119/90799/10460/9150/10524/2010/9055/9183/145508/10300/55177/991/79980/3832/9212/4085","Down","CC",0.0141447368421053,129,1
"GO:0001568","blood vessel development",320,0.328554585245763,1.53684231950114,0.000253354861029436,0.0428440398996826,0.0390641322446123,1387,"tags=26%, list=17%, signal=23%","348/1545/1278/10855/406938/6369/5155/2069/133/7124/2549/2152/51564/81575/3988/5743/3099/7128/5290/2185/719/6772/26051/6934/2523/4193/50814/9693/116844/10352/4851/163/7474/6095/83478/10457/57534/5311/6237/6667/5921/7410/10553/538/26523/57674/677/3569/9734/54828/56913/5579/51684/1296/889/3091/2113/5795/9270/55810/9990/4035/6654/80149/5293/5594/1399/634/948/5578/161742/729230/23166/65125/204851/3586/3678/23129/5140/22918/11235/1524/1960/84292","Up","BP",0.0350877192982456,320,3
"GO:0001944","vasculature development",334,0.326343801334776,1.54002688874489,0.000113545089179322,0.0272927620374809,0.0248848630532806,1407,"tags=26%, list=17%, signal=23%","348/1545/1278/10855/406938/6369/5155/2069/133/7124/2549/2152/51564/81575/3988/5743/3099/7128/5290/2185/719/6772/26051/6934/2523/4193/50814/3815/9693/116844/10352/4851/163/7474/6095/83478/10457/57534/5311/6237/6667/5921/7410/10553/538/26523/57674/677/3569/9734/54828/56913/5579/51684/1296/889/3091/2113/5795/9270/55810/9990/4035/6654/80149/5293/5594/3964/1399/634/948/5578/161742/729230/23166/65125/204851/3586/3678/23129/5140/22918/11235/1524/1960/84292/6387","Up","BP",0.0366228070175439,334,3
"GO:0005819","spindle",293,-0.324834978801777,-1.50238408297072,0.000629346971355958,0.0372573407042727,0.0337859953043725,1471,"tags=26%, list=18%, signal=22%","284001/7283/256364/10459/805/5778/3192/1263/7840/10296/8850/28964/51562/29127/79003/8658/54888/81565/653784/7798/80097/26271/26073/10769/56271/201163/54984/203068/8874/27183/57542/79848/9657/10726/9587/54820/26524/3796/84902/84942/822/55755/1063/221496/83541/10383/11243/51119/54930/1453/90799/10460/9150/55201/11127/10524/2010/9055/9183/24139/7280/145508/10300/55177/991/1613/983/79980/3161/332/51203/3833/3832/9212/4085","Down","CC",0.0321271929824561,293,1
"GO:0005876","spindle microtubule",64,-0.474041489558672,-1.77983259483993,0.000974343166856939,0.0492506534993145,0.0446618657266187,723,"tags=28%, list=9%, signal=26%","284001/7283/256364/805/3192/3796/83541/54930/1453/55201/11127/9055/9183/55177/983/332/3832/9212","Down","CC",0.00701754385964912,64,1
"GO:0005901","caveola",29,0.597952969876725,1.86538738500247,0.00103599375189292,0.0492506534993145,0.0446618657266187,2028,"tags=55%, list=24%, signal=42%","3480/5743/26509/3643/120892/10013/5594/948/161742/29098/3778/659/867/493/3717/23603","Up","CC",0.00317982456140351,29,8
"GO:0006066","alcohol metabolic process",167,0.390501181024671,1.68290089679272,8.0810075239732e-05,0.0217759385101889,0.0198547602818115,1658,"tags=31%, list=20%, signal=25%","348/335/1545/337/8542/216/1593/3988/81537/2539/6652/341/158219/84105/50814/2820/3638/221/207063/4779/1718/84532/3631/47/23461/847/9563/6307/5594/114876/50/2222/427/2643/55902/2232/51109/5566/3156/1050/6713/23262/3930/6817/19/55331/3949/224/54344/51474/1798/10170","Up","BP",0.0183114035087719,167,2
