"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0001664","G protein-coupled receptor binding",57,-0.584642682261439,-2.42094248524575,9.88086315280323e-08,1.773796264715e-05,1.69210827883996e-05,269,"tags=26%, list=7%, signal=25%","4283/2219/2921/6348/5621/8685/9034/2769/6349/9454/6364/6373/3627/6355/6347","Down","MF",0.0149331936075452,57,1
"GO:0002685","regulation of leukocyte migration",86,-0.412262755750284,-1.89751157135043,4.1675786719181e-05,0.0142623681725547,0.0136477841169695,177,"tags=14%, list=5%, signal=14%","6348/207/4282/9466/5025/4267/27/8740/6364/3627/6355/6347","Down","BP",0.0225307833376998,86,1
"GO:0005125","cytokine activity",35,-0.724383363988714,-2.73753229341455,3.63491176669784e-09,2.09370917761795e-06,1.99728836022765e-06,362,"tags=40%, list=10%, signal=36%","51192/8742/8743/4283/2821/2921/6348/4282/6349/8740/6373/3627/6355/6347","Down","MF",0.00916950484673828,35,1
"GO:0005126","cytokine receptor binding",65,-0.563544623193736,-2.36673053742995,6.9583463281841e-08,1.773796264715e-05,1.69210827883996e-05,362,"tags=23%, list=10%, signal=21%","51192/8742/8743/4283/2921/6348/9034/4282/6349/8740/6364/6373/3627/6355/6347","Down","MF",0.0170290804296568,65,1
"GO:0005539","glycosaminoglycan binding",37,-0.489769524539612,-1.89282836033309,0.000812739543648091,0.0390114980951084,0.0372149159459915,225,"tags=19%, list=6%, signal=18%","51144/5621/5045/14/6373/3627/6355","Down","MF",0.00969347655226618,37,1
"GO:0006959","humoral immune response",70,-0.501924326980548,-2.21955469123263,2.14794783040781e-06,0.00257390193839469,0.00246298914517279,286,"tags=27%, list=8%, signal=25%","54210/1675/4283/2821/714/2219/2921/11326/6348/712/710/6349/6039/713/6364/6373/3627/6355/6347","Down","BP",0.0183390096934766,70,1
"GO:0008009","chemokine activity",11,-0.881308185747472,-2.47698536475446,1.10251962011452e-06,0.000105841883530993,0.000100967586263119,362,"tags=82%, list=10%, signal=74%","51192/4283/2921/6348/6349/6373/3627/6355/6347","Down","MF",0.00288184438040346,11,1
"GO:0008094","ATP-dependent activity, acting on DNA",58,0.505762362054011,1.71498856069719,0.000889516628880655,0.0394124290950198,0.0375973830182754,541,"tags=31%, list=15%, signal=27%","5981/5928/2963/79009/6595/10111/11325/55661/23347/4615/23064/9188/64848/953/10730/80205/170506/57674","Up","MF",0.0151951794603091,58,2
"GO:0008201","heparin binding",21,-0.682875860564633,-2.21244929033362,8.91332549853252e-05,0.00513407548715473,0.00489763780024629,225,"tags=29%, list=6%, signal=27%","51144/5045/14/6373/3627/6355","Down","MF",0.00550170290804297,21,1
"GO:0010818","T cell chemotaxis",13,-0.837297597940911,-2.47705691676274,1.77450938218986e-06,0.00257390193839469,0.00246298914517279,177,"tags=31%, list=5%, signal=29%","6348/8740/6373/3627","Down","BP",0.00340581608593136,13,1
"GO:0019730","antimicrobial humoral response",36,-0.629064100520267,-2.39058362113384,2.50563771133247e-06,0.00257390193839469,0.00246298914517279,190,"tags=28%, list=5%, signal=27%","4283/2921/6348/6349/6039/6364/6373/3627/6355/6347","Down","BP",0.00943149069950223,36,1
"GO:0030545","signaling receptor regulator activity",80,-0.456056595813561,-2.04562815512071,6.74262241984371e-06,0.000431527834869998,0.000411654842474669,362,"tags=29%, list=10%, signal=26%","351/3603/11006/27433/51192/8742/284207/8743/4283/2821/942/10435/2921/6348/4282/3490/6349/4061/8740/6373/3627/6355/6347","Down","MF",0.0209588682211161,80,1
"GO:0030546","signaling receptor activator activity",72,-0.495468823496776,-2.15930164078442,1.31491704714153e-06,0.000108198888450503,0.00010321604490344,362,"tags=25%, list=10%, signal=23%","51192/8742/284207/8743/4283/2821/942/10435/2921/6348/4282/3490/6349/8740/6373/3627/6355/6347","Down","MF",0.0188629813990045,72,1
"GO:0031640","killing of cells of another organism",28,-0.60029143305344,-2.08641135120062,6.64740965500014e-05,0.0145711219637603,0.0139432333044178,416,"tags=32%, list=12%, signal=29%","27433/1670/54210/4283/2921/6364/6373/3627/6355","Down","BP",0.00733560387739062,28,1
"GO:0042379","chemokine receptor binding",19,-0.814775078271934,-2.60253540889058,1.23180296160764e-07,1.773796264715e-05,1.69210827883996e-05,269,"tags=53%, list=7%, signal=49%","4283/2921/6348/9034/6349/6364/6373/3627/6355/6347","Down","MF",0.00497773120251506,19,1
"GO:0048018","receptor ligand activity",69,-0.50640177728664,-2.18670351822143,2.71787533135734e-06,0.000195687023857728,0.000186675121443228,362,"tags=26%, list=10%, signal=24%","51192/8742/284207/8743/4283/2821/942/10435/2921/6348/4282/3490/6349/8740/6373/3627/6355/6347","Down","MF",0.0180770238407126,69,1
"GO:0048020","CCR chemokine receptor binding",11,-0.895685449258545,-2.51739378473519,2.92307003741818e-07,3.36737668310574e-05,3.21230012533114e-05,177,"tags=55%, list=5%, signal=52%","6348/9034/6349/6364/6355/6347","Down","MF",0.00288184438040346,11,1
"GO:0048247","lymphocyte chemotaxis",19,-0.758751735433369,-2.41578376343564,3.16872770967473e-06,0.00257390193839469,0.00246298914517279,11,"tags=26%, list=0%, signal=26%","6348/8740/6373/3627/6347","Down","BP",0.00497773120251506,19,1
"GO:0051928","positive regulation of calcium ion transport",26,-0.638171186906619,-2.20263096835391,0.00010359052916742,0.0212878537439048,0.0203705323474617,301,"tags=31%, list=8%, signal=28%","706/4283/581/6348/5025/6373/3627/6347","Down","BP",0.00681163217186272,26,1
"GO:0060326","cell chemotaxis",106,-0.361347716521992,-1.73682385456568,0.000174397683260264,0.0337305636799852,0.032277069675847,190,"tags=11%, list=5%, signal=11%","2921/6348/9034/4282/5025/6349/8740/6364/6373/3627/6355/6347","Down","BP",0.0277705003929788,106,1
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",31,-0.646841141485627,-2.32196874297448,5.89293852747943e-06,0.00276799741119319,0.00264872079077233,190,"tags=32%, list=5%, signal=31%","4283/2921/6348/6349/6039/6364/6373/3627/6355/6347","Down","BP",0.00812156143568247,31,1
"GO:0070098","chemokine-mediated signaling pathway",23,-0.684550521405721,-2.31610171548782,4.34287068077062e-05,0.0142623681725547,0.0136477841169695,177,"tags=35%, list=5%, signal=33%","4283/6348/9034/6349/6373/3627/6355/6347","Down","BP",0.00602567461357087,23,1
"GO:0072676","lymphocyte migration",41,-0.58139032550452,-2.28283998971053,4.69690134743556e-06,0.00257390193839469,0.00246298914517279,177,"tags=24%, list=5%, signal=23%","6348/207/9466/4267/27/8740/6364/6373/3627/6347","Down","BP",0.010741419963322,41,1
"GO:0072678","T cell migration",34,-0.643291326102537,-2.37954246768477,4.22733331229346e-06,0.00257390193839469,0.00246298914517279,77,"tags=26%, list=2%, signal=26%","6348/9466/4267/27/8740/6364/6373/3627/6347","Down","BP",0.00890751899397433,34,1
"GO:0141061","disruption of cell in another organism",28,-0.60029143305344,-2.08641135120062,6.64740965500014e-05,0.0145711219637603,0.0139432333044178,416,"tags=32%, list=12%, signal=29%","27433/1670/54210/4283/2921/6364/6373/3627/6355","Down","BP",0.00733560387739062,28,1
"GO:1901623","regulation of lymphocyte chemotaxis",12,-0.815966694676555,-2.35124022890251,4.77147353704687e-05,0.0142623681725547,0.0136477841169695,177,"tags=33%, list=5%, signal=32%","6348/8740/3627/6347","Down","BP",0.00314383023316741,12,1
"GO:1901681","sulfur compound binding",40,-0.542418986488087,-2.12186216096298,0.000100222036835755,0.00524799029249044,0.00500630652902049,407,"tags=22%, list=11%, signal=20%","6817/4967/37/51144/5045/14/6373/3627/6355","Down","MF",0.010479434110558,40,1
"GO:1990868","response to chemokine",27,-0.634361436961828,-2.19144077075612,6.39416089377536e-05,0.0145711219637603,0.0139432333044178,177,"tags=30%, list=5%, signal=28%","4283/6348/9034/6349/6373/3627/6355/6347","Down","BP",0.00707361802462667,27,1
"GO:1990869","cellular response to chemokine",27,-0.634361436961828,-2.19144077075612,6.39416089377536e-05,0.0145711219637603,0.0139432333044178,177,"tags=30%, list=5%, signal=28%","4283/6348/9034/6349/6373/3627/6355/6347","Down","BP",0.00707361802462667,27,1
"GO:2000401","regulation of lymphocyte migration",31,-0.612123365652397,-2.19734217682069,2.79451035812497e-05,0.0114854375718936,0.0109905150795204,177,"tags=26%, list=5%, signal=25%","6348/207/9466/27/8740/6364/3627/6347","Down","BP",0.00812156143568247,31,1
