"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0006457","protein folding",180,-0.452201207535752,-1.96549022674037,5.36944777266551e-07,0.00261706884439717,0.00252081442800928,2175,"tags=33%, list=21%, signal=27%","81572/4802/2580/10726/2923/9526/1861/55898/6625/811/11140/728489/5611/5034/3309/10294/80273/9894/134266/53938/6903/8425/5768/3313/10598/10471/3300/23640/1155/60626/3308/10728/55466/6905/3312/3306/2288/79087/548645/5480/10049/5481/3301/4880/3337/26973/3336/3315/3304/11080/3326/3320/3310/3305/1047/10808/1191/3329/9531/64714","Down","BP",0.0150665439022349,180,1
"GO:0006458","'de novo' protein folding",45,-0.592215377669349,-2.02316961795518,4.40002004589094e-05,0.0428913954073449,0.0413138724308918,852,"tags=29%, list=8%, signal=27%","9894/3313/10728/3312/3306/3337/3336/3304/11080/3310/3305/10808/3329","Down","BP",0.00376663597555872,45,1
"GO:0006986","response to unfolded protein",120,-0.487816723137041,-2.02303360141371,2.39511417984949e-06,0.00291844662814661,0.00281110769529704,1739,"tags=31%, list=17%, signal=26%","92305/5611/3309/467/26608/578/5610/8440/23456/57414/55161/3300/80279/3308/3297/9217/3312/3306/267/10959/55210/3301/3337/10551/3336/79094/3315/1649/11080/3326/3320/3310/7057/3305/10808/3329/9531","Down","BP",0.0100443626014899,120,1
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",50,0.568309861793086,1.94188476281743,8.92562611016916e-05,0.0181634583997425,0.0180849116436631,3481,"tags=64%, list=34%, signal=43%","4537/4539/4707/9540/4535/4696/4541/873/4536/4538/4724/84883/4717/4718/4694/4695/4709/4710/1429/4697/4540/4700/51181/55967/10901/4729/84869/4708/4726/4720/4713/4716","Up","MF",0.00418515108395413,50,2
"GO:0035966","response to topologically incorrect protein",136,-0.472605382984798,-1.96973602135506,1.38181773346853e-06,0.00262462986185399,0.00252809735521863,1739,"tags=29%, list=17%, signal=25%","92305/5611/3309/467/26608/578/5610/8440/23456/57414/55161/3300/80279/3308/3297/9217/3312/55658/3306/267/10959/55122/55210/3301/3337/10551/3336/79094/3315/1649/11080/3326/3320/3310/7057/3305/10808/1191/3329/9531","Down","BP",0.0113836109483552,136,1
"GO:0044183","protein folding chaperone",56,-0.593349610876264,-2.11858272737726,3.52352431643362e-06,0.00351647726780075,0.00350127047864562,884,"tags=29%, list=9%, signal=26%","60626/3308/3312/3306/10049/3337/3336/3315/3304/3326/3320/3310/3305/1047/10808/3329","Down","MF",0.00468736921402863,56,1
"GO:0051082","unfolded protein binding",93,-0.496744553249771,-1.9658223100943,2.99943191632952e-05,0.00997811017498954,0.00993496045268445,2369,"tags=41%, list=23%, signal=32%","10131/6687/10939/26515/81572/10726/1861/811/57805/55164/11140/3309/10294/80273/134266/3313/10471/3300/10383/10728/55466/3312/3306/10049/3301/3337/3336/3315/3304/11080/3326/91147/3320/3310/3305/1047/1191/3329","Down","MF",0.00778438101615468,93,1
"GO:0051085","chaperone cofactor-dependent protein refolding",29,-0.6687315951252,-2.11432555789499,5.58492793376682e-05,0.0453682312486325,0.0436996115519298,1183,"tags=38%, list=11%, signal=34%","3313/10728/3312/3306/3337/3336/3304/11080/3310/3305/10808","Down","BP",0.0024273876286934,29,1
"GO:0060590","ATPase regulator activity",40,-0.603622023283611,-2.02219604874418,9.09992905798725e-05,0.0181634583997425,0.0180849116436631,1648,"tags=42%, list=16%, signal=36%","10294/80273/134266/10598/3300/23640/3308/481/10049/57600/3301/3337/55922/11080/482/10808/9531","Down","MF",0.0033481208671633,40,1
"GO:0061077","chaperone-mediated protein folding",66,-0.576183710040214,-2.15885421412262,1.61548822026302e-06,0.00262462986185399,0.00252809735521863,1183,"tags=30%, list=11%, signal=27%","3313/10471/3300/10728/3312/3306/2288/10049/5481/3337/26973/3336/3315/3304/11080/3326/3310/3305/10808/1191","Down","BP",0.00552439943081945,66,1
"GO:0140662","ATP-dependent protein folding chaperone",29,-0.69256768195122,-2.18425699620974,2.05991177274452e-05,0.00997811017498954,0.00993496045268445,853,"tags=38%, list=8%, signal=35%","3313/3308/3312/3306/3304/3326/3320/3310/3305/10808/3329","Down","MF",0.0024273876286934,29,1
