"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000226","microtubule cytoskeleton organization",338,-0.330092114754691,-1.60126132444912,4.32953100200222e-05,0.00751433400707505,0.00703845018893919,1569,"tags=27%, list=19%, signal=23%","29911/7846/29922/8766/79582/5108/7094/54462/7277/9738/3611/1027/11190/54908/10671/6093/51199/57606/79884/11127/9851/10726/55172/28989/8312/50861/7320/54617/55125/8243/8556/57132/84376/26973/55605/25/10769/10286/51119/79643/1453/57018/9748/23224/8658/3064/26271/2959/7840/8874/1647/9475/23122/27436/2288/81565/6904/23411/9696/636/9662/10383/23387/23113/84790/64946/57704/22995/9371/114327/26146/7280/1263/84056/585/5116/5195/83544/22911/283234/5590/7430/6566/91147/3303/22924/7465/4130/2302/3304/4000","Down","BP",0.0370614035087719,338,5
"GO:0001558","regulation of cell growth",196,-0.356230076312372,-1.63834404138079,0.000277068264218121,0.0259684076779864,0.0243238248067601,1187,"tags=23%, list=14%, signal=20%","5588/604/79109/6049/54617/23011/11143/694/5997/1981/23404/5925/25/84678/23191/1398/23394/7852/7494/1654/9538/10488/9043/83667/51265/23122/8835/3486/8425/2803/6832/84275/1026/64223/9962/9150/2273/3475/64061/3303/6446/2203/3304/6279/2100","Down","BP",0.0214912280701754,196,3
"GO:0001932","regulation of protein phosphorylation",304,-0.334045585209805,-1.59772186450047,4.96878163290108e-05,0.0081013021660055,0.0075882455726998,1390,"tags=25%, list=17%, signal=21%","29990/1027/11140/1856/51429/57826/3717/8312/29950/104/673/51654/5606/5997/1981/5329/3315/5925/8812/25/28984/5515/10454/152559/79643/1453/23394/5781/3280/79706/5580/7494/1654/1857/1647/83667/9475/7525/80279/51191/57600/84335/84919/5609/55294/23411/4739/3486/641/3458/5144/11221/1026/64223/8651/8844/26146/80149/3301/7057/9618/64092/5590/9451/116986/9647/5871/1028/64061/8784/30844/94056/54206/22924/5008","Down","BP",0.0333333333333333,304,3
"GO:0002399","MHC class II protein complex assembly",10,0.845463095650006,2.04057506256591,8.39837829800633e-05,0.011042594980318,0.0103432659038604,386,"tags=60%, list=5%, signal=57%","3117/3123/3113/3115/3122/3127","Up","BP",0.00109649122807018,10,4
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",25,0.682694317879262,2.10949823925191,5.04114216368169e-05,0.0081013021660055,0.0075882455726998,1681,"tags=56%, list=20%, signal=45%","3117/1514/3123/3113/3115/2207/3122/3127/7189/200576/54842/3551/3109/1509","Up","BP",0.00274122807017544,25,4
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",20,0.721416365361031,2.11334860048812,7.34519812080856e-05,0.0102809079503833,0.00962981661950488,739,"tags=45%, list=9%, signal=41%","3117/1514/3123/3113/3115/2207/3122/3127/7189","Up","BP",0.00219298245614035,20,4
"GO:0002503","peptide antigen assembly with MHC class II protein complex",10,0.845463095650006,2.04057506256591,8.39837829800633e-05,0.011042594980318,0.0103432659038604,386,"tags=60%, list=5%, signal=57%","3117/3123/3113/3115/3122/3127","Up","BP",0.00109649122807018,10,4
"GO:0003823","antigen binding",32,0.667312998742751,2.18270450882852,9.47433139131232e-06,0.00117481709252273,0.000987325060778863,422,"tags=38%, list=5%, signal=36%","3117/23428/100423062/1718/3123/9794/3113/3822/3115/3122/3127/6504","Up","MF",0.00350877192982456,32,4
"GO:0004672","protein kinase activity",296,-0.299283995088056,-1.44293832164958,0.00153427919560524,0.035046166889088,0.0294530604585714,2152,"tags=38%, list=26%, signal=29%","8737/5599/150094/6046/51347/10114/7867/23683/6732/1454/2869/84033/1859/5170/25778/6348/5256/5894/11011/896/8569/53834/8780/23531/149420/659/8550/5597/55781/5613/29922/6352/10188/6794/140901/57396/25865/5165/2580/6198/23097/8558/7535/4145/1452/5315/6093/1196/3482/3717/7049/5127/5588/4750/57410/9149/673/5606/10295/54822/26750/8812/5289/25/5610/10769/23476/1326/23235/93627/8621/1453/10000/255967/11040/9748/9252/83732/5580/415116/9874/8493/9262/51231/5164/9475/7525/51265/50488/5291/5609/1024/6416/8425/30849/5578/23387/8805/1026/8444/84930/8844/1456/1263/1613/6199/5590/9451/5871/5128/5891/6446/7465","Down","MF",0.0324561403508772,296,3
"GO:0004722","protein serine/threonine phosphatase activity",65,-0.447719278346357,-1.75212473032488,0.000684223600563895,0.0212109316174807,0.017825825383112,1255,"tags=32%, list=15%, signal=28%","5516/80895/27068/5530/8556/5500/92609/10295/5515/10454/8493/80824/1847/54704/1844/11221/192111/9150/1850/9647/1846","Down","MF",0.00712719298245614,65,11
