"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0000139","Golgi membrane",492,0.417556227826428,1.47375759028601,0.000162272136749266,0.0058799786022087,0.00529519604129184,3047,"tags=40%, list=30%, signal=30%","3113/3122/3123/972/6484/3119/3115/79888/2633/93010/1604/84679/115361/56937/11226/26290/2634/3117/79586/2907/6480/3106/3601/26056/3134/3107/259230/27090/9727/50515/3105/148789/9197/81849/3133/51463/55974/192134/23258/51026/567/6469/57085/51062/8693/166929/653519/55062/11015/26286/9394/10317/55501/2590/130340/148867/200576/3140/64285/147138/11237/79585/347734/29801/192683/8674/6892/83464/55738/3382/9527/54947/6483/51030/11322/6720/63971/53407/26035/54480/55568/10237/863/6487/8692/54732/9718/84912/23423/55858/63917/64841/286451/64746/27315/442117/757/7110/6513/10488/55790/55331/11227/10198/10905/28/10897/83548/84766/23085/9382/51100/9919/2683/4248/2528/51382/114783/55080/9321/4121/283987/10466/2803/2530/11311/55733/169714/2132/201232/6836/1523/9896/7355/55851/10960/11014/5986/51201/9554/22926/54814/201158/10075/126792/8459/8704/399687/10564/11070/25837/10313/5870/26003/6868/1182/5861/123720/11079/23162/3998/8548/79903/8658/8729/9914/51360/6093/27032/955/2801/4242/221477/8675/8943/10972/533/84750/153339/148327/51114/6811/164/23646/23390/9276/5627/84932/378/25963/80351/22818/84068/5298/5664/9671/2635","Up","CC",0.0432565500263759,492,2
"GO:0001816","cytokine production",412,0.473864777494732,1.66732353669601,3.16865400050396e-07,4.81932469389149e-05,4.06400721972531e-05,2620,"tags=39%, list=26%, signal=30%","1670/3113/3123/684/972/3115/3553/958/6288/4192/80149/5450/2633/2867/834/3428/3635/240/8140/1604/6772/57493/3659/283234/4843/51744/602/89870/4050/3394/7133/10365/7805/11119/8651/4939/3106/51564/338557/407040/9636/3134/55959/11118/3574/3662/5142/10384/54739/5371/84433/2152/3105/84632/114769/2335/4067/113277/6774/3133/7128/4057/3718/567/307/51465/3595/55325/5724/64135/22925/161882/55612/10623/861/1969/192683/1051/8764/23236/1445/9641/4790/5970/1139/9868/55666/5795/1535/55024/7040/2048/8692/5788/4940/56919/5971/7110/23598/29110/4345/961/384/7187/57045/5987/81844/3071/10392/25865/10385/3066/975/708/255231/5607/54/7494/10464/85364/23633/5336/1386/56829/3320/10146/6284/10644/1147/3694/66005/50848/6647/9683/6714/9451/5885/7690/3091/5552/9140/2597/10564/3685/661/9188/6868/5861/9261/841/26146/3654/5781/2950/3098/2137/672/7186/409/55353/27035","Up","BP",0.0362229646562335,412,2
"GO:0001817","regulation of cytokine production",408,0.474597299710513,1.6685339615061,1.02229447582098e-06,0.000118464457471922,9.9897898777594e-05,2620,"tags=39%, list=26%, signal=30%","1670/3113/3123/684/972/3115/3553/958/6288/4192/80149/5450/2633/2867/834/3428/3635/240/8140/1604/6772/57493/3659/283234/4843/51744/602/89870/4050/3394/7133/10365/7805/11119/8651/4939/3106/51564/338557/407040/9636/3134/55959/11118/3574/3662/5142/10384/54739/5371/84433/2152/3105/84632/114769/2335/4067/113277/6774/3133/7128/4057/3718/567/307/51465/3595/55325/5724/64135/22925/161882/55612/10623/861/1969/192683/1051/8764/23236/1445/9641/4790/5970/1139/9868/55666/5795/1535/55024/7040/2048/8692/5788/4940/56919/5971/7110/23598/29110/4345/961/384/7187/57045/5987/81844/3071/10392/25865/10385/3066/975/708/255231/5607/54/7494/10464/85364/23633/5336/1386/56829/3320/10146/6284/10644/1147/66005/50848/6647/9683/6714/9451/5885/7690/3091/5552/9140/2597/10564/661/9188/6868/5861/9261/841/26146/3654/5781/2950/3098/2137/672/7186/409/55353/27035","Up","BP",0.0358712853877264,408,2
"GO:0001906","cell killing",92,0.734313106075239,2.38236397949481,4.27017228982592e-10,1.22252520791663e-07,1.03092270947562e-07,898,"tags=34%, list=9%, signal=31%","1671/3500/1670/3122/3123/5320/2919/2921/8542/2633/3635/1604/4069/4843/2920/2634/201294/6891/3106/3134/3107/3105/3133/732/4057/567/1113/1512/55876/3140/81607","Up","BP",0.00808862317566379,92,2
"GO:0002237","response to molecule of bacterial origin",186,0.577074740048477,1.97045230035623,2.41134574110471e-07,3.91200657398555e-05,3.29889019107624e-05,1274,"tags=27%, list=12%, signal=24%","1671/1670/5122/717/3553/958/80149/834/6279/389643/133/8140/1604/64332/4843/2920/2634/3394/6891/2643/7133/4791/2353/5142/7431/114769/4067/445/7128/23328/4057/567/3595/654/5724/6590/8792/1051/613/2876/3454/4790/1267/10068/5970/25819/8754/4091/2048/1373","Up","BP",0.0163530859855812,186,2
"GO:0002250","adaptive immune response",241,0.660189542795756,2.2873901408064,1e-10,3.24466666666667e-08,2.73614035087719e-08,1097,"tags=34%, list=11%, signal=31%","3507/3538/3500/3539/3502/3113/3493/3122/3123/3503/972/3119/3115/717/3494/3553/958/3514/9021/3109/3108/80149/3635/725/1604/64332/3659/51744/602/3501/3512/973/3426/201294/3117/6891/7133/28815/6890/11119/100423062/2534/4791/3106/3134/3107/11118/2923/3662/28778/54900/10384/3105/4067/6774/3133/7128/732/5585/608/10459/28638/3718/567/814/1512/118460/5579/10312/10039/64421/84876/8792/5395/3140/9025/430/8764/1445/28822/28813/10068","Up","BP",0.0211886759275541,241,2
"GO:0002252","immune effector process",327,0.556127589689479,1.94811379622552,1e-10,3.24466666666667e-08,2.73614035087719e-08,1009,"tags=23%, list=10%, signal=22%","3538/3500/3539/3502/3493/3122/3123/684/3503/972/51237/717/3494/3553/958/3514/9021/3109/4192/80149/5450/2867/629/3635/725/8140/1604/64332/4843/6812/51744/602/3501/3426/3394/201294/6891/7133/7805/6280/100423062/2534/3106/3134/3107/11118/3662/10384/3105/4067/6774/3133/732/5585/10459/3718/567/51465/1113/3430/1512/118460/10312/5724/10039/5395/161882/3140/1794/81607/1051/9025/613/430/306/8764","Up","BP",0.0287497802004572,327,2
"GO:0002253","activation of immune response",349,0.516640739137262,1.81290604753023,1.70719646244972e-08,3.46205215947616e-06,2.91945570486467e-06,1779,"tags=29%, list=17%, signal=25%","3507/3500/3539/3502/3493/3123/3503/3119/3115/717/3494/3553/3514/80149/2633/2867/834/629/3428/6279/3635/725/1604/64332/3659/4843/23149/81030/3501/973/89870/3426/2634/7805/11119/6280/2534/6397/57169/407040/11118/3662/5142/54900/10384/84433/3105/330/4067/7128/9473/732/4057/28638/3430/5579/3843/29760/64135/9424/26524/55577/5591/1445/785/8891/9641/4790/5970/9868/55666/5795/1535/55024/56940/3312/3984/5788/5583/4940/7409/56919/57787/57590/29110/51296/961/5819/80216/2099/7187/5581/3071/10392/25865/54726/10385/975/55601/8473/708","Up","BP",0.0306840161772464,349,2
"GO:0002429","immune response-activating cell surface receptor signaling pathway",190,0.588033364852719,2.01092381075382,1.95492125130228e-08,3.65946220388008e-06,3.08592629912049e-06,1724,"tags=32%, list=17%, signal=27%","3507/3500/3539/3502/3493/3123/3503/3119/3115/3494/3514/80149/2633/2867/3635/64332/4843/23149/3501/973/7805/11119/2534/407040/11118/5142/54900/10384/84433/3105/4067/7128/9473/4057/28638/3430/5579/29760/1445/785/8891/4790/5970/5795/1535/55024/56940/3984/5788/5583/7409/57590/29110/961/5819/7187/5581/3071/25865/10385/975","Up","BP",0.0167047652540883,190,2
"GO:0002443","leukocyte mediated immunity",192,0.624371038287874,2.1370298850166,1e-10,3.24466666666667e-08,2.73614035087719e-08,983,"tags=27%, list=10%, signal=25%","3538/3500/3539/3502/3493/3122/3123/684/3503/972/717/3494/3553/958/3514/3635/725/1604/64332/4843/6812/602/3501/3426/201294/6891/7133/100423062/3106/3134/3107/11118/10384/3105/4067/3133/732/10459/3718/567/1113/1512/118460/10312/5724/10039/5395/3140/81607/9025/613/306","Up","BP",0.0168806048883418,192,2
"GO:0002449","lymphocyte mediated immunity",146,0.672184716607429,2.2654395518787,1e-10,3.24466666666667e-08,2.73614035087719e-08,951,"tags=29%, list=9%, signal=27%","3538/3500/3539/3502/3493/3122/3123/3503/972/717/3494/3553/958/3514/3635/725/1604/64332/602/3501/3426/201294/6891/7133/100423062/3106/3134/3107/11118/10384/3105/3133/732/10459/567/1512/118460/10312/10039/5395/3140/81607/9025","Up","BP",0.0128362933005099,146,2
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",164,0.669268990081926,2.27811060242759,1e-10,3.24466666666667e-08,2.73614035087719e-08,970,"tags=31%, list=9%, signal=29%","3538/3500/3539/3502/3493/3122/3123/3503/972/717/3494/3553/958/3514/9021/80149/3635/725/1604/64332/602/3501/3426/201294/6891/7133/100423062/4791/3106/3134/3107/11118/3662/10384/3105/6774/3133/7128/732/5585/10459/3718/567/1512/118460/10312/10039/5395/3140/9025/430","Up","BP",0.014418850008792,164,2
