"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0001664","G protein-coupled receptor binding",117,0.542171157750152,1.89131304844379,6.84472335455363e-05,0.00567059004065712,0.00538155981965309,1297,"tags=25%, list=11%, signal=22%","6374/6288/3039/2921/9547/6422/6351/54102/3040/157/56477/7474/6772/2316/6364/58191/2641/1855/81029/718/64108/3312/4828/3301/3691/5064/10488/636/6370","Up","MF",0.00919883638650837,117,7
"GO:0001750","photoreceptor outer segment",39,-0.546003141700431,-1.76175252182965,0.00316488215590887,0.0418595121226639,0.0379127967400944,2294,"tags=36%, list=20%, signal=29%","5158/5305/375298/9742/9249/22920/2792/23035/9863/23418/5145/10518/92211/5470","Down","CC",0.00306627879550279,39,6
"GO:0001816","cytokine production",457,0.481938266074749,1.9342916583681,1e-10,2.08055903749955e-08,1.77645104035708e-08,1308,"tags=25%, list=12%, signal=23%","6288/684/3553/3113/3115/1958/4939/8651/1281/10365/80149/4843/1969/972/1604/9636/8140/5552/3106/2633/3133/3635/3606/3815/7474/6772/4321/3134/54739/2597/4023/3659/5187/2152/3123/602/2532/3098/3105/4067/3665/7133/3600/284194/79102/283234/634/55655/5724/55959/10384/4940/113277/958/654346/567/51564/6774/255231/2626/2207/3654/3965/100133941/4860/3394/7538/5371/23119/11119/3091/2335/7805/718/11118/161882/89870/5142/166793/23705/8399/54/25865/27242/4615/59307/5450/4938/8767/861/3595/6647/5606/824/5045/2137/4192/9314/3315/9516/3594/9261/4828/23765/1051/3694/6284/3566/468/240/64135/84861/3661/10626","Up","BP",0.0359304976806353,457,1
"GO:0001817","regulation of cytokine production",453,0.477346251352143,1.91436953051574,2.80293460059689e-10,4.89257067180051e-08,4.1774408239749e-08,1308,"tags=25%, list=12%, signal=23%","6288/684/3553/3113/3115/1958/4939/8651/10365/80149/4843/1969/972/1604/9636/8140/5552/3106/2633/3133/3635/3606/3815/7474/6772/4321/3134/54739/2597/4023/3659/5187/2152/3123/602/2532/3098/3105/4067/3665/7133/3600/284194/79102/283234/634/55655/5724/55959/10384/4940/113277/958/654346/567/51564/6774/255231/2626/2207/3654/3965/100133941/4860/3394/7538/5371/23119/11119/3091/2335/7805/718/11118/161882/89870/5142/166793/23705/8399/54/25865/27242/4615/59307/5450/4938/8767/861/3595/6647/5606/824/5045/2137/4192/9314/3315/9516/3594/9261/4828/23765/1051/6284/3566/468/240/64135/84861/3661/10626","Up","BP",0.0356160075477632,453,1
"GO:0001906","cell killing",105,0.671063407955864,2.3099521557035,4.91349472930676e-10,7.53700312719722e-08,6.43534588788949e-08,1149,"tags=40%, list=10%, signal=36%","3500/2921/9547/4069/2919/2920/4843/8542/1604/3106/2633/56477/3122/3133/3635/3606/5320/3134/2597/3123/6364/3107/3105/5272/634/201294/5052/10578/55876/7409/567/3965/6891/718/2634/23705/4615/127544/3594/10383/1398/2635","Up","BP",0.00825536598789213,105,1
"GO:0002020","protease binding",81,0.544166609710358,1.80514275507189,0.000623879674063515,0.0248137980144029,0.0235490376503789,1704,"tags=31%, list=15%, signal=26%","1278/1281/7076/1277/3815/2152/3949/5272/11047/2335/84447/374291/8767/8996/79139/302/5045/5269/2319/7415/51283/7494/5621/114769/8797","Up","MF",0.00636842519065964,81,2
"GO:0002250","adaptive immune response",253,0.674747419012852,2.58737555597334,1e-10,2.08055903749955e-08,1.77645104035708e-08,811,"tags=29%, list=7%, signal=27%","3500/3501/3502/3514/3512/3539/3503/3538/3553/3494/3113/3118/3115/3119/28815/3493/725/9021/3426/3117/80149/972/3108/1604/3507/10673/3109/3106/3122/3133/712/3635/3606/716/3134/717/8741/713/3659/3123/6890/602/3107/3105/4067/3956/639/3665/7133/10312/634/201294/917/100/64332/10384/3726/958/567/6774/30835/255231/2207/6891/1514/11119/10459/718/11118/25865/196/27242/4615","Up","BP",0.0198915009041591,253,1
"GO:0002252","immune effector process",345,0.576947862694128,2.25962105183523,1e-10,2.08055903749955e-08,1.77645104035708e-08,1281,"tags=29%, list=11%, signal=27%","3500/3501/3502/3514/684/3539/5225/3503/3538/3553/3494/6280/3493/725/9021/3426/80149/4843/972/1604/3109/8140/3106/3122/3133/712/3635/3606/3815/716/7474/3134/717/8741/713/3123/602/3107/3098/3105/4067/5272/629/3956/3665/7133/10312/634/201294/5724/5052/100/64332/10384/3726/958/7409/567/6774/306/3936/2207/3965/7001/6891/3394/22904/5361/7805/3055/10459/718/11118/3430/161882/23705/54/196/4615/5450/8767/5880/1675/5339/55601/4192/127544/9516/3594/9261/10383/2475/1398/10039/1051/6284/3566/84766/51135/6461/6778","Up","BP",0.027124773960217,345,1
"GO:0002253","activation of immune response",376,0.522054722819631,2.05754141246532,1e-10,2.08055903749955e-08,1.77645104035708e-08,913,"tags=18%, list=8%, signal=17%","3500/3501/3502/3514/3539/3503/3553/3494/6280/6279/3115/3119/3493/725/3426/80149/4843/1604/3507/2633/712/3635/716/92747/717/713/51296/3659/3123/330/3783/3105/4067/629/3665/3937/634/57169/29800/917/100/64332/10384/4940/7409/92610/2207/3654/4669/11119/7805/3055/718/2664/11118/2634/3430/84885/89870/5142/25865/27242/4615/4938/8767/57590/1520","Up","BP",0.0295620724899756,376,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",206,0.57373127534412,2.13409483848913,4.83166312825564e-10,7.53700312719722e-08,6.43534588788949e-08,901,"tags=21%, list=8%, signal=20%","3500/3501/3502/3514/3539/3503/3494/3115/3119/3493/80149/4843/3507/2633/3635/92747/3123/3783/3105/4067/3937/634/917/100/64332/10384/7409/2207/3654/4669/11119/7805/3055/718/11118/3430/5142/25865/27242/4615/4938/8767/57590","Up","BP",0.0161962418429122,206,1
"GO:0002443","leukocyte mediated immunity",208,0.649738686461546,2.42024717764992,1e-10,2.08055903749955e-08,1.77645104035708e-08,811,"tags=27%, list=7%, signal=25%","3500/3501/3502/3514/684/3539/3503/3538/3553/3494/3493/725/3426/4843/972/1604/3106/3122/3133/712/3635/3606/3815/716/3134/717/8741/713/3123/602/3107/3105/4067/5272/3665/7133/10312/634/201294/5724/5052/64332/10384/958/7409/567/306/2207/3965/6891/10459/718/11118/23705/196/4615","Up","BP",0.0163534869093482,208,1
"GO:0002449","lymphocyte mediated immunity",162,0.702346196185731,2.52308735896138,1e-10,2.08055903749955e-08,1.77645104035708e-08,811,"tags=31%, list=7%, signal=29%","3500/3501/3502/3514/3539/3503/3538/3553/3494/3493/725/3426/972/1604/3106/3122/3133/712/3635/3606/716/3134/717/8741/713/3123/602/3107/3105/5272/3665/7133/10312/634/201294/5052/64332/10384/958/7409/567/2207/3965/6891/10459/718/11118/23705/196/4615","Up","BP",0.0127368503813193,162,1
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",28,0.860835580559356,2.33444677467793,2.14162560152603e-09,2.46384290793745e-07,2.10371165547031e-07,266,"tags=50%, list=2%, signal=49%","3500/3501/3502/3503/3494/3493/725/3426/1604/712/716/717/713/602","Up","BP",0.00220143093010457,28,1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",180,0.675801311066774,2.47277387096117,1e-10,2.08055903749955e-08,1.77645104035708e-08,811,"tags=29%, list=7%, signal=27%","3500/3501/3502/3514/3539/3503/3538/3553/3494/3493/725/9021/3426/80149/972/1604/10673/3106/3122/3133/712/3635/3606/716/3134/717/8741/713/3123/602/3107/3105/3956/3665/7133/10312/634/201294/100/64332/10384/3726/958/567/6774/2207/6891/10459/718/11118/196/4615","Up","BP",0.0141520559792437,180,1
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",30,0.856278352989582,2.33944448109219,1.69491249357876e-09,1.99526675406876e-07,1.70362563002066e-07,610,"tags=60%, list=5%, signal=57%","3113/3118/3115/3119/3117/972/3108/3109/3122/3133/1510/3134/3123/3105/567/2207/6891/1514","Up","BP",0.00235867599654061,30,1
"GO:0002694","regulation of leukocyte activation",322,0.510318389600389,1.98958127365953,4.55036099507323e-10,7.53700312719722e-08,6.43534588788949e-08,1401,"tags=25%, list=12%, signal=23%","3553/3113/3118/3115/3119/8651/6422/3117/80149/972/3108/1604/10673/3109/3122/3133/3635/3606/5320/7474/8741/3659/3123/3949/3105/4067/3956/639/7133/3600/8876/284194/283234/27166/100/64332/3726/958/7409/654346/23729/567/30011/30835/3965/100133941/4860/7001/7107/2335/7805/8660/10459/8399/3601/196/27242/4615/8767/1326/861/5880/6647/1948/4192/8943/7048/3594/2475/3127/90379/10039/1051/3566/6461/6778/9572/84861/2319/11035/207/8379","Up","BP",0.0253164556962025,322,1
"GO:0002757","immune response-activating signaling pathway",342,0.496225560499802,1.94106395499867,1.5632940012263e-09,1.88414148433512e-07,1.60874315013413e-07,913,"tags=17%, list=8%, signal=16%","3500/3501/3502/3514/3539/3503/3494/6280/6279/3115/3119/3493/80149/4843/3507/2633/3635/92747/51296/3659/3123/330/3783/3105/4067/3665/3937/634/29800/917/100/64332/10384/4940/7409/92610/2207/3654/4669/11119/7805/3055/718/2664/11118/2634/3430/84885/89870/5142/25865/27242/4615/4938/8767/57590/1520","Up","BP",0.0268889063605629,342,1
"GO:0002764","immune response-regulating signaling pathway",356,0.501157547216133,1.97073642269299,5.196226650937e-10,7.73626450207149e-08,6.60548192840474e-08,913,"tags=17%, list=8%, signal=17%","3500/3501/3502/3514/3539/3503/3494/6280/6279/3115/3119/3493/80149/4843/3507/2633/3635/3815/92747/51296/3659/3123/330/3783/3105/4067/3665/3937/634/29800/917/100/64332/10384/4940/958/7409/92610/2207/3654/100133941/4669/11119/7805/3055/5284/718/2664/11118/2634/3430/84885/89870/5142/25865/27242/4615/3904/4938/8767/57590/1520","Up","BP",0.0279896218256152,356,1
