"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ont","gene_ratio","gene_count","cluster"
"GO:0001906","cell killing",70,0.54433360863218,2.0303645289658,2.69845342430699e-05,0.00312381489829643,0.00303706821688623,765,"tags=31%, list=9%, signal=29%","1671/2597/56477/3635/3134/4069/6370/3107/3133/3106/3122/3123/127544/3105/5532/5052/2635/6891/8417/6777/5777/2885","Up","BP",0.00796268911386645,70,1
"GO:0001910","regulation of leukocyte mediated cytotoxicity",25,0.686299065090497,2.04669321004348,7.29844755087431e-05,0.00783070018934051,0.00761324580210586,765,"tags=52%, list=9%, signal=47%","3635/3134/3107/3133/3106/3122/3123/3105/5532/6891/8417/6777/2885","Up","BP",0.00284381754066659,25,1
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity",17,0.796115624069437,2.17011392703528,1.2575537463182e-05,0.0016270526264864,0.00158187023878974,697,"tags=59%, list=9%, signal=54%","3134/3107/3133/3106/3122/3123/3105/6891/8417/6777","Up","BP",0.00193379592765328,17,1
"GO:0001916","positive regulation of T cell mediated cytotoxicity",12,0.841218546528163,2.12651656020623,3.14343467672973e-05,0.00354563311357284,0.00344717276425179,684,"tags=75%, list=8%, signal=69%","3134/3107/3133/3106/3122/3123/3105/6891/8417","Up","BP",0.00136503241951996,12,1
"GO:0002250","adaptive immune response",167,0.530969166404745,2.26706600867642,1e-10,1.46633333333333e-07,1.42561403508772e-07,759,"tags=31%, list=9%, signal=28%","3514/3539/3493/3494/3127/3426/3507/3538/3635/3119/3113/3115/3134/28755/8741/7133/54941/717/3107/3133/3106/64421/3122/3108/972/3123/127544/6890/3105/8631/7784/182/10384/958/5532/64332/4067/10758/28638/27242/11118/8915/7006/54542/56940/5987/6891/8417/5777/22976/5590","Up","BP",0.0189967011716528,167,1
"GO:0002252","immune effector process",244,0.393963306002782,1.7795997301784,7.44799204265368e-06,0.00106364661528214,0.00103410971342562,771,"tags=21%, list=9%, signal=20%","3514/684/3539/3493/3494/3426/3538/3635/80031/3134/8741/7133/161882/717/3107/3133/3106/3122/972/3123/127544/3105/7784/182/7001/1051/613/10384/958/9261/2241/5532/64332/5052/5336/4067/10758/9188/3430/11118/8915/54542/56940/6891/8417/6777/5777/22976/5590/2885/5914","Up","BP",0.0277556591969059,244,1
"GO:0002253","activation of immune response",275,0.380307888669998,1.74897777110659,2.13561720498098e-05,0.00253907569857063,0.00246856691432083,1081,"tags=23%, list=13%, signal=21%","3514/3539/3493/3494/3426/3507/3635/3119/3115/28755/5583/54941/717/3123/81790/114625/8892/4795/9424/3105/8631/81559/9781/64922/10384/407040/9261/330/64332/8893/26007/5336/4067/3430/8546/28638/27242/51324/11118/8915/7006/1535/54542/56940/4671/57590/5777/57181/55666/2885/9564/9111/8780/153090/10211/85363/5970/29979/79155/8398/79908/5537/3659","Up","BP",0.0312819929473325,275,1
"GO:0002396","MHC protein complex assembly",14,0.894243910517332,2.34830114230895,5.02559839623562e-08,1.38451756774419e-05,1.34607024987608e-05,216,"tags=57%, list=3%, signal=56%","3127/3119/3113/3115/3122/3108/3123/3105","Up","BP",0.00159253782277329,14,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",145,0.507263078088661,2.11334631243575,3.38143070612547e-08,1.144224128942e-05,1.1124496323067e-05,1042,"tags=29%, list=13%, signal=26%","3514/3539/3493/3494/3507/3635/3119/3115/28755/5583/3123/114625/8892/3105/8631/10384/407040/64332/8893/5336/4067/3430/28638/27242/51324/11118/8915/7006/1535/54542/56940/57590/5777/57181/2885/9564/9111/153090/5970/79155/8398/79908","Up","BP",0.0164941417358662,145,1
"GO:0002443","leukocyte mediated immunity",147,0.523013220378476,2.18509350065646,4.72753918450743e-09,2.59955560908103e-06,2.52736732982286e-06,765,"tags=29%, list=9%, signal=26%","3514/684/3539/3493/3494/3426/3538/3635/3134/8741/7133/717/3107/3133/3106/3122/972/3123/127544/3105/7784/182/613/10384/958/5532/64332/5052/5336/4067/10758/9188/11118/8915/56940/6891/8417/6777/5777/22976/5590/2885","Up","BP",0.0167216471391196,147,1
"GO:0002449","lymphocyte mediated immunity",112,0.559356857683229,2.26107814495607,1.08086148571026e-08,4.75470967563943e-06,4.62267391204293e-06,765,"tags=33%, list=9%, signal=30%","3514/3539/3493/3494/3426/3538/3635/3134/8741/7133/717/3107/3133/3106/3122/972/3123/127544/3105/7784/182/10384/958/5532/64332/5052/10758/11118/8915/56940/6891/8417/6777/5777/22976/5590/2885","Up","BP",0.0127403025821863,112,1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",120,0.490840720862172,1.99101992407462,2.18293586606569e-06,0.000355656847215665,0.00034578044537329,759,"tags=28%, list=9%, signal=26%","3514/3539/3493/3494/3426/3538/3635/3134/8741/7133/717/3107/3133/3106/3122/972/3123/3105/7784/182/10384/958/5532/64332/10758/11118/8915/54542/56940/6891/8417/5777/22976/5590","Up","BP",0.0136503241951996,120,1
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",22,0.821657069058112,2.38261189450924,5.16385234362019e-08,1.38451756774419e-05,1.34607024987608e-05,216,"tags=50%, list=3%, signal=49%","3127/3119/3113/3115/3134/3133/3122/3108/972/3123/3105","Up","BP",0.0025025594357866,22,1
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",16,0.852732014034707,2.28955055149625,5.6617679300613e-07,0.000124530585621698,0.000121072437367574,146,"tags=50%, list=2%, signal=49%","3127/3119/3113/3115/3122/3108/972/3123","Up","BP",0.00182004322602662,16,1
