"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000803","sex chromosome",16,-0.850049704498614,-2.14873821246814,1.45931763544399e-05,0.000904776933975273,0.00081755923669903,2,"tags=31%, list=0%, signal=31%","10336/329/6015/157570/7503","CC","Down",7
"GO:0001775","cell activation",466,0.345718161912795,1.65448775816046,4.58465673461336e-07,0.000106002089658718,9.27345248646724e-05,1229,"tags=24%, list=16%, signal=22%","6288/6363/5320/3135/10673/1604/5730/100133941/6366/30011/116071/6348/441478/3485/196/5880/8399/4853/3115/7037/161145/3949/348/3133/51237/285282/1948/958/8754/6541/3127/684/64332/8915/2934/1499/2475/3113/2281/3601/975/8651/3118/841/4067/3956/27347/60/10193/440275/4192/6722/55122/5530/3134/9760/11119/7805/3117/1386/164/199/4683/2013/64784/3566/578/896/9306/596/80149/3688/7414/2730/2874/5699/712/7133/22904/836/8289/2185/5734/861/7305/51293/6284/57162/29117/8543/1956/3965/5912/4282/1958/26258/1540/4602/9258/10672/6461/8943/7297/1432/6774/3659/5578/306/3836/292/7525/7048","BP","Up",2
"GO:0002250","adaptive immune response",172,0.537287919804878,2.28061218564929,1e-10,2.1965e-07,1.92157894736842e-07,784,"tags=28%, list=10%, signal=26%","6363/3500/3538/3502/3135/3503/10673/3501/1604/3514/725/3426/717/3507/196/713/3115/7037/3133/5909/958/3127/64332/8915/2475/3113/6890/975/3118/1520/4067/3107/440275/3106/84766/55122/3134/11119/3117/714/11118/4683/2013/3566/80149/3539/712/6885/7133","BP","Up",1
"GO:0002252","immune effector process",240,0.443773943631311,1.98568216525662,1.90639479370604e-08,8.37479232875064e-06,7.32657620191659e-06,843,"tags=24%, list=11%, signal=22%","6363/3500/3538/3502/3135/3503/3501/1604/5730/3514/4843/725/6348/3426/717/3507/196/713/5880/4853/7037/9516/3133/51237/958/684/64332/8915/2475/975/51465/4067/3956/3107/440275/3106/4192/3134/7805/714/11118/164/4683/2013/3566/9261/80149/51135/3539/712/6885/7133/22904/3799/23207/2185/5734/7305","BP","Up",1
"GO:0002443","leukocyte mediated immunity",153,0.525286812251225,2.19363269221958,4.01713954329065e-09,2.20591175170948e-06,1.92981269375713e-06,957,"tags=30%, list=12%, signal=27%","3500/3538/3502/3135/3503/3501/1604/5730/3514/4843/725/6348/3426/717/3507/196/713/5880/7037/3133/958/684/64332/8915/975/4067/3107/3106/3134/714/11118/164/4683/2013/3566/51135/3539/712/6885/7133/3799/23207/7305/6284/8284/3965","BP","Up",1
"GO:0002449","lymphocyte mediated immunity",116,0.583113029043593,2.3544945200162,5.5283823001983e-10,8.09539448159038e-07,7.08214869404351e-07,825,"tags=30%, list=10%, signal=27%","3500/3538/3502/3135/3503/3501/1604/3514/725/3426/717/3507/196/713/7037/3133/958/64332/8915/975/3107/3106/3134/714/11118/164/4683/2013/3566/3539/712/6885/7133/3799/23207","BP","Up",1
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",22,0.818075198009285,2.34349194829032,1.77077396633279e-07,5.54888279853569e-05,4.85436665926745e-05,290,"tags=50%, list=4%, signal=48%","3500/3502/3503/3501/1604/725/3426/717/3507/713/975","BP","Up",1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",124,0.583080562851864,2.37429345115236,1e-10,2.1965e-07,1.92157894736842e-07,784,"tags=29%, list=10%, signal=27%","6363/3500/3538/3502/3135/3503/10673/3501/1604/3514/725/3426/717/3507/196/713/7037/3133/958/64332/8915/2475/975/3107/3106/3134/714/11118/4683/2013/3566/80149/3539/712/6885/7133","BP","Up",1
"GO:0002684","positive regulation of immune system process",476,0.359572408839844,1.72260130405377,2.61505204494691e-08,9.57326969454315e-06,8.37504825973787e-06,1492,"tags=30%, list=19%, signal=26%","6363/3500/3502/3135/3503/10673/3501/1604/100133941/84166/6366/3514/4843/30011/725/6348/3426/717/3507/3485/713/5880/4853/3115/7037/5919/3133/51237/3783/1948/6541/2633/3127/64332/8915/90268/3673/2475/3113/3601/975/4940/8651/3118/1520/841/4067/3956/158747/27347/60/3107/10221/440275/3106/79647/4192/55122/5530/3134/26065/90933/9760/11119/7805/3117/714/11118/164/199/3566/596/9261/80149/57590/9698/2874/51135/3539/712/6885/811/90550/130120/8289/2185/861/7305/51293/57118/57162/29117/8678/1535/56919/3965/56998/4282/5879/80196/26258/1540/6397/9258/6461/5594/7334/83666/8943/7297/142/3659/85364/5578/6197/7525/7048/9188/7105/3493/22841/966/11120/23369/8737/6895/3093/5170/6850/2634/9943/11074/25865/55366/54502/331/10657/9655/283234/11151/5469/6602/5062","BP","Up",2
"GO:0003823","antigen binding",41,0.747703194433823,2.48200717745786,7.92258643906796e-09,6.14000449027767e-06,5.43739616660243e-06,555,"tags=49%, list=7%, signal=46%","3500/3538/3502/3135/3503/3501/3514/3507/1718/3115/3133/3127/3113/6890/3118/3107/23428/3106/3134/3117","MF","Up",8
"GO:0003925","G protein activity",32,0.628209320346743,1.97249686008207,0.000381867860692309,0.0227651993874261,0.0201601494065899,1851,"tags=59%, list=24%, signal=46%","2633/998/5911/5869/10890/3845/5912/81876/5879/5898/5906/8766/57826/3265/5908/5868/5899/5874/6016","MF","Up",9
"GO:0004857","enzyme inhibitor activity",160,0.377226207691836,1.62962168718051,0.000776884246207736,0.0354167818124115,0.0313639955744547,1669,"tags=35%, list=21%, signal=28%","7076/5266/1293/5918/27290/5268/684/302/8651/10221/10253/9097/23640/2810/308/831/2874/151636/5611/2764/836/7529/5265/1992/8850/132864/56925/55450/5570/83666/5511/56882/306/6418/307/9188/55742/1027/4851/5627/80851/51377/23523/5573/2634/8826/331/2597/5576/9749/51527/6690/51232/351/4249/26472","MF","Up",11
"GO:0005102","signaling receptor binding",500,0.341005337444876,1.6659464599385,4.48862531838091e-07,0.000115956154058174,0.000102687147634539,927,"tags=20%, list=12%, signal=19%","6288/6363/3500/100462977/3502/7045/100463488/3135/100463486/5329/7076/3503/10673/3501/4023/6366/100463482/6275/100462983/2641/6348/100463498/3507/2921/3485/5068/6772/5967/374/5919/348/5770/3909/3133/1948/8754/55062/1499/3673/4050/112609/6405/2281/56477/6890/975/94121/8651/23767/5753/3655/7031/87/57154/131177/841/4067/57088/6386/4091/4905/10193/3107/2919/3106/4192/9034/10755/3134/54869/11119/2081/55662/440193/9600/11118/998/2013/55681/3688/152189/5829/3672/58533/8567/51135/2764/6885/54843/811/836/116844/7305/51293/4641/6284/3693/1956/9270/310","MF","Up",4
"GO:0005215","transporter activity",464,-0.41650240332383,-1.82505491067479,3.68855673248905e-07,0.000115956154058174,0.000102687147634539,1087,"tags=25%, list=14%, signal=23%","1364/79065/10079/283130/206358/6520/338440/119559/4702/54795/9121/54762/6522/23461/65010/123264/4724/27141/10479/27173/200931/147798/490/64801/529/8645/84286/54822/84879/80024/117155/1528/5192/93589/7782/10568/1186/113278/4712/6505/256471/123606/2542/57476/29988/55032/2168/57192/5243/358/10057/215/55630/9497/55129/1836/100287932/63924/364/9058/2555/4547/81855/6514/1811/83862/784/54716/10999/5190/283375/55937/1184/20/64240/79901/9854/6523/55640/2893/140738/1139/9429/535/6519/11001/200010/2169/6518/140803/6584/9056/6546/80704/6532/28982/6583/6555/360/11136/9153/3769/340024/151295/9963/6564/337/6561/338/159963/335/142680/266675/9154","MF","Down",5
"GO:0005903","brush border",78,-0.719800623241889,-2.54385279574416,1.56488841346337e-09,4.36603867356279e-07,3.94516605288922e-07,519,"tags=40%, list=7%, signal=37%","83715/358/4547/6514/4640/1811/10999/59272/79901/54825/6523/2028/85477/9429/6519/6476/140803/6584/81693/53841/5174/4311/11136/151056/9153/1636/340024/6564/142680/8029/9154","CC","Down",5
"GO:0005925","focal adhesion",286,0.387863463993374,1.78336366963444,1.03344659764904e-06,8.23804573554521e-05,7.44392361314121e-05,1749,"tags=36%, list=22%, signal=29%","5329/10673/30011/1265/7052/5880/7431/10095/7171/1948/8754/5782/6251/976/2934/1499/3673/57669/10096/23022/824/975/8675/23767/3655/87/23545/10487/6386/10525/5756/6548/60/10109/23603/998/308/10097/3688/5829/7414/3672/57175/7791/2274/7534/811/10890/2185/23332/7529/11135/3845/3693/1956/11078/126353/388/5879/10672/5594/5898/8649/10092/51056/6645/10982/1266/81/7525/55742/7184/966/5216/4627/5170/10298/8874/1213/9448/2017/8826/3691/1495/5576/3339/567/5604/4082/6464/51474/1969/22919/55740/23191/2923/5786/6205/7094/7531/8773/23122/5058","CC","Up",6
"GO:0006805","xenobiotic metabolic process",55,-0.750855002550498,-2.53035386044384,1.0320862243751e-07,3.48765752590755e-05,3.051131016351e-05,742,"tags=60%, list=9%, signal=55%","2329/5447/6097/66002/873/1562/6817/5243/10057/79001/1577/8824/6799/30/7367/29785/9049/670/2941/2330/1573/7364/8529/1555/2947/9153/13/2939/2938/2326/1565/6822/1576","BP","Down",3
"GO:0006956","complement activation",21,0.848228702659188,2.43304126389522,1.17709033276874e-08,5.74550870205898e-06,5.02638222799845e-06,115,"tags=48%, list=1%, signal=47%","3500/3502/3503/3501/1604/725/3426/717/3507/713","BP","Up",1
"GO:0006958","complement activation, classical pathway",18,0.872124755952802,2.39811776643914,2.54173147388267e-08,9.57326969454315e-06,8.37504825973787e-06,115,"tags=56%, list=1%, signal=55%","3500/3502/3503/3501/1604/725/3426/717/3507/713","BP","Up",1
"GO:0006959","humoral immune response",71,0.611226456198056,2.25916006238352,2.29542774315406e-07,6.30238379729738e-05,5.51355703306282e-05,290,"tags=30%, list=4%, signal=29%","3500/3502/5968/3503/3501/1604/5266/1755/725/3426/717/3507/2921/5068/713/5967/4853/5919/3133/4069/975","BP","Up",1
"GO:0009986","cell surface",253,0.358871841010654,1.62392867618981,9.10839563626501e-05,0.00375633766998125,0.00339423833978687,996,"tags=26%, list=13%, signal=24%","1048/50506/4680/3135/5329/1604/100133941/4023/2346/94/55959/7852/3507/6678/374/4853/3115/7037/3949/3133/958/8754/684/3673/3113/824/302/3601/1182/7162/3655/4067/9601/6548/3107/3106/9097/10791/9034/3134/11119/11118/6281/308/2013/3566/23181/3688/3672/81539/51135/4217/6337/3416/811/7305/9936/81502/3693/1956/355/118429/9341/4282/1508/1839/8795","CC","Up",2
"GO:0012507","ER to Golgi transport vesicle membrane",54,0.52139514529669,1.85249729766326,0.000708204372457844,0.0197589019915738,0.0178542049688056,1326,"tags=41%, list=17%, signal=34%","3135/374/3115/3133/3127/3113/3118/90411/3107/3106/9871/3134/3117/9632/59349/10802/9919/10483/3998/966/51014/10016","CC","Up",8
"GO:0015081","sodium ion transmembrane transporter activity",42,-0.722960103432387,-2.31461753344472,0.000180029461049496,0.0139522832313359,0.0123557061688706,1021,"tags=50%, list=13%, signal=44%","6520/54795/10479/84879/80024/10568/6505/9497/9058/54716/6523/200010/6546/6532/6555/9153/9963/6561/159963/142680/9154","MF","Down",5
"GO:0015291","secondary active transmembrane transporter activity",115,-0.547462862481883,-2.04829798673512,0.00020957527478251,0.0147655307233132,0.0130758927424112,1026,"tags=33%, list=13%, signal=29%","206358/6520/9121/6522/65010/10479/84879/80024/7782/10568/1186/6505/2542/55032/55630/9497/1836/9058/1811/54716/283375/1184/6523/200010/6584/6546/6532/6583/6555/11136/9153/340024/9963/6564/6561/159963/142680/9154","MF","Down",5
"GO:0015293","symporter activity",52,-0.663214892560529,-2.19926273315703,0.000608453552224808,0.0314367668649484,0.0278394186702158,725,"tags=42%, list=9%, signal=39%","84879/10568/6505/55630/9497/9058/54716/283375/6523/200010/6584/6532/6583/6555/9153/340024/9963/6564/6561/159963/142680/9154","MF","Down",5
"GO:0015318","inorganic molecular entity transmembrane transporter activity",211,-0.446028961243167,-1.79975230122803,0.000309481612444859,0.0199873541370638,0.0177001764310568,1026,"tags=28%, list=13%, signal=25%","206358/6520/338440/54795/6522/65010/10479/27173/490/529/8645/84286/54822/84879/80024/117155/1528/93589/7782/10568/1186/6505/256471/123606/2542/57192/358/10057/55630/9497/55129/1836/364/9058/2555/1811/784/54716/283375/1184/6523/2893/140738/1139/535/200010/140803/6546/6532/6555/360/9153/3769/9963/6564/6561/159963/142680/266675/9154","MF","Down",5
"GO:0015370","solute:sodium symporter activity",28,-0.816653190798423,-2.36755953649849,7.90376678081223e-05,0.0104886193327488,0.00928839362302504,725,"tags=57%, list=9%, signal=52%","84879/10568/6505/9497/9058/54716/6523/200010/6532/6555/9153/9963/6561/159963/142680/9154","MF","Down",5
"GO:0016064","immunoglobulin mediated immune response",53,0.699288157540191,2.45122387718107,2.52798249611084e-09,1.58648958648784e-06,1.38791941252642e-06,777,"tags=42%, list=10%, signal=38%","3500/3538/3502/3503/3501/1604/3514/725/3426/717/3507/713/7037/3133/64332/8915/975/714/4683/3566/3539/712","BP","Up",1
"GO:0016324","apical plasma membrane",178,-0.547291666725959,-2.17360226322729,2.15953325203714e-07,3.0125488865918e-05,2.72214849401523e-05,637,"tags=34%, list=8%, signal=32%","8611/10568/10327/113278/66002/6505/79629/5243/358/10057/55630/9497/1836/9058/6514/4640/1811/54716/59272/64240/79901/64284/200958/54825/1803/9854/6523/312/2028/9429/6519/6518/6476/140803/6584/81693/1800/53841/5174/6583/6555/53905/11136/8529/151056/130749/340024/9963/10004/6564/8972/5593/79981/6561/159963/142680/8029/3938/1271/9154","CC","Down",5
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",15,-0.845590848397596,-2.13781031257482,0.000662958532223009,0.032112053904552,0.0284374317769343,575,"tags=67%, list=7%, signal=62%","66002/1562/1577/285440/29785/1573/8529/1555/1565/1576","MF","Down",3
"GO:0019724","B cell mediated immunity",55,0.716596873709176,2.55149416443313,1.64494487890123e-09,1.27926188183736e-06,1.11914532224429e-06,777,"tags=44%, list=10%, signal=40%","3500/3538/3502/3135/3503/3501/1604/3514/725/3426/717/3507/713/7037/3133/958/64332/8915/975/714/4683/3566/3539/712","BP","Up",1
"GO:0019814","immunoglobulin complex",14,0.873872698044836,2.25921102327005,1.60375208349599e-06,0.000111861707823845,0.000101078585262445,179,"tags=57%, list=2%, signal=56%","3500/3538/3502/3503/3501/3514/3507/5284","CC","Up",1
"GO:0022804","active transmembrane transporter activity",216,-0.455534675350911,-1.84656923673745,9.14932392955263e-05,0.0104886193327488,0.00928839362302504,1026,"tags=25%, list=13%, signal=22%","206358/6520/4702/9121/6522/23461/65010/4724/10479/490/529/84879/80024/1528/7782/10568/1186/4712/6505/2542/55032/5243/10057/215/55630/9497/1836/9058/1811/54716/283375/1184/20/64240/79901/6523/9429/535/200010/6584/6546/6532/6583/6555/11136/9153/340024/9963/6564/6561/159963/142680/9154","MF","Down",5
"GO:0022853","active monoatomic ion transmembrane transporter activity",102,-0.541019637487073,-1.98800489793944,0.000897029117443934,0.0386220870010583,0.0342025137177453,1026,"tags=30%, list=13%, signal=27%","206358/6520/6522/65010/10479/490/529/84879/80024/1528/10568/6505/55630/9497/9058/1811/54716/283375/6523/535/200010/6546/6532/6555/9153/9963/6564/6561/159963/142680/9154","MF","Down",5
"GO:0022857","transmembrane transporter activity",399,-0.408014211191211,-1.76303212280046,9.51979455605202e-06,0.00184446019523508,0.00163339632909103,1026,"tags=24%, list=13%, signal=22%","206358/6520/338440/119559/4702/54795/9121/6522/23461/65010/123264/4724/10479/27173/200931/147798/490/529/8645/84286/54822/84879/80024/117155/1528/5192/93589/7782/10568/1186/113278/4712/6505/256471/123606/2542/29988/55032/57192/5243/358/10057/215/55630/9497/55129/1836/100287932/364/9058/2555/81855/6514/1811/83862/784/54716/10999/283375/1184/20/64240/79901/6523/55640/2893/140738/1139/9429/535/6519/11001/200010/6518/140803/6584/9056/6546/80704/6532/28982/6583/6555/360/11136/9153/3769/340024/151295/9963/6564/6561/159963/142680/266675/9154","MF","Down",5
"GO:0030055","cell-substrate junction",291,0.38723045837849,1.78752708795147,4.75873409447994e-07,5.31074724943961e-05,4.79880764474924e-05,1749,"tags=36%, list=22%, signal=29%","5329/10673/30011/1265/7052/5880/7431/3909/10095/7171/1948/8754/5782/6251/976/2934/1499/3673/57669/10096/23022/824/975/8675/23767/3655/87/23545/10487/6386/10525/5756/6548/60/10109/23603/998/308/10097/3688/5829/7414/3672/57175/7791/2274/7534/811/10890/2185/23332/7529/11135/3845/3693/1956/11078/126353/388/5879/10672/5594/5898/8649/10092/51056/6645/10982/1266/81/7525/55742/7184/966/5216/4627/5170/10298/8874/1213/9448/2017/8826/3691/1495/5576/3339/567/5604/4082/6464/51474/1969/22919/55740/23191/2923/5786/6205/7094/7531/8773/23122/5058","CC","Up",6
"GO:0030139","endocytic vesicle",174,0.398362042033767,1.7170512667008,0.000116839255795841,0.00407476904587996,0.00368197391619789,1520,"tags=38%, list=19%, signal=31%","6288/3135/1755/30011/5880/6678/374/3115/7037/3949/7431/348/3133/3127/2934/2475/3113/1182/6890/163/3118/1520/4643/51143/23545/4067/10525/817/3107/9114/3106/3134/3117/998/5869/84440/9830/7791/25938/3799/811/10890/4641/8678/1535/3693/1956/9341/1839/5898/9605/1080/1212/306/5287/83547/7184/9474/6850/79971/1213/2017/11151/10981/23673/567","CC","Up",8
"GO:0030155","regulation of cell adhesion",368,0.405322872067738,1.88668344871408,9.27992326483343e-10,1.01916757256033e-06,8.91605258944918e-07,1520,"tags=32%, list=19%, signal=27%","6288/6363/4680/4582/7045/5320/3135/5329/10673/1604/100133941/6366/94/7852/441478/7052/53827/3485/5880/3115/7037/51201/3909/3133/1948/8754/6541/2633/6251/3127/64332/8915/3673/2475/3113/57669/10562/56477/975/8651/3118/3655/4067/3956/6548/388125/60/4192/6722/4287/5530/10109/7805/3117/23603/9780/6281/998/199/2013/3566/9306/596/80149/9748/7414/5371/8502/811/836/9267/8289/2185/23332/861/57162/29117/9270/11078/3965/5879/1540/2049/6461/445/8943/7297/2525/26073/1432/3659/5578/7402/81/7525/2932/7048/255743/4851/2650/3912/5170/8874/6850/5573/7168/9448/1398/10551/25865/51144/23560/9655/283234/11151/3339/6602/1793/567","BP","Up",2
"GO:0030414","peptidase inhibitor activity",41,0.567709352709245,1.88451607352202,0.00132101620225347,0.0492439202525195,0.0436088774256608,1640,"tags=51%, list=21%, signal=41%","7076/5266/1293/5918/27290/5268/684/302/9097/831/5265/1992/56925/5627/51377/2634/331/2597/6690/51232/351","MF","Up",11
"GO:0030545","signaling receptor regulator activity",103,0.462175155569636,1.86724861390861,9.47359165538597e-05,0.0104886193327488,0.00928839362302504,450,"tags=25%, list=6%, signal=24%","6363/100462977/100463488/100463486/7076/10673/6366/100463482/6275/100462983/2641/6348/100463498/2921/5068/5967/374/4050/112609/6405/56477/23767/7031/131177/2919/4192","MF","Up",4
"GO:0030547","signaling receptor inhibitor activity",11,0.84671121136207,2.04504543829025,0.000153656441243712,0.0132315268848752,0.0117174268644328,90,"tags=55%, list=1%, signal=54%","100462977/100463488/100463486/100463482/100462983/100463498","MF","Up",4
