"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001816","cytokine production",414,0.487135533570374,1.9606594688548,1e-10,1.33162162162162e-08,1.1448079658606e-08,1215,"tags=23%, list=11%, signal=21%","3123/3115/3113/684/972/6288/8651/3635/80149/4843/2633/1670/3659/5450/4192/3134/283234/9636/7133/89870/3133/834/338557/1604/11213/1969/407040/1958/6772/3106/2335/602/11119/8140/4067/3105/10384/10365/3428/113277/8986/79102/59272/9641/3665/3606/11118/5795/3574/567/3091/22890/307/6774/80772/1649/51564/7538/5971/5588/7040/255231/3394/6647/10626/1652/9111/4775/7430/136/3098/5371/25865/7110/284194/23705/5781/27242/10555/23646/9451/2597/4938/5607/8399/5606/6992/54476/10623/3815/2000/4155/9466/9475/192683","BP","Up",1
"GO:0001817","regulation of cytokine production",408,0.488436417156587,1.96313638903594,1e-10,1.33162162162162e-08,1.1448079658606e-08,1215,"tags=23%, list=11%, signal=21%","3123/3115/3113/684/972/6288/8651/3635/80149/4843/2633/1670/3659/5450/4192/3134/283234/9636/7133/89870/3133/834/338557/1604/11213/1969/407040/1958/6772/3106/2335/602/11119/8140/4067/3105/10384/10365/3428/113277/8986/79102/59272/9641/3665/3606/11118/5795/3574/567/3091/22890/307/6774/80772/1649/51564/7538/5971/5588/7040/255231/3394/6647/10626/1652/9111/7430/136/3098/5371/25865/7110/284194/23705/5781/27242/10555/23646/9451/2597/4938/5607/8399/5606/6992/54476/10623/3815/2000/4155/9466/9475/192683","BP","Up",1
"GO:0004857","enzyme inhibitor activity",187,0.429449809182539,1.63841500870208,0.000573651669794422,0.0207661904465581,0.0193713111231632,1485,"tags=22%, list=14%, signal=19%","5266/684/8651/5265/7076/9021/2634/5268/83666/27290/6690/6590/306/308/307/5270/10188/5918/80119/10221/11142/11005/51400/51527/161742/284352/55611/2597/4660/10253/6992/10776/207/4249/5147/23523/8850/332/22853/56882/1992","MF","Up",4
"GO:0007159","leukocyte cell-cell adhesion",201,0.581768872201328,2.22038128073445,1e-10,1.33162162162162e-08,1.1448079658606e-08,1267,"tags=27%, list=12%, signal=24%","3123/3115/3113/3122/972/6280/3109/3119/3108/8651/80149/445/3117/5320/3659/4192/283234/3133/1604/1326/4067/3105/430/64332/3606/3574/567/22890/56477/6469/5588/6461/7430/6601/960/7048/284194/5781/27242/865/84830/79576/10808/5880/8943/10318/10507/6793/64410/4478/207/2131/116844/9092","BP","Up",1
"GO:0009615","response to virus",247,0.534061184706996,2.07219982485483,1e-10,1.33162162162162e-08,1.1448079658606e-08,1427,"tags=26%, list=13%, signal=23%","50506/1755/684/80149/3429/2634/2633/10581/8519/27350/3659/83666/5450/9636/2537/89870/3437/834/10410/3669/11213/84166/6772/602/3373/57169/197259/4486/3428/11040/79102/85363/9641/3665/3091/6895/54512/9111/11274/9020/2635/5371/811/55210/2023/3455/2962/1130/4938/81570/8399/64108/54476/100507436/10623/4599/2131/29110/91445/201292/3588/3661/55421/22978","BP","Up",2
"GO:0022407","regulation of cell-cell adhesion",246,0.533904061806959,2.07193317498597,1e-10,1.33162162162162e-08,1.1448079658606e-08,944,"tags=20%, list=9%, signal=19%","3123/3115/3113/3122/972/3109/3119/3108/8651/80149/445/3117/5320/3659/4192/283234/3133/1604/5329/4680/1326/4067/3105/9647/3557/430/64332/3606/3574/567/22890/5270/56477/6469/9780/5588/7040/2049/6461/6601/960/7048/284194/5781/27242/865/84830/79576/10808/23075","BP","Up",1
"GO:0022409","positive regulation of cell-cell adhesion",159,0.583165376087132,2.16787920060212,5.27896809777095e-10,5.53393102504627e-08,4.75757393626658e-08,923,"tags=22%, list=9%, signal=20%","3123/3115/3113/3122/972/3109/3119/3108/8651/3117/4192/283234/3133/1604/5329/4680/1326/4067/3105/64332/3606/3574/567/22890/6469/9780/5588/6461/6601/960/7048/5781/865/79576/10808","BP","Up",1
"GO:0030155","regulation of cell adhesion",430,0.477045146521315,1.92454928790114,1e-10,1.33162162162162e-08,1.1448079658606e-08,1700,"tags=27%, list=16%, signal=23%","3123/3115/3113/3122/972/3109/3119/6288/3108/8651/7045/80149/445/3117/2633/5320/3659/4192/283234/1277/4582/3133/1604/1969/5329/2335/4680/1326/4067/3373/3105/9647/3909/3557/55558/22998/430/64332/3606/5795/3574/3915/567/1843/84978/22890/10562/5270/56477/5034/6469/9780/5588/7040/2049/7168/5581/3912/6461/6601/960/7048/11005/5371/811/25865/23654/284194/5781/395/27242/865/8754/84830/79576/10808/23075/5880/9928/8751/8943/10507/79834/5607/64410/59339/4739/207/4241/4155/9475/3987/9092/8502/94/3675/6722/961/6480/7001/23499/5578/5970/8631/1051/9265/868/9267/2185/4179/5465/1398/5879/81","BP","Up",1
"GO:0031347","regulation of defense response",423,0.468052720072455,1.88738336060353,1.34462712369827e-10,1.69871226627215e-08,1.46039933758755e-08,1896,"tags=28%, list=18%, signal=24%","5068/3123/6280/6288/79931/80149/9021/2634/5320/3659/83666/4192/3134/9636/7133/89870/3133/834/338557/11213/84166/6772/3106/79651/4067/330/7804/57169/3105/5817/3428/3949/79102/59272/85363/64332/9641/3665/3606/54625/84885/4363/6895/196/6774/80772/10133/7538/7040/9684/5581/6647/253260/1652/9111/90678/11274/136/8878/11005/283131/23705/5781/22904/57590/5608/2876/3312/60343/4938/10318/81570/8399/54476/207/100507436/10623/2000/5058/81858/121260/29110/2671/91445/55646/201292/6397/961/63906/3661/9575/22978/837/23005/5970/25939/25807/1051/55527/5819/84243/81844/22900/5465/10906/1398/1387/55872/3551/26090/64116/11074/409/1535/7187/55122/2175/2048/5335/3957","BP","Up",2
"GO:0034341","response to type II interferon",80,0.695284825870638,2.38893666120234,3.16639950516944e-10,3.54564780953859e-08,3.04822765760809e-08,823,"tags=34%, list=8%, signal=31%","3113/684/972/4261/4843/8942/115361/445/2634/2633/10581/8519/3659/83666/834/10410/84166/6772/58191/54625/2643/10435/3394/7791/2635/7431/339122","BP","Up",2
"GO:0042110","T cell activation",287,0.520014042457905,2.04659557369993,1e-10,1.33162162162162e-08,1.1448079658606e-08,1267,"tags=25%, list=12%, signal=22%","3123/3115/3113/3122/972/3109/3119/3108/8651/80149/9021/3117/5320/3659/4192/283234/7133/3133/1604/1958/602/11119/1326/4067/3105/57089/430/64332/5873/3606/3574/567/28638/22890/6774/6469/5971/5588/7040/6647/8503/6461/3726/4775/6601/23303/960/7048/11005/284194/5781/896/27242/51463/865/79576/10312/10808/6778/5880/8943/64410/5532/4478/207/100507436/3815/2000/2934/1503/9092","BP","Up",1
"GO:0042379","chemokine receptor binding",16,0.842370754305937,2.12545055984966,5.04558379199492e-06,0.000415113939250491,0.000387230449873677,512,"tags=50%, list=5%, signal=48%","2919/2920/2921/6374/6772/58191/56477/51192","MF","Up",3
"GO:0045087","innate immune response",487,0.52123545338321,2.11358787201814,1e-10,1.33162162162162e-08,1.1448079658606e-08,1376,"tags=25%, list=13%, signal=22%","1755/5266/3113/684/3934/972/6280/3507/8542/717/79931/4261/4843/3512/8942/115361/445/3429/2634/2633/10581/1670/8519/27350/3659/83666/9246/3134/9636/2537/725/89870/3437/3133/834/10410/3669/1604/11213/84166/6772/3106/3426/58191/6590/4067/330/7804/57169/3105/3107/5817/4486/3428/113277/85363/64332/9641/5873/3665/3606/54625/1113/22890/84885/9830/6895/2643/10435/80772/10133/5971/7040/255231/9684/5581/3394/7791/9111/127544/11274/55207/2635/8878/3098/5371/55210/3455/23705/5781/7431/339122/57590/5608/1130/2597/8751/3312/60343/4938/10318/81570/4217/207/100507436/10623/4599/2934/5058/121260/29110/2671/91445/55646/201292/6397/961/3588/63906/3661","BP","Up",2
"GO:0045321","leukocyte activation",493,0.456871804685006,1.85315741587732,1e-10,1.33162162162162e-08,1.1448079658606e-08,1267,"tags=22%, list=12%, signal=20%","3123/3115/3113/3122/684/972/3109/3119/3108/8651/3635/80149/9021/3117/5320/3659/5450/4192/3134/283234/116071/7133/3133/1604/1958/2335/602/11119/1326/306/4067/8660/3105/161145/8741/3601/57089/3949/113277/430/64332/578/5873/3606/5795/3574/567/28638/1113/22890/196/6774/112616/6469/5971/5588/7040/5581/3394/6647/8503/6461/3726/9111/4775/6601/23303/6830/960/7048/136/11005/2067/9025/6338/284194/5781/896/27242/51463/865/8754/79576/10312/10808/6778/22904/23075/84447/5880/8943/8399/64410/5532/4739/4478/207/100507436/10039/3815/2000/9466/2934/121260/1503/9092","BP","Up",1
"GO:0045785","positive regulation of cell adhesion",251,0.524184733119654,2.03717910741445,3.37948303498868e-10,3.70015842519761e-08,3.18106192579988e-08,861,"tags=20%, list=8%, signal=19%","3123/3115/3113/3122/972/3109/3119/6288/3108/8651/3117/4192/283234/3133/1604/5329/2335/4680/1326/4067/3373/3105/9647/64332/3606/5795/3574/3915/567/84978/22890/10562/56477/5034/6469/9780/5588/7168/5581/3912/6461/6601/960/7048/811/25865/5781/865/8754/79576","BP","Up",1
"GO:0046649","lymphocyte activation",421,0.474607384945634,1.91292040311971,1e-10,1.33162162162162e-08,1.1448079658606e-08,1267,"tags=22%, list=12%, signal=20%","3123/3115/3113/3122/684/972/3109/3119/3108/8651/3635/80149/9021/3117/5320/3659/5450/4192/3134/283234/7133/3133/1604/1958/602/11119/1326/4067/8660/3105/8741/3601/57089/430/64332/578/5873/3606/5795/3574/567/28638/22890/196/6774/112616/6469/5971/5588/7040/3394/6647/8503/6461/3726/4775/6601/23303/6830/960/7048/11005/2067/9025/284194/5781/896/27242/51463/865/79576/10312/10808/6778/23075/84447/5880/8943/64410/5532/4739/4478/207/100507436/10039/3815/2000/9466/2934/121260/1503/9092","BP","Up",1
"GO:0050863","regulation of T cell activation",188,0.566803181145819,2.15354962343601,4.91317618189264e-10,5.26243892351849e-08,4.52416955513409e-08,1022,"tags=23%, list=10%, signal=21%","3123/3115/3113/3122/972/3109/3119/3108/8651/80149/3117/5320/3659/4192/283234/7133/3133/1604/1326/4067/3105/430/64332/3606/3574/567/22890/6469/5588/6647/6461/3726/6601/7048/11005/284194/5781/27242/865/79576/10808/5880/8943","BP","Up",1
"GO:0050870","positive regulation of T cell activation",129,0.62166557182736,2.26475326452636,2.57090771535589e-10,2.94578193338569e-08,2.53251717174837e-08,923,"tags=24%, list=9%, signal=22%","3123/3115/3113/3122/972/3109/3119/3108/8651/3117/4192/283234/3133/1604/1326/4067/3105/64332/3606/3574/567/22890/6469/5588/6461/6601/7048/5781/865/79576/10808","BP","Up",1
"GO:0051607","defense response to virus",185,0.553393314400229,2.09637040533182,1.17327440800737e-09,1.15614460165046e-07,9.93948677436135e-08,1550,"tags=29%, list=14%, signal=25%","1755/684/80149/3429/2634/2633/10581/8519/27350/3659/83666/9636/2537/89870/3437/834/10410/3669/84166/6772/57169/197259/3428/79102/85363/9641/3665/6895/54512/11274/9020/2635/5371/55210/3455/1130/4938/81570/8399/64108/54476/100507436/10623/4599/29110/91445/201292/3588/3661/55421/22978/5970/25939/84871","BP","Up",2
"GO:0071345","cellular response to cytokine stimulus",463,0.46400812643862,1.87538286679326,1e-10,1.33162162162162e-08,1.1448079658606e-08,1535,"tags=25%, list=14%, signal=22%","50506/3113/972/2919/8651/2920/80149/9021/4843/2353/115361/2921/445/3429/2634/2633/10581/8519/3659/83666/9636/1277/6374/7133/834/10410/11213/84166/407040/1958/6772/4067/3373/330/7804/10365/3557/4486/3428/3601/8986/64332/9641/3665/3606/5795/3574/54625/1843/3091/2117/2194/6774/10435/5034/7538/3394/3099/6723/7791/11274/2635/960/5371/57539/3455/23143/5781/51208/27242/7431/339122/10555/10312/6778/2923/22904/55512/2597/6558/4938/8399/10253/28511/4605/4217/207/355/2180/4599/3815/9466/10963/1796/2934/3987/2131/81858/29110/2671/91445/201292/961/3588/3661/5214/7444/837/6932/64783/3309/5970/25939/59307","BP","Up",2
"GO:1903037","regulation of leukocyte cell-cell adhesion",184,0.581744414200244,2.20250954704009,1e-10,1.33162162162162e-08,1.1448079658606e-08,861,"tags=22%, list=8%, signal=20%","3123/3115/3113/3122/972/3109/3119/3108/8651/80149/445/3117/5320/3659/4192/283234/3133/1604/1326/4067/3105/430/64332/3606/3574/567/22890/56477/6469/5588/6461/6601/960/7048/284194/5781/27242/865/84830/79576","BP","Up",1
"GO:1903039","positive regulation of leukocyte cell-cell adhesion",137,0.608072532316065,2.21855074159408,1.67882683895905e-10,2.06789495888782e-08,1.77778926315033e-08,923,"tags=23%, list=9%, signal=22%","3123/3115/3113/3122/972/3109/3119/3108/8651/3117/4192/283234/3133/1604/1326/4067/3105/64332/3606/3574/567/22890/6469/5588/6461/6601/960/7048/5781/865/79576/10808","BP","Up",1
