"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05140","Leishmaniasis",40,0.843466034957815,2.55596799206087,1e-10,3.06363636363636e-09,2.2488038277512e-09,159,"tags=30%, list=1%, signal=30%","3123/3115/3113/3122/3109/3119/3108/4843/2353/3117/4689/6772","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04514","Cell adhesion molecules",61,0.76646148553312,2.51612787340287,1e-10,3.06363636363636e-09,2.2488038277512e-09,275,"tags=28%, list=3%, signal=27%","3123/3115/3113/3122/9075/3109/3119/3108/3117/3134/3133/3106/1001/3105/3107/5817/9672","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05323","Rheumatoid arthritis",40,0.819899817798169,2.4845549247202,1e-10,3.06363636363636e-09,2.2488038277512e-09,335,"tags=38%, list=3%, signal=36%","3123/3115/3113/3122/3109/3119/2919/3108/2920/2353/2921/3117/6374/8741/3606","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05145","Toxoplasmosis",74,0.721583168592538,2.43672662038679,1e-10,3.06363636363636e-09,2.2488038277512e-09,766,"tags=31%, list=7%, signal=29%","3123/3115/3113/3122/3109/3119/3108/8651/4261/4843/3117/6772/3918/330/3909/2771/3949/3915/6774/7040/3912/3914/842","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05168","Herpes simplex virus 1 infection",126,0.656774112727695,2.39410675174425,1e-10,3.06363636363636e-09,2.2488038277512e-09,1376,"tags=33%, list=13%, signal=29%","3123/3115/3113/3122/684/972/3109/3119/3108/9021/3117/3134/6891/3133/6772/3106/330/6890/3105/3107/9641/578/3665/567/8891/8503/5371/811/3455/842/5781/6892/2923/9451/4938/5499/207/355/29110/1978/29990/3661","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05150","Staphylococcus aureus infection",18,0.92982568741471,2.38819145119166,1e-10,3.06363636363636e-09,2.2488038277512e-09,161,"tags=61%, list=2%, signal=60%","3123/3115/3113/3122/3109/3119/3108/717/3117/1670/3426","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04940","Type I diabetes mellitus",17,0.941704824501642,2.36678834821955,1e-10,3.06363636363636e-09,2.2488038277512e-09,228,"tags=76%, list=2%, signal=75%","3123/3115/3113/3122/3109/3119/3108/3117/3134/3133/3106/3105/3107","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05320","Autoimmune thyroid disease",14,0.966266598281866,2.34020347475364,1e-10,3.06363636363636e-09,2.2488038277512e-09,228,"tags=93%, list=2%, signal=91%","3123/3115/3113/3122/3109/3119/3108/3117/3134/3133/3106/3105/3107","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05330","Allograft rejection",14,0.966266598281866,2.34020347475364,1e-10,3.06363636363636e-09,2.2488038277512e-09,228,"tags=93%, list=2%, signal=91%","3123/3115/3113/3122/3109/3119/3108/3117/3134/3133/3106/3105/3107","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05332","Graft-versus-host disease",14,0.966266598281866,2.34020347475364,1e-10,3.06363636363636e-09,2.2488038277512e-09,228,"tags=93%, list=2%, signal=91%","3123/3115/3113/3122/3109/3119/3108/3117/3134/3133/3106/3105/3107","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05169","Epstein-Barr virus infection",142,0.625919493512195,2.31674671523633,1e-10,3.06363636363636e-09,2.2488038277512e-09,1151,"tags=30%, list=11%, signal=27%","3123/3115/3113/3122/3109/3119/3108/3117/3134/9636/6891/3133/6772/3106/4067/6890/3105/3107/9641/578/3665/567/6774/5971/8503/9020/960/811/3455/842/896/7431/1643/3725/9541/6892/2923/5608/4938/5606/207/355","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05416","Viral myocarditis",42,0.79541372627442,2.43862388918056,4.44209715534729e-10,1.2474889511267e-08,9.1569546623387e-09,228,"tags=33%, list=2%, signal=33%","3123/3115/3113/3122/3109/3119/3108/3117/3134/3133/1604/3106/3105/3107","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04612","Antigen processing and presentation",43,0.795319731151226,2.45103636198299,4.99358213389423e-10,1.29449013778643e-08,9.50195790660036e-09,1046,"tags=60%, list=10%, signal=55%","3123/3115/3113/3122/972/3109/3119/3108/4261/3117/3134/6891/3133/3106/6890/3105/3107/567/5721/5720/811/6892/2923/1508/3312/10197","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04672","Intestinal immune network for IgA production",16,0.92794360093389,2.3208858325525,7.00884533596358e-10,1.68712919872838e-08,1.23840500297101e-08,662,"tags=81%, list=6%, signal=76%","3123/3115/3113/3122/3109/3119/3108/3117/8741/3601/56477/7040/9020","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04145","Phagosome",85,0.676010095824734,2.33939760264647,8.3582093097728e-10,1.86640057355909e-08,1.36999573570634e-08,276,"tags=21%, list=3%, signal=21%","3123/3115/3113/3122/3109/3119/3108/3117/4689/3134/6891/3133/3106/6890/3105/3107/7280/7277","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05321","Inflammatory bowel disease",25,0.86961288600606,2.39775610137954,8.86124901393038e-10,1.86640057355909e-08,1.36999573570634e-08,523,"tags=48%, list=5%, signal=46%","3123/3115/3113/3122/3109/3119/3108/3117/6772/3606/6774/7040","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05164","Influenza A",109,0.623928819880568,2.23383389505296,8.81880135786147e-09,1.74819768094077e-07,1.28323115733588e-07,1513,"tags=30%, list=14%, signal=26%","3123/3115/3113/3122/3109/3119/3108/4261/9021/3117/834/6772/9641/578/3665/3606/8503/8795/5371/3455/842/896/4938/2224/207/355/4599/64499/29110/8743/3661/5578/5970","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04658","Th1 and Th2 cell differentiation",52,0.727835818682213,2.30259834199224,2.13084460510514e-08,3.98941462178017e-07,2.92835369707431e-07,159,"tags=19%, list=1%, signal=19%","3123/3115/3113/3122/3109/3119/3108/2353/3117/6772","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05322","Systemic lupus erythematosus",19,0.891360507353182,2.31813449235138,2.25545621048558e-08,4.00046706807178e-07,2.9364665344272e-07,265,"tags=53%, list=2%, signal=51%","3123/3115/3113/3122/3109/3119/3108/717/3117/2904","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04659","Th17 cell differentiation",67,0.682177360166205,2.26358558659061,4.30156314980091e-08,7.24813390741454e-07,5.32035442212218e-07,923,"tags=28%, list=9%, signal=26%","3123/3115/3113/3122/3109/3119/3108/2353/3117/6772/3091/196/6774/5588/7040/4775/7048/3725/6778","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05166","Human T-cell leukemia virus 1 infection",167,0.539290879601755,2.02357766356784,6.22722261248179e-08,9.99320962098268e-07,7.33532488187078e-07,807,"tags=17%, list=8%, signal=16%","3123/3115/3113/3122/3109/3119/3108/2353/3117/3134/3133/90993/1958/3106/4316/3105/3107/3601/567/64764/7538/5971/7040/8503/4775/9020/7048/811/896","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04640","Hematopoietic cell lineage",30,0.794924869500257,2.26456124028128,1.48559575456391e-07,2.2756625876729e-06,1.67040670967712e-06,354,"tags=33%, list=3%, signal=32%","3123/3115/3113/3122/3109/3119/3108/3117/1604/3574","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04668","TNF signaling pathway",88,0.620658877480819,2.16256123996525,2.29102111281101e-07,3.35684397833613e-06,2.46402728380132e-06,1151,"tags=31%, list=11%, signal=28%","2919/2920/9021/2353/2921/3659/6374/7133/90993/602/79651/1326/330/197259/64285/8986/843/64764/8503/3726/9020/3725/5608/5606/4217/207/355","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05152","Tuberculosis",99,0.592689931381799,2.08965344360472,7.88385789475513e-07,1.1070250460552e-05,8.12590616345375e-06,523,"tags=15%, list=5%, signal=15%","3123/3115/3113/3122/972/3109/3119/3108/4261/4843/3117/6772/3606/843/7040","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04060","Cytokine-cytokine receptor interaction",74,0.588445795835607,1.98713273504442,1.07462175404421e-05,0.00014485901244516,0.000106330994610691,809,"tags=30%, list=8%, signal=28%","8771/2919/2920/2921/6374/7133/9235/9518/58191/8793/3557/8741/3601/3606/3574/51330/56477/7040/8795/7048/3455/27242","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05146","Amoebiasis",53,0.642353830112554,2.04358759028575,1.58293107651591e-05,0.000205172220302254,0.000150602754243417,715,"tags=28%, list=7%, signal=27%","2919/2920/4843/2921/4583/1277/9630/2335/3918/3909/3915/7040/8503/3912/3914","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",24,0.75350041566643,2.06467133660159,4.21165740897121e-05,0.000503692463800396,0.000369725844113987,565,"tags=38%, list=5%, signal=36%","2919/2920/2921/6374/7133/8793/3606/56477/8795","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05170","Human immunodeficiency virus 1 infection",145,0.491598956815448,1.82707275963313,4.22638634686609e-05,0.000503692463800396,0.000369725844113987,1934,"tags=33%, list=18%, signal=28%","684/2353/27350/3134/6891/7133/3133/3106/6890/3105/3107/2771/5829/130340/85363/578/3708/567/8503/4775/811/842/3725/6892/2923/5608/5880/5606/5532/207/355/5058/2776/29110/3661/808/3984/5578/5970/25939/2185/1398/5879/3551/581/23291/5335/9730","Up","Cycling_TA","EPI","Colon","ActiveCD_vs_Control","dataset_03"
