"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05323","Rheumatoid arthritis",41,0.873949340165349,2.63215579284609,1e-10,2.08125e-09,1.46710526315789e-09,240,"tags=44%, list=2%, signal=43%","3115/3119/3113/3122/3123/3109/3108/2921/2919/2920/6374/3111/2353/4314/3117/4050/3600/10312","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04658","Th1 and Th2 cell differentiation",51,0.81626365205947,2.57088557924442,1e-10,2.08125e-09,1.46710526315789e-09,232,"tags=24%, list=2%, signal=23%","3115/3119/3113/3122/3123/3109/3108/3111/2353/3117/6772/54567","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04612","Antigen processing and presentation",42,0.851673699763902,2.5694380537435,1e-10,2.08125e-09,1.46710526315789e-09,722,"tags=60%, list=7%, signal=55%","3115/3119/3113/3122/3123/972/3109/3108/4261/3111/3117/3134/6890/6891/3106/3105/3133/3107/5721/567/2923/6892/5720/3127/3309","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05140","Leishmaniasis",41,0.842482783867269,2.53738499248684,1e-10,2.08125e-09,1.46710526315789e-09,147,"tags=32%, list=2%, signal=31%","3115/3119/3113/3122/3123/3109/3108/4689/3111/2353/4843/3117/6772","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04514","Cell adhesion molecules",56,0.78279635171935,2.50472646532787,1e-10,2.08125e-09,1.46710526315789e-09,324,"tags=30%, list=3%, signal=30%","3115/3119/3113/3122/3123/9075/3109/3108/3111/3117/3134/3106/3105/3133/3107/9672/5817","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05416","Viral myocarditis",42,0.82664183116145,2.49391871369428,1e-10,2.08125e-09,1.46710526315789e-09,266,"tags=36%, list=3%, signal=35%","3115/3119/3113/3122/3123/3109/3108/3111/3117/3134/3106/3105/3133/3107/1604","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04145","Phagosome",81,0.749133025646371,2.49334315077435,1e-10,2.08125e-09,1.46710526315789e-09,240,"tags=22%, list=2%, signal=22%","3115/3119/3113/3122/3123/3109/3108/4689/3111/3117/3134/6890/6891/3106/3105/3133/3107/10312","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05168","Herpes simplex virus 1 infection",123,0.706717442917614,2.48407897337433,1e-10,2.08125e-09,1.46710526315789e-09,946,"tags=33%, list=10%, signal=30%","3115/3119/3113/3122/3123/684/972/3109/3108/3111/3117/3134/330/8503/6890/6891/3106/6772/3105/3133/3107/4940/567/578/5371/2923/7189/6892/3665/29990/9641/5499/3127/5781/7188/841/5610/811/5819/598","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa04940","Type I diabetes mellitus",19,0.951187479094628,2.47444944913019,1e-10,2.08125e-09,1.46710526315789e-09,199,"tags=74%, list=2%, signal=72%","3115/3119/3113/3122/3123/3109/3108/3111/3117/3134/3106/3105/3133/3107","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05320","Autoimmune thyroid disease",16,0.965470843633318,2.44108440013799,1e-10,2.08125e-09,1.46710526315789e-09,199,"tags=88%, list=2%, signal=86%","3115/3119/3113/3122/3123/3109/3108/3111/3117/3134/3106/3105/3133/3107","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05330","Allograft rejection",16,0.965470843633318,2.44108440013799,1e-10,2.08125e-09,1.46710526315789e-09,199,"tags=88%, list=2%, signal=86%","3115/3119/3113/3122/3123/3109/3108/3111/3117/3134/3106/3105/3133/3107","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
"hsa05332","Graft-versus-host disease",16,0.965470843633318,2.44108440013799,1e-10,2.08125e-09,1.46710526315789e-09,199,"tags=88%, list=2%, signal=86%","3115/3119/3113/3122/3123/3109/3108/3111/3117/3134/3106/3105/3133/3107","Up","Stem","EPI","Colon","ActiveCD_vs_Control","dataset_03"
