"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05323","Rheumatoid arthritis",67,-0.50779240515904,-2.26775389224116,3.55453225343822e-08,5.68475955674259e-06,4.29569357694787e-06,548,"tags=43%, list=6%, signal=41%","8992/1514/7097/9296/533/54/3109/3119/2919/3118/3127/245972/3122/3108/3113/3117/2353/6348/3115/2921/51561/3569/3123/6349/3553/6387/3120/2920/6347","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05310","Asthma",19,-0.807211566118388,-2.83004596457857,4.7811032249755e-08,5.68475955674259e-06,4.29569357694787e-06,427,"tags=84%, list=5%, signal=80%","958/3111/3586/3109/3119/3118/3127/3122/3108/3113/3117/3115/2207/3123/3120/2205","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05322","Systemic lupus erythematosus",36,-0.640063307773739,-2.72503343541563,5.34616886214036e-08,5.68475955674259e-06,4.29569357694787e-06,427,"tags=50%, list=5%, signal=48%","3586/716/3109/3119/3118/3127/2212/3122/3108/3113/2209/3117/713/712/3115/3123/714/3120","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05150","Staphylococcus aureus infection",38,-0.601591830066888,-2.57609333335188,3.07625903911577e-07,2.45331658369482e-05,1.85385084199345e-05,427,"tags=55%, list=5%, signal=53%","3586/716/3109/3119/719/3118/3127/2212/3122/3108/3113/2209/3117/2213/713/712/3115/3123/1675/714/3120","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04660","T cell receptor signaling pathway",103,0.523021261363247,1.75080875575121,8.04118023043496e-07,5.13027298701751e-05,3.87669531109391e-05,1710,"tags=47%, list=20%, signal=38%","1437/1493/3458/10125/868/917/959/3702/2534/925/5781/5335/5788/28227/7535/5133/915/27040/919/9402/916/207/1739/5290/926/10000/5293/84433/5530/5529/6655/29851/3937/4775/940/5062/5527/208/5605/2932/5295/6654/8440/5894/3932/10892/5532/5601","Up","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05140","Leishmaniasis",61,-0.47186511616802,-2.11410993872626,1.54310346899208e-06,8.20416677680787e-05,6.19948586665238e-05,1019,"tags=48%, list=12%, signal=42%","3112/653361/3689/3111/1535/6300/5743/3684/65108/7097/3586/3459/3109/3119/3460/3118/3127/4689/2212/3122/3108/3113/2209/3117/2353/3115/3123/3553/3120","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04919","Thyroid hormone signaling pathway",84,0.538771102738561,1.77648365055858,5.67250557325427e-06,0.000252588802778685,0.000190868951777986,1902,"tags=46%, list=22%, signal=36%","4193/2033/5335/489/10499/6772/9882/2308/23389/207/9969/5290/2475/5579/5567/10000/8202/3091/9282/8648/5293/5469/4851/6513/4853/9862/6548/208/5605/2932/5295/5894/117247/7249/25942/1499/8850/9440/9968","Up","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa00260","Glycine, serine and threonine metabolism",19,-0.718687984681406,-2.51968643192163,6.33451543018645e-06,0.000252588802778685,0.000190868951777986,402,"tags=32%, list=5%, signal=30%","875/5723/113675/2628/501/10993","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",14,-0.792406136895875,-2.54776435921586,7.28310230199132e-06,0.000256019661357637,0.000193461483091566,1416,"tags=86%, list=16%, signal=72%","373156/9446/2952/2948/8574/873/2950/221/4259/4258/874/2052","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05133","Pertussis",48,-0.471965629507163,-2.0567262881334,8.02569471340556e-06,0.000256019661357637,0.000193461483091566,481,"tags=38%, list=6%, signal=36%","3689/834/6300/3684/3394/3586/114548/716/23643/29108/929/2353/713/712/51561/3569/3553/714","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04672","Intestinal immune network for IgA production",35,-0.53646477161718,-2.25046246663286,2.41003320241241e-05,0.000698909628699599,0.000528131677849227,427,"tags=46%, list=5%, signal=44%","3586/3109/3119/7852/3118/3127/3122/3108/3113/4055/3117/3115/3569/3123/6387/3120","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04940","Type I diabetes mellitus",33,-0.537256271121465,-2.26718642849462,3.6295329631212e-05,0.000964850846029719,0.000729090393469083,328,"tags=39%, list=4%, signal=38%","3109/3119/3118/3127/3122/3108/3113/3117/3115/3123/3553/3135/3120","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04612","Antigen processing and presentation",59,-0.425324389816926,-1.94641280192983,5.03523312911619e-05,0.00123556874476005,0.00093365861260535,548,"tags=29%, list=6%, signal=27%","1514/1508/3109/3119/3118/3127/3122/3108/3113/3117/972/3115/3123/10437/5641/3135/3120","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",32,-0.526010099545166,-2.19241288138431,6.95997726474142e-05,0.00145063493706038,0.00109617357065444,328,"tags=44%, list=4%, signal=42%","3109/3119/3118/3127/3122/3108/3113/3117/3115/3569/3123/3553/3135/3120","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04610","Complement and coagulation cascades",26,-0.56386380146297,-2.20552108988993,7.24075429834892e-05,0.00145063493706038,0.00109617357065444,347,"tags=42%, list=4%, signal=41%","716/5328/719/2/5329/713/712/11326/1675/2162/714","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa00860","Porphyrin metabolism",21,-0.633022373749177,-2.33593935592156,7.27591191002074e-05,0.00145063493706038,0.00109617357065444,1097,"tags=62%, list=13%, signal=54%","3162/7390/2235/5498/326625/2990/3052/7389/644/2495/645/2512/2395","Down","Immune_Cycling_cells","IMM","Colon","ActiveCD_vs_Control","dataset_02"
