"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04630","JAK-STAT signaling pathway",62,0.545969247641836,1.89383587724321,2.01285456690623e-07,4.15607200932877e-05,3.04396348835185e-05,1599,"tags=61%, list=24%, signal=47%","3575/2033/10254/5292/1439/5291/3561/122809/3559/6654/3572/3570/6655/6772/6778/5777/208/1441/3454/9306/3566/6774/6776/8027/9021/8554/5295/207/5771/3716/6773/5894/1387/3597/9063/5781/896/3588","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04060","Cytokine-cytokine receptor interaction",79,0.503376549093446,1.79199039260009,2.69001424552024e-07,4.15607200932877e-05,3.04396348835185e-05,996,"tags=41%, list=15%, signal=35%","3575/4283/6355/3624/6362/9966/9235/6373/7293/7133/8743/3606/1439/3604/8784/3561/3559/6352/23765/659/3572/6363/3570/3557/3627/1230/1441/3454/3566/84957/6347/1234","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05310","Asthma",17,-0.602483519852828,-2.58771859659365,6.57557211589819e-06,0.000677283927937513,0.000496051931550214,2611,"tags=94%, list=40%, signal=57%","3118/958/2207/3122/3586/3109/3127/3120/3119/3117/7124/3113/3108/3115/3123/2205","Down","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05200","Pathways in cancer",228,0.378643320256043,1.44992458921057,8.82269380437027e-06,0.000681553096387603,0.00049917872840516,2820,"tags=59%, list=43%, signal=35%","3575/4318/4312/324/5579/2033/3091/10018/4853/6093/7422/5292/861/4193/4791/1439/5291/5900/5970/3561/3559/6654/4286/330/3572/3570/5371/6655/1488/8454/6772/6778/1857/83593/208/5605/6667/331/7428/1441/7175/3454/6789/3566/3320/6774/54583/6776/2932/3685/27436/1027/8453/5295/2768/4790/3551/207/10912/1398/6934/51426/329/3688/5601/3716/6773/5467/5894/1387/5336/4292/1871/836/8202/6256/23401/1499/3597/1147/5898/7296/1436/896/26060/7170/2782/8031/59345/673/801/867/1495/2771/8648/4087/7423/2308/8503/7184/7187/3280/5734/25/840/5728/9475/3601/3725/2885/5899/2773/817/3455/113/3326/5594/23365/5330/9817/4089/3265/10672/7855/5578/4893/5914/7048/4780/1050/2002/10928/10681/1021/596","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",37,0.566171969851611,1.86199094044284,1.94274118901103e-05,0.00104265588276454,0.000763655305039605,573,"tags=41%, list=9%, signal=37%","4283/6355/6362/6373/7133/8743/3606/3561/3559/6352/3572/6363/3570/3627/1230","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04620","Toll-like receptor signaling pathway",67,0.483525922769533,1.69144322145314,2.02457452963988e-05,0.00104265588276454,0.000763655305039605,2239,"tags=61%, list=34%, signal=41%","6696/4283/51311/7097/4615/6373/5291/5970/6352/7096/3627/6772/208/5605/3454/941/6416/7099/5295/4790/3551/207/5601/3716/6773/5606/29110/1147/929/942/3654/6885/10379/1432/3661/8737/8503/9641/7187/3725/3665","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05205","Proteoglycans in cancer",97,0.442364705458798,1.60117656735805,2.83439333707897e-05,0.00125118220165343,0.000916382808228539,2625,"tags=66%, list=40%, signal=40%","3708/4318/5579/3709/6383/3091/960/7097/7057/6093/7422/4659/4193/5291/6237/6654/6655/5962/5777/208/5605/27250/7099/10451/2316/6774/1839/3685/5295/207/1975/3688/8826/5894/5336/836/1499/5781/673/867/10855/5500/4087/1432/8503/84309/5170/1514/7074/6714/9475/2885/7409/5829/817/5501/4478/3693/5594/23365/3265/7855/5578/4893","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05162","Measles",86,0.436374079915537,1.56532377044795,0.000119032666996162,0.00418236298338527,0.00306321935420825,2382,"tags=57%, list=36%, signal=37%","7097/4615/64135/5291/3303/5970/3561/3559/440275/6772/208/3454/3304/7099/6774/6776/2932/1027/5295/4790/3551/4179/207/3310/1459/5601/3716/6773/868/836/103/29110/1147/896/3654/6885/10379/1457/4600/3661/8503/9641/7187/27102/3725/3665/4478/3455/5610","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05204","Chemical carcinogenesis - DNA adducts",12,-0.647058823529412,-2.37540808161446,0.000121816397574328,0.00418236298338527,0.00306321935420825,2317,"tags=100%, list=35%, signal=65%","5743/1545/2948/2952/373156/6817/2052/873/4258/4259/2950","Down","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05221","Acute myeloid leukemia",45,0.488904215901222,1.64507227368661,0.000257468283464926,0.00761653588546863,0.00557845414878472,1691,"tags=58%, list=26%, signal=43%","5292/861/5291/5970/6654/3684/5371/6655/208/5605/1848/597/6774/6776/5295/4790/3551/207/6934/2209/5467/5894/1147/1436/673/929","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04380","Osteoclast differentiation",88,0.422214549032775,1.51583021259974,0.000271138817929304,0.00761653588546863,0.00557845414878472,2481,"tags=58%, list=38%, signal=36%","11026/3708/10859/3709/353514/10288/126014/4791/5291/2214/5970/4286/6772/208/11025/5971/3454/3937/5532/9021/5295/4790/3551/207/2209/695/5601/3716/6773/5336/5530/1147/1436/8878/1385/6850/79168/6885/10379/488/4688/1432/8503/3727/11006/3725/2885/5534/3455/5594/1540","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04015","Rap1 signaling pathway",84,0.423782737044686,1.51494626908707,0.000357719170213556,0.00921126863299906,0.00674645803472934,2625,"tags=65%, list=40%, signal=40%","26037/5579/3683/2357/7057/7422/5291/5900/6237/9693/3684/9855/83593/208/5605/9732/7094/2889/3937/10451/54518/5295/207/1398/3688/23683/5606/5894/1499/5898/1436/57568/673/801/2771/7423/1432/8503/23094/7074/6714/889/7409/5899/2773/50855/113/5908/5594/5330/6494/3265/3689/5578/4893","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05161","Hepatitis B",98,0.402017036778799,1.45626763175549,0.000526638086934343,0.0125177822202086,0.0091681934162659,2944,"tags=66%, list=45%, signal=37%","4318/5579/2033/7097/4615/64135/4214/5291/5970/6654/6655/6772/6778/208/5605/3454/1960/6416/7099/6774/6776/5295/4790/3551/207/5601/3716/6773/5606/5894/1387/1871/836/29110/1147/673/1385/2185/3654/6885/1432/3661/8503/9641/7187/6714/7534/3725/2885/3665/5594/537/4089/3265/5578/4893/1959/7048/2002/7529/4775/596/5604/1386/841","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04662","B cell receptor signaling pathway",62,0.45245684891415,1.56946387929189,0.000718971276171434,0.0158687231669267,0.01162246799826,2301,"tags=65%, list=35%, signal=42%","11026/10859/5579/353514/10288/118788/5291/4067/5970/27071/6654/6655/5777/208/5605/8915/11025/10451/5532/2932/5295/4790/3551/207/10892/695/5894/5336/5530/971/1147/6850/79168/8503/975/11006/3725/2885/7409/5534","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",51,0.464450858851967,1.5835458099599,0.000810558805236665,0.0166975113878753,0.0122294837281321,2883,"tags=73%, list=44%, signal=41%","5579/7422/5292/5291/5970/7056/1536/6772/208/6774/6347/6776/1027/5295/4790/207/5601/5336/836/5580/1281/4087/7423/1432/2308/8503/1958/3725/5594/5330/4089/3265/5578/4893/7048/596/1729","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04550","Signaling pathways regulating pluripotency of stem cells",44,0.470954730151098,1.57950386855206,0.00104006956604479,0.0181705287108391,0.0133083415868861,2863,"tags=77%, list=44%, signal=44%","3624/324/5291/5978/659/3572/1857/208/5605/7994/6774/2932/5295/207/56916/55183/3720/3716/5894/1499/4087/1432/8503/6498/2885/90/5594/4089/3265/7855/4893/4090/5604/10336","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04510","Focal adhesion",91,0.408912102306451,1.47234805461877,0.0010584774006314,0.0181705287108391,0.0133083415868861,3241,"tags=71%, list=50%, signal=37%","6696/5579/1291/7057/6093/7422/4659/5291/6654/330/6655/824/208/331/7094/2889/10451/2316/394/2932/3685/5295/207/1398/81/329/3688/87/5601/5894/23396/5062/1499/3676/896/673/5500/7423/8503/5170/5728/6714/9475/3725/2885/7409/5829/5501/5908/3693/5594/3265/5578/2002/6464/596/5604/1729/5880/1399/8394/7408/7791/2909/54776","Up","Macrophages_Metallothionein","IMM","Colon","ActiveCD_vs_Control","dataset_02"
