"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000976","transcription cis-regulatory region binding",328,0.34607838728783,1.30578452881925,0.000257468283464926,0.00824086006552869,0.0062832821581868,2464,"tags=59%, list=46%, signal=34%","3091/571/1960/6256/4084/4520/81/604/6772/10409/23064/8204/84159/6777/10725/7227/9839/8648/253461/7707/904/6773/5927/7975/5978/2120/3516/51341/6934/861/4779/10062/153222/4209/3096/9960/7421/7586/5814/84166/22936/6774/26523/64324/2186/55749/7799/8553/7572/9516/51621/4783/864/22797/23512/6304/3068/4851/2114/7071/5467/351/22926/3660/1050/1386/65986/8848/6776/5970/6294/11016/6778/6239/1106/2908/1051/7528/23269/8535/79718/4261/3727/22890/51742/4335/5452/122953/6498/9603/4097/1523/1871/7030/2000/2004/4286/988/1660/6597/51043/9208/2957/2551/80264/196/4150/6667/138151/7543/51351/64764/9921/4089/5928/163049/5451/1997/10014/23476/3192/1107/3659/6497/4853/3662/3097/23528/9988/10664/1874/7520/4205/23099/55810/5934/10499/23394/7150/4087/7343/6720/8531/10308/284443/5469/9611/6722/5887/27107/3191/6907/57801/6421/9586/1316/4775/79027/79365/7764/5813/2005/5926/6945/5089/7342/7024/639/55922/53335/6659/6670/2355/3665/4790/374655/6595/8178/22809/1112/170506/6879/56987/5989/23135/11176/1385/84146/10498/4782/10923/7019/22823/9935","MF","Up",7
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",276,0.347754480541716,1.30217408179707,0.000892987677723624,0.0147654474153836,0.0112579841867238,2237,"tags=55%, list=41%, signal=34%","3091/571/1960/6256/4084/4520/81/604/6772/8204/6777/10725/7227/9839/8648/253461/7707/6773/7975/5978/2120/3516/51341/6934/861/4779/10062/153222/4209/3096/9960/7421/7586/5814/84166/6774/64324/2186/55749/7799/8553/7572/9516/51621/4783/864/22797/23512/6304/3068/2114/7071/5467/351/22926/3660/1050/1386/65986/8848/6776/5970/6294/11016/6778/6239/1106/2908/1051/7528/23269/3727/22890/4335/5452/122953/6498/9603/4097/1523/1871/7030/2000/2004/4286/988/1660/51043/9208/2957/2551/80264/196/4150/6667/138151/7543/51351/64764/4089/5928/163049/5451/1997/10014/3192/3659/6497/3662/3097/23528/9988/10664/1874/4205/23099/55810/5934/10499/23394/7150/4087/6720/8531/10308/284443/5469/6722/5887/27107/57801/9586/1316/4775/79027/79365/7764/5813/2005/6945/5089/7342/7024/639/55922/53335/6659/6670/2355/3665/4790/374655","MF","Up",7
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",246,0.350502525597488,1.30475609399995,0.00129777985959004,0.0158296549256579,0.0120693941619866,2237,"tags=55%, list=41%, signal=34%","3091/571/1960/6256/4084/4520/604/6772/8204/6777/10725/9839/253461/7707/6773/7975/5978/2120/3516/51341/6934/861/4779/10062/4209/3096/9960/7421/7586/84166/6774/64324/2186/55749/8553/7572/9516/51621/4783/864/22797/23512/6304/3068/2114/7071/5467/351/22926/3660/1050/1386/8848/6776/5970/6294/11016/6778/6239/1106/2908/1051/7528/23269/3727/22890/4335/5452/122953/6498/9603/4097/1871/7030/2000/2004/4286/1660/51043/9208/2551/80264/196/4150/6667/138151/7543/51351/64764/4089/5928/5451/1997/10014/3192/3659/6497/3662/3097/23528/9988/10664/1874/4205/23099/55810/10499/7150/4087/6720/10308/284443/5469/6722/5887/27107/57801/9586/1316/4775/79027/79365/7764/2005/6945/7342/7024/639/55922/53335/6659/6670/2355/3665/4790/374655","MF","Up",7
"GO:0001067","transcription regulatory region nucleic acid binding",329,0.346784178767588,1.30822478289085,0.00026658197117744,0.00824086006552869,0.0062832821581868,2464,"tags=59%, list=46%, signal=34%","3091/571/1960/6256/4084/4520/81/604/6772/10409/23064/8204/84159/6777/10725/7227/9839/8648/253461/7707/904/6773/5927/7975/5978/2120/3516/51341/6934/861/4779/10062/153222/4209/3096/9960/7421/7586/5814/84166/22936/6774/26523/64324/2186/55749/7799/8553/7572/9516/51621/4783/864/22797/23512/6304/3068/4851/2114/7071/5467/351/22926/3660/1050/1386/65986/8848/6776/5970/6294/11016/6778/6239/1106/2908/1051/7528/23269/8535/79718/4261/3727/22890/51742/4335/5452/122953/6498/9603/4097/1523/1871/7030/2000/2004/4286/988/1660/6597/51043/9208/2957/2551/80264/196/4150/6667/138151/7543/51351/64764/9921/4089/5928/163049/5451/1997/10014/23476/3192/1107/3659/6497/4853/3662/3097/23528/9988/10664/1874/7520/4205/23099/55810/5934/10499/23394/7150/4087/7343/6720/8531/10308/284443/5469/9611/6722/5887/27107/3191/6907/57801/6421/9586/1316/4775/79027/79365/7764/5813/2005/5926/6945/5089/7342/7024/639/55922/53335/6659/6670/2355/3665/4790/374655/6595/8178/22809/132660/1112/170506/6879/56987/5989/23135/11176/1385/84146/10498/4782/10923/7019/22823/9935","MF","Up",7
"GO:0003008","system process",433,0.381859445668446,1.45599299585295,1.62249629943909e-08,6.32449057521357e-06,4.6300920713467e-06,1783,"tags=47%, list=33%, signal=34%","6696/3624/23657/3091/133/120892/3687/55236/5339/2316/4864/1889/5795/23446/9732/3783/6772/57680/719/23405/5770/7097/6533/2033/3688/9839/4302/3678/6546/6285/3320/23262/4012/5724/1906/7422/1729/54407/7439/1314/5062/489/25836/4683/4155/8546/5978/6515/6648/2022/10269/28514/3759/7357/84061/7534/136319/7037/9867/10062/6093/5027/2185/56670/8301/7421/84687/5663/84034/6714/2140/56729/5306/7133/23287/5743/7171/28232/1032/5025/7099/5530/83931/7402/6310/9826/2782/28996/29766/2643/2768/4739/10611/26058/950/998/444/2744/3778/10288/801/338442/26509/2771/64167/51762/659/8877/3156/4297/9444/6314/4973/131544/4851/1200/4193/5781/2821/4891/5467/55737/351/22926/80005/29887/23175/3572/1739/7337/3708/65125/10672/2332/9943/7423/7528/5141/9475/80208/51393/23613/3676/309/80204/4976/8837/10550/2760/25963/1639/207/9446/26164/2931/4092/7110/10008/5594/1522/23077/481/55362/1184/5728/7045/9921/4089/143187/1075/10059/5142/710/1824/8411/488/51109/3658/10659/157680/9948/8925/3064/1839/817/55209/6507/5595/5566/1874/26258/2539/5756/22930/7170/54434/4205/6103/3949/23394/728/3720","BP","Up",2
"GO:0004672","protein kinase activity",213,0.363346584795572,1.34389727872206,0.000526638086934343,0.0110333987295393,0.00841246627539083,2468,"tags=65%, list=46%, signal=37%","120892/3482/57551/3985/5292/3718/23049/10746/9748/4217/10645/3717/11213/5062/6355/5291/8780/4214/6093/200576/8829/2185/10114/9448/23683/2321/84687/6714/29110/54822/5289/83931/9031/3654/28996/4067/6793/5562/22848/2870/80216/659/3716/8812/5894/5610/1455/5170/6195/5597/7204/204851/65125/1432/3551/54861/9943/10155/9475/1859/140609/9263/11011/9641/3656/5579/57396/4261/1459/6046/4145/23097/23678/207/2931/55681/27/5594/1452/51347/5605/6197/8428/51231/26524/9770/23476/11035/1263/4140/51755/23387/2011/817/55589/5595/23031/5566/896/6789/50488/25778/5127/1026/4215/7150/255967/6850/1195/8621/2268/8844/4296/5586/7444/3984/10783/2580/7016/150094/5591/127933/208/2081/472/51135/6446/8895/53944/56975/1436/5606/8828/7046/1457/7048/91/9874","MF","Up",8
"GO:0005102","signaling receptor binding",442,0.373901002551199,1.42463469639971,7.81262986013565e-08,1.38869495763911e-05,1.05881694157102e-05,1282,"tags=36%, list=24%, signal=30%","6696/3624/9966/6362/2358/6283/87/133/3687/5788/2357/4323/102/2316/6368/10154/6279/101/10135/5795/81/26037/19/9732/4283/6772/3557/1435/3718/975/8204/80381/29126/3683/118788/214/5770/27020/7097/3696/3936/7706/734/3688/3554/3678/6285/3320/3717/1906/7422/1729/338339/6280/1314/7094/6892/6355/83737/2022/8740/23765/1213/9612/116844/28514/7184/66008/146722/8754/5027/10859/2185/867/6398/3140/55023/7096/1730/8301/100462981/1499/84687/5663/6714/56729/5025/10564/4905/7099/23780/941/11120/6654/5295/7402/6774/1154/9826/9958/4067/2768/4478/23710/998/10288/7532/22848/2734/2771/51762/7076/284207/3092/3716/55704/3068/2885/3303/4851/4193/5781/2821/811/55737/351/3570/4627/10015/1845/6397/3572/1739/6503/4641/10116/10672/3551/5034/3304/6868/7423/2776/64581/56850/3676/3685/2919/8837/1500/23032/3134/4650/9693/3084/10211/29990/2773/1398/2931/4092","MF","Up",1
"GO:0005901","caveola",23,0.565707401981041,1.67727949781857,0.00197397347711772,0.020623042882211,0.0153786875486065,1667,"tags=74%, list=31%, signal=51%","120892/3717/867/1499/23603/6714/5743/2319/3778/26509/659/1495/10211/5594/161742/953/5595","CC","Up",4
"GO:0006954","inflammatory response",380,0.368867445347097,1.39901291856462,1.68559453104852e-06,0.000219014916067571,0.000160338483286756,1137,"tags=34%, list=21%, signal=29%","64116/6362/6556/2358/3091/4318/6283/133/2687/120892/2214/5788/22904/2357/283131/3556/6368/960/6279/101/604/4283/3557/3429/1435/10312/975/6777/3683/118788/719/7130/9435/1230/7097/115362/331/201294/3688/2867/9839/3554/4818/1536/7850/3717/5724/1116/10628/6280/3566/23376/253260/1234/56833/4210/6355/253782/150372/83737/140885/6504/2212/8546/7293/23765/84868/3516/51311/7037/9867/10062/2633/5027/56670/25921/79931/7096/5663/6714/29110/7133/5743/7099/2635/23780/8473/6774/3620/4067/2359/1540/5045/353514/7941/1240/8877/7076/55870/284207/3920/5610/4973/10658/4851/5467/196527/55737/351/3570/1050/5777/91039/3572/5970/10318/54899/1432/2634/3551/2908/1051/89790/140609/55331/64581/4064/3098/3656","BP","Up",1
"GO:0007010","cytoskeleton organization",498,0.354711880987785,1.36007486799518,2.08086862312601e-06,0.000238565467439564,0.000174651233352774,2354,"tags=57%, list=44%, signal=35%","87/57551/3985/5339/2316/6279/81/26037/604/27436/5770/8826/3936/3267/9525/9748/23433/3688/9839/324/9648/9659/4082/3717/23499/829/1906/1729/26973/10097/6280/7094/3837/253260/5062/55435/23136/51199/8500/1213/399/7184/136319/10844/6093/5027/23092/8829/2185/84223/55023/1730/752/25777/1499/10602/23603/84687/6714/54822/5872/7171/9857/10735/5341/9260/25897/4542/5295/64857/9826/9749/29766/4739/4478/10611/254065/998/23022/6249/1540/11214/5562/79768/22902/6385/3092/55704/10487/6314/9938/54014/29109/5894/1785/2885/3303/4289/65979/5170/4644/811/116984/1808/1386/4627/10015/23299/4001/11261/57606/1739/4641/5573/7514/6651/10910/3304/54764/7456/4659/9645/9475/10096/1859/140609/389/2314/121512/7320/2919/23636/113251/8837/203228/23032/91010/9647/9662/1639/1783/10788/6840/1398/64005/27032/2931/822/84376/221472/9922/27/9181/1265/5594/6281/1452/55660/824/9873/5108/23077/10006/5728/4089/5119/57018/51143/256364/116985/10432/6709/683/6867/93663/7454/3192/1107/1263/23291/94134/4140/9948/80254/3064/126731/23387/7175/7415/2011/137886/10092/546/5829/5595/23031/283431/22808/1874/118/26258/5756/50488/10565/7170/54434/4205/54462/64780/133746/3071/3845/55785/10142/26054/57704/58480/10048/3552/10383/51542/9611/6722/1027/8452/9855/9754/85464/23075/1778/7226/7431/27067/29072/4287/11078/9126/5962/4035/1857/4926/84790/4134/2035/23396/3984/50848/10783/10274/80129/7756/9793/1861/961/9202/1794/7016/348/388/7408/114793/11252/25932/2934/10806/8243/6047/7405/8477/2801/54800/23607/22921/3636/26112/6386/22809/23177/1436/28988/4204/5898","BP","Up",3
