"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",276,0.469808089384126,1.36718889899243,3.83665303934798e-06,0.000809789568171713,0.000719944577348526,1326,"tags=49%, list=32%, signal=36%","8932/90378/7227/2033/3429/8473/7157/10608/3727/55183/7764/23405/57680/7644/8239/9839/26036/2146/57649/4194/8725/23512/168451/8535/165631/5814/1021/51341/2005/2186/2308/79718/25836/57659/6498/5981/23429/6935/10499/639/7091/57459/84295/571/4790/23515/6310/8452/7799/10664/153222/5813/5927/57708/83666/7528/1108/26147/23466/11278/1499/55729/864/8440/54815/5788/9612/10507/6595/6772/4094/4205/8320/23019/4851/1107/9646/23013/4773/7707/84524/10614/11244/8726/8543/64426/3192/9318/3428/10628/23613/22980/51564/2874/861/1386/8531/23168/4092/5925/3303/51742/6670/55192/11080/25942/3068/6829/23468/6421/56257/1739/1487/6774/6996/10443/7175/1387/6304/10155/7534/4204/10365/64324/26137/23528/64750/4848/5978/6778/3090/6597/51592/79577/3516/84174","BP","Up",1
"GO:0000785","chromatin",373,0.488879830911008,1.4373976434213,3.43811594308788e-09,1.54027594250337e-06,1.36077009958005e-06,1521,"tags=56%, list=36%, signal=39%","8932/23774/7227/2033/3070/23394/8473/7157/10735/1459/7994/7342/10608/3727/55183/57680/55274/2113/54891/5976/58487/6881/9839/8202/2146/3091/7155/6777/57649/114799/23512/168451/23304/22887/7112/54617/2005/2186/8507/2308/9416/5591/8284/1871/80335/196/25836/65980/6873/284058/1060/51366/6935/5989/8648/6418/23326/10499/5562/196528/55209/57459/23522/26057/571/4790/23515/23269/8467/115426/51621/10725/63901/5927/29117/6602/6732/546/11198/10847/7528/1108/23466/11278/3662/1457/1499/84181/864/55578/22877/339287/56848/54815/23047/64919/7508/9612/2101/7029/6595/6776/257218/5885/6772/4094/4205/8320/8289/1107/7543/9646/6314/57492/9031/4773/84524/11244/3184/894/64426/3344/23451/64431/64710/9188/23613/10320/79960/55193/50809/9126/861/1386/6599/26993/51105/11143/4092/7913/5925/23126/51742/6670/4676/25942/57658/23076/23468/6421/1998/5934/23160/23244/11176/54737/6774/6932/84148/1387/6304/27125/3182/151987/10155/4209/4204/10365/10943/64324/64764/5966/6778/23338/11335/3090/1106/6597/51592/1385/29844/3516/1676/1105/64061/9798/8607/7259/1660/11168/5926/9810/55167/4775/1786/3191/6605/3720/5928/10042/9960/6046/10538/54107/6601/2309/91782/51147/23476/84656","CC","Up",1
"GO:0000902","cell morphogenesis",197,0.472300934076707,1.36369382593535,7.61445307943226e-05,0.0088691124111016,0.00788509711317142,1612,"tags=58%, list=39%, signal=38%","283149/2033/23394/9202/5781/23405/23499/8239/23345/7155/9043/473/79006/5591/8826/4650/9448/6498/2011/8546/5062/55605/5605/54014/23077/3676/8452/285527/3688/9733/5588/6093/1499/23011/54776/64919/23032/5339/10507/4205/2803/6868/4851/133418/3071/4076/55619/8543/1729/998/2316/23181/10939/7337/4627/23230/6049/4289/2909/4659/5728/5530/80208/51199/170506/51177/5925/334/26999/57498/2185/25942/56882/3672/1739/10672/27067/5532/4204/752/10365/6904/55023/9175/50618/51347/5978/1785/5048/440193/836/128637/23256/1385/596/9798/4753/171023/54664/55660/93663/10163/51393/393/1982/2534/9181/5962/10678/30011/4478/89846/84062/1398/56990","BP","Up",2
"GO:0003682","chromatin binding",234,0.538022017181399,1.5638416426306,1e-10,1.475e-08,1.06578947368421e-08,1521,"tags=66%, list=36%, signal=45%","2168/8932/90378/22806/2033/3070/23394/8473/254225/22904/7157/10735/7994/57680/55274/80012/5976/8243/6881/7404/2332/2146/7155/6777/6830/8725/23512/8535/473/4297/29028/2005/2308/80335/25836/6498/6873/6935/8648/6418/10499/639/5562/7091/57459/23522/26057/4790/8467/6310/84456/10664/10725/5927/6602/546/11198/7528/1108/4300/26147/23466/1499/84181/9612/6595/5885/7150/6772/4205/8320/4851/7343/8289/1107/7543/905/57492/92822/4773/4302/8726/55252/3184/81/5431/3192/64431/81550/64710/10051/1653/55193/51564/50809/9126/2965/1386/55870/904/6599/5579/11143/6670/4676/25942/57658/6829/23468/6421/5934/1487/54737/6774/84148/7175/1387/7270/165918/23135/10155/4204/64324/51322/661/5978/5430/22907/11335/1106/6597/3516/1105/7019/64061/7259/1660/11168/55167/4928/1786/171023/6605/3720/5928/9760/9960/6046/54107/6601/27000/2309/23523/23476/84656","MF","Up",1
"GO:0003690","double-stranded DNA binding",310,0.479350161525497,1.40278105215256,1.80208649356769e-07,3.1261322092008e-06,2.25884664536365e-06,1473,"tags=54%, list=35%, signal=38%","8932/22806/7227/23394/9988/7157/85364/7342/10608/3727/7764/2113/7644/7404/9839/2146/3091/6777/23064/23512/8535/22887/5814/51341/2005/2186/55601/2308/5591/79718/1871/196/84166/57659/6498/84146/6873/5981/1060/6935/5989/8648/10499/639/571/4790/23269/7799/10664/27107/153222/51621/5813/4603/10725/5927/29117/7587/7528/10771/11278/3662/7014/864/22877/54816/64919/7508/2101/7029/6595/6776/7150/6772/4094/4205/8320/4851/7343/1107/7543/7581/92822/4773/7707/84524/7586/10111/4001/3344/81/3192/170960/988/64710/3428/10270/22944/22861/10320/94039/9126/861/1386/54700/904/8531/3329/11143/55749/170506/5925/51742/6670/57109/3068/57658/6421/1998/5934/55755/22803/11176/57677/6774/6932/6996/6304/440515/147807/23135/253461/3182/149628/4209/4204/10365/64324/64764/26137/23528/5966/9967/5978/6778/64332/3090/1106/27332/6597/1385/3516/7019/64061/7520/1660/11168/5926/55167/163049/4775/3191/56731/5928/2972/7507/9960/10538","MF","Up",1
"GO:0004386","helicase activity",65,0.59709296704455,1.645437138279,6.60835099504116e-06,8.29558954696656e-05,5.99413696078761e-05,1433,"tags=78%, list=34%, signal=52%","3070/23405/11325/57680/8653/5976/7919/23064/10973/10521/55601/9416/4175/9044/8467/1659/64848/9716/546/10847/64135/1108/84181/5965/23020/6595/9785/257218/1107/10111/79009/9931/1653/9188/170506/57062/80205/55661/11056/9879/1656/22907/1106/6597/1105/8607/2963/7520/1660/1665/1654","MF","Up",3
"GO:0004672","protein kinase activity",129,0.527259003020825,1.50021415003847,7.8501347280943e-06,9.64912393661591e-05,6.9721591335048e-05,832,"tags=45%, list=20%, signal=37%","7273/1459/11011/27347/10746/5586/472/8445/1021/3718/9475/5591/8621/984/9448/6197/9748/1455/2011/57551/5562/5062/9943/5605/22848/23049/3551/2931/6732/8780/9262/1456/9874/5588/127933/1457/6093/7150/6793/65125/204851/5613/5567/5294/11329/3716/51755/1859/3482/5610/9031/6198/23387/3702/2580/140609/8812/728642","MF","Up",3
"GO:0004674","protein serine/threonine kinase activity",116,0.54128920419033,1.52897533063505,2.35601890650416e-06,3.39036867033526e-05,2.44977575644207e-05,1038,"tags=51%, list=25%, signal=39%","7273/1459/11011/27347/10746/5586/472/8445/1021/9475/5591/8621/984/9448/6197/9748/1455/2011/57551/5562/5062/9943/5605/22848/23049/3551/2931/6732/8780/9262/1456/9874/5588/127933/1457/6093/7150/6793/65125/204851/5613/5567/5294/11329/51755/1859/5610/6198/23387/2580/140609/8812/728642/9261/5579/8428/2185/7048/208","MF","Up",3
"GO:0004676","3-phosphoinositide-dependent protein kinase activity",67,0.637548985991144,1.75864941309505,4.36105475071634e-08,9.40006726019842e-07,6.79219846633427e-07,785,"tags=58%, list=19%, signal=48%","7273/1459/11011/27347/472/9475/5591/9448/6197/9748/1455/2011/57551/5562/5062/9943/22848/23049/3551/2931/6732/8780/9262/1456/9874/127933/1457/6093/6793/65125/204851/5613/5294/11329/5610/6198/23387/2580/140609","MF","Up",3
"GO:0004677","DNA-dependent protein kinase activity",67,0.637548985991144,1.75864941309505,4.36105475071634e-08,9.40006726019842e-07,6.79219846633427e-07,785,"tags=58%, list=19%, signal=48%","7273/1459/11011/27347/472/9475/5591/9448/6197/9748/1455/2011/57551/5562/5062/9943/22848/23049/3551/2931/6732/8780/9262/1456/9874/127933/1457/6093/6793/65125/204851/5613/5294/11329/5610/6198/23387/2580/140609","MF","Up",3
